,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Kenny,McLean,5800,DM,Norwich City,78,9.45,-10.17,,Norwich City
1,Kenny,McLean,5800,DM,Norwich City,79,9.4,-10.18,,Norwich City
2,Kenny,McLean,5800,DM,Norwich City,80,9.36,-10.19,,Norwich City
3,Kenny,McLean,5800,DM,Norwich City,81,9.32,-10.19,,Norwich City
4,Kenny,McLean,5800,DM,Norwich City,82,9.31,-10.2,,Norwich City
5,Kenny,McLean,5800,DM,Norwich City,83,9.29,-10.15,,Norwich City
6,Kenny,McLean,5800,DM,Norwich City,84,9.28,-10.11,,Norwich City
7,Kenny,McLean,5800,DM,Norwich City,85,9.31,-10.06,,Norwich City
8,Kenny,McLean,5800,DM,Norwich City,86,9.33,-9.97,,Norwich City
9,Kenny,McLean,5800,DM,Norwich City,87,9.34,-9.9,,Norwich City
10,Kenny,McLean,5800,DM,Norwich City,88,9.33,-9.87,,Norwich City
11,Kenny,McLean,5800,DM,Norwich City,89,9.32,-9.86,,Norwich City
12,Kenny,McLean,5800,DM,Norwich City,90,9.32,-9.86,,Norwich City
13,Kenny,McLean,5800,DM,Norwich City,91,9.34,-9.87,,Norwich City
14,Kenny,McLean,5800,DM,Norwich City,92,9.35,-9.87,,Norwich City
15,Kenny,McLean,5800,DM,Norwich City,93,9.37,-9.87,,Norwich City
16,Kenny,McLean,5800,DM,Norwich City,94,9.38,-9.92,,Norwich City
17,Kenny,McLean,5800,DM,Norwich City,95,9.37,-9.98,,Norwich City
18,Kenny,McLean,5800,DM,Norwich City,96,9.38,-10.03,,Norwich City
19,Kenny,McLean,5800,DM,Norwich City,97,9.4,-10.07,,Norwich City
20,Kenny,McLean,5800,DM,Norwich City,98,9.42,-10.08,,Norwich City
21,Kenny,McLean,5800,DM,Norwich City,99,9.46,-10.05,,Norwich City
22,Kenny,McLean,5800,DM,Norwich City,100,9.51,-10.09,,Norwich City
23,Kenny,McLean,5800,DM,Norwich City,101,9.57,-10.1,,Norwich City
24,Kenny,McLean,5800,DM,Norwich City,102,9.64,-10.09,,Norwich City
25,Kenny,McLean,5800,DM,Norwich City,103,9.69,-10.08,,Norwich City
26,Kenny,McLean,5800,DM,Norwich City,104,9.72,-10.06,,Norwich City
27,Kenny,McLean,5800,DM,Norwich City,105,9.74,-10.06,,Norwich City
28,Kenny,McLean,5800,DM,Norwich City,106,9.73,-10.1,,Norwich City
29,Kenny,McLean,5800,DM,Norwich City,107,9.73,-10.13,,Norwich City
30,Kenny,McLean,5800,DM,Norwich City,108,9.75,-10.16,,Norwich City
31,Kenny,McLean,5800,DM,Norwich City,109,9.78,-10.19,,Norwich City
32,Kenny,McLean,5800,DM,Norwich City,110,9.81,-10.22,,Norwich City
33,Kenny,McLean,5800,DM,Norwich City,111,9.86,-10.22,,Norwich City
34,Kenny,McLean,5800,DM,Norwich City,112,9.9,-10.21,,Norwich City
35,Kenny,McLean,5800,DM,Norwich City,113,9.94,-10.23,,Norwich City
36,Kenny,McLean,5800,DM,Norwich City,114,9.96,-10.24,,Norwich City
37,Kenny,McLean,5800,DM,Norwich City,115,9.95,-10.28,,Norwich City
38,Kenny,McLean,5800,DM,Norwich City,116,9.94,-10.29,,Norwich City
39,Kenny,McLean,5800,DM,Norwich City,117,9.93,-10.3,,Norwich City
40,Kenny,McLean,5800,DM,Norwich City,118,9.94,-10.29,,Norwich City
41,Kenny,McLean,5800,DM,Norwich City,119,9.93,-10.3,,Norwich City
42,Kenny,McLean,5800,DM,Norwich City,120,9.93,-10.3,,Norwich City
43,Kenny,McLean,5800,DM,Norwich City,121,9.92,-10.29,,Norwich City
44,Kenny,McLean,5800,DM,Norwich City,122,9.92,-10.24,,Norwich City
45,Kenny,McLean,5800,DM,Norwich City,123,9.93,-10.23,,Norwich City
46,Kenny,McLean,5800,DM,Norwich City,124,9.92,-10.2,,Norwich City
47,Kenny,McLean,5800,DM,Norwich City,125,9.9,-10.2,,Norwich City
48,Kenny,McLean,5800,DM,Norwich City,126,9.88,-10.23,,Norwich City
49,Kenny,McLean,5800,DM,Norwich City,127,9.89,-10.26,,Norwich City
50,Kenny,McLean,5800,DM,Norwich City,128,9.92,-10.31,,Norwich City
51,Kenny,McLean,5800,DM,Norwich City,129,9.96,-10.4,,Norwich City
52,Kenny,McLean,5800,DM,Norwich City,130,9.98,-10.43,,Norwich City
53,Kenny,McLean,5800,DM,Norwich City,131,9.97,-10.47,,Norwich City
54,Kenny,McLean,5800,DM,Norwich City,132,9.96,-10.48,,Norwich City
55,Kenny,McLean,5800,DM,Norwich City,133,9.98,-10.47,,Norwich City
56,Kenny,McLean,5800,DM,Norwich City,134,9.99,-10.55,,Norwich City
57,Kenny,McLean,5800,DM,Norwich City,135,10.01,-10.7,,Norwich City
58,Kenny,McLean,5800,DM,Norwich City,136,10.01,-10.82,,Norwich City
59,Kenny,McLean,5800,DM,Norwich City,137,10.01,-10.91,,Norwich City
60,Kenny,McLean,5800,DM,Norwich City,138,10.01,-10.95,,Norwich City
61,Kenny,McLean,5800,DM,Norwich City,139,10.01,-10.92,,Norwich City
62,Kenny,McLean,5800,DM,Norwich City,140,9.99,-10.94,,Norwich City
63,Kenny,McLean,5800,DM,Norwich City,141,9.98,-10.96,,Norwich City
64,Kenny,McLean,5800,DM,Norwich City,142,9.95,-10.96,,Norwich City
65,Kenny,McLean,5800,DM,Norwich City,143,9.9,-10.95,2501.0,Norwich City
66,Kenny,McLean,5800,DM,Norwich City,144,9.83,-10.96,2501.0,Norwich City
67,Kenny,McLean,5800,DM,Norwich City,145,9.76,-10.96,2501.0,Norwich City
68,Kenny,McLean,5800,DM,Norwich City,146,9.71,-10.97,2501.0,Norwich City
69,Kenny,McLean,5800,DM,Norwich City,147,9.7,-10.99,2501.0,Norwich City
70,Kenny,McLean,5800,DM,Norwich City,148,9.68,-11.0,2501.0,Norwich City
71,Kenny,McLean,5800,DM,Norwich City,149,9.65,-11.0,2501.0,Norwich City
72,Kenny,McLean,5800,DM,Norwich City,150,9.61,-11.01,2501.0,Norwich City
73,Kenny,McLean,5800,DM,Norwich City,151,9.52,-11.0,2501.0,Norwich City
74,Kenny,McLean,5800,DM,Norwich City,152,9.42,-11.02,2501.0,Norwich City
75,Kenny,McLean,5800,DM,Norwich City,153,9.31,-11.04,2501.0,Norwich City
76,Kenny,McLean,5800,DM,Norwich City,154,9.23,-11.04,2501.0,Norwich City
77,Kenny,McLean,5800,DM,Norwich City,155,9.18,-11.06,2501.0,Norwich City
78,Kenny,McLean,5800,DM,Norwich City,156,9.15,-11.07,2501.0,Norwich City
79,Kenny,McLean,5800,DM,Norwich City,157,9.11,-11.06,2501.0,Norwich City
80,Kenny,McLean,5800,DM,Norwich City,158,9.03,-11.05,2501.0,Norwich City
81,Kenny,McLean,5800,DM,Norwich City,159,8.91,-11.04,2501.0,Norwich City
82,Kenny,McLean,5800,DM,Norwich City,160,8.8,-11.0,2501.0,Norwich City
83,Kenny,McLean,5800,DM,Norwich City,161,8.71,-11.01,2501.0,Norwich City
84,Kenny,McLean,5800,DM,Norwich City,162,8.66,-11.03,2501.0,Norwich City
85,Kenny,McLean,5800,DM,Norwich City,163,8.64,-11.05,2501.0,Norwich City
86,Kenny,McLean,5800,DM,Norwich City,164,8.6,-11.04,2501.0,Norwich City
87,Kenny,McLean,5800,DM,Norwich City,165,8.53,-11.03,2501.0,Norwich City
88,Kenny,McLean,5800,DM,Norwich City,166,8.42,-10.99,,Norwich City
89,Kenny,McLean,5800,DM,Norwich City,167,8.3,-10.94,,Norwich City
90,Kenny,McLean,5800,DM,Norwich City,168,8.19,-10.94,,Norwich City
91,Kenny,McLean,5800,DM,Norwich City,169,8.13,-10.9,,Norwich City
92,Kenny,McLean,5800,DM,Norwich City,170,8.09,-10.85,,Norwich City
93,Kenny,McLean,5800,DM,Norwich City,171,8.08,-10.78,,Norwich City
94,Kenny,McLean,5800,DM,Norwich City,172,8.1,-10.69,,Norwich City
95,Kenny,McLean,5800,DM,Norwich City,257,9.39,-9.76,,Norwich City
96,Kenny,McLean,5800,DM,Norwich City,258,9.33,-9.86,,Norwich City
97,Kenny,McLean,5800,DM,Norwich City,259,9.27,-9.97,,Norwich City
98,Kenny,McLean,5800,DM,Norwich City,260,9.21,-10.07,,Norwich City
99,Kenny,McLean,5800,DM,Norwich City,261,9.13,-10.22,,Norwich City
100,Kenny,McLean,5800,DM,Norwich City,262,9.07,-10.27,,Norwich City
101,Kenny,McLean,5800,DM,Norwich City,263,9.02,-10.34,,Norwich City
102,Kenny,McLean,5800,DM,Norwich City,264,8.94,-10.37,,Norwich City
103,Kenny,McLean,5800,DM,Norwich City,265,8.85,-10.34,,Norwich City
104,Kenny,McLean,5800,DM,Norwich City,266,8.75,-10.31,,Norwich City
105,Kenny,McLean,5800,DM,Norwich City,267,8.66,-10.29,,Norwich City
106,Kenny,McLean,5800,DM,Norwich City,268,8.59,-10.32,,Norwich City
107,Kenny,McLean,5800,DM,Norwich City,269,8.54,-10.43,,Norwich City
108,Kenny,McLean,5800,DM,Norwich City,270,8.5,-10.57,,Norwich City
109,Kenny,McLean,5800,DM,Norwich City,271,8.46,-10.76,,Norwich City
110,Kenny,McLean,5800,DM,Norwich City,272,8.44,-10.92,,Norwich City
111,Kenny,McLean,5800,DM,Norwich City,273,8.47,-10.96,,Norwich City
112,Kenny,McLean,5800,DM,Norwich City,274,8.51,-11.05,,Norwich City
113,Kenny,McLean,5800,DM,Norwich City,275,8.56,-11.13,,Norwich City
114,Kenny,McLean,5800,DM,Norwich City,276,8.62,-11.18,,Norwich City
115,Kenny,McLean,5800,DM,Norwich City,277,8.69,-11.31,,Norwich City
116,Kenny,McLean,5800,DM,Norwich City,278,8.81,-11.39,,Norwich City
117,Kenny,McLean,5800,DM,Norwich City,279,8.96,-11.4,,Norwich City
118,Kenny,McLean,5800,DM,Norwich City,280,9.11,-11.37,,Norwich City
119,Kenny,McLean,5800,DM,Norwich City,281,9.29,-11.3,,Norwich City
120,Kenny,McLean,5800,DM,Norwich City,282,9.46,-11.16,,Norwich City
121,Kenny,McLean,5800,DM,Norwich City,283,9.63,-11.05,,Norwich City
122,Kenny,McLean,5800,DM,Norwich City,284,9.81,-11.11,,Norwich City
123,Kenny,McLean,5800,DM,Norwich City,285,9.99,-11.2,,Norwich City
124,Kenny,McLean,5800,DM,Norwich City,286,10.15,-11.27,,Norwich City
125,Kenny,McLean,5800,DM,Norwich City,287,10.32,-11.28,,Norwich City
126,Kenny,McLean,5800,DM,Norwich City,288,10.47,-11.21,,Norwich City
127,Kenny,McLean,5800,DM,Norwich City,289,10.63,-11.21,,Norwich City
128,Kenny,McLean,5800,DM,Norwich City,290,10.82,-11.32,,Norwich City
129,Kenny,McLean,5800,DM,Norwich City,291,11.0,-11.43,,Norwich City
130,Kenny,McLean,5800,DM,Norwich City,292,11.11,-11.53,,Norwich City
131,Kenny,McLean,5800,DM,Norwich City,293,11.19,-11.52,,Norwich City
132,Kenny,McLean,5800,DM,Norwich City,294,11.21,-11.49,,Norwich City
133,Kenny,McLean,5800,DM,Norwich City,295,11.21,-11.51,2501.0,Norwich City
134,Kenny,McLean,5800,DM,Norwich City,296,11.21,-11.53,2501.0,Norwich City
135,Kenny,McLean,5800,DM,Norwich City,297,11.19,-11.53,2501.0,Norwich City
136,Kenny,McLean,5800,DM,Norwich City,298,11.13,-11.42,2501.0,Norwich City
137,Kenny,McLean,5800,DM,Norwich City,299,11.05,-11.18,2501.0,Norwich City
138,Kenny,McLean,5800,DM,Norwich City,300,10.9,-10.92,2501.0,Norwich City
139,Kenny,McLean,5800,DM,Norwich City,301,10.75,-10.72,2501.0,Norwich City
140,Kenny,McLean,5800,DM,Norwich City,302,10.62,-10.65,2501.0,Norwich City
141,Kenny,McLean,5800,DM,Norwich City,303,10.51,-10.68,2501.0,Norwich City
142,Kenny,McLean,5800,DM,Norwich City,304,10.38,-10.72,2501.0,Norwich City
143,Kenny,McLean,5800,DM,Norwich City,305,10.21,-10.74,2501.0,Norwich City
144,Kenny,McLean,5800,DM,Norwich City,306,10.01,-10.73,2501.0,Norwich City
145,Kenny,McLean,5800,DM,Norwich City,307,9.8,-10.75,2501.0,Norwich City
146,Kenny,McLean,5800,DM,Norwich City,308,9.63,-10.77,2501.0,Norwich City
147,Kenny,McLean,5800,DM,Norwich City,309,9.52,-10.76,2501.0,Norwich City
148,Kenny,McLean,5800,DM,Norwich City,310,9.39,-10.75,2501.0,Norwich City
149,Kenny,McLean,5800,DM,Norwich City,311,9.24,-10.73,2501.0,Norwich City
150,Kenny,McLean,5800,DM,Norwich City,312,9.07,-10.7,2501.0,Norwich City
151,Kenny,McLean,5800,DM,Norwich City,313,8.89,-10.71,2501.0,Norwich City
152,Kenny,McLean,5800,DM,Norwich City,314,8.77,-10.7,2501.0,Norwich City
153,Kenny,McLean,5800,DM,Norwich City,315,8.66,-10.67,2501.0,Norwich City
154,Kenny,McLean,5800,DM,Norwich City,316,8.52,-10.63,2501.0,Norwich City
155,Kenny,McLean,5800,DM,Norwich City,317,8.35,-10.64,2501.0,Norwich City
156,Kenny,McLean,5800,DM,Norwich City,318,8.19,-10.66,2501.0,Norwich City
157,Kenny,McLean,5800,DM,Norwich City,319,8.06,-10.7,2501.0,Norwich City
158,Kenny,McLean,5800,DM,Norwich City,320,7.97,-10.68,2501.0,Norwich City
159,Kenny,McLean,5800,DM,Norwich City,321,7.9,-10.64,2501.0,Norwich City
160,Kenny,McLean,5800,DM,Norwich City,322,7.81,-10.55,2501.0,Norwich City
161,Kenny,McLean,5800,DM,Norwich City,323,7.68,-10.51,2501.0,Norwich City
162,Kenny,McLean,5800,DM,Norwich City,324,7.55,-10.48,2501.0,Norwich City
163,Kenny,McLean,5800,DM,Norwich City,325,7.42,-10.49,2501.0,Norwich City
164,Kenny,McLean,5800,DM,Norwich City,326,7.33,-10.45,2501.0,Norwich City
165,Kenny,McLean,5800,DM,Norwich City,327,7.27,-10.46,2501.0,Norwich City
166,Kenny,McLean,5800,DM,Norwich City,328,7.21,-10.48,2501.0,Norwich City
167,Kenny,McLean,5800,DM,Norwich City,329,7.13,-10.51,2501.0,Norwich City
168,Kenny,McLean,5800,DM,Norwich City,330,7.08,-10.56,2501.0,Norwich City
169,Kenny,McLean,5800,DM,Norwich City,331,7.07,-10.61,2501.0,Norwich City
170,Kenny,McLean,5800,DM,Norwich City,332,7.1,-10.57,2501.0,Norwich City
171,Kenny,McLean,5800,DM,Norwich City,333,7.17,-10.53,2501.0,Norwich City
172,Kenny,McLean,5800,DM,Norwich City,334,7.24,-10.47,2501.0,Norwich City
173,Kenny,McLean,5800,DM,Norwich City,335,7.3,-10.43,2501.0,Norwich City
174,Kenny,McLean,5800,DM,Norwich City,336,7.37,-10.42,2501.0,Norwich City
175,Kenny,McLean,5800,DM,Norwich City,337,7.46,-10.45,2501.0,Norwich City
176,Kenny,McLean,5800,DM,Norwich City,338,7.58,-10.43,2501.0,Norwich City
177,Kenny,McLean,5800,DM,Norwich City,339,7.68,-10.46,2501.0,Norwich City
178,Kenny,McLean,5800,DM,Norwich City,340,7.79,-10.5,2501.0,Norwich City
179,Kenny,McLean,5800,DM,Norwich City,341,7.91,-10.55,,Norwich City
180,Kenny,McLean,5800,DM,Norwich City,430,8.69,-10.75,,Norwich City
181,Kenny,McLean,5800,DM,Norwich City,431,8.73,-10.73,2501.0,Norwich City
182,Kenny,McLean,5800,DM,Norwich City,432,8.76,-10.74,2501.0,Norwich City
183,Kenny,McLean,5800,DM,Norwich City,433,8.81,-10.78,2501.0,Norwich City
184,Kenny,McLean,5800,DM,Norwich City,434,8.88,-10.9,2501.0,Norwich City
185,Kenny,McLean,5800,DM,Norwich City,435,8.92,-10.99,2501.0,Norwich City
186,Kenny,McLean,5800,DM,Norwich City,436,8.93,-11.08,2501.0,Norwich City
187,Kenny,McLean,5800,DM,Norwich City,437,8.94,-11.13,2501.0,Norwich City
188,Kenny,McLean,5800,DM,Norwich City,438,8.96,-11.15,2501.0,Norwich City
189,Kenny,McLean,5800,DM,Norwich City,439,8.97,-11.22,2501.0,Norwich City
190,Kenny,McLean,5800,DM,Norwich City,440,9.0,-11.26,2501.0,Norwich City
191,Kenny,McLean,5800,DM,Norwich City,441,9.03,-11.27,2501.0,Norwich City
192,Kenny,McLean,5800,DM,Norwich City,442,9.07,-11.25,2501.0,Norwich City
193,Kenny,McLean,5800,DM,Norwich City,443,9.1,-11.25,2501.0,Norwich City
194,Kenny,McLean,5800,DM,Norwich City,444,9.13,-11.23,2501.0,Norwich City
195,Kenny,McLean,5800,DM,Norwich City,445,9.15,-11.19,2501.0,Norwich City
196,Kenny,McLean,5800,DM,Norwich City,446,9.16,-11.16,2501.0,Norwich City
197,Kenny,McLean,5800,DM,Norwich City,447,9.16,-11.18,2501.0,Norwich City
198,Kenny,McLean,5800,DM,Norwich City,448,9.17,-11.2,2501.0,Norwich City
199,Kenny,McLean,5800,DM,Norwich City,449,9.14,-11.36,2501.0,Norwich City
200,Kenny,McLean,5800,DM,Norwich City,450,9.17,-11.42,2501.0,Norwich City
201,Kenny,McLean,5800,DM,Norwich City,451,9.21,-11.52,2501.0,Norwich City
202,Kenny,McLean,5800,DM,Norwich City,452,9.26,-11.63,2501.0,Norwich City
203,Kenny,McLean,5800,DM,Norwich City,453,9.3,-11.76,2501.0,Norwich City
204,Kenny,McLean,5800,DM,Norwich City,454,9.31,-11.86,2501.0,Norwich City
205,Kenny,McLean,5800,DM,Norwich City,455,9.29,-12.02,2501.0,Norwich City
206,Kenny,McLean,5800,DM,Norwich City,456,9.29,-12.02,2501.0,Norwich City
207,Kenny,McLean,5800,DM,Norwich City,457,9.29,-12.02,2501.0,Norwich City
208,Kenny,McLean,5800,DM,Norwich City,458,9.29,-12.0,2501.0,Norwich City
209,Kenny,McLean,5800,DM,Norwich City,459,9.29,-11.98,2501.0,Norwich City
210,Kenny,McLean,5800,DM,Norwich City,460,9.3,-11.96,2501.0,Norwich City
211,Kenny,McLean,5800,DM,Norwich City,461,9.31,-11.95,2501.0,Norwich City
212,Kenny,McLean,5800,DM,Norwich City,462,9.31,-11.95,2501.0,Norwich City
213,Kenny,McLean,5800,DM,Norwich City,463,9.31,-11.95,2501.0,Norwich City
214,Kenny,McLean,5800,DM,Norwich City,464,9.31,-11.92,2501.0,Norwich City
215,Kenny,McLean,5800,DM,Norwich City,465,9.31,-11.9,2501.0,Norwich City
216,Kenny,McLean,5800,DM,Norwich City,466,9.31,-11.89,2501.0,Norwich City
217,Kenny,McLean,5800,DM,Norwich City,467,9.32,-11.92,2501.0,Norwich City
218,Kenny,McLean,5800,DM,Norwich City,468,9.31,-11.97,2501.0,Norwich City
219,Kenny,McLean,5800,DM,Norwich City,469,9.29,-12.04,2501.0,Norwich City
220,Kenny,McLean,5800,DM,Norwich City,470,9.27,-12.04,2501.0,Norwich City
221,Kenny,McLean,5800,DM,Norwich City,471,9.26,-12.06,2501.0,Norwich City
222,Kenny,McLean,5800,DM,Norwich City,472,9.25,-12.07,2501.0,Norwich City
223,Kenny,McLean,5800,DM,Norwich City,473,9.25,-12.06,2501.0,Norwich City
224,Kenny,McLean,5800,DM,Norwich City,474,9.24,-12.07,2501.0,Norwich City
225,Kenny,McLean,5800,DM,Norwich City,475,9.23,-12.08,2501.0,Norwich City
226,Kenny,McLean,5800,DM,Norwich City,476,9.22,-12.07,2501.0,Norwich City
227,Kenny,McLean,5800,DM,Norwich City,477,9.22,-12.07,2501.0,Norwich City
228,Kenny,McLean,5800,DM,Norwich City,478,9.21,-12.08,2501.0,Norwich City
229,Kenny,McLean,5800,DM,Norwich City,479,9.2,-12.09,,Norwich City
230,Kenny,McLean,5800,DM,Norwich City,580,8.72,-10.96,,Norwich City
231,Kenny,McLean,5800,DM,Norwich City,581,8.71,-11.06,,Norwich City
232,Kenny,McLean,5800,DM,Norwich City,582,8.69,-11.14,,Norwich City
233,Kenny,McLean,5800,DM,Norwich City,583,8.65,-11.2,,Manchester City
234,Kenny,McLean,5800,DM,Norwich City,584,8.59,-11.24,,Manchester City
235,Kenny,McLean,5800,DM,Norwich City,585,8.49,-11.3,,Manchester City
236,Kenny,McLean,5800,DM,Norwich City,586,8.4,-11.31,,Manchester City
237,Kenny,McLean,5800,DM,Norwich City,587,8.31,-11.36,,Manchester City
238,Kenny,McLean,5800,DM,Norwich City,588,8.24,-11.36,,Manchester City
239,Kenny,McLean,5800,DM,Norwich City,589,8.22,-11.39,,Manchester City
240,Kenny,McLean,5800,DM,Norwich City,590,8.2,-11.49,5066.0,Manchester City
241,Kenny,McLean,5800,DM,Norwich City,591,8.15,-11.71,5066.0,Manchester City
242,Kenny,McLean,5800,DM,Norwich City,592,8.12,-11.98,5066.0,Manchester City
243,Kenny,McLean,5800,DM,Norwich City,593,8.12,-12.25,5066.0,Manchester City
244,Kenny,McLean,5800,DM,Norwich City,594,8.23,-12.25,5066.0,Manchester City
245,Kenny,McLean,5800,DM,Norwich City,595,8.41,-12.24,5066.0,Manchester City
246,Kenny,McLean,5800,DM,Norwich City,596,8.59,-12.24,5066.0,Manchester City
247,Kenny,McLean,5800,DM,Norwich City,597,8.75,-12.32,5066.0,Manchester City
248,Kenny,McLean,5800,DM,Norwich City,598,8.86,-12.53,5066.0,Manchester City
249,Kenny,McLean,5800,DM,Norwich City,599,8.96,-12.8,5066.0,Manchester City
250,Kenny,McLean,5800,DM,Norwich City,600,9.12,-12.93,5066.0,Manchester City
251,Kenny,McLean,5800,DM,Norwich City,601,9.23,-13.25,5066.0,Manchester City
252,Kenny,McLean,5800,DM,Norwich City,602,9.26,-13.71,5066.0,Manchester City
253,Kenny,McLean,5800,DM,Norwich City,603,9.23,-14.24,5066.0,Manchester City
254,Kenny,McLean,5800,DM,Norwich City,604,9.17,-14.52,5066.0,Manchester City
255,Kenny,McLean,5800,DM,Norwich City,605,9.04,-14.65,5066.0,Manchester City
256,Kenny,McLean,5800,DM,Norwich City,606,8.89,-14.67,5066.0,Manchester City
257,Kenny,McLean,5800,DM,Norwich City,607,8.64,-14.85,5066.0,Manchester City
258,Kenny,McLean,5800,DM,Norwich City,608,8.38,-15.29,5066.0,Manchester City
259,Kenny,McLean,5800,DM,Norwich City,609,8.22,-15.93,,Manchester City
260,Kenny,McLean,5800,DM,Norwich City,610,8.24,-16.18,,Manchester City
261,Kenny,McLean,5800,DM,Norwich City,611,8.41,-16.06,,Manchester City
262,Kenny,McLean,5800,DM,Norwich City,612,8.59,-16.06,,Manchester City
263,Kenny,McLean,5800,DM,Norwich City,613,8.73,-16.21,,Manchester City
264,Kenny,McLean,5800,DM,Norwich City,614,8.87,-16.63,,Manchester City
265,Kenny,McLean,5800,DM,Norwich City,615,9.0,-17.32,,Manchester City
