,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Mario,Vrancic,6919,LM,Norwich City,58201,-5.91,-11.44,,Manchester City
1,Mario,Vrancic,6919,LM,Norwich City,58202,-5.91,-11.72,,Manchester City
2,Mario,Vrancic,6919,LM,Norwich City,58203,-5.88,-11.9,,Manchester City
3,Mario,Vrancic,6919,LM,Norwich City,58204,-5.82,-11.89,,Manchester City
4,Mario,Vrancic,6919,LM,Norwich City,58205,-5.79,-11.88,,Manchester City
5,Mario,Vrancic,6919,LM,Norwich City,58206,-5.81,-11.92,,Manchester City
6,Mario,Vrancic,6919,LM,Norwich City,58207,-5.87,-12.13,,Manchester City
7,Mario,Vrancic,6919,LM,Norwich City,58208,-5.95,-12.37,,Manchester City
8,Mario,Vrancic,6919,LM,Norwich City,58209,-6.04,-12.6,,Manchester City
9,Mario,Vrancic,6919,LM,Norwich City,58210,-6.12,-12.87,,Manchester City
10,Mario,Vrancic,6919,LM,Norwich City,58211,-6.25,-13.08,,Manchester City
11,Mario,Vrancic,6919,LM,Norwich City,58212,-6.44,-13.16,,Manchester City
12,Mario,Vrancic,6919,LM,Norwich City,58213,-6.67,-13.23,,Manchester City
13,Mario,Vrancic,6919,LM,Norwich City,58214,-6.92,-13.22,,Manchester City
14,Mario,Vrancic,6919,LM,Norwich City,58215,-7.19,-13.14,,Manchester City
15,Mario,Vrancic,6919,LM,Norwich City,58216,-7.49,-13.0,,Manchester City
16,Mario,Vrancic,6919,LM,Norwich City,58217,-7.8,-12.87,,Manchester City
17,Mario,Vrancic,6919,LM,Norwich City,58218,-8.11,-12.71,,Manchester City
18,Mario,Vrancic,6919,LM,Norwich City,58219,-8.4,-12.56,,Manchester City
19,Mario,Vrancic,6919,LM,Norwich City,58220,-8.69,-12.53,,Manchester City
20,Mario,Vrancic,6919,LM,Norwich City,58221,-8.95,-12.5,,Manchester City
21,Mario,Vrancic,6919,LM,Norwich City,58222,-9.26,-12.41,,Manchester City
22,Mario,Vrancic,6919,LM,Norwich City,58223,-9.6,-12.26,,Manchester City
23,Mario,Vrancic,6919,LM,Norwich City,58224,-9.97,-12.05,,Manchester City
24,Mario,Vrancic,6919,LM,Norwich City,58225,-10.31,-11.86,,Manchester City
25,Mario,Vrancic,6919,LM,Norwich City,58226,-10.6,-11.78,,Manchester City
26,Mario,Vrancic,6919,LM,Norwich City,58227,-10.86,-11.85,,Manchester City
27,Mario,Vrancic,6919,LM,Norwich City,58228,-11.11,-11.94,,Manchester City
28,Mario,Vrancic,6919,LM,Norwich City,58229,-11.38,-11.98,,Manchester City
29,Mario,Vrancic,6919,LM,Norwich City,58230,-11.65,-12.06,,Manchester City
30,Mario,Vrancic,6919,LM,Norwich City,58231,-11.96,-12.15,,Manchester City
31,Mario,Vrancic,6919,LM,Norwich City,58232,-12.24,-12.22,,Manchester City
32,Mario,Vrancic,6919,LM,Norwich City,58233,-12.55,-12.33,,Manchester City
33,Mario,Vrancic,6919,LM,Norwich City,58234,-12.79,-12.62,,Manchester City
34,Mario,Vrancic,6919,LM,Norwich City,58235,-13.14,-12.54,,Manchester City
35,Mario,Vrancic,6919,LM,Norwich City,58236,-13.53,-12.3,,Manchester City
36,Mario,Vrancic,6919,LM,Norwich City,58237,-13.96,-11.9,,Manchester City
37,Mario,Vrancic,6919,LM,Norwich City,58593,5.92,-15.13,,Manchester City
38,Mario,Vrancic,6919,LM,Norwich City,58594,6.15,-15.08,,Manchester City
39,Mario,Vrancic,6919,LM,Norwich City,58595,6.38,-15.18,,Manchester City
40,Mario,Vrancic,6919,LM,Norwich City,58596,6.61,-15.44,,Manchester City
41,Mario,Vrancic,6919,LM,Norwich City,58597,6.83,-16.03,,Manchester City
42,Mario,Vrancic,6919,LM,Norwich City,58598,7.03,-16.6,,Manchester City
43,Mario,Vrancic,6919,LM,Norwich City,58599,7.26,-16.92,,Manchester City
44,Mario,Vrancic,6919,LM,Norwich City,58600,7.48,-17.13,,Manchester City
45,Mario,Vrancic,6919,LM,Norwich City,58601,7.73,-17.35,,Manchester City
46,Mario,Vrancic,6919,LM,Norwich City,58602,8.11,-17.55,,Manchester City
47,Mario,Vrancic,6919,LM,Norwich City,58603,8.57,-17.81,,Manchester City
48,Mario,Vrancic,6919,LM,Norwich City,58604,9.05,-18.08,4460.0,Manchester City
49,Mario,Vrancic,6919,LM,Norwich City,58605,9.5,-18.3,4460.0,Manchester City
50,Mario,Vrancic,6919,LM,Norwich City,58606,9.88,-18.54,4460.0,Manchester City
51,Mario,Vrancic,6919,LM,Norwich City,58607,10.22,-18.69,,Manchester City
52,Mario,Vrancic,6919,LM,Norwich City,58608,10.55,-18.74,,Manchester City
53,Mario,Vrancic,6919,LM,Norwich City,58609,10.88,-18.65,,Manchester City
54,Mario,Vrancic,6919,LM,Norwich City,58610,11.14,-18.43,,Manchester City
55,Mario,Vrancic,6919,LM,Norwich City,58611,11.29,-18.3,,Manchester City
56,Mario,Vrancic,6919,LM,Norwich City,58612,11.41,-18.16,,Manchester City
57,Mario,Vrancic,6919,LM,Norwich City,58613,11.48,-17.92,,Manchester City
58,Mario,Vrancic,6919,LM,Norwich City,58614,11.53,-17.67,,Manchester City
59,Mario,Vrancic,6919,LM,Norwich City,58615,11.56,-17.46,,Manchester City
60,Mario,Vrancic,6919,LM,Norwich City,58616,11.55,-17.24,,Manchester City
61,Mario,Vrancic,6919,LM,Norwich City,58617,11.52,-17.03,,Manchester City
62,Mario,Vrancic,6919,LM,Norwich City,58618,11.53,-16.75,,Manchester City
63,Mario,Vrancic,6919,LM,Norwich City,58619,11.54,-16.46,,Manchester City
64,Mario,Vrancic,6919,LM,Norwich City,58620,11.57,-16.06,,Manchester City
65,Mario,Vrancic,6919,LM,Norwich City,58621,11.63,-15.71,,Manchester City
66,Mario,Vrancic,6919,LM,Norwich City,58622,11.73,-15.39,,Manchester City
67,Mario,Vrancic,6919,LM,Norwich City,58623,11.86,-14.88,,Manchester City
68,Mario,Vrancic,6919,LM,Norwich City,58624,11.99,-14.36,,Manchester City
69,Mario,Vrancic,6919,LM,Norwich City,58625,12.06,-14.04,,Manchester City
70,Mario,Vrancic,6919,LM,Norwich City,58626,12.07,-13.77,,Manchester City
71,Mario,Vrancic,6919,LM,Norwich City,58627,12.12,-13.44,,Manchester City
72,Mario,Vrancic,6919,LM,Norwich City,58628,12.14,-13.18,,Manchester City
73,Mario,Vrancic,6919,LM,Norwich City,58629,12.18,-12.82,,Manchester City
74,Mario,Vrancic,6919,LM,Norwich City,58630,12.29,-12.21,,Manchester City
75,Mario,Vrancic,6919,LM,Norwich City,58631,12.41,-11.7,,Manchester City
76,Mario,Vrancic,6919,LM,Norwich City,58632,12.52,-11.39,,Manchester City
77,Mario,Vrancic,6919,LM,Norwich City,58633,12.71,-10.84,,Manchester City
78,Mario,Vrancic,6919,LM,Norwich City,58634,12.88,-10.37,,Manchester City
79,Mario,Vrancic,6919,LM,Norwich City,58635,12.96,-10.09,,Manchester City
80,Mario,Vrancic,6919,LM,Norwich City,58636,13.13,-9.37,,Manchester City
81,Mario,Vrancic,6919,LM,Norwich City,58637,13.27,-8.79,,Manchester City
82,Mario,Vrancic,6919,LM,Norwich City,58638,13.38,-8.37,,Manchester City
83,Mario,Vrancic,6919,LM,Norwich City,58639,13.6,-7.66,,Manchester City
84,Mario,Vrancic,6919,LM,Norwich City,58640,13.79,-7.05,,Manchester City
85,Mario,Vrancic,6919,LM,Norwich City,58641,13.91,-6.61,,Manchester City
86,Mario,Vrancic,6919,LM,Norwich City,58642,14.03,-6.11,,Manchester City
87,Mario,Vrancic,6919,LM,Norwich City,58643,14.13,-5.69,,Manchester City
88,Mario,Vrancic,6919,LM,Norwich City,58644,14.29,-5.35,,Manchester City
89,Mario,Vrancic,6919,LM,Norwich City,58645,14.56,-4.8,,Manchester City
90,Mario,Vrancic,6919,LM,Norwich City,58646,14.94,-4.2,,Manchester City
91,Mario,Vrancic,6919,LM,Norwich City,58647,15.41,-3.73,6919.0,Norwich City
92,Mario,Vrancic,6919,LM,Norwich City,58648,15.92,-3.35,6919.0,Norwich City
93,Mario,Vrancic,6919,LM,Norwich City,58649,16.47,-2.99,,Norwich City
94,Mario,Vrancic,6919,LM,Norwich City,58650,17.08,-2.75,,Norwich City
95,Mario,Vrancic,6919,LM,Norwich City,58651,17.64,-2.6,,Norwich City
96,Mario,Vrancic,6919,LM,Norwich City,58652,18.19,-2.59,,Norwich City
97,Mario,Vrancic,6919,LM,Norwich City,58653,18.72,-2.68,,Norwich City
98,Mario,Vrancic,6919,LM,Norwich City,58654,19.28,-2.71,,Norwich City
99,Mario,Vrancic,6919,LM,Norwich City,58655,19.81,-2.89,,Norwich City
100,Mario,Vrancic,6919,LM,Norwich City,58656,20.38,-3.0,,Norwich City
101,Mario,Vrancic,6919,LM,Norwich City,58657,20.93,-3.0,,Norwich City
102,Mario,Vrancic,6919,LM,Norwich City,58658,21.4,-3.09,,Norwich City
103,Mario,Vrancic,6919,LM,Norwich City,58659,21.9,-3.08,,Norwich City
104,Mario,Vrancic,6919,LM,Norwich City,58660,22.54,-2.92,,Norwich City
105,Mario,Vrancic,6919,LM,Norwich City,58661,23.18,-2.89,,Norwich City
106,Mario,Vrancic,6919,LM,Norwich City,58662,23.73,-2.92,,Norwich City
107,Mario,Vrancic,6919,LM,Norwich City,58663,24.26,-2.98,,Norwich City
108,Mario,Vrancic,6919,LM,Norwich City,58664,24.75,-3.08,,Norwich City
109,Mario,Vrancic,6919,LM,Norwich City,59403,-1.84,9.47,,Manchester City
110,Mario,Vrancic,6919,LM,Norwich City,59404,-2.11,9.5,,Manchester City
111,Mario,Vrancic,6919,LM,Norwich City,59405,-2.34,9.54,,Manchester City
112,Mario,Vrancic,6919,LM,Norwich City,59406,-2.53,9.58,,Manchester City
113,Mario,Vrancic,6919,LM,Norwich City,59407,-2.72,9.66,,Manchester City
114,Mario,Vrancic,6919,LM,Norwich City,59408,-2.83,9.79,,Manchester City
115,Mario,Vrancic,6919,LM,Norwich City,59409,-2.89,10.01,,Manchester City
116,Mario,Vrancic,6919,LM,Norwich City,59410,-2.91,10.14,,Manchester City
117,Mario,Vrancic,6919,LM,Norwich City,59411,-2.95,10.3,,Manchester City
118,Mario,Vrancic,6919,LM,Norwich City,59412,-3.0,10.49,,Manchester City
119,Mario,Vrancic,6919,LM,Norwich City,59413,-2.95,10.58,,Manchester City
120,Mario,Vrancic,6919,LM,Norwich City,59414,-2.8,10.71,,Manchester City
121,Mario,Vrancic,6919,LM,Norwich City,59415,-2.59,10.97,,Manchester City
122,Mario,Vrancic,6919,LM,Norwich City,59416,-2.33,11.09,,Manchester City
123,Mario,Vrancic,6919,LM,Norwich City,59417,-2.05,11.24,,Manchester City
124,Mario,Vrancic,6919,LM,Norwich City,59418,-1.78,11.25,,Manchester City
125,Mario,Vrancic,6919,LM,Norwich City,59419,-1.48,11.34,,Manchester City
126,Mario,Vrancic,6919,LM,Norwich City,59420,-1.14,11.32,,Manchester City
127,Mario,Vrancic,6919,LM,Norwich City,59421,-0.79,11.5,,Manchester City
128,Mario,Vrancic,6919,LM,Norwich City,59422,-0.43,11.43,,Manchester City
129,Mario,Vrancic,6919,LM,Norwich City,59423,-0.05,11.46,,Manchester City
130,Mario,Vrancic,6919,LM,Norwich City,59424,0.3,11.42,,Manchester City
131,Mario,Vrancic,6919,LM,Norwich City,59425,0.65,11.39,,Manchester City
132,Mario,Vrancic,6919,LM,Norwich City,59426,0.99,11.19,,Manchester City
