,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Onel,Hernandez,18782,LW,Norwich City,78,6.2,-19.42,,Norwich City
1,Onel,Hernandez,18782,LW,Norwich City,79,6.17,-19.38,,Norwich City
2,Onel,Hernandez,18782,LW,Norwich City,80,6.16,-19.35,,Norwich City
3,Onel,Hernandez,18782,LW,Norwich City,81,6.15,-19.34,,Norwich City
4,Onel,Hernandez,18782,LW,Norwich City,82,6.16,-19.37,,Norwich City
5,Onel,Hernandez,18782,LW,Norwich City,83,6.16,-19.38,,Norwich City
6,Onel,Hernandez,18782,LW,Norwich City,84,6.17,-19.41,,Norwich City
7,Onel,Hernandez,18782,LW,Norwich City,85,6.18,-19.44,,Norwich City
8,Onel,Hernandez,18782,LW,Norwich City,86,6.2,-19.44,,Norwich City
9,Onel,Hernandez,18782,LW,Norwich City,87,6.2,-19.44,,Norwich City
10,Onel,Hernandez,18782,LW,Norwich City,88,6.2,-19.43,,Norwich City
11,Onel,Hernandez,18782,LW,Norwich City,89,6.19,-19.42,,Norwich City
12,Onel,Hernandez,18782,LW,Norwich City,90,6.19,-19.42,,Norwich City
13,Onel,Hernandez,18782,LW,Norwich City,91,6.19,-19.42,,Norwich City
14,Onel,Hernandez,18782,LW,Norwich City,92,6.2,-19.42,,Norwich City
15,Onel,Hernandez,18782,LW,Norwich City,93,6.2,-19.42,,Norwich City
16,Onel,Hernandez,18782,LW,Norwich City,94,6.2,-19.42,,Norwich City
17,Onel,Hernandez,18782,LW,Norwich City,95,6.19,-19.43,,Norwich City
18,Onel,Hernandez,18782,LW,Norwich City,96,6.19,-19.44,,Norwich City
19,Onel,Hernandez,18782,LW,Norwich City,97,6.19,-19.45,,Norwich City
20,Onel,Hernandez,18782,LW,Norwich City,98,6.18,-19.45,,Norwich City
21,Onel,Hernandez,18782,LW,Norwich City,99,6.18,-19.44,,Norwich City
22,Onel,Hernandez,18782,LW,Norwich City,100,6.18,-19.43,,Norwich City
23,Onel,Hernandez,18782,LW,Norwich City,101,6.18,-19.43,,Norwich City
24,Onel,Hernandez,18782,LW,Norwich City,102,6.19,-19.43,,Norwich City
25,Onel,Hernandez,18782,LW,Norwich City,103,6.19,-19.43,,Norwich City
26,Onel,Hernandez,18782,LW,Norwich City,104,6.19,-19.43,,Norwich City
27,Onel,Hernandez,18782,LW,Norwich City,105,6.18,-19.44,,Norwich City
28,Onel,Hernandez,18782,LW,Norwich City,106,6.18,-19.44,,Norwich City
29,Onel,Hernandez,18782,LW,Norwich City,107,6.18,-19.43,,Norwich City
30,Onel,Hernandez,18782,LW,Norwich City,108,6.18,-19.42,,Norwich City
31,Onel,Hernandez,18782,LW,Norwich City,109,6.19,-19.42,,Norwich City
32,Onel,Hernandez,18782,LW,Norwich City,110,6.19,-19.43,,Norwich City
33,Onel,Hernandez,18782,LW,Norwich City,111,6.2,-19.44,,Norwich City
34,Onel,Hernandez,18782,LW,Norwich City,112,6.19,-19.44,,Norwich City
35,Onel,Hernandez,18782,LW,Norwich City,113,6.19,-19.44,,Norwich City
36,Onel,Hernandez,18782,LW,Norwich City,114,6.19,-19.43,,Norwich City
37,Onel,Hernandez,18782,LW,Norwich City,115,6.19,-19.43,,Norwich City
38,Onel,Hernandez,18782,LW,Norwich City,116,6.19,-19.42,,Norwich City
39,Onel,Hernandez,18782,LW,Norwich City,117,6.18,-19.43,,Norwich City
40,Onel,Hernandez,18782,LW,Norwich City,118,6.17,-19.44,,Norwich City
41,Onel,Hernandez,18782,LW,Norwich City,119,6.17,-19.45,,Norwich City
42,Onel,Hernandez,18782,LW,Norwich City,120,6.18,-19.45,,Norwich City
43,Onel,Hernandez,18782,LW,Norwich City,121,6.19,-19.43,,Norwich City
44,Onel,Hernandez,18782,LW,Norwich City,122,6.19,-19.4,,Norwich City
45,Onel,Hernandez,18782,LW,Norwich City,123,6.19,-19.4,,Norwich City
46,Onel,Hernandez,18782,LW,Norwich City,124,6.18,-19.38,,Norwich City
47,Onel,Hernandez,18782,LW,Norwich City,125,6.17,-19.38,,Norwich City
48,Onel,Hernandez,18782,LW,Norwich City,126,6.17,-19.42,,Norwich City
49,Onel,Hernandez,18782,LW,Norwich City,127,6.17,-19.43,,Norwich City
50,Onel,Hernandez,18782,LW,Norwich City,128,6.16,-19.45,,Norwich City
51,Onel,Hernandez,18782,LW,Norwich City,129,6.16,-19.46,,Norwich City
52,Onel,Hernandez,18782,LW,Norwich City,130,6.15,-19.45,,Norwich City
53,Onel,Hernandez,18782,LW,Norwich City,131,6.14,-19.45,,Norwich City
54,Onel,Hernandez,18782,LW,Norwich City,132,6.14,-19.46,,Norwich City
55,Onel,Hernandez,18782,LW,Norwich City,133,6.14,-19.46,,Norwich City
56,Onel,Hernandez,18782,LW,Norwich City,134,6.14,-19.47,,Norwich City
57,Onel,Hernandez,18782,LW,Norwich City,135,6.13,-19.48,,Norwich City
58,Onel,Hernandez,18782,LW,Norwich City,136,6.13,-19.47,,Norwich City
59,Onel,Hernandez,18782,LW,Norwich City,137,6.15,-19.47,,Norwich City
60,Onel,Hernandez,18782,LW,Norwich City,138,6.18,-19.46,,Norwich City
61,Onel,Hernandez,18782,LW,Norwich City,139,6.2,-19.47,,Norwich City
62,Onel,Hernandez,18782,LW,Norwich City,140,6.22,-19.49,,Norwich City
63,Onel,Hernandez,18782,LW,Norwich City,141,6.22,-19.53,,Norwich City
64,Onel,Hernandez,18782,LW,Norwich City,142,6.22,-19.56,,Norwich City
65,Onel,Hernandez,18782,LW,Norwich City,143,6.23,-19.6,2501.0,Norwich City
66,Onel,Hernandez,18782,LW,Norwich City,144,6.24,-19.61,2501.0,Norwich City
67,Onel,Hernandez,18782,LW,Norwich City,145,6.25,-19.6,2501.0,Norwich City
68,Onel,Hernandez,18782,LW,Norwich City,146,6.3,-19.56,2501.0,Norwich City
69,Onel,Hernandez,18782,LW,Norwich City,147,6.36,-19.55,2501.0,Norwich City
70,Onel,Hernandez,18782,LW,Norwich City,148,6.42,-19.58,2501.0,Norwich City
71,Onel,Hernandez,18782,LW,Norwich City,149,6.46,-19.66,2501.0,Norwich City
72,Onel,Hernandez,18782,LW,Norwich City,150,6.49,-19.75,2501.0,Norwich City
73,Onel,Hernandez,18782,LW,Norwich City,151,6.5,-19.82,2501.0,Norwich City
74,Onel,Hernandez,18782,LW,Norwich City,152,6.5,-19.86,2501.0,Norwich City
75,Onel,Hernandez,18782,LW,Norwich City,153,6.5,-19.89,2501.0,Norwich City
76,Onel,Hernandez,18782,LW,Norwich City,154,6.51,-19.91,2501.0,Norwich City
77,Onel,Hernandez,18782,LW,Norwich City,155,6.5,-19.94,2501.0,Norwich City
78,Onel,Hernandez,18782,LW,Norwich City,156,6.51,-19.96,2501.0,Norwich City
79,Onel,Hernandez,18782,LW,Norwich City,157,6.52,-19.97,2501.0,Norwich City
80,Onel,Hernandez,18782,LW,Norwich City,158,6.54,-19.96,2501.0,Norwich City
81,Onel,Hernandez,18782,LW,Norwich City,159,6.54,-19.96,2501.0,Norwich City
82,Onel,Hernandez,18782,LW,Norwich City,160,6.56,-19.95,2501.0,Norwich City
83,Onel,Hernandez,18782,LW,Norwich City,161,6.57,-19.97,2501.0,Norwich City
84,Onel,Hernandez,18782,LW,Norwich City,162,6.58,-19.95,2501.0,Norwich City
85,Onel,Hernandez,18782,LW,Norwich City,163,6.59,-19.95,2501.0,Norwich City
86,Onel,Hernandez,18782,LW,Norwich City,164,6.6,-19.91,2501.0,Norwich City
87,Onel,Hernandez,18782,LW,Norwich City,165,6.6,-19.91,2501.0,Norwich City
88,Onel,Hernandez,18782,LW,Norwich City,166,6.6,-19.91,,Norwich City
89,Onel,Hernandez,18782,LW,Norwich City,167,6.6,-19.93,,Norwich City
90,Onel,Hernandez,18782,LW,Norwich City,168,6.59,-19.94,,Norwich City
91,Onel,Hernandez,18782,LW,Norwich City,169,6.6,-19.96,,Norwich City
92,Onel,Hernandez,18782,LW,Norwich City,170,6.6,-19.97,,Norwich City
93,Onel,Hernandez,18782,LW,Norwich City,171,6.61,-19.96,,Norwich City
94,Onel,Hernandez,18782,LW,Norwich City,172,6.63,-19.95,,Norwich City
95,Onel,Hernandez,18782,LW,Norwich City,257,6.48,-19.74,,Norwich City
96,Onel,Hernandez,18782,LW,Norwich City,258,6.5,-19.76,,Norwich City
97,Onel,Hernandez,18782,LW,Norwich City,259,6.52,-19.77,,Norwich City
98,Onel,Hernandez,18782,LW,Norwich City,260,6.54,-19.79,,Norwich City
99,Onel,Hernandez,18782,LW,Norwich City,261,6.53,-19.78,,Norwich City
100,Onel,Hernandez,18782,LW,Norwich City,262,6.54,-19.8,,Norwich City
101,Onel,Hernandez,18782,LW,Norwich City,263,6.54,-19.82,,Norwich City
102,Onel,Hernandez,18782,LW,Norwich City,264,6.54,-19.81,,Norwich City
103,Onel,Hernandez,18782,LW,Norwich City,265,6.53,-19.8,,Norwich City
104,Onel,Hernandez,18782,LW,Norwich City,266,6.53,-19.8,,Norwich City
105,Onel,Hernandez,18782,LW,Norwich City,267,6.53,-19.78,,Norwich City
106,Onel,Hernandez,18782,LW,Norwich City,268,6.54,-19.78,,Norwich City
107,Onel,Hernandez,18782,LW,Norwich City,269,6.54,-19.77,,Norwich City
108,Onel,Hernandez,18782,LW,Norwich City,270,6.54,-19.78,,Norwich City
109,Onel,Hernandez,18782,LW,Norwich City,271,6.53,-19.79,,Norwich City
110,Onel,Hernandez,18782,LW,Norwich City,272,6.53,-19.79,,Norwich City
111,Onel,Hernandez,18782,LW,Norwich City,273,6.52,-19.79,,Norwich City
112,Onel,Hernandez,18782,LW,Norwich City,274,6.53,-19.79,,Norwich City
113,Onel,Hernandez,18782,LW,Norwich City,275,6.52,-19.78,,Norwich City
114,Onel,Hernandez,18782,LW,Norwich City,276,6.53,-19.79,,Norwich City
115,Onel,Hernandez,18782,LW,Norwich City,277,6.53,-19.78,,Norwich City
116,Onel,Hernandez,18782,LW,Norwich City,278,6.53,-19.79,,Norwich City
117,Onel,Hernandez,18782,LW,Norwich City,279,6.53,-19.79,,Norwich City
118,Onel,Hernandez,18782,LW,Norwich City,280,6.54,-19.81,,Norwich City
119,Onel,Hernandez,18782,LW,Norwich City,281,6.54,-19.81,,Norwich City
120,Onel,Hernandez,18782,LW,Norwich City,282,6.54,-19.82,,Norwich City
121,Onel,Hernandez,18782,LW,Norwich City,283,6.54,-19.81,,Norwich City
122,Onel,Hernandez,18782,LW,Norwich City,284,6.54,-19.81,,Norwich City
123,Onel,Hernandez,18782,LW,Norwich City,285,6.54,-19.8,,Norwich City
124,Onel,Hernandez,18782,LW,Norwich City,286,6.53,-19.78,,Norwich City
125,Onel,Hernandez,18782,LW,Norwich City,287,6.53,-19.78,,Norwich City
126,Onel,Hernandez,18782,LW,Norwich City,288,6.52,-19.78,,Norwich City
127,Onel,Hernandez,18782,LW,Norwich City,289,6.53,-19.8,,Norwich City
128,Onel,Hernandez,18782,LW,Norwich City,290,6.54,-19.82,,Norwich City
129,Onel,Hernandez,18782,LW,Norwich City,291,6.55,-19.83,,Norwich City
130,Onel,Hernandez,18782,LW,Norwich City,292,6.54,-19.83,,Norwich City
131,Onel,Hernandez,18782,LW,Norwich City,293,6.55,-19.84,,Norwich City
132,Onel,Hernandez,18782,LW,Norwich City,294,6.55,-19.83,,Norwich City
133,Onel,Hernandez,18782,LW,Norwich City,295,6.55,-19.85,2501.0,Norwich City
134,Onel,Hernandez,18782,LW,Norwich City,296,6.55,-19.85,2501.0,Norwich City
135,Onel,Hernandez,18782,LW,Norwich City,297,6.55,-19.86,2501.0,Norwich City
136,Onel,Hernandez,18782,LW,Norwich City,298,6.55,-19.87,2501.0,Norwich City
137,Onel,Hernandez,18782,LW,Norwich City,299,6.55,-19.86,2501.0,Norwich City
138,Onel,Hernandez,18782,LW,Norwich City,300,6.54,-19.83,2501.0,Norwich City
139,Onel,Hernandez,18782,LW,Norwich City,301,6.54,-19.84,2501.0,Norwich City
140,Onel,Hernandez,18782,LW,Norwich City,302,6.54,-19.85,2501.0,Norwich City
141,Onel,Hernandez,18782,LW,Norwich City,303,6.54,-19.88,2501.0,Norwich City
142,Onel,Hernandez,18782,LW,Norwich City,304,6.55,-19.89,2501.0,Norwich City
143,Onel,Hernandez,18782,LW,Norwich City,305,6.54,-19.85,2501.0,Norwich City
144,Onel,Hernandez,18782,LW,Norwich City,306,6.53,-19.84,2501.0,Norwich City
145,Onel,Hernandez,18782,LW,Norwich City,307,6.53,-19.83,2501.0,Norwich City
146,Onel,Hernandez,18782,LW,Norwich City,308,6.52,-19.8,2501.0,Norwich City
147,Onel,Hernandez,18782,LW,Norwich City,309,6.53,-19.81,2501.0,Norwich City
148,Onel,Hernandez,18782,LW,Norwich City,310,6.53,-19.8,2501.0,Norwich City
149,Onel,Hernandez,18782,LW,Norwich City,311,6.53,-19.78,2501.0,Norwich City
150,Onel,Hernandez,18782,LW,Norwich City,312,6.53,-19.79,2501.0,Norwich City
151,Onel,Hernandez,18782,LW,Norwich City,313,6.52,-19.78,2501.0,Norwich City
152,Onel,Hernandez,18782,LW,Norwich City,314,6.52,-19.76,2501.0,Norwich City
153,Onel,Hernandez,18782,LW,Norwich City,315,6.52,-19.77,2501.0,Norwich City
154,Onel,Hernandez,18782,LW,Norwich City,316,6.52,-19.78,2501.0,Norwich City
155,Onel,Hernandez,18782,LW,Norwich City,317,6.53,-19.78,2501.0,Norwich City
156,Onel,Hernandez,18782,LW,Norwich City,318,6.53,-19.78,2501.0,Norwich City
157,Onel,Hernandez,18782,LW,Norwich City,319,6.53,-19.79,2501.0,Norwich City
158,Onel,Hernandez,18782,LW,Norwich City,320,6.52,-19.78,2501.0,Norwich City
159,Onel,Hernandez,18782,LW,Norwich City,321,6.52,-19.79,2501.0,Norwich City
160,Onel,Hernandez,18782,LW,Norwich City,322,6.53,-19.8,2501.0,Norwich City
161,Onel,Hernandez,18782,LW,Norwich City,323,6.53,-19.8,2501.0,Norwich City
162,Onel,Hernandez,18782,LW,Norwich City,324,6.53,-19.8,2501.0,Norwich City
163,Onel,Hernandez,18782,LW,Norwich City,325,6.53,-19.8,2501.0,Norwich City
164,Onel,Hernandez,18782,LW,Norwich City,326,6.53,-19.8,2501.0,Norwich City
165,Onel,Hernandez,18782,LW,Norwich City,327,6.53,-19.81,2501.0,Norwich City
166,Onel,Hernandez,18782,LW,Norwich City,328,6.54,-19.82,2501.0,Norwich City
167,Onel,Hernandez,18782,LW,Norwich City,329,6.53,-19.8,2501.0,Norwich City
168,Onel,Hernandez,18782,LW,Norwich City,330,6.53,-19.8,2501.0,Norwich City
