,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Phil,Foden,11672,RW,Manchester City,261,-17.59,-8.05,,Norwich City
1,Phil,Foden,11672,RW,Manchester City,262,-17.6,-8.07,,Norwich City
2,Phil,Foden,11672,RW,Manchester City,263,-17.63,-8.01,,Norwich City
3,Phil,Foden,11672,RW,Manchester City,264,-17.67,-7.91,,Norwich City
4,Phil,Foden,11672,RW,Manchester City,265,-17.72,-7.78,,Norwich City
5,Phil,Foden,11672,RW,Manchester City,266,-17.75,-7.72,,Norwich City
6,Phil,Foden,11672,RW,Manchester City,267,-17.77,-7.72,,Norwich City
7,Phil,Foden,11672,RW,Manchester City,268,-17.77,-7.81,,Norwich City
8,Phil,Foden,11672,RW,Manchester City,269,-17.76,-7.81,,Norwich City
9,Phil,Foden,11672,RW,Manchester City,270,-17.76,-7.8,,Norwich City
10,Phil,Foden,11672,RW,Manchester City,271,-17.72,-7.95,,Norwich City
11,Phil,Foden,11672,RW,Manchester City,272,-17.69,-8.03,,Norwich City
12,Phil,Foden,11672,RW,Manchester City,273,-17.68,-8.0,,Norwich City
13,Phil,Foden,11672,RW,Manchester City,274,-17.69,-7.95,,Norwich City
14,Phil,Foden,11672,RW,Manchester City,275,-17.7,-7.84,,Norwich City
15,Phil,Foden,11672,RW,Manchester City,276,-17.71,-7.81,,Norwich City
16,Phil,Foden,11672,RW,Manchester City,277,-17.67,-7.96,,Norwich City
17,Phil,Foden,11672,RW,Manchester City,278,-17.65,-8.07,,Norwich City
18,Phil,Foden,11672,RW,Manchester City,279,-17.65,-8.09,,Norwich City
19,Phil,Foden,11672,RW,Manchester City,280,-17.66,-8.16,,Norwich City
20,Phil,Foden,11672,RW,Manchester City,430,-0.58,-9.82,,Norwich City
21,Phil,Foden,11672,RW,Manchester City,431,-0.58,-9.83,2501.0,Norwich City
22,Phil,Foden,11672,RW,Manchester City,432,-0.58,-9.84,2501.0,Norwich City
23,Phil,Foden,11672,RW,Manchester City,433,-0.58,-9.85,2501.0,Norwich City
24,Phil,Foden,11672,RW,Manchester City,434,-0.58,-9.87,2501.0,Norwich City
25,Phil,Foden,11672,RW,Manchester City,435,-0.58,-9.88,2501.0,Norwich City
26,Phil,Foden,11672,RW,Manchester City,436,-0.59,-9.88,2501.0,Norwich City
27,Phil,Foden,11672,RW,Manchester City,437,-0.59,-9.88,2501.0,Norwich City
28,Phil,Foden,11672,RW,Manchester City,438,-0.59,-9.89,2501.0,Norwich City
29,Phil,Foden,11672,RW,Manchester City,439,-0.58,-9.89,2501.0,Norwich City
30,Phil,Foden,11672,RW,Manchester City,440,-0.58,-9.9,2501.0,Norwich City
31,Phil,Foden,11672,RW,Manchester City,853,31.95,-26.35,,Norwich City
32,Phil,Foden,11672,RW,Manchester City,854,31.72,-26.2,,Norwich City
33,Phil,Foden,11672,RW,Manchester City,855,31.48,-26.04,,Norwich City
34,Phil,Foden,11672,RW,Manchester City,856,31.2,-25.88,,Norwich City
35,Phil,Foden,11672,RW,Manchester City,857,30.87,-25.71,,Norwich City
36,Phil,Foden,11672,RW,Manchester City,858,30.6,-25.54,,Norwich City
37,Phil,Foden,11672,RW,Manchester City,859,30.31,-25.39,,Norwich City
38,Phil,Foden,11672,RW,Manchester City,860,29.93,-25.26,,Norwich City
39,Phil,Foden,11672,RW,Manchester City,861,29.53,-25.15,,Norwich City
40,Phil,Foden,11672,RW,Manchester City,862,29.13,-25.08,,Norwich City
41,Phil,Foden,11672,RW,Manchester City,863,28.73,-25.01,,Norwich City
42,Phil,Foden,11672,RW,Manchester City,864,28.38,-24.95,,Norwich City
43,Phil,Foden,11672,RW,Manchester City,865,28.08,-24.9,,Norwich City
44,Phil,Foden,11672,RW,Manchester City,866,27.76,-24.77,,Norwich City
45,Phil,Foden,11672,RW,Manchester City,867,27.42,-24.64,,Norwich City
46,Phil,Foden,11672,RW,Manchester City,868,27.09,-24.51,,Norwich City
47,Phil,Foden,11672,RW,Manchester City,869,26.79,-24.4,,Norwich City
48,Phil,Foden,11672,RW,Manchester City,870,26.48,-24.28,,Norwich City
49,Phil,Foden,11672,RW,Manchester City,871,26.21,-24.22,,Norwich City
50,Phil,Foden,11672,RW,Manchester City,872,25.98,-24.14,,Norwich City
51,Phil,Foden,11672,RW,Manchester City,873,25.74,-24.1,,Norwich City
52,Phil,Foden,11672,RW,Manchester City,874,25.51,-24.08,,Norwich City
53,Phil,Foden,11672,RW,Manchester City,875,25.26,-24.15,,Norwich City
54,Phil,Foden,11672,RW,Manchester City,876,25.01,-24.22,,Norwich City
55,Phil,Foden,11672,RW,Manchester City,877,24.81,-24.34,,Norwich City
56,Phil,Foden,11672,RW,Manchester City,878,24.7,-24.44,,Norwich City
57,Phil,Foden,11672,RW,Manchester City,879,24.74,-24.46,,Norwich City
58,Phil,Foden,11672,RW,Manchester City,880,24.87,-24.43,,Norwich City
59,Phil,Foden,11672,RW,Manchester City,881,25.0,-24.42,,Norwich City
60,Phil,Foden,11672,RW,Manchester City,882,25.1,-24.45,,Norwich City
61,Phil,Foden,11672,RW,Manchester City,883,25.18,-24.46,,Norwich City
62,Phil,Foden,11672,RW,Manchester City,884,25.27,-24.47,,Norwich City
63,Phil,Foden,11672,RW,Manchester City,885,25.39,-24.46,,Norwich City
64,Phil,Foden,11672,RW,Manchester City,886,25.51,-24.45,,Norwich City
65,Phil,Foden,11672,RW,Manchester City,887,25.6,-24.44,,Norwich City
66,Phil,Foden,11672,RW,Manchester City,888,25.64,-24.41,,Norwich City
67,Phil,Foden,11672,RW,Manchester City,889,25.66,-24.32,,Norwich City
68,Phil,Foden,11672,RW,Manchester City,890,25.65,-24.23,,Norwich City
69,Phil,Foden,11672,RW,Manchester City,891,25.64,-24.19,,Norwich City
70,Phil,Foden,11672,RW,Manchester City,892,25.63,-24.12,,Norwich City
71,Phil,Foden,11672,RW,Manchester City,893,25.59,-23.99,,Norwich City
72,Phil,Foden,11672,RW,Manchester City,894,25.46,-23.82,,Norwich City
73,Phil,Foden,11672,RW,Manchester City,895,25.22,-23.63,,Norwich City
74,Phil,Foden,11672,RW,Manchester City,896,24.95,-23.41,,Norwich City
75,Phil,Foden,11672,RW,Manchester City,897,24.63,-23.28,,Norwich City
76,Phil,Foden,11672,RW,Manchester City,898,24.34,-23.07,,Norwich City
77,Phil,Foden,11672,RW,Manchester City,899,24.03,-22.87,,Norwich City
78,Phil,Foden,11672,RW,Manchester City,900,23.8,-22.55,,Norwich City
79,Phil,Foden,11672,RW,Manchester City,901,23.62,-22.15,,Norwich City
80,Phil,Foden,11672,RW,Manchester City,902,23.46,-21.69,,Norwich City
81,Phil,Foden,11672,RW,Manchester City,918,17.28,-18.72,9202.0,Manchester City
82,Phil,Foden,11672,RW,Manchester City,919,16.89,-18.68,9202.0,Manchester City
83,Phil,Foden,11672,RW,Manchester City,920,16.51,-18.57,9202.0,Manchester City
84,Phil,Foden,11672,RW,Manchester City,921,16.13,-18.39,9202.0,Manchester City
85,Phil,Foden,11672,RW,Manchester City,922,15.73,-18.13,9202.0,Manchester City
86,Phil,Foden,11672,RW,Manchester City,923,15.4,-17.8,9202.0,Manchester City
87,Phil,Foden,11672,RW,Manchester City,924,15.08,-17.48,,Manchester City
