,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Achraf,Hakimi,11559,RW,Borussia Dortmund,64,-7.26274401801,-5.96454026586,,FC Bayern Munchen
1,Achraf,Hakimi,11559,RW,Borussia Dortmund,65,-7.23730829784,-5.97164372035,,FC Bayern Munchen
2,Achraf,Hakimi,11559,RW,Borussia Dortmund,66,-7.2150147983,-5.97379749162,,FC Bayern Munchen
3,Achraf,Hakimi,11559,RW,Borussia Dortmund,67,-7.1958635194,-5.97100157965,,FC Bayern Munchen
4,Achraf,Hakimi,11559,RW,Borussia Dortmund,68,-7.18301600502,-5.94507526216,,FC Bayern Munchen
5,Achraf,Hakimi,11559,RW,Borussia Dortmund,69,-7.16592518489,-5.9492086683,,FC Bayern Munchen
6,Achraf,Hakimi,11559,RW,Borussia Dortmund,70,-7.1501139005,-5.95819854736,,FC Bayern Munchen
7,Achraf,Hakimi,11559,RW,Borussia Dortmund,71,-7.1449300221,-5.95734108062,,FC Bayern Munchen
8,Achraf,Hakimi,11559,RW,Borussia Dortmund,72,-7.15253725506,-5.94180150259,,FC Bayern Munchen
9,Achraf,Hakimi,11559,RW,Borussia Dortmund,73,-7.16508576983,-5.91619491577,,FC Bayern Munchen
10,Achraf,Hakimi,11559,RW,Borussia Dortmund,74,-7.18458087104,-5.87825534457,,FC Bayern Munchen
11,Achraf,Hakimi,11559,RW,Borussia Dortmund,75,-7.20174843924,-5.86630124138,,FC Bayern Munchen
12,Achraf,Hakimi,11559,RW,Borussia Dortmund,76,-7.21126279377,-5.87706774757,,FC Bayern Munchen
13,Achraf,Hakimi,11559,RW,Borussia Dortmund,77,-7.21950104123,-5.90033344995,,FC Bayern Munchen
14,Achraf,Hakimi,11559,RW,Borussia Dortmund,78,-7.22478040059,-5.92308257875,,FC Bayern Munchen
15,Achraf,Hakimi,11559,RW,Borussia Dortmund,79,-7.2233918962,-5.92088147572,,FC Bayern Munchen
16,Achraf,Hakimi,11559,RW,Borussia Dortmund,80,-7.21967865172,-5.91724920273,,FC Bayern Munchen
17,Achraf,Hakimi,11559,RW,Borussia Dortmund,81,-7.21777643476,-5.92030468441,,FC Bayern Munchen
18,Achraf,Hakimi,11559,RW,Borussia Dortmund,82,-7.21204503377,-5.92466838019,,FC Bayern Munchen
19,Achraf,Hakimi,11559,RW,Borussia Dortmund,83,-7.20679337638,-5.93014072237,,FC Bayern Munchen
20,Achraf,Hakimi,11559,RW,Borussia Dortmund,84,-7.20293442408,-5.92359084175,,FC Bayern Munchen
21,Achraf,Hakimi,11559,RW,Borussia Dortmund,85,-7.19062523615,-5.90418368294,,FC Bayern Munchen
22,Achraf,Hakimi,11559,RW,Borussia Dortmund,86,-7.18575150626,-5.89275582631,,FC Bayern Munchen
23,Achraf,Hakimi,11559,RW,Borussia Dortmund,87,-7.18295292627,-5.88680383137,,FC Bayern Munchen
24,Achraf,Hakimi,11559,RW,Borussia Dortmund,88,-7.17589233035,-5.88880082539,,FC Bayern Munchen
25,Achraf,Hakimi,11559,RW,Borussia Dortmund,89,-7.18048238754,-5.90221743357,,FC Bayern Munchen
26,Achraf,Hakimi,11559,RW,Borussia Dortmund,90,-7.18578145618,-5.90753621147,,FC Bayern Munchen
27,Achraf,Hakimi,11559,RW,Borussia Dortmund,91,-7.18869018555,-5.92074821109,,FC Bayern Munchen
28,Achraf,Hakimi,11559,RW,Borussia Dortmund,92,-7.19871402922,-5.93040813719,,FC Bayern Munchen
29,Achraf,Hakimi,11559,RW,Borussia Dortmund,93,-7.2032918703,-5.93333019529,,FC Bayern Munchen
30,Achraf,Hakimi,11559,RW,Borussia Dortmund,94,-7.20132117044,-5.92544487544,,FC Bayern Munchen
31,Achraf,Hakimi,11559,RW,Borussia Dortmund,95,-7.20894452504,-5.91227045513,,FC Bayern Munchen
32,Achraf,Hakimi,11559,RW,Borussia Dortmund,96,-7.21062592098,-5.89614613851,,FC Bayern Munchen
33,Achraf,Hakimi,11559,RW,Borussia Dortmund,97,-7.21296882629,-5.89315173739,,FC Bayern Munchen
34,Achraf,Hakimi,11559,RW,Borussia Dortmund,98,-7.21503432592,-5.89878988266,,FC Bayern Munchen
35,Achraf,Hakimi,11559,RW,Borussia Dortmund,99,-7.21248540424,-5.91089330401,,FC Bayern Munchen
36,Achraf,Hakimi,11559,RW,Borussia Dortmund,100,-7.21137675785,-5.91898865927,,FC Bayern Munchen
37,Achraf,Hakimi,11559,RW,Borussia Dortmund,101,-7.21484186536,-5.92392017728,,FC Bayern Munchen
38,Achraf,Hakimi,11559,RW,Borussia Dortmund,102,-7.21245075407,-5.92330101558,,FC Bayern Munchen
39,Achraf,Hakimi,11559,RW,Borussia Dortmund,103,-7.21454606737,-5.93079903012,,FC Bayern Munchen
40,Achraf,Hakimi,11559,RW,Borussia Dortmund,104,-7.2122498921,-5.93878046672,,FC Bayern Munchen
41,Achraf,Hakimi,11559,RW,Borussia Dortmund,105,-7.20958403179,-5.94507823672,,FC Bayern Munchen
42,Achraf,Hakimi,11559,RW,Borussia Dortmund,106,-7.20815958296,-5.95721796581,,FC Bayern Munchen
43,Achraf,Hakimi,11559,RW,Borussia Dortmund,107,-7.21135443733,-5.96257023584,,FC Bayern Munchen
44,Achraf,Hakimi,11559,RW,Borussia Dortmund,108,-7.20939465931,-5.96285011655,,FC Bayern Munchen
45,Achraf,Hakimi,11559,RW,Borussia Dortmund,109,-7.21146881013,-5.97108359564,,FC Bayern Munchen
46,Achraf,Hakimi,11559,RW,Borussia Dortmund,110,-7.20845172519,-5.96803183783,,FC Bayern Munchen
47,Achraf,Hakimi,11559,RW,Borussia Dortmund,111,-7.21056992667,-5.96123225348,,FC Bayern Munchen
48,Achraf,Hakimi,11559,RW,Borussia Dortmund,112,-7.20842281977,-5.95871357691,,FC Bayern Munchen
49,Achraf,Hakimi,11559,RW,Borussia Dortmund,113,-7.21097022011,-5.9563421976,,FC Bayern Munchen
50,Achraf,Hakimi,11559,RW,Borussia Dortmund,114,-7.21230084555,-5.95490364801,,FC Bayern Munchen
51,Achraf,Hakimi,11559,RW,Borussia Dortmund,115,-7.21633600053,-5.96718722298,,FC Bayern Munchen
52,Achraf,Hakimi,11559,RW,Borussia Dortmund,116,-7.21845043273,-5.96797323227,,FC Bayern Munchen
53,Achraf,Hakimi,11559,RW,Borussia Dortmund,117,-7.22047213146,-5.96420453844,,FC Bayern Munchen
