,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Giovanni,Reyna,25541,CF,Borussia Dortmund,53615,-23.1793798265,0.62260999566,,FC Bayern Munchen
1,Giovanni,Reyna,25541,CF,Borussia Dortmund,53616,-23.0432135718,1.06362114634,,FC Bayern Munchen
2,Giovanni,Reyna,25541,CF,Borussia Dortmund,53617,-22.8811757224,1.50557449886,,FC Bayern Munchen
3,Giovanni,Reyna,25541,CF,Borussia Dortmund,53618,-22.6932662782,1.94847005322,,FC Bayern Munchen
4,Giovanni,Reyna,25541,CF,Borussia Dortmund,53619,-22.4506105695,2.39105675334,,FC Bayern Munchen
5,Giovanni,Reyna,25541,CF,Borussia Dortmund,53620,-22.2389909653,2.88998007207,,FC Bayern Munchen
6,Giovanni,Reyna,25541,CF,Borussia Dortmund,53621,-22.0780746823,3.43051875205,,FC Bayern Munchen
7,Giovanni,Reyna,25541,CF,Borussia Dortmund,53622,-21.8540520441,3.82404968852,,FC Bayern Munchen
8,Giovanni,Reyna,25541,CF,Borussia Dortmund,53623,-21.6260759263,4.1712366967,,FC Bayern Munchen
9,Giovanni,Reyna,25541,CF,Borussia Dortmund,53624,-21.4648782639,4.71095673243,,FC Bayern Munchen
10,Giovanni,Reyna,25541,CF,Borussia Dortmund,53625,-21.3084462484,5.2205258097,,FC Bayern Munchen
11,Giovanni,Reyna,25541,CF,Borussia Dortmund,53626,-21.1063779195,5.70839041755,,FC Bayern Munchen
12,Giovanni,Reyna,25541,CF,Borussia Dortmund,53627,-20.9641254062,6.21710320881,,FC Bayern Munchen
13,Giovanni,Reyna,25541,CF,Borussia Dortmund,53628,-20.8283703214,6.85384205409,,FC Bayern Munchen
14,Giovanni,Reyna,25541,CF,Borussia Dortmund,53629,-20.6338471004,7.32264441536,,FC Bayern Munchen
15,Giovanni,Reyna,25541,CF,Borussia Dortmund,53630,-20.4317411695,7.81608629227,,FC Bayern Munchen
16,Giovanni,Reyna,25541,CF,Borussia Dortmund,53631,-20.2742013477,8.37538714636,,FC Bayern Munchen
17,Giovanni,Reyna,25541,CF,Borussia Dortmund,53632,-20.06125105,8.88104770297,,FC Bayern Munchen
18,Giovanni,Reyna,25541,CF,Borussia Dortmund,53633,-19.8708562397,9.33665552593,,FC Bayern Munchen
19,Giovanni,Reyna,25541,CF,Borussia Dortmund,53634,-19.7763284956,10.1935888018,,FC Bayern Munchen
20,Giovanni,Reyna,25541,CF,Borussia Dortmund,53635,-19.6806209201,10.7996159054,18099.0,FC Bayern Munchen
21,Giovanni,Reyna,25541,CF,Borussia Dortmund,53636,-19.4899792444,11.1768382844,18099.0,FC Bayern Munchen
22,Giovanni,Reyna,25541,CF,Borussia Dortmund,53637,-19.2694141751,11.3814845766,18099.0,FC Bayern Munchen
23,Giovanni,Reyna,25541,CF,Borussia Dortmund,53638,-19.0061283112,11.4931237357,18099.0,FC Bayern Munchen
24,Giovanni,Reyna,25541,CF,Borussia Dortmund,53639,-18.7970639183,11.7208876383,,FC Bayern Munchen
25,Giovanni,Reyna,25541,CF,Borussia Dortmund,53640,-18.6400735038,12.2677871613,,FC Bayern Munchen
26,Giovanni,Reyna,25541,CF,Borussia Dortmund,53641,-18.4682886941,12.5479542868,,FC Bayern Munchen
27,Giovanni,Reyna,25541,CF,Borussia Dortmund,53642,-18.2838348207,12.8652062189,,FC Bayern Munchen
28,Giovanni,Reyna,25541,CF,Borussia Dortmund,53643,-18.1373390924,13.2229541597,,FC Bayern Munchen
29,Giovanni,Reyna,25541,CF,Borussia Dortmund,53644,-17.9432393937,13.4832920801,,FC Bayern Munchen
30,Giovanni,Reyna,25541,CF,Borussia Dortmund,53645,-17.7778048742,13.7634231477,,FC Bayern Munchen
31,Giovanni,Reyna,25541,CF,Borussia Dortmund,53646,-17.6036468688,14.0844894591,,FC Bayern Munchen
32,Giovanni,Reyna,25541,CF,Borussia Dortmund,53647,-17.4182520367,14.2923940023,,FC Bayern Munchen
33,Giovanni,Reyna,25541,CF,Borussia Dortmund,53648,-17.2487808409,14.5128286907,,FC Bayern Munchen
34,Giovanni,Reyna,25541,CF,Borussia Dortmund,53649,-17.1679766519,14.8658473605,,FC Bayern Munchen
35,Giovanni,Reyna,25541,CF,Borussia Dortmund,53650,-17.0760293688,15.1167495364,,FC Bayern Munchen
36,Giovanni,Reyna,25541,CF,Borussia Dortmund,53651,-17.0414205279,15.4660880679,,FC Bayern Munchen
37,Giovanni,Reyna,25541,CF,Borussia Dortmund,53652,-17.0260805402,15.7685852505,,FC Bayern Munchen
38,Giovanni,Reyna,25541,CF,Borussia Dortmund,53653,-17.0576688676,16.1056219737,2405.0,FC Bayern Munchen
39,Giovanni,Reyna,25541,CF,Borussia Dortmund,53654,-17.1341875167,16.4951874415,2405.0,FC Bayern Munchen
40,Giovanni,Reyna,25541,CF,Borussia Dortmund,53655,-17.2309504009,16.8809328533,2405.0,FC Bayern Munchen
41,Giovanni,Reyna,25541,CF,Borussia Dortmund,53656,-17.3120008196,17.1476347787,2405.0,FC Bayern Munchen
42,Giovanni,Reyna,25541,CF,Borussia Dortmund,53657,-17.3909233638,17.4032450176,2405.0,FC Bayern Munchen
43,Giovanni,Reyna,25541,CF,Borussia Dortmund,53658,-17.4977911995,17.6125556401,2405.0,FC Bayern Munchen
44,Giovanni,Reyna,25541,CF,Borussia Dortmund,53659,-17.608879816,17.7777909778,2405.0,FC Bayern Munchen
45,Giovanni,Reyna,25541,CF,Borussia Dortmund,53660,-17.8155010768,18.1036186218,2405.0,FC Bayern Munchen
46,Giovanni,Reyna,25541,CF,Borussia Dortmund,53661,-18.0222591218,18.4174801054,2405.0,FC Bayern Munchen
47,Giovanni,Reyna,25541,CF,Borussia Dortmund,53662,-18.2258256276,18.6377147493,2405.0,FC Bayern Munchen
48,Giovanni,Reyna,25541,CF,Borussia Dortmund,53663,-18.3801037925,18.7020765032,2405.0,FC Bayern Munchen
49,Giovanni,Reyna,25541,CF,Borussia Dortmund,53664,-18.569508053,18.7822984968,2405.0,FC Bayern Munchen
