,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Aymeric,Laporte,1152,LCB,Manchester City,4,9.39,-3.41,,Manchester City
1,Aymeric,Laporte,1152,LCB,Manchester City,5,9.43,-3.51,,Manchester City
2,Aymeric,Laporte,1152,LCB,Manchester City,6,9.49,-3.59,,Manchester City
3,Aymeric,Laporte,1152,LCB,Manchester City,7,9.55,-3.63,,Manchester City
4,Aymeric,Laporte,1152,LCB,Manchester City,8,9.63,-3.62,,Manchester City
5,Aymeric,Laporte,1152,LCB,Manchester City,9,9.71,-3.61,,Manchester City
6,Aymeric,Laporte,1152,LCB,Manchester City,10,9.78,-3.65,,Manchester City
7,Aymeric,Laporte,1152,LCB,Manchester City,11,9.85,-3.73,,Manchester City
8,Aymeric,Laporte,1152,LCB,Manchester City,12,9.92,-3.78,,Manchester City
9,Aymeric,Laporte,1152,LCB,Manchester City,13,9.99,-3.82,,Manchester City
10,Aymeric,Laporte,1152,LCB,Manchester City,14,10.08,-3.84,,Manchester City
11,Aymeric,Laporte,1152,LCB,Manchester City,15,10.18,-3.88,,Manchester City
12,Aymeric,Laporte,1152,LCB,Manchester City,16,10.27,-3.91,,Manchester City
13,Aymeric,Laporte,1152,LCB,Manchester City,17,10.37,-3.92,,Manchester City
14,Aymeric,Laporte,1152,LCB,Manchester City,18,10.51,-3.83,,Manchester City
15,Aymeric,Laporte,1152,LCB,Manchester City,19,10.67,-3.72,,Manchester City
16,Aymeric,Laporte,1152,LCB,Manchester City,20,10.85,-3.65,,Manchester City
17,Aymeric,Laporte,1152,LCB,Manchester City,21,11.01,-3.64,,Manchester City
18,Aymeric,Laporte,1152,LCB,Manchester City,22,11.18,-3.65,,Manchester City
19,Aymeric,Laporte,1152,LCB,Manchester City,23,11.36,-3.57,,Manchester City
20,Aymeric,Laporte,1152,LCB,Manchester City,24,11.59,-3.52,,Manchester City
21,Aymeric,Laporte,1152,LCB,Manchester City,25,11.78,-3.58,,Manchester City
22,Aymeric,Laporte,1152,LCB,Manchester City,26,11.97,-3.63,,Manchester City
23,Aymeric,Laporte,1152,LCB,Manchester City,27,12.12,-3.83,,Manchester City
24,Aymeric,Laporte,1152,LCB,Manchester City,28,12.38,-3.72,,Manchester City
