,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Benjamin,Mendy,1302,LWB,Manchester City,2,9.43,-1.53,,Manchester City
1,Benjamin,Mendy,1302,LWB,Manchester City,3,9.26,-2.0,,Manchester City
2,Benjamin,Mendy,1302,LWB,Manchester City,4,9.13,-2.32,,Manchester City
3,Benjamin,Mendy,1302,LWB,Manchester City,5,9.03,-2.5,,Manchester City
4,Benjamin,Mendy,1302,LWB,Manchester City,6,8.99,-2.48,,Manchester City
5,Benjamin,Mendy,1302,LWB,Manchester City,7,8.98,-2.39,,Manchester City
6,Benjamin,Mendy,1302,LWB,Manchester City,8,8.95,-2.3,,Manchester City
7,Benjamin,Mendy,1302,LWB,Manchester City,9,8.93,-2.35,,Manchester City
8,Benjamin,Mendy,1302,LWB,Manchester City,10,8.89,-2.52,,Manchester City
9,Benjamin,Mendy,1302,LWB,Manchester City,11,8.88,-2.68,,Manchester City
10,Benjamin,Mendy,1302,LWB,Manchester City,12,8.85,-2.83,,Manchester City
11,Benjamin,Mendy,1302,LWB,Manchester City,13,8.82,-2.91,,Manchester City
12,Benjamin,Mendy,1302,LWB,Manchester City,14,8.8,-2.92,,Manchester City
13,Benjamin,Mendy,1302,LWB,Manchester City,15,8.8,-2.95,,Manchester City
14,Benjamin,Mendy,1302,LWB,Manchester City,16,8.79,-3.05,,Manchester City
15,Benjamin,Mendy,1302,LWB,Manchester City,17,8.79,-3.17,,Manchester City
16,Benjamin,Mendy,1302,LWB,Manchester City,18,8.8,-3.35,,Manchester City
17,Benjamin,Mendy,1302,LWB,Manchester City,19,8.81,-3.47,,Manchester City
18,Benjamin,Mendy,1302,LWB,Manchester City,20,8.83,-3.5,,Manchester City
19,Benjamin,Mendy,1302,LWB,Manchester City,21,8.87,-3.47,,Manchester City
20,Benjamin,Mendy,1302,LWB,Manchester City,22,8.89,-3.5,,Manchester City
21,Benjamin,Mendy,1302,LWB,Manchester City,23,8.89,-3.58,,Manchester City
22,Benjamin,Mendy,1302,LWB,Manchester City,24,8.88,-3.7,,Manchester City
23,Benjamin,Mendy,1302,LWB,Manchester City,25,8.86,-3.85,,Manchester City
24,Benjamin,Mendy,1302,LWB,Manchester City,26,8.84,-3.93,,Manchester City
25,Benjamin,Mendy,1302,LWB,Manchester City,27,8.84,-3.9,,Manchester City
26,Benjamin,Mendy,1302,LWB,Manchester City,28,8.85,-3.86,,Manchester City
27,Benjamin,Mendy,1302,LWB,Manchester City,29,8.86,-3.86,,Manchester City
28,Benjamin,Mendy,1302,LWB,Manchester City,30,8.88,-3.94,,Manchester City
29,Benjamin,Mendy,1302,LWB,Manchester City,31,8.88,-4.14,,Manchester City
30,Benjamin,Mendy,1302,LWB,Manchester City,32,8.88,-4.33,,Manchester City
31,Benjamin,Mendy,1302,LWB,Manchester City,33,8.9,-4.44,,Manchester City
32,Benjamin,Mendy,1302,LWB,Manchester City,34,8.93,-4.55,,Manchester City
33,Benjamin,Mendy,1302,LWB,Manchester City,35,8.98,-4.65,,Manchester City
