,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Daniel,Burn,2194,RW,Brighton and Hove Albion,58511,18.83,-5.64,11672.0,Manchester City
1,Daniel,Burn,2194,RW,Brighton and Hove Albion,58512,19.3,-5.55,11672.0,Manchester City
2,Daniel,Burn,2194,RW,Brighton and Hove Albion,58513,19.81,-5.27,11672.0,Manchester City
3,Daniel,Burn,2194,RW,Brighton and Hove Albion,58514,20.35,-4.96,11672.0,Manchester City
4,Daniel,Burn,2194,RW,Brighton and Hove Albion,58515,20.88,-4.81,,Manchester City
5,Daniel,Burn,2194,RW,Brighton and Hove Albion,58516,21.36,-4.76,,Manchester City
6,Daniel,Burn,2194,RW,Brighton and Hove Albion,58517,21.84,-4.57,,Manchester City
7,Daniel,Burn,2194,RW,Brighton and Hove Albion,58518,22.37,-4.42,,Manchester City
8,Daniel,Burn,2194,RW,Brighton and Hove Albion,58519,22.95,-4.29,,Manchester City
9,Daniel,Burn,2194,RW,Brighton and Hove Albion,58520,23.35,-4.02,,Manchester City
10,Daniel,Burn,2194,RW,Brighton and Hove Albion,58521,23.63,-3.77,,Manchester City
11,Daniel,Burn,2194,RW,Brighton and Hove Albion,58522,23.9,-3.62,,Manchester City
12,Daniel,Burn,2194,RW,Brighton and Hove Albion,58523,24.26,-3.26,,Manchester City
13,Daniel,Burn,2194,RW,Brighton and Hove Albion,58524,24.8,-2.89,,Manchester City
14,Daniel,Burn,2194,RW,Brighton and Hove Albion,58525,25.52,-2.66,,Manchester City
15,Daniel,Burn,2194,RW,Brighton and Hove Albion,58526,26.08,-2.51,,Manchester City
16,Daniel,Burn,2194,RW,Brighton and Hove Albion,58527,26.57,-2.38,,Manchester City
17,Daniel,Burn,2194,RW,Brighton and Hove Albion,58528,27.06,-2.2,,Manchester City
18,Daniel,Burn,2194,RW,Brighton and Hove Albion,58529,27.51,-1.99,,Manchester City
19,Daniel,Burn,2194,RW,Brighton and Hove Albion,58530,27.91,-1.86,,Manchester City
20,Daniel,Burn,2194,RW,Brighton and Hove Albion,58531,28.33,-1.65,,Manchester City
21,Daniel,Burn,2194,RW,Brighton and Hove Albion,58532,28.73,-1.55,,Manchester City
22,Daniel,Burn,2194,RW,Brighton and Hove Albion,58533,29.11,-1.46,,Manchester City
23,Daniel,Burn,2194,RW,Brighton and Hove Albion,58534,29.52,-1.23,,Manchester City
24,Daniel,Burn,2194,RW,Brighton and Hove Albion,58535,29.95,-1.01,,Manchester City
25,Daniel,Burn,2194,RW,Brighton and Hove Albion,58536,30.37,-0.88,,Manchester City
26,Daniel,Burn,2194,RW,Brighton and Hove Albion,58537,30.81,-0.63,,Manchester City
27,Daniel,Burn,2194,RW,Brighton and Hove Albion,58538,31.26,-0.41,,Manchester City
28,Daniel,Burn,2194,RW,Brighton and Hove Albion,58539,31.71,-0.35,,Manchester City
29,Daniel,Burn,2194,RW,Brighton and Hove Albion,58540,32.15,-0.33,,Manchester City
30,Daniel,Burn,2194,RW,Brighton and Hove Albion,58541,32.63,-0.29,,Manchester City
31,Daniel,Burn,2194,RW,Brighton and Hove Albion,58542,33.13,-0.26,,Manchester City
32,Daniel,Burn,2194,RW,Brighton and Hove Albion,58543,33.6,-0.27,,Manchester City
33,Daniel,Burn,2194,RW,Brighton and Hove Albion,58544,34.09,-0.22,,Manchester City
34,Daniel,Burn,2194,RW,Brighton and Hove Albion,58545,34.57,-0.19,,Manchester City
35,Daniel,Burn,2194,RW,Brighton and Hove Albion,58546,35.06,-0.19,,Manchester City
36,Daniel,Burn,2194,RW,Brighton and Hove Albion,58547,35.51,-0.23,,Manchester City
37,Daniel,Burn,2194,RW,Brighton and Hove Albion,58548,36.01,-0.19,11671.0,Manchester City
38,Daniel,Burn,2194,RW,Brighton and Hove Albion,58549,36.5,-0.22,11671.0,Manchester City
39,Daniel,Burn,2194,RW,Brighton and Hove Albion,58550,36.92,-0.31,11671.0,Manchester City
40,Daniel,Burn,2194,RW,Brighton and Hove Albion,58551,37.32,-0.3,11671.0,Manchester City
41,Daniel,Burn,2194,RW,Brighton and Hove Albion,58552,37.74,-0.24,,Manchester City
42,Daniel,Burn,2194,RW,Brighton and Hove Albion,58553,38.07,-0.25,,Manchester City
43,Daniel,Burn,2194,RW,Brighton and Hove Albion,58554,38.45,-0.04,,Manchester City
44,Daniel,Burn,2194,RW,Brighton and Hove Albion,58555,38.8,0.13,,Manchester City
45,Daniel,Burn,2194,RW,Brighton and Hove Albion,58556,39.12,0.18,,Manchester City
46,Daniel,Burn,2194,RW,Brighton and Hove Albion,58557,39.36,0.22,,Manchester City
47,Daniel,Burn,2194,RW,Brighton and Hove Albion,58558,39.57,0.22,,Manchester City
48,Daniel,Burn,2194,RW,Brighton and Hove Albion,58559,39.68,0.15,,Manchester City
49,Daniel,Burn,2194,RW,Brighton and Hove Albion,58560,39.79,0.04,,Manchester City
50,Daniel,Burn,2194,RW,Brighton and Hove Albion,58561,39.85,-0.23,,Manchester City
51,Daniel,Burn,2194,RW,Brighton and Hove Albion,58562,39.91,-0.6,,Manchester City
52,Daniel,Burn,2194,RW,Brighton and Hove Albion,58563,39.9,-0.96,,Manchester City
53,Daniel,Burn,2194,RW,Brighton and Hove Albion,58564,39.9,-1.17,,Manchester City
54,Daniel,Burn,2194,RW,Brighton and Hove Albion,58565,39.88,-1.22,,Manchester City
55,Daniel,Burn,2194,RW,Brighton and Hove Albion,58566,39.86,-1.26,,Manchester City
56,Daniel,Burn,2194,RW,Brighton and Hove Albion,58567,39.82,-1.28,,Manchester City
57,Daniel,Burn,2194,RW,Brighton and Hove Albion,58568,39.73,-1.41,,Manchester City
58,Daniel,Burn,2194,RW,Brighton and Hove Albion,58569,39.6,-1.51,,Manchester City
59,Daniel,Burn,2194,RW,Brighton and Hove Albion,58570,39.44,-1.51,2501.0,Manchester City
60,Daniel,Burn,2194,RW,Brighton and Hove Albion,58571,39.26,-1.42,2501.0,Manchester City
61,Daniel,Burn,2194,RW,Brighton and Hove Albion,58572,39.11,-1.36,2501.0,Manchester City
62,Daniel,Burn,2194,RW,Brighton and Hove Albion,58573,39.02,-1.26,2501.0,Manchester City
63,Daniel,Burn,2194,RW,Brighton and Hove Albion,58574,38.98,-1.11,2501.0,Manchester City
64,Daniel,Burn,2194,RW,Brighton and Hove Albion,58575,38.94,-0.99,2501.0,Manchester City
65,Daniel,Burn,2194,RW,Brighton and Hove Albion,58576,38.83,-0.86,2501.0,Manchester City
66,Daniel,Burn,2194,RW,Brighton and Hove Albion,58577,38.7,-0.81,2501.0,Manchester City
67,Daniel,Burn,2194,RW,Brighton and Hove Albion,58578,38.6,-0.8,2501.0,Manchester City
68,Daniel,Burn,2194,RW,Brighton and Hove Albion,58579,38.54,-0.77,2501.0,Manchester City
69,Daniel,Burn,2194,RW,Brighton and Hove Albion,58580,38.53,-0.64,2501.0,Manchester City
70,Daniel,Burn,2194,RW,Brighton and Hove Albion,58581,38.47,-0.53,2501.0,Manchester City
71,Daniel,Burn,2194,RW,Brighton and Hove Albion,58582,38.41,-0.47,2501.0,Manchester City
72,Daniel,Burn,2194,RW,Brighton and Hove Albion,58583,38.33,-0.44,2501.0,Manchester City
73,Daniel,Burn,2194,RW,Brighton and Hove Albion,58584,38.29,-0.41,2501.0,Manchester City
74,Daniel,Burn,2194,RW,Brighton and Hove Albion,58585,38.23,-0.41,2501.0,Manchester City
75,Daniel,Burn,2194,RW,Brighton and Hove Albion,58586,38.12,-0.44,,Manchester City
76,Daniel,Burn,2194,RW,Brighton and Hove Albion,58587,37.99,-0.51,,Manchester City
77,Daniel,Burn,2194,RW,Brighton and Hove Albion,58588,37.86,-0.59,,Manchester City
78,Daniel,Burn,2194,RW,Brighton and Hove Albion,58589,37.72,-0.6,,Manchester City
79,Daniel,Burn,2194,RW,Brighton and Hove Albion,58590,37.59,-0.58,,Manchester City
80,Daniel,Burn,2194,RW,Brighton and Hove Albion,58591,37.44,-0.59,,Manchester City
81,Daniel,Burn,2194,RW,Brighton and Hove Albion,58592,37.24,-0.7,,Manchester City
82,Daniel,Burn,2194,RW,Brighton and Hove Albion,58593,37.03,-0.84,3397.0,Manchester City
83,Daniel,Burn,2194,RW,Brighton and Hove Albion,58594,36.85,-0.96,3397.0,Manchester City
84,Daniel,Burn,2194,RW,Brighton and Hove Albion,58595,36.64,-1.06,3397.0,Manchester City
85,Daniel,Burn,2194,RW,Brighton and Hove Albion,58596,36.42,-1.15,3397.0,Manchester City
86,Daniel,Burn,2194,RW,Brighton and Hove Albion,58597,36.19,-1.3,3397.0,Manchester City
87,Daniel,Burn,2194,RW,Brighton and Hove Albion,58598,35.99,-1.46,3397.0,Manchester City
88,Daniel,Burn,2194,RW,Brighton and Hove Albion,58599,35.85,-1.55,3397.0,Manchester City
89,Daniel,Burn,2194,RW,Brighton and Hove Albion,58600,35.72,-1.65,3397.0,Manchester City
90,Daniel,Burn,2194,RW,Brighton and Hove Albion,58601,35.56,-1.83,3397.0,Manchester City
91,Daniel,Burn,2194,RW,Brighton and Hove Albion,58602,35.4,-2.08,3397.0,Manchester City
92,Daniel,Burn,2194,RW,Brighton and Hove Albion,58603,35.26,-2.36,3397.0,Manchester City
93,Daniel,Burn,2194,RW,Brighton and Hove Albion,58604,35.22,-2.53,3397.0,Manchester City
94,Daniel,Burn,2194,RW,Brighton and Hove Albion,58605,35.21,-2.73,3397.0,Manchester City
95,Daniel,Burn,2194,RW,Brighton and Hove Albion,58606,35.15,-2.98,3397.0,Manchester City
96,Daniel,Burn,2194,RW,Brighton and Hove Albion,58607,35.08,-3.28,3397.0,Manchester City
97,Daniel,Burn,2194,RW,Brighton and Hove Albion,58608,35.03,-3.55,,Manchester City
98,Daniel,Burn,2194,RW,Brighton and Hove Albion,58609,34.97,-3.84,,Manchester City
99,Daniel,Burn,2194,RW,Brighton and Hove Albion,58610,34.92,-4.09,,Manchester City
100,Daniel,Burn,2194,RW,Brighton and Hove Albion,58611,34.88,-4.33,,Manchester City
101,Daniel,Burn,2194,RW,Brighton and Hove Albion,58612,34.85,-4.57,,Manchester City
102,Daniel,Burn,2194,RW,Brighton and Hove Albion,58613,34.84,-4.81,,Manchester City
103,Daniel,Burn,2194,RW,Brighton and Hove Albion,58614,34.83,-5.04,1336.0,Manchester City
104,Daniel,Burn,2194,RW,Brighton and Hove Albion,58615,34.84,-5.22,1336.0,Manchester City
105,Daniel,Burn,2194,RW,Brighton and Hove Albion,58616,34.85,-5.37,1336.0,Manchester City
