,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,David,Silva,2501,RM,Manchester City,49221,-26.41,-0.57,,Manchester City
1,David,Silva,2501,RM,Manchester City,49222,-26.4,-0.65,,Manchester City
2,David,Silva,2501,RM,Manchester City,49223,-26.37,-0.77,,Manchester City
3,David,Silva,2501,RM,Manchester City,49224,-26.41,-0.81,,Manchester City
4,David,Silva,2501,RM,Manchester City,49225,-26.39,-0.96,,Manchester City
5,David,Silva,2501,RM,Manchester City,49226,-26.34,-1.1,,Manchester City
6,David,Silva,2501,RM,Manchester City,49227,-26.27,-1.17,,Manchester City
7,David,Silva,2501,RM,Manchester City,49228,-26.15,-1.18,,Manchester City
8,David,Silva,2501,RM,Manchester City,49229,-26.03,-1.18,,Manchester City
9,David,Silva,2501,RM,Manchester City,49230,-25.98,-1.02,,Manchester City
10,David,Silva,2501,RM,Manchester City,49231,-25.93,-0.9,,Manchester City
11,David,Silva,2501,RM,Manchester City,49232,-25.91,-0.76,,Manchester City
12,David,Silva,2501,RM,Manchester City,49233,-25.89,-0.69,,Manchester City
13,David,Silva,2501,RM,Manchester City,49234,-25.89,-0.64,,Manchester City
14,David,Silva,2501,RM,Manchester City,49235,-25.88,-0.64,,Manchester City
15,David,Silva,2501,RM,Manchester City,49236,-25.9,-0.6,,Manchester City
16,David,Silva,2501,RM,Manchester City,49237,-25.93,-0.56,,Manchester City
17,David,Silva,2501,RM,Manchester City,49238,-25.98,-0.47,,Manchester City
18,David,Silva,2501,RM,Manchester City,49239,-26.02,-0.42,,Manchester City
19,David,Silva,2501,RM,Manchester City,49240,-26.05,-0.38,,Manchester City
20,David,Silva,2501,RM,Manchester City,49241,-26.07,-0.35,,Manchester City
21,David,Silva,2501,RM,Manchester City,49242,-26.09,-0.33,,Manchester City
22,David,Silva,2501,RM,Manchester City,49243,-26.1,-0.3,,Manchester City
23,David,Silva,2501,RM,Manchester City,49244,-26.11,-0.33,,Manchester City
24,David,Silva,2501,RM,Manchester City,49245,-26.11,-0.34,,Manchester City
25,David,Silva,2501,RM,Manchester City,49246,-26.11,-0.37,,Manchester City
26,David,Silva,2501,RM,Manchester City,49247,-26.13,-0.36,,Manchester City
27,David,Silva,2501,RM,Manchester City,49248,-26.15,-0.33,,Manchester City
28,David,Silva,2501,RM,Manchester City,49249,-26.18,-0.26,,Manchester City
29,David,Silva,2501,RM,Manchester City,49250,-26.21,-0.22,,Manchester City
30,David,Silva,2501,RM,Manchester City,49251,-26.25,-0.16,,Manchester City
31,David,Silva,2501,RM,Manchester City,49252,-26.27,-0.16,,Manchester City
32,David,Silva,2501,RM,Manchester City,49253,-26.28,-0.17,,Manchester City
33,David,Silva,2501,RM,Manchester City,49254,-26.29,-0.19,,Manchester City
34,David,Silva,2501,RM,Manchester City,49255,-26.29,-0.2,,Manchester City
35,David,Silva,2501,RM,Manchester City,49256,-26.3,-0.18,,Manchester City
36,David,Silva,2501,RM,Manchester City,49257,-26.31,-0.12,,Manchester City
37,David,Silva,2501,RM,Manchester City,49258,-26.31,-0.11,,Manchester City
38,David,Silva,2501,RM,Manchester City,49259,-26.31,-0.11,,Manchester City
39,David,Silva,2501,RM,Manchester City,49260,-26.31,-0.09,,Manchester City
