,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,,Ederson,2934,GK,Manchester City,6,10.49,0.03,,Manchester City
1,,Ederson,2934,GK,Manchester City,7,10.52,-0.25,,Manchester City
2,,Ederson,2934,GK,Manchester City,8,10.61,-0.4,,Manchester City
3,,Ederson,2934,GK,Manchester City,9,10.77,-0.42,,Manchester City
4,,Ederson,2934,GK,Manchester City,10,11.0,-0.38,,Manchester City
5,,Ederson,2934,GK,Manchester City,11,11.29,-0.19,,Manchester City
6,,Ederson,2934,GK,Manchester City,12,11.64,0.49,,Manchester City
7,,Ederson,2934,GK,Manchester City,13,11.99,1.19,,Manchester City
8,,Ederson,2934,GK,Manchester City,14,12.35,1.59,,Manchester City
9,,Ederson,2934,GK,Manchester City,15,12.62,1.47,,Manchester City
10,,Ederson,2934,GK,Manchester City,16,12.91,1.54,,Manchester City
11,,Ederson,2934,GK,Manchester City,17,13.21,1.5,,Manchester City
12,,Ederson,2934,GK,Manchester City,18,13.57,1.59,,Manchester City
13,,Ederson,2934,GK,Manchester City,19,13.94,1.69,,Manchester City
14,,Ederson,2934,GK,Manchester City,20,14.25,1.62,,Manchester City
15,,Ederson,2934,GK,Manchester City,21,14.54,1.42,,Manchester City
16,,Ederson,2934,GK,Manchester City,22,14.84,1.4,,Manchester City
17,,Ederson,2934,GK,Manchester City,23,15.15,1.35,,Manchester City
18,,Ederson,2934,GK,Manchester City,24,15.49,1.33,,Manchester City
19,,Ederson,2934,GK,Manchester City,25,15.84,1.31,,Manchester City
20,,Ederson,2934,GK,Manchester City,26,16.18,1.34,,Manchester City
21,,Ederson,2934,GK,Manchester City,27,16.54,1.36,,Manchester City
22,,Ederson,2934,GK,Manchester City,28,16.93,1.39,,Manchester City
23,,Ederson,2934,GK,Manchester City,29,17.31,1.5,,Manchester City
24,,Ederson,2934,GK,Manchester City,30,17.69,1.62,,Manchester City
25,,Ederson,2934,GK,Manchester City,31,18.04,1.61,,Manchester City
26,,Ederson,2934,GK,Manchester City,32,18.43,1.6,,Manchester City
27,,Ederson,2934,GK,Manchester City,33,18.82,1.63,,Manchester City
28,,Ederson,2934,GK,Manchester City,34,19.19,1.58,,Manchester City
29,,Ederson,2934,GK,Manchester City,35,19.58,1.57,,Manchester City
30,,Ederson,2934,GK,Manchester City,36,19.98,1.62,,Manchester City
31,,Ederson,2934,GK,Manchester City,37,20.34,1.64,,Manchester City
32,,Ederson,2934,GK,Manchester City,38,20.71,1.62,,Manchester City
33,,Ederson,2934,GK,Manchester City,39,21.13,1.7,,Manchester City
34,,Ederson,2934,GK,Manchester City,40,21.5,1.69,,Manchester City
35,,Ederson,2934,GK,Manchester City,41,21.88,1.64,,Manchester City
36,,Ederson,2934,GK,Manchester City,42,22.27,1.59,,Manchester City
37,,Ederson,2934,GK,Manchester City,43,22.65,1.6,,Manchester City
38,,Ederson,2934,GK,Manchester City,44,22.97,1.61,,Manchester City
39,,Ederson,2934,GK,Manchester City,45,23.3,1.6,,Manchester City
40,,Ederson,2934,GK,Manchester City,46,23.67,1.58,,Manchester City
41,,Ederson,2934,GK,Manchester City,47,24.04,1.56,,Manchester City
42,,Ederson,2934,GK,Manchester City,48,24.45,1.57,,Manchester City
43,,Ederson,2934,GK,Manchester City,49,24.88,1.63,,Manchester City
44,,Ederson,2934,GK,Manchester City,50,25.34,1.75,,Manchester City
45,,Ederson,2934,GK,Manchester City,51,25.81,1.91,,Manchester City
46,,Ederson,2934,GK,Manchester City,2217,48.64,-0.17,,Brighton and Hove Albion
47,,Ederson,2934,GK,Manchester City,2218,48.52,-0.45,,Brighton and Hove Albion
48,,Ederson,2934,GK,Manchester City,2219,48.48,-0.66,,Brighton and Hove Albion
49,,Ederson,2934,GK,Manchester City,2220,48.51,-0.8,,Brighton and Hove Albion
50,,Ederson,2934,GK,Manchester City,2221,48.69,-0.79,,Brighton and Hove Albion
51,,Ederson,2934,GK,Manchester City,2222,48.87,-0.83,,Brighton and Hove Albion
52,,Ederson,2934,GK,Manchester City,2223,48.99,-0.94,,Brighton and Hove Albion
53,,Ederson,2934,GK,Manchester City,2224,49.06,-1.06,,Brighton and Hove Albion
54,,Ederson,2934,GK,Manchester City,2225,49.15,-1.15,,Brighton and Hove Albion
55,,Ederson,2934,GK,Manchester City,2226,49.29,-1.21,,Brighton and Hove Albion
