,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,John,Stones,5202,RCB,Manchester City,54244,-27.32,0.12,,Manchester City
1,John,Stones,5202,RCB,Manchester City,54245,-28.8,-0.01,,Manchester City
2,John,Stones,5202,RCB,Manchester City,54246,-30.13,0.22,,Manchester City
3,John,Stones,5202,RCB,Manchester City,54247,-31.33,0.8,,Manchester City
4,John,Stones,5202,RCB,Manchester City,54248,-32.59,2.18,,Manchester City
5,John,Stones,5202,RCB,Manchester City,54249,-33.53,3.47,,Manchester City
6,John,Stones,5202,RCB,Manchester City,54250,-33.76,3.89,,Manchester City
7,John,Stones,5202,RCB,Manchester City,54251,-33.89,4.32,,Manchester City
8,John,Stones,5202,RCB,Manchester City,54252,-34.09,4.43,,Manchester City
9,John,Stones,5202,RCB,Manchester City,54253,-34.37,4.74,,Manchester City
10,John,Stones,5202,RCB,Manchester City,54254,-34.61,5.04,,Manchester City
11,John,Stones,5202,RCB,Manchester City,54255,-34.84,5.32,,Manchester City
12,John,Stones,5202,RCB,Manchester City,54256,-35.04,5.55,,Manchester City
13,John,Stones,5202,RCB,Manchester City,54257,-35.22,5.81,,Manchester City
14,John,Stones,5202,RCB,Manchester City,54258,-35.42,6.12,,Manchester City
15,John,Stones,5202,RCB,Manchester City,54259,-35.62,6.43,,Manchester City
16,John,Stones,5202,RCB,Manchester City,54260,-35.79,6.67,,Manchester City
17,John,Stones,5202,RCB,Manchester City,54261,-35.97,6.91,,Manchester City
18,John,Stones,5202,RCB,Manchester City,54262,-36.13,7.15,25676.0,Brighton and Hove Albion
19,John,Stones,5202,RCB,Manchester City,54263,-36.3,7.41,25676.0,Brighton and Hove Albion
20,John,Stones,5202,RCB,Manchester City,54264,-36.46,7.69,25676.0,Brighton and Hove Albion
21,John,Stones,5202,RCB,Manchester City,54265,-36.65,8.04,25676.0,Brighton and Hove Albion
22,John,Stones,5202,RCB,Manchester City,54266,-36.82,8.33,25676.0,Brighton and Hove Albion
23,John,Stones,5202,RCB,Manchester City,54267,-36.97,8.6,25676.0,Brighton and Hove Albion
24,John,Stones,5202,RCB,Manchester City,54268,-37.08,8.77,25676.0,Brighton and Hove Albion
25,John,Stones,5202,RCB,Manchester City,54269,-37.22,9.01,25676.0,Brighton and Hove Albion
26,John,Stones,5202,RCB,Manchester City,54270,-37.36,9.27,25676.0,Brighton and Hove Albion
27,John,Stones,5202,RCB,Manchester City,54271,-37.5,9.53,25676.0,Brighton and Hove Albion
28,John,Stones,5202,RCB,Manchester City,54272,-37.61,9.75,25676.0,Brighton and Hove Albion
29,John,Stones,5202,RCB,Manchester City,54273,-37.72,9.96,25676.0,Brighton and Hove Albion
30,John,Stones,5202,RCB,Manchester City,54274,-37.8,10.11,25676.0,Brighton and Hove Albion
31,John,Stones,5202,RCB,Manchester City,54275,-37.9,10.28,25676.0,Brighton and Hove Albion
32,John,Stones,5202,RCB,Manchester City,54276,-37.97,10.38,25676.0,Brighton and Hove Albion
33,John,Stones,5202,RCB,Manchester City,54277,-38.06,10.5,25676.0,Brighton and Hove Albion
34,John,Stones,5202,RCB,Manchester City,54278,-38.17,10.72,25676.0,Brighton and Hove Albion
35,John,Stones,5202,RCB,Manchester City,54279,-38.26,10.92,25676.0,Brighton and Hove Albion
36,John,Stones,5202,RCB,Manchester City,54280,-38.34,11.16,25676.0,Brighton and Hove Albion
37,John,Stones,5202,RCB,Manchester City,54281,-38.4,11.37,25676.0,Brighton and Hove Albion
38,John,Stones,5202,RCB,Manchester City,54282,-38.4,11.44,25676.0,Brighton and Hove Albion
39,John,Stones,5202,RCB,Manchester City,54283,-38.37,11.45,25676.0,Brighton and Hove Albion
40,John,Stones,5202,RCB,Manchester City,54284,-38.37,11.47,25676.0,Brighton and Hove Albion
41,John,Stones,5202,RCB,Manchester City,54285,-38.36,11.45,25676.0,Brighton and Hove Albion
42,John,Stones,5202,RCB,Manchester City,54286,-38.37,11.46,25676.0,Brighton and Hove Albion
43,John,Stones,5202,RCB,Manchester City,54287,-38.41,11.57,25676.0,Brighton and Hove Albion
44,John,Stones,5202,RCB,Manchester City,54288,-38.48,11.72,25676.0,Brighton and Hove Albion
45,John,Stones,5202,RCB,Manchester City,54289,-38.52,11.88,25676.0,Brighton and Hove Albion
46,John,Stones,5202,RCB,Manchester City,54290,-38.53,12.0,25676.0,Brighton and Hove Albion
47,John,Stones,5202,RCB,Manchester City,54291,-38.53,12.07,25676.0,Brighton and Hove Albion
48,John,Stones,5202,RCB,Manchester City,54292,-38.54,12.15,25676.0,Brighton and Hove Albion
49,John,Stones,5202,RCB,Manchester City,54293,-38.59,12.23,25676.0,Brighton and Hove Albion
50,John,Stones,5202,RCB,Manchester City,54294,-38.65,12.32,25676.0,Brighton and Hove Albion
51,John,Stones,5202,RCB,Manchester City,54295,-38.68,12.38,25676.0,Brighton and Hove Albion
52,John,Stones,5202,RCB,Manchester City,54296,-38.68,12.4,25676.0,Brighton and Hove Albion
53,John,Stones,5202,RCB,Manchester City,54297,-38.68,12.39,,Brighton and Hove Albion
54,John,Stones,5202,RCB,Manchester City,54298,-38.69,12.4,,Brighton and Hove Albion
55,John,Stones,5202,RCB,Manchester City,54299,-38.72,12.39,,Brighton and Hove Albion
56,John,Stones,5202,RCB,Manchester City,54300,-38.78,12.42,,Brighton and Hove Albion
57,John,Stones,5202,RCB,Manchester City,54301,-38.82,12.41,,Brighton and Hove Albion
58,John,Stones,5202,RCB,Manchester City,54302,-38.84,12.42,,Brighton and Hove Albion
59,John,Stones,5202,RCB,Manchester City,54303,-38.85,12.43,,Brighton and Hove Albion
60,John,Stones,5202,RCB,Manchester City,54304,-38.86,12.44,,Brighton and Hove Albion
61,John,Stones,5202,RCB,Manchester City,54305,-38.89,12.48,,Brighton and Hove Albion
62,John,Stones,5202,RCB,Manchester City,54306,-38.92,12.5,,Brighton and Hove Albion
63,John,Stones,5202,RCB,Manchester City,54307,-38.94,12.44,,Brighton and Hove Albion
64,John,Stones,5202,RCB,Manchester City,54308,-38.96,12.37,,Brighton and Hove Albion
65,John,Stones,5202,RCB,Manchester City,54309,-38.96,12.27,,Brighton and Hove Albion
66,John,Stones,5202,RCB,Manchester City,54310,-38.97,12.19,,Brighton and Hove Albion
67,John,Stones,5202,RCB,Manchester City,54311,-38.99,12.14,,Brighton and Hove Albion
68,John,Stones,5202,RCB,Manchester City,54312,-39.02,12.1,,Brighton and Hove Albion
69,John,Stones,5202,RCB,Manchester City,54313,-39.04,12.09,,Brighton and Hove Albion
70,John,Stones,5202,RCB,Manchester City,54356,-38.62,10.01,,Brighton and Hove Albion
71,John,Stones,5202,RCB,Manchester City,54357,-38.46,9.99,,Brighton and Hove Albion
72,John,Stones,5202,RCB,Manchester City,54358,-38.31,9.96,,Brighton and Hove Albion
73,John,Stones,5202,RCB,Manchester City,54359,-38.17,9.94,,Brighton and Hove Albion
74,John,Stones,5202,RCB,Manchester City,54360,-38.05,9.9,,Brighton and Hove Albion
75,John,Stones,5202,RCB,Manchester City,54361,-37.91,9.88,,Brighton and Hove Albion
76,John,Stones,5202,RCB,Manchester City,54362,-37.77,9.86,,Brighton and Hove Albion
77,John,Stones,5202,RCB,Manchester City,54363,-37.6,9.79,,Brighton and Hove Albion
78,John,Stones,5202,RCB,Manchester City,54364,-37.43,9.69,,Manchester City
79,John,Stones,5202,RCB,Manchester City,54365,-37.31,9.59,,Manchester City
80,John,Stones,5202,RCB,Manchester City,54366,-37.26,9.54,,Manchester City
81,John,Stones,5202,RCB,Manchester City,54367,-37.25,9.52,,Manchester City
82,John,Stones,5202,RCB,Manchester City,54368,-37.26,9.5,,Manchester City
83,John,Stones,5202,RCB,Manchester City,54369,-37.24,9.43,,Manchester City
84,John,Stones,5202,RCB,Manchester City,54370,-37.21,9.34,,Manchester City
85,John,Stones,5202,RCB,Manchester City,54371,-37.18,9.28,,Manchester City
86,John,Stones,5202,RCB,Manchester City,54372,-37.18,9.23,,Manchester City
87,John,Stones,5202,RCB,Manchester City,54373,-37.2,9.22,,Manchester City
88,John,Stones,5202,RCB,Manchester City,54374,-37.28,9.21,,Manchester City
89,John,Stones,5202,RCB,Manchester City,54375,-37.48,9.26,,Manchester City
90,John,Stones,5202,RCB,Manchester City,54376,-37.71,9.17,,Manchester City
91,John,Stones,5202,RCB,Manchester City,54377,-37.96,9.05,,Manchester City
92,John,Stones,5202,RCB,Manchester City,54378,-38.19,8.84,,Manchester City
93,John,Stones,5202,RCB,Manchester City,54379,-38.43,8.68,,Manchester City
94,John,Stones,5202,RCB,Manchester City,54380,-38.69,8.47,,Manchester City
95,John,Stones,5202,RCB,Manchester City,54381,-39.03,8.36,,Manchester City
96,John,Stones,5202,RCB,Manchester City,54382,-39.33,8.12,,Manchester City
97,John,Stones,5202,RCB,Manchester City,54383,-39.66,7.91,,Manchester City
98,John,Stones,5202,RCB,Manchester City,54384,-39.98,7.69,,Manchester City
99,John,Stones,5202,RCB,Manchester City,54385,-40.37,7.5,,Manchester City
100,John,Stones,5202,RCB,Manchester City,54386,-40.81,7.35,,Manchester City
101,John,Stones,5202,RCB,Manchester City,54387,-41.23,7.18,,Manchester City
102,John,Stones,5202,RCB,Manchester City,54388,-41.67,6.94,,Manchester City
103,John,Stones,5202,RCB,Manchester City,54389,-42.12,6.68,,Manchester City
104,John,Stones,5202,RCB,Manchester City,54390,-42.58,6.43,,Manchester City
105,John,Stones,5202,RCB,Manchester City,54391,-43.08,6.15,,Manchester City
106,John,Stones,5202,RCB,Manchester City,54392,-43.5,5.83,619.0,Brighton and Hove Albion
107,John,Stones,5202,RCB,Manchester City,54393,-44.0,5.67,619.0,Brighton and Hove Albion
108,John,Stones,5202,RCB,Manchester City,54394,-44.44,5.41,619.0,Brighton and Hove Albion
109,John,Stones,5202,RCB,Manchester City,54395,-44.87,5.24,619.0,Brighton and Hove Albion
110,John,Stones,5202,RCB,Manchester City,54396,-45.27,4.98,619.0,Brighton and Hove Albion
111,John,Stones,5202,RCB,Manchester City,54397,-45.59,4.59,619.0,Brighton and Hove Albion
112,John,Stones,5202,RCB,Manchester City,54398,-45.78,4.07,,Brighton and Hove Albion
113,John,Stones,5202,RCB,Manchester City,54399,-46.09,3.86,,Brighton and Hove Albion
114,John,Stones,5202,RCB,Manchester City,54400,-46.34,3.65,,Brighton and Hove Albion
115,John,Stones,5202,RCB,Manchester City,54401,-46.7,3.58,,Brighton and Hove Albion
116,John,Stones,5202,RCB,Manchester City,54402,-47.04,3.34,,Brighton and Hove Albion
117,John,Stones,5202,RCB,Manchester City,54403,-47.29,2.96,,Brighton and Hove Albion
118,John,Stones,5202,RCB,Manchester City,54404,-47.48,2.66,,Brighton and Hove Albion
119,John,Stones,5202,RCB,Manchester City,54405,-47.57,2.5,,Brighton and Hove Albion
120,John,Stones,5202,RCB,Manchester City,54406,-47.53,2.49,,Brighton and Hove Albion
121,John,Stones,5202,RCB,Manchester City,54407,-47.51,2.58,,Brighton and Hove Albion
122,John,Stones,5202,RCB,Manchester City,54408,-47.42,2.54,,Brighton and Hove Albion
123,John,Stones,5202,RCB,Manchester City,54409,-47.27,2.43,,Brighton and Hove Albion
124,John,Stones,5202,RCB,Manchester City,54410,-47.09,2.22,,Brighton and Hove Albion
125,John,Stones,5202,RCB,Manchester City,54411,-46.87,1.95,,Brighton and Hove Albion
126,John,Stones,5202,RCB,Manchester City,54412,-46.65,1.77,,Brighton and Hove Albion
127,John,Stones,5202,RCB,Manchester City,54413,-46.52,1.8,,Brighton and Hove Albion
128,John,Stones,5202,RCB,Manchester City,54414,-46.39,1.85,,Brighton and Hove Albion
129,John,Stones,5202,RCB,Manchester City,54415,-46.28,1.96,,Brighton and Hove Albion
130,John,Stones,5202,RCB,Manchester City,54416,-46.13,1.96,,Brighton and Hove Albion
131,John,Stones,5202,RCB,Manchester City,54417,-45.97,1.9,,Brighton and Hove Albion
132,John,Stones,5202,RCB,Manchester City,54418,-45.81,1.85,,Brighton and Hove Albion
133,John,Stones,5202,RCB,Manchester City,54419,-45.63,1.87,,Brighton and Hove Albion
134,John,Stones,5202,RCB,Manchester City,54420,-45.42,1.89,,Brighton and Hove Albion
135,John,Stones,5202,RCB,Manchester City,54421,-45.19,1.85,,Brighton and Hove Albion
136,John,Stones,5202,RCB,Manchester City,54422,-44.9,1.78,,Brighton and Hove Albion
137,John,Stones,5202,RCB,Manchester City,54423,-44.64,1.72,,Brighton and Hove Albion
138,John,Stones,5202,RCB,Manchester City,54424,-44.35,1.75,,Brighton and Hove Albion
139,John,Stones,5202,RCB,Manchester City,54425,-44.03,1.83,,Brighton and Hove Albion
140,John,Stones,5202,RCB,Manchester City,54426,-43.7,1.96,,Brighton and Hove Albion
141,John,Stones,5202,RCB,Manchester City,54482,-23.85,-1.67,,Brighton and Hove Albion
142,John,Stones,5202,RCB,Manchester City,54483,-23.51,-2.2,,Brighton and Hove Albion
143,John,Stones,5202,RCB,Manchester City,54484,-23.29,-2.68,,Brighton and Hove Albion
144,John,Stones,5202,RCB,Manchester City,54485,-23.2,-3.11,,Brighton and Hove Albion
145,John,Stones,5202,RCB,Manchester City,54486,-23.27,-3.43,,Brighton and Hove Albion
146,John,Stones,5202,RCB,Manchester City,54487,-23.41,-3.85,,Brighton and Hove Albion
147,John,Stones,5202,RCB,Manchester City,54488,-23.69,-4.14,,Brighton and Hove Albion
148,John,Stones,5202,RCB,Manchester City,54489,-23.99,-4.32,,Brighton and Hove Albion
149,John,Stones,5202,RCB,Manchester City,54490,-24.23,-4.64,,Brighton and Hove Albion
150,John,Stones,5202,RCB,Manchester City,54491,-24.52,-4.63,,Brighton and Hove Albion
151,John,Stones,5202,RCB,Manchester City,54492,-24.74,-4.69,,Brighton and Hove Albion
152,John,Stones,5202,RCB,Manchester City,54493,-25.08,-4.7,,Brighton and Hove Albion
153,John,Stones,5202,RCB,Manchester City,54494,-25.5,-4.83,,Brighton and Hove Albion
154,John,Stones,5202,RCB,Manchester City,54495,-26.03,-4.86,,Brighton and Hove Albion
155,John,Stones,5202,RCB,Manchester City,54496,-26.47,-5.24,,Brighton and Hove Albion
156,John,Stones,5202,RCB,Manchester City,54497,-26.86,-5.64,,Brighton and Hove Albion
157,John,Stones,5202,RCB,Manchester City,54498,-27.21,-6.08,,Brighton and Hove Albion
158,John,Stones,5202,RCB,Manchester City,54499,-27.57,-6.4,,Brighton and Hove Albion
159,John,Stones,5202,RCB,Manchester City,54500,-27.84,-6.9,,Brighton and Hove Albion
160,John,Stones,5202,RCB,Manchester City,54501,-28.11,-7.39,,Brighton and Hove Albion
161,John,Stones,5202,RCB,Manchester City,54502,-28.34,-7.9,,Brighton and Hove Albion
162,John,Stones,5202,RCB,Manchester City,54503,-28.54,-8.42,,Brighton and Hove Albion
163,John,Stones,5202,RCB,Manchester City,54530,-35.75,-12.42,,Brighton and Hove Albion
164,John,Stones,5202,RCB,Manchester City,54531,-36.06,-12.19,,Brighton and Hove Albion
165,John,Stones,5202,RCB,Manchester City,54532,-36.38,-11.95,,Brighton and Hove Albion
166,John,Stones,5202,RCB,Manchester City,54533,-36.7,-11.72,,Brighton and Hove Albion
167,John,Stones,5202,RCB,Manchester City,54534,-36.99,-11.52,,Brighton and Hove Albion
168,John,Stones,5202,RCB,Manchester City,54535,-37.35,-11.27,,Brighton and Hove Albion
169,John,Stones,5202,RCB,Manchester City,54536,-37.69,-11.01,,Brighton and Hove Albion
170,John,Stones,5202,RCB,Manchester City,54537,-38.02,-10.81,,Brighton and Hove Albion
171,John,Stones,5202,RCB,Manchester City,54538,-38.32,-10.67,,Brighton and Hove Albion
172,John,Stones,5202,RCB,Manchester City,54539,-38.64,-10.47,,Brighton and Hove Albion
173,John,Stones,5202,RCB,Manchester City,54540,-38.97,-10.22,,Brighton and Hove Albion
174,John,Stones,5202,RCB,Manchester City,54541,-39.29,-9.99,,Brighton and Hove Albion
175,John,Stones,5202,RCB,Manchester City,54542,-39.54,-9.78,,Brighton and Hove Albion
176,John,Stones,5202,RCB,Manchester City,54543,-39.77,-9.54,,Brighton and Hove Albion
177,John,Stones,5202,RCB,Manchester City,54544,-40.03,-9.21,,Brighton and Hove Albion
178,John,Stones,5202,RCB,Manchester City,54545,-40.41,-8.66,,Brighton and Hove Albion
179,John,Stones,5202,RCB,Manchester City,54546,-40.73,-8.2,,Brighton and Hove Albion
180,John,Stones,5202,RCB,Manchester City,54547,-40.96,-7.85,,Brighton and Hove Albion
181,John,Stones,5202,RCB,Manchester City,54548,-41.14,-7.58,,Brighton and Hove Albion
182,John,Stones,5202,RCB,Manchester City,54549,-41.35,-7.26,,Brighton and Hove Albion
183,John,Stones,5202,RCB,Manchester City,54550,-41.53,-6.97,,Brighton and Hove Albion
184,John,Stones,5202,RCB,Manchester City,54551,-41.73,-6.62,,Brighton and Hove Albion
185,John,Stones,5202,RCB,Manchester City,54552,-41.93,-6.27,,Brighton and Hove Albion
186,John,Stones,5202,RCB,Manchester City,54553,-42.14,-5.92,,Brighton and Hove Albion
187,John,Stones,5202,RCB,Manchester City,54554,-42.34,-5.63,,Brighton and Hove Albion
188,John,Stones,5202,RCB,Manchester City,54555,-42.74,-5.02,,Brighton and Hove Albion
189,John,Stones,5202,RCB,Manchester City,54556,-43.02,-4.61,,Brighton and Hove Albion
190,John,Stones,5202,RCB,Manchester City,54557,-43.17,-4.34,,Brighton and Hove Albion
191,John,Stones,5202,RCB,Manchester City,54558,-43.19,-4.22,,Brighton and Hove Albion
192,John,Stones,5202,RCB,Manchester City,54559,-43.18,-4.17,,Brighton and Hove Albion
193,John,Stones,5202,RCB,Manchester City,54560,-43.17,-4.14,,Brighton and Hove Albion
194,John,Stones,5202,RCB,Manchester City,54561,-43.34,-3.84,,Brighton and Hove Albion
195,John,Stones,5202,RCB,Manchester City,54562,-43.46,-3.62,,Brighton and Hove Albion
196,John,Stones,5202,RCB,Manchester City,54563,-43.58,-3.39,,Brighton and Hove Albion
197,John,Stones,5202,RCB,Manchester City,54564,-43.64,-3.2,,Brighton and Hove Albion
198,John,Stones,5202,RCB,Manchester City,54565,-43.63,-3.08,,Brighton and Hove Albion
199,John,Stones,5202,RCB,Manchester City,54566,-43.61,-3.0,,Brighton and Hove Albion
200,John,Stones,5202,RCB,Manchester City,54567,-43.54,-2.98,,Brighton and Hove Albion
201,John,Stones,5202,RCB,Manchester City,54568,-43.39,-2.98,,Brighton and Hove Albion
202,John,Stones,5202,RCB,Manchester City,54569,-43.23,-2.92,,Brighton and Hove Albion
203,John,Stones,5202,RCB,Manchester City,54570,-43.09,-2.7,,Brighton and Hove Albion
204,John,Stones,5202,RCB,Manchester City,54571,-42.86,-2.62,,Brighton and Hove Albion
205,John,Stones,5202,RCB,Manchester City,54572,-42.56,-2.62,,Brighton and Hove Albion
206,John,Stones,5202,RCB,Manchester City,54573,-42.26,-2.64,,Brighton and Hove Albion
207,John,Stones,5202,RCB,Manchester City,54574,-41.87,-2.77,,Brighton and Hove Albion
208,John,Stones,5202,RCB,Manchester City,54575,-41.48,-2.91,,Brighton and Hove Albion
209,John,Stones,5202,RCB,Manchester City,54576,-41.15,-2.96,,Brighton and Hove Albion
210,John,Stones,5202,RCB,Manchester City,54577,-40.84,-3.03,,Brighton and Hove Albion
211,John,Stones,5202,RCB,Manchester City,54578,-40.54,-3.07,,Brighton and Hove Albion
212,John,Stones,5202,RCB,Manchester City,54579,-40.29,-3.03,,Brighton and Hove Albion
213,John,Stones,5202,RCB,Manchester City,54580,-40.0,-3.02,,Brighton and Hove Albion
214,John,Stones,5202,RCB,Manchester City,54581,-39.71,-3.0,,Brighton and Hove Albion
215,John,Stones,5202,RCB,Manchester City,54582,-39.4,-2.98,,Brighton and Hove Albion
216,John,Stones,5202,RCB,Manchester City,54611,-22.13,17.63,19100.0,Brighton and Hove Albion
217,John,Stones,5202,RCB,Manchester City,54612,-21.84,17.4,19100.0,Brighton and Hove Albion
218,John,Stones,5202,RCB,Manchester City,54613,-21.55,17.21,19100.0,Brighton and Hove Albion
219,John,Stones,5202,RCB,Manchester City,54614,-21.28,17.07,19100.0,Brighton and Hove Albion
220,John,Stones,5202,RCB,Manchester City,54615,-21.03,16.99,19100.0,Brighton and Hove Albion
221,John,Stones,5202,RCB,Manchester City,54616,-20.79,16.96,,Brighton and Hove Albion
222,John,Stones,5202,RCB,Manchester City,54617,-20.55,16.84,,Brighton and Hove Albion
223,John,Stones,5202,RCB,Manchester City,54618,-20.32,16.74,,Brighton and Hove Albion
224,John,Stones,5202,RCB,Manchester City,54619,-20.05,16.51,,Brighton and Hove Albion
225,John,Stones,5202,RCB,Manchester City,54620,-19.82,16.4,,Brighton and Hove Albion
226,John,Stones,5202,RCB,Manchester City,54659,-26.82,-10.72,,Brighton and Hove Albion
227,John,Stones,5202,RCB,Manchester City,54660,-27.19,-10.4,,Brighton and Hove Albion
228,John,Stones,5202,RCB,Manchester City,54661,-27.58,-10.07,,Brighton and Hove Albion
229,John,Stones,5202,RCB,Manchester City,54662,-28.0,-9.74,,Brighton and Hove Albion
230,John,Stones,5202,RCB,Manchester City,54663,-28.49,-9.31,,Brighton and Hove Albion
231,John,Stones,5202,RCB,Manchester City,54664,-28.94,-9.07,,Brighton and Hove Albion
232,John,Stones,5202,RCB,Manchester City,54665,-29.4,-8.78,,Brighton and Hove Albion
233,John,Stones,5202,RCB,Manchester City,54666,-29.86,-8.53,,Brighton and Hove Albion
234,John,Stones,5202,RCB,Manchester City,54667,-30.29,-8.39,,Brighton and Hove Albion
235,John,Stones,5202,RCB,Manchester City,54668,-30.77,-8.17,,Brighton and Hove Albion
236,John,Stones,5202,RCB,Manchester City,54669,-31.3,-7.91,,Brighton and Hove Albion
237,John,Stones,5202,RCB,Manchester City,54670,-31.8,-7.75,,Brighton and Hove Albion
238,John,Stones,5202,RCB,Manchester City,54671,-32.31,-7.48,,Brighton and Hove Albion
239,John,Stones,5202,RCB,Manchester City,54672,-32.77,-7.24,,Brighton and Hove Albion
240,John,Stones,5202,RCB,Manchester City,54673,-33.24,-7.02,,Brighton and Hove Albion
241,John,Stones,5202,RCB,Manchester City,54674,-33.63,-6.93,,Brighton and Hove Albion
242,John,Stones,5202,RCB,Manchester City,54675,-34.06,-6.75,,Brighton and Hove Albion
243,John,Stones,5202,RCB,Manchester City,54676,-34.48,-6.59,,Brighton and Hove Albion
244,John,Stones,5202,RCB,Manchester City,54677,-34.88,-6.46,2934.0,Manchester City
245,John,Stones,5202,RCB,Manchester City,54678,-35.25,-6.37,2934.0,Manchester City
246,John,Stones,5202,RCB,Manchester City,54679,-35.63,-6.25,2934.0,Manchester City
