,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Kevin,de Bruyne,5821,RM,Manchester City,2,6.71,5.9,,Manchester City
1,Kevin,de Bruyne,5821,RM,Manchester City,3,6.7,5.85,,Manchester City
2,Kevin,de Bruyne,5821,RM,Manchester City,4,6.7,5.81,,Manchester City
3,Kevin,de Bruyne,5821,RM,Manchester City,5,6.72,5.8,,Manchester City
4,Kevin,de Bruyne,5821,RM,Manchester City,6,6.75,5.82,,Manchester City
5,Kevin,de Bruyne,5821,RM,Manchester City,7,6.79,5.84,,Manchester City
6,Kevin,de Bruyne,5821,RM,Manchester City,8,6.82,5.83,,Manchester City
7,Kevin,de Bruyne,5821,RM,Manchester City,9,6.86,5.81,,Manchester City
8,Kevin,de Bruyne,5821,RM,Manchester City,10,6.91,5.83,,Manchester City
9,Kevin,de Bruyne,5821,RM,Manchester City,11,6.97,5.83,,Manchester City
10,Kevin,de Bruyne,5821,RM,Manchester City,12,7.03,5.85,,Manchester City
11,Kevin,de Bruyne,5821,RM,Manchester City,13,7.09,5.94,,Manchester City
12,Kevin,de Bruyne,5821,RM,Manchester City,14,7.14,5.98,,Manchester City
13,Kevin,de Bruyne,5821,RM,Manchester City,15,7.19,6.05,,Manchester City
14,Kevin,de Bruyne,5821,RM,Manchester City,16,7.25,6.08,,Manchester City
15,Kevin,de Bruyne,5821,RM,Manchester City,17,7.32,6.07,,Manchester City
16,Kevin,de Bruyne,5821,RM,Manchester City,18,7.38,6.02,,Manchester City
17,Kevin,de Bruyne,5821,RM,Manchester City,19,7.42,6.03,,Manchester City
18,Kevin,de Bruyne,5821,RM,Manchester City,20,7.44,6.08,,Manchester City
19,Kevin,de Bruyne,5821,RM,Manchester City,21,7.45,6.15,,Manchester City
20,Kevin,de Bruyne,5821,RM,Manchester City,22,7.45,6.17,,Manchester City
21,Kevin,de Bruyne,5821,RM,Manchester City,23,7.47,6.22,,Manchester City
22,Kevin,de Bruyne,5821,RM,Manchester City,24,7.5,6.23,,Manchester City
23,Kevin,de Bruyne,5821,RM,Manchester City,25,7.53,6.27,,Manchester City
24,Kevin,de Bruyne,5821,RM,Manchester City,26,7.56,6.38,,Manchester City
25,Kevin,de Bruyne,5821,RM,Manchester City,27,7.6,6.49,,Manchester City
26,Kevin,de Bruyne,5821,RM,Manchester City,28,7.64,6.57,,Manchester City
27,Kevin,de Bruyne,5821,RM,Manchester City,29,7.67,6.63,,Manchester City
28,Kevin,de Bruyne,5821,RM,Manchester City,30,7.7,6.64,,Manchester City
29,Kevin,de Bruyne,5821,RM,Manchester City,31,7.72,6.61,,Manchester City
30,Kevin,de Bruyne,5821,RM,Manchester City,32,7.75,6.61,,Manchester City
31,Kevin,de Bruyne,5821,RM,Manchester City,33,7.77,6.69,,Manchester City
32,Kevin,de Bruyne,5821,RM,Manchester City,34,7.8,6.74,,Manchester City
33,Kevin,de Bruyne,5821,RM,Manchester City,35,7.81,6.76,,Manchester City
34,Kevin,de Bruyne,5821,RM,Manchester City,36,7.83,6.77,,Manchester City
35,Kevin,de Bruyne,5821,RM,Manchester City,37,7.85,6.7,,Manchester City
36,Kevin,de Bruyne,5821,RM,Manchester City,38,7.87,6.59,,Manchester City
