,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,11,-11.77,1.67,,Manchester City
1,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,12,-11.86,1.03,,Manchester City
2,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,13,-11.98,0.78,,Manchester City
3,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,14,-12.13,0.63,,Manchester City
4,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,15,-12.23,0.44,,Manchester City
5,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,16,-12.37,0.61,,Manchester City
6,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,17,-12.51,0.79,,Manchester City
7,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,18,-12.68,1.04,,Manchester City
8,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,19,-12.88,1.3,,Manchester City
9,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,20,-13.06,1.42,,Manchester City
10,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,21,-13.13,1.29,,Manchester City
11,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,22,-13.22,1.35,,Manchester City
12,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,23,-13.36,1.49,,Manchester City
13,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,24,-13.54,1.63,,Manchester City
14,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,25,-13.71,1.72,,Manchester City
15,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,26,-13.84,1.67,,Manchester City
16,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,27,-13.93,1.51,,Manchester City
17,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,28,-14.04,1.46,,Manchester City
18,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,29,-14.19,1.48,,Manchester City
19,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,30,-14.33,1.52,,Manchester City
20,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,31,-14.45,1.56,,Manchester City
21,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,32,-14.57,1.62,,Manchester City
22,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,33,-14.7,1.61,,Manchester City
23,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,34,-14.86,1.63,,Manchester City
24,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,35,-15.02,1.69,,Manchester City
25,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,36,-15.16,1.73,,Manchester City
26,Lewis,Dunk,11630,LCB,Brighton and Hove Albion,37,-15.29,1.79,,Manchester City
