,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Martin,Montoya,7065,RWB,Brighton and Hove Albion,2,-7.73,-5.69,,Manchester City
1,Martin,Montoya,7065,RWB,Brighton and Hove Albion,3,-7.75,-5.78,,Manchester City
2,Martin,Montoya,7065,RWB,Brighton and Hove Albion,4,-7.79,-5.84,,Manchester City
3,Martin,Montoya,7065,RWB,Brighton and Hove Albion,5,-7.85,-5.85,,Manchester City
4,Martin,Montoya,7065,RWB,Brighton and Hove Albion,6,-7.94,-5.78,,Manchester City
5,Martin,Montoya,7065,RWB,Brighton and Hove Albion,7,-8.03,-5.74,,Manchester City
6,Martin,Montoya,7065,RWB,Brighton and Hove Albion,8,-8.13,-5.73,,Manchester City
7,Martin,Montoya,7065,RWB,Brighton and Hove Albion,9,-8.22,-5.84,,Manchester City
8,Martin,Montoya,7065,RWB,Brighton and Hove Albion,10,-8.32,-6.01,,Manchester City
9,Martin,Montoya,7065,RWB,Brighton and Hove Albion,11,-8.39,-6.14,,Manchester City
10,Martin,Montoya,7065,RWB,Brighton and Hove Albion,12,-8.48,-6.2,,Manchester City
11,Martin,Montoya,7065,RWB,Brighton and Hove Albion,13,-8.57,-6.26,,Manchester City
12,Martin,Montoya,7065,RWB,Brighton and Hove Albion,14,-8.69,-6.29,,Manchester City
13,Martin,Montoya,7065,RWB,Brighton and Hove Albion,15,-8.86,-6.38,,Manchester City
14,Martin,Montoya,7065,RWB,Brighton and Hove Albion,16,-9.03,-6.51,,Manchester City
15,Martin,Montoya,7065,RWB,Brighton and Hove Albion,17,-9.16,-6.61,,Manchester City
16,Martin,Montoya,7065,RWB,Brighton and Hove Albion,18,-9.29,-6.67,,Manchester City
17,Martin,Montoya,7065,RWB,Brighton and Hove Albion,19,-9.42,-6.72,,Manchester City
18,Martin,Montoya,7065,RWB,Brighton and Hove Albion,20,-9.59,-6.76,,Manchester City
19,Martin,Montoya,7065,RWB,Brighton and Hove Albion,21,-9.76,-6.86,,Manchester City
20,Martin,Montoya,7065,RWB,Brighton and Hove Albion,22,-9.91,-6.97,,Manchester City
21,Martin,Montoya,7065,RWB,Brighton and Hove Albion,23,-10.04,-7.04,,Manchester City
22,Martin,Montoya,7065,RWB,Brighton and Hove Albion,24,-10.19,-7.13,,Manchester City
23,Martin,Montoya,7065,RWB,Brighton and Hove Albion,25,-10.34,-7.19,,Manchester City
24,Martin,Montoya,7065,RWB,Brighton and Hove Albion,26,-10.49,-7.34,,Manchester City
25,Martin,Montoya,7065,RWB,Brighton and Hove Albion,27,-10.61,-7.5,,Manchester City
26,Martin,Montoya,7065,RWB,Brighton and Hove Albion,28,-10.75,-7.53,,Manchester City
27,Martin,Montoya,7065,RWB,Brighton and Hove Albion,29,-10.93,-7.53,,Manchester City
28,Martin,Montoya,7065,RWB,Brighton and Hove Albion,30,-11.13,-7.51,,Manchester City
29,Martin,Montoya,7065,RWB,Brighton and Hove Albion,31,-11.3,-7.48,,Manchester City
30,Martin,Montoya,7065,RWB,Brighton and Hove Albion,32,-11.44,-7.53,,Manchester City
31,Martin,Montoya,7065,RWB,Brighton and Hove Albion,33,-11.56,-7.68,,Manchester City
32,Martin,Montoya,7065,RWB,Brighton and Hove Albion,34,-11.74,-7.75,,Manchester City
33,Martin,Montoya,7065,RWB,Brighton and Hove Albion,35,-11.89,-7.91,,Manchester City
