,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Neal,Maupay,7896,CF,Brighton and Hove Albion,46660,8.91,11.87,,Brighton and Hove Albion
1,Neal,Maupay,7896,CF,Brighton and Hove Albion,46661,7.29,11.7,,Brighton and Hove Albion
2,Neal,Maupay,7896,CF,Brighton and Hove Albion,46662,6.08,11.53,,Brighton and Hove Albion
3,Neal,Maupay,7896,CF,Brighton and Hove Albion,46663,5.29,11.37,,Brighton and Hove Albion
4,Neal,Maupay,7896,CF,Brighton and Hove Albion,46664,5.36,11.25,,Brighton and Hove Albion
5,Neal,Maupay,7896,CF,Brighton and Hove Albion,46665,5.22,11.11,,Brighton and Hove Albion
6,Neal,Maupay,7896,CF,Brighton and Hove Albion,46666,5.04,10.8,,Brighton and Hove Albion
7,Neal,Maupay,7896,CF,Brighton and Hove Albion,46667,4.86,10.64,,Brighton and Hove Albion
8,Neal,Maupay,7896,CF,Brighton and Hove Albion,46668,4.67,10.59,,Brighton and Hove Albion
9,Neal,Maupay,7896,CF,Brighton and Hove Albion,46669,4.48,10.5,,Brighton and Hove Albion
10,Neal,Maupay,7896,CF,Brighton and Hove Albion,46670,4.27,10.31,,Brighton and Hove Albion
11,Neal,Maupay,7896,CF,Brighton and Hove Albion,46691,-0.34,6.34,1152.0,Manchester City
12,Neal,Maupay,7896,CF,Brighton and Hove Albion,46692,-0.66,6.31,1152.0,Manchester City
13,Neal,Maupay,7896,CF,Brighton and Hove Albion,46693,-0.99,6.24,1152.0,Manchester City
14,Neal,Maupay,7896,CF,Brighton and Hove Albion,46694,-1.26,6.16,1152.0,Manchester City
15,Neal,Maupay,7896,CF,Brighton and Hove Albion,46695,-1.66,5.98,1152.0,Manchester City
16,Neal,Maupay,7896,CF,Brighton and Hove Albion,46696,-2.12,5.83,1152.0,Manchester City
17,Neal,Maupay,7896,CF,Brighton and Hove Albion,46697,-2.57,5.77,,Manchester City
18,Neal,Maupay,7896,CF,Brighton and Hove Albion,46698,-3.08,5.74,,Manchester City
