,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Phil,Foden,11672,CF,Manchester City,49311,-33.22,4.46,,Brighton and Hove Albion
1,Phil,Foden,11672,CF,Manchester City,49312,-33.57,4.39,,Brighton and Hove Albion
2,Phil,Foden,11672,CF,Manchester City,49313,-33.92,4.25,,Brighton and Hove Albion
3,Phil,Foden,11672,CF,Manchester City,49314,-34.21,4.04,,Brighton and Hove Albion
4,Phil,Foden,11672,CF,Manchester City,49315,-34.51,3.89,,Brighton and Hove Albion
5,Phil,Foden,11672,CF,Manchester City,49316,-34.91,3.92,,Brighton and Hove Albion
6,Phil,Foden,11672,CF,Manchester City,49317,-35.33,3.94,,Brighton and Hove Albion
7,Phil,Foden,11672,CF,Manchester City,49318,-35.76,3.92,,Brighton and Hove Albion
8,Phil,Foden,11672,CF,Manchester City,49319,-36.2,3.84,,Brighton and Hove Albion
9,Phil,Foden,11672,CF,Manchester City,49320,-36.53,3.68,,Brighton and Hove Albion
10,Phil,Foden,11672,CF,Manchester City,49321,-36.77,3.47,,Brighton and Hove Albion
11,Phil,Foden,11672,CF,Manchester City,49322,-36.94,3.31,,Brighton and Hove Albion
12,Phil,Foden,11672,CF,Manchester City,49323,-37.14,3.25,,Brighton and Hove Albion
13,Phil,Foden,11672,CF,Manchester City,49324,-37.31,3.13,,Brighton and Hove Albion
14,Phil,Foden,11672,CF,Manchester City,49325,-37.51,3.03,,Brighton and Hove Albion
15,Phil,Foden,11672,CF,Manchester City,49326,-37.66,2.87,,Brighton and Hove Albion
16,Phil,Foden,11672,CF,Manchester City,49327,-37.75,2.71,,Brighton and Hove Albion
17,Phil,Foden,11672,CF,Manchester City,49328,-37.81,2.57,,Brighton and Hove Albion
18,Phil,Foden,11672,CF,Manchester City,49329,-37.9,2.49,,Brighton and Hove Albion
19,Phil,Foden,11672,CF,Manchester City,49330,-38.0,2.48,,Brighton and Hove Albion
20,Phil,Foden,11672,CF,Manchester City,49331,-38.11,2.54,,Brighton and Hove Albion
21,Phil,Foden,11672,CF,Manchester City,49332,-38.15,2.63,,Brighton and Hove Albion
22,Phil,Foden,11672,CF,Manchester City,49333,-38.02,2.63,,Brighton and Hove Albion
23,Phil,Foden,11672,CF,Manchester City,49334,-37.82,2.63,,Brighton and Hove Albion
24,Phil,Foden,11672,CF,Manchester City,49335,-37.62,2.72,,Brighton and Hove Albion
25,Phil,Foden,11672,CF,Manchester City,49336,-37.42,2.85,,Brighton and Hove Albion
26,Phil,Foden,11672,CF,Manchester City,49337,-37.18,2.97,,Brighton and Hove Albion
27,Phil,Foden,11672,CF,Manchester City,49338,-36.94,3.1,,Brighton and Hove Albion
28,Phil,Foden,11672,CF,Manchester City,49339,-36.67,3.22,,Brighton and Hove Albion
29,Phil,Foden,11672,CF,Manchester City,49340,-36.42,3.34,,Brighton and Hove Albion
30,Phil,Foden,11672,CF,Manchester City,49341,-36.12,3.47,,Brighton and Hove Albion
31,Phil,Foden,11672,CF,Manchester City,49342,-35.81,3.63,,Brighton and Hove Albion
32,Phil,Foden,11672,CF,Manchester City,49343,-35.49,3.81,,Brighton and Hove Albion
33,Phil,Foden,11672,CF,Manchester City,49344,-35.14,3.92,,Brighton and Hove Albion
34,Phil,Foden,11672,CF,Manchester City,49345,-34.82,4.1,,Brighton and Hove Albion
35,Phil,Foden,11672,CF,Manchester City,49346,-34.49,4.26,,Brighton and Hove Albion
36,Phil,Foden,11672,CF,Manchester City,49347,-34.07,4.28,,Brighton and Hove Albion
37,Phil,Foden,11672,CF,Manchester City,49348,-33.58,4.31,,Brighton and Hove Albion
38,Phil,Foden,11672,CF,Manchester City,49349,-33.14,4.41,,Brighton and Hove Albion
39,Phil,Foden,11672,CF,Manchester City,49350,-32.66,4.44,,Brighton and Hove Albion
40,Phil,Foden,11672,CF,Manchester City,49351,-32.15,4.52,,Brighton and Hove Albion
41,Phil,Foden,11672,CF,Manchester City,49352,-31.68,4.64,,Brighton and Hove Albion
42,Phil,Foden,11672,CF,Manchester City,49353,-31.2,4.69,,Brighton and Hove Albion
43,Phil,Foden,11672,CF,Manchester City,49354,-30.62,4.7,,Brighton and Hove Albion
44,Phil,Foden,11672,CF,Manchester City,49355,-30.11,4.79,,Brighton and Hove Albion
45,Phil,Foden,11672,CF,Manchester City,49356,-29.59,4.89,,Brighton and Hove Albion
46,Phil,Foden,11672,CF,Manchester City,49357,-28.99,4.9,,Brighton and Hove Albion
47,Phil,Foden,11672,CF,Manchester City,49358,-28.45,5.02,,Brighton and Hove Albion
48,Phil,Foden,11672,CF,Manchester City,49359,-27.91,5.11,,Brighton and Hove Albion
49,Phil,Foden,11672,CF,Manchester City,49360,-27.27,5.1,,Brighton and Hove Albion
50,Phil,Foden,11672,CF,Manchester City,49361,-26.69,5.22,,Brighton and Hove Albion
51,Phil,Foden,11672,CF,Manchester City,49362,-26.12,5.29,,Brighton and Hove Albion
52,Phil,Foden,11672,CF,Manchester City,49363,-25.5,5.42,,Brighton and Hove Albion
53,Phil,Foden,11672,CF,Manchester City,49364,-24.92,5.64,,Brighton and Hove Albion
54,Phil,Foden,11672,CF,Manchester City,49365,-24.27,5.7,,Brighton and Hove Albion
55,Phil,Foden,11672,CF,Manchester City,49366,-23.57,5.68,,Brighton and Hove Albion
56,Phil,Foden,11672,CF,Manchester City,49367,-22.9,5.73,,Brighton and Hove Albion
57,Phil,Foden,11672,CF,Manchester City,49368,-22.24,5.66,,Brighton and Hove Albion
