,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Rodrigo,Hernandez,9202,CM,Manchester City,3,9.74,-0.82,,Manchester City
1,Rodrigo,Hernandez,9202,CM,Manchester City,4,9.88,-0.75,,Manchester City
2,Rodrigo,Hernandez,9202,CM,Manchester City,5,9.99,-0.65,,Manchester City
3,Rodrigo,Hernandez,9202,CM,Manchester City,6,10.08,-0.52,,Manchester City
4,Rodrigo,Hernandez,9202,CM,Manchester City,7,10.15,-0.14,,Manchester City
5,Rodrigo,Hernandez,9202,CM,Manchester City,8,10.16,-0.09,,Manchester City
6,Rodrigo,Hernandez,9202,CM,Manchester City,9,10.21,-0.25,,Manchester City
7,Rodrigo,Hernandez,9202,CM,Manchester City,10,10.32,-0.27,,Manchester City
8,Rodrigo,Hernandez,9202,CM,Manchester City,11,10.47,-0.02,,Manchester City
9,Rodrigo,Hernandez,9202,CM,Manchester City,12,10.62,0.21,,Manchester City
10,Rodrigo,Hernandez,9202,CM,Manchester City,13,10.79,0.5,,Manchester City
11,Rodrigo,Hernandez,9202,CM,Manchester City,14,10.94,0.47,,Manchester City
12,Rodrigo,Hernandez,9202,CM,Manchester City,15,11.05,0.21,,Manchester City
13,Rodrigo,Hernandez,9202,CM,Manchester City,16,11.18,0.08,,Manchester City
14,Rodrigo,Hernandez,9202,CM,Manchester City,17,11.29,-0.04,,Manchester City
15,Rodrigo,Hernandez,9202,CM,Manchester City,18,11.42,-0.08,,Manchester City
16,Rodrigo,Hernandez,9202,CM,Manchester City,19,11.5,-0.33,,Manchester City
17,Rodrigo,Hernandez,9202,CM,Manchester City,20,11.56,-0.72,,Manchester City
18,Rodrigo,Hernandez,9202,CM,Manchester City,21,11.61,-1.16,,Manchester City
19,Rodrigo,Hernandez,9202,CM,Manchester City,22,11.67,-1.6,,Manchester City
20,Rodrigo,Hernandez,9202,CM,Manchester City,23,11.83,-1.48,,Manchester City
21,Rodrigo,Hernandez,9202,CM,Manchester City,24,12.07,-1.07,,Manchester City
22,Rodrigo,Hernandez,9202,CM,Manchester City,25,12.32,-0.62,,Manchester City
23,Rodrigo,Hernandez,9202,CM,Manchester City,26,12.58,-0.25,,Manchester City
24,Rodrigo,Hernandez,9202,CM,Manchester City,27,12.79,-0.1,,Manchester City
25,Rodrigo,Hernandez,9202,CM,Manchester City,28,12.87,-0.38,,Manchester City
26,Rodrigo,Hernandez,9202,CM,Manchester City,29,12.95,-0.46,,Manchester City
27,Rodrigo,Hernandez,9202,CM,Manchester City,30,13.04,-0.64,,Manchester City
28,Rodrigo,Hernandez,9202,CM,Manchester City,31,13.18,-0.62,,Manchester City
29,Rodrigo,Hernandez,9202,CM,Manchester City,32,13.32,-0.69,,Manchester City
30,Rodrigo,Hernandez,9202,CM,Manchester City,33,13.45,-0.79,,Manchester City
31,Rodrigo,Hernandez,9202,CM,Manchester City,34,13.54,-0.98,,Manchester City
32,Rodrigo,Hernandez,9202,CM,Manchester City,35,13.62,-1.06,,Manchester City
33,Rodrigo,Hernandez,9202,CM,Manchester City,36,13.71,-1.11,,Manchester City
34,Rodrigo,Hernandez,9202,CM,Manchester City,37,13.8,-1.14,,Manchester City
35,Rodrigo,Hernandez,9202,CM,Manchester City,38,13.89,-1.24,,Manchester City
36,Rodrigo,Hernandez,9202,CM,Manchester City,39,13.97,-1.29,,Manchester City
37,Rodrigo,Hernandez,9202,CM,Manchester City,40,14.02,-1.35,,Manchester City
38,Rodrigo,Hernandez,9202,CM,Manchester City,41,14.1,-1.36,,Manchester City
39,Rodrigo,Hernandez,9202,CM,Manchester City,42,14.18,-1.38,,Manchester City
40,Rodrigo,Hernandez,9202,CM,Manchester City,43,14.27,-1.37,,Manchester City
41,Rodrigo,Hernandez,9202,CM,Manchester City,44,14.35,-1.39,,Manchester City
42,Rodrigo,Hernandez,9202,CM,Manchester City,45,14.43,-1.38,,Manchester City
43,Rodrigo,Hernandez,9202,CM,Manchester City,46,14.49,-1.36,,Manchester City
44,Rodrigo,Hernandez,9202,CM,Manchester City,47,14.57,-1.33,,Manchester City
45,Rodrigo,Hernandez,9202,CM,Manchester City,48,14.65,-1.25,,Manchester City
46,Rodrigo,Hernandez,9202,CM,Manchester City,49,14.75,-1.14,,Manchester City
47,Rodrigo,Hernandez,9202,CM,Manchester City,50,14.84,-1.09,,Manchester City
