,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Yves,Bissouma,11865,RM,Brighton and Hove Albion,6,-7.61,3.2,,Manchester City
1,Yves,Bissouma,11865,RM,Brighton and Hove Albion,7,-8.3,2.65,,Manchester City
2,Yves,Bissouma,11865,RM,Brighton and Hove Albion,8,-8.83,2.26,,Manchester City
3,Yves,Bissouma,11865,RM,Brighton and Hove Albion,9,-9.2,2.02,,Manchester City
4,Yves,Bissouma,11865,RM,Brighton and Hove Albion,10,-9.46,1.95,,Manchester City
5,Yves,Bissouma,11865,RM,Brighton and Hove Albion,11,-9.36,2.13,,Manchester City
6,Yves,Bissouma,11865,RM,Brighton and Hove Albion,12,-9.39,2.15,,Manchester City
7,Yves,Bissouma,11865,RM,Brighton and Hove Albion,13,-9.42,2.17,,Manchester City
8,Yves,Bissouma,11865,RM,Brighton and Hove Albion,14,-9.46,2.31,,Manchester City
9,Yves,Bissouma,11865,RM,Brighton and Hove Albion,15,-9.5,2.4,,Manchester City
10,Yves,Bissouma,11865,RM,Brighton and Hove Albion,16,-9.54,2.52,,Manchester City
11,Yves,Bissouma,11865,RM,Brighton and Hove Albion,17,-9.56,2.59,,Manchester City
12,Yves,Bissouma,11865,RM,Brighton and Hove Albion,18,-9.59,2.67,,Manchester City
13,Yves,Bissouma,11865,RM,Brighton and Hove Albion,19,-9.61,2.71,,Manchester City
14,Yves,Bissouma,11865,RM,Brighton and Hove Albion,20,-9.62,2.73,,Manchester City
15,Yves,Bissouma,11865,RM,Brighton and Hove Albion,21,-9.62,2.7,,Manchester City
16,Yves,Bissouma,11865,RM,Brighton and Hove Albion,22,-9.62,2.73,,Manchester City
17,Yves,Bissouma,11865,RM,Brighton and Hove Albion,23,-9.63,2.79,,Manchester City
18,Yves,Bissouma,11865,RM,Brighton and Hove Albion,24,-9.66,2.93,,Manchester City
19,Yves,Bissouma,11865,RM,Brighton and Hove Albion,25,-9.71,3.08,,Manchester City
20,Yves,Bissouma,11865,RM,Brighton and Hove Albion,26,-9.76,3.17,,Manchester City
21,Yves,Bissouma,11865,RM,Brighton and Hove Albion,27,-9.8,3.21,,Manchester City
22,Yves,Bissouma,11865,RM,Brighton and Hove Albion,28,-9.84,3.31,,Manchester City
23,Yves,Bissouma,11865,RM,Brighton and Hove Albion,29,-9.89,3.42,,Manchester City
24,Yves,Bissouma,11865,RM,Brighton and Hove Albion,30,-9.94,3.5,,Manchester City
25,Yves,Bissouma,11865,RM,Brighton and Hove Albion,31,-9.97,3.52,,Manchester City
26,Yves,Bissouma,11865,RM,Brighton and Hove Albion,32,-9.99,3.46,,Manchester City
27,Yves,Bissouma,11865,RM,Brighton and Hove Albion,33,-9.99,3.35,,Manchester City
28,Yves,Bissouma,11865,RM,Brighton and Hove Albion,34,-10.0,3.35,,Manchester City
29,Yves,Bissouma,11865,RM,Brighton and Hove Albion,35,-10.02,3.42,,Manchester City
30,Yves,Bissouma,11865,RM,Brighton and Hove Albion,36,-10.04,3.54,,Manchester City
31,Yves,Bissouma,11865,RM,Brighton and Hove Albion,37,-10.08,3.78,,Manchester City
32,Yves,Bissouma,11865,RM,Brighton and Hove Albion,38,-10.11,4.05,,Manchester City
33,Yves,Bissouma,11865,RM,Brighton and Hove Albion,39,-10.12,4.17,,Manchester City
34,Yves,Bissouma,11865,RM,Brighton and Hove Albion,40,-10.14,4.23,,Manchester City
35,Yves,Bissouma,11865,RM,Brighton and Hove Albion,41,-10.13,4.09,,Manchester City
36,Yves,Bissouma,11865,RM,Brighton and Hove Albion,42,-10.15,4.06,,Manchester City
37,Yves,Bissouma,11865,RM,Brighton and Hove Albion,43,-10.2,4.24,,Manchester City
38,Yves,Bissouma,11865,RM,Brighton and Hove Albion,44,-10.26,4.52,,Manchester City
39,Yves,Bissouma,11865,RM,Brighton and Hove Albion,45,-10.31,4.76,,Manchester City
40,Yves,Bissouma,11865,RM,Brighton and Hove Albion,46,-10.35,4.89,,Manchester City
41,Yves,Bissouma,11865,RM,Brighton and Hove Albion,47,-10.35,4.89,,Manchester City
42,Yves,Bissouma,11865,RM,Brighton and Hove Albion,48,-10.36,4.9,,Manchester City
43,Yves,Bissouma,11865,RM,Brighton and Hove Albion,49,-10.35,4.9,,Manchester City
44,Yves,Bissouma,11865,RM,Brighton and Hove Albion,50,-10.33,4.89,,Manchester City
45,Yves,Bissouma,11865,RM,Brighton and Hove Albion,51,-10.3,4.84,,Manchester City
46,Yves,Bissouma,11865,RM,Brighton and Hove Albion,52,-10.27,4.79,,Manchester City
47,Yves,Bissouma,11865,RM,Brighton and Hove Albion,53,-10.23,4.78,,Manchester City
48,Yves,Bissouma,11865,RM,Brighton and Hove Albion,54,-10.22,4.81,,Manchester City
49,Yves,Bissouma,11865,RM,Brighton and Hove Albion,55,-10.21,4.85,,Manchester City
50,Yves,Bissouma,11865,RM,Brighton and Hove Albion,56,-10.2,4.84,,Manchester City
51,Yves,Bissouma,11865,RM,Brighton and Hove Albion,57,-10.23,4.82,,Manchester City
52,Yves,Bissouma,11865,RM,Brighton and Hove Albion,58,-10.27,4.81,,Manchester City
53,Yves,Bissouma,11865,RM,Brighton and Hove Albion,59,-10.31,4.78,,Manchester City
54,Yves,Bissouma,11865,RM,Brighton and Hove Albion,60,-10.36,4.79,,Manchester City
55,Yves,Bissouma,11865,RM,Brighton and Hove Albion,61,-10.39,4.87,,Manchester City
56,Yves,Bissouma,11865,RM,Brighton and Hove Albion,62,-10.43,4.89,,Manchester City
57,Yves,Bissouma,11865,RM,Brighton and Hove Albion,63,-10.48,4.93,,Manchester City
58,Yves,Bissouma,11865,RM,Brighton and Hove Albion,64,-10.53,4.93,,Manchester City
59,Yves,Bissouma,11865,RM,Brighton and Hove Albion,65,-10.57,4.85,,Manchester City
60,Yves,Bissouma,11865,RM,Brighton and Hove Albion,66,-10.62,4.75,,Manchester City
61,Yves,Bissouma,11865,RM,Brighton and Hove Albion,67,-10.66,4.7,,Manchester City
62,Yves,Bissouma,11865,RM,Brighton and Hove Albion,68,-10.71,4.66,,Manchester City
63,Yves,Bissouma,11865,RM,Brighton and Hove Albion,69,-10.75,4.66,,Manchester City
64,Yves,Bissouma,11865,RM,Brighton and Hove Albion,70,-10.79,4.64,,Manchester City
65,Yves,Bissouma,11865,RM,Brighton and Hove Albion,71,-10.81,4.62,,Manchester City
66,Yves,Bissouma,11865,RM,Brighton and Hove Albion,72,-10.84,4.6,,Manchester City
67,Yves,Bissouma,11865,RM,Brighton and Hove Albion,73,-10.86,4.6,,Manchester City
68,Yves,Bissouma,11865,RM,Brighton and Hove Albion,74,-10.88,4.66,11566.0,Manchester City
69,Yves,Bissouma,11865,RM,Brighton and Hove Albion,75,-10.89,4.69,11566.0,Manchester City
70,Yves,Bissouma,11865,RM,Brighton and Hove Albion,76,-10.9,4.7,11566.0,Manchester City
71,Yves,Bissouma,11865,RM,Brighton and Hove Albion,77,-10.89,4.72,11566.0,Manchester City
72,Yves,Bissouma,11865,RM,Brighton and Hove Albion,78,-10.89,4.68,11566.0,Manchester City
73,Yves,Bissouma,11865,RM,Brighton and Hove Albion,79,-10.89,4.67,11566.0,Manchester City
74,Yves,Bissouma,11865,RM,Brighton and Hove Albion,80,-10.88,4.66,11566.0,Manchester City
75,Yves,Bissouma,11865,RM,Brighton and Hove Albion,81,-10.88,4.66,11566.0,Manchester City
76,Yves,Bissouma,11865,RM,Brighton and Hove Albion,82,-10.88,4.68,11566.0,Manchester City
77,Yves,Bissouma,11865,RM,Brighton and Hove Albion,83,-10.87,4.68,11566.0,Manchester City
78,Yves,Bissouma,11865,RM,Brighton and Hove Albion,84,-10.86,4.67,11566.0,Manchester City
79,Yves,Bissouma,11865,RM,Brighton and Hove Albion,85,-10.87,4.64,11566.0,Manchester City
80,Yves,Bissouma,11865,RM,Brighton and Hove Albion,86,-10.87,4.62,11566.0,Manchester City
81,Yves,Bissouma,11865,RM,Brighton and Hove Albion,87,-10.86,4.59,11566.0,Manchester City
82,Yves,Bissouma,11865,RM,Brighton and Hove Albion,88,-10.86,4.58,11566.0,Manchester City
83,Yves,Bissouma,11865,RM,Brighton and Hove Albion,89,-10.84,4.58,11566.0,Manchester City
84,Yves,Bissouma,11865,RM,Brighton and Hove Albion,90,-10.84,4.61,11566.0,Manchester City
85,Yves,Bissouma,11865,RM,Brighton and Hove Albion,91,-10.84,4.66,11566.0,Manchester City
86,Yves,Bissouma,11865,RM,Brighton and Hove Albion,92,-10.85,4.68,11566.0,Manchester City
87,Yves,Bissouma,11865,RM,Brighton and Hove Albion,93,-10.84,4.7,11566.0,Manchester City
88,Yves,Bissouma,11865,RM,Brighton and Hove Albion,94,-10.83,4.7,11566.0,Manchester City
89,Yves,Bissouma,11865,RM,Brighton and Hove Albion,95,-10.81,4.68,11566.0,Manchester City
90,Yves,Bissouma,11865,RM,Brighton and Hove Albion,96,-10.78,4.66,11566.0,Manchester City
91,Yves,Bissouma,11865,RM,Brighton and Hove Albion,97,-10.76,4.65,11566.0,Manchester City
92,Yves,Bissouma,11865,RM,Brighton and Hove Albion,98,-10.74,4.63,11566.0,Manchester City
93,Yves,Bissouma,11865,RM,Brighton and Hove Albion,99,-10.72,4.66,11566.0,Manchester City
94,Yves,Bissouma,11865,RM,Brighton and Hove Albion,100,-10.72,4.68,11566.0,Manchester City
95,Yves,Bissouma,11865,RM,Brighton and Hove Albion,101,-10.72,4.71,11566.0,Manchester City
96,Yves,Bissouma,11865,RM,Brighton and Hove Albion,102,-10.72,4.73,11566.0,Manchester City
97,Yves,Bissouma,11865,RM,Brighton and Hove Albion,103,-10.72,4.72,11566.0,Manchester City
98,Yves,Bissouma,11865,RM,Brighton and Hove Albion,104,-10.71,4.71,11566.0,Manchester City
99,Yves,Bissouma,11865,RM,Brighton and Hove Albion,105,-10.72,4.74,11566.0,Manchester City
100,Yves,Bissouma,11865,RM,Brighton and Hove Albion,106,-10.72,4.74,11566.0,Manchester City
101,Yves,Bissouma,11865,RM,Brighton and Hove Albion,107,-10.71,4.74,11566.0,Manchester City
102,Yves,Bissouma,11865,RM,Brighton and Hove Albion,108,-10.71,4.73,11566.0,Manchester City
103,Yves,Bissouma,11865,RM,Brighton and Hove Albion,109,-10.7,4.69,11566.0,Manchester City
104,Yves,Bissouma,11865,RM,Brighton and Hove Albion,110,-10.7,4.69,11566.0,Manchester City
