,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Billy,Gilmour,24050,LW,Chelsea,66141,-5.73,6.63,4460.0,Manchester City
1,Billy,Gilmour,24050,LW,Chelsea,66142,-5.48,7.0,4460.0,Manchester City
2,Billy,Gilmour,24050,LW,Chelsea,66143,-5.16,7.21,4460.0,Manchester City
3,Billy,Gilmour,24050,LW,Chelsea,66144,-4.84,7.37,4460.0,Manchester City
4,Billy,Gilmour,24050,LW,Chelsea,66145,-4.55,7.52,4460.0,Manchester City
5,Billy,Gilmour,24050,LW,Chelsea,66146,-4.3,7.84,4460.0,Manchester City
6,Billy,Gilmour,24050,LW,Chelsea,66147,-4.09,8.31,4460.0,Manchester City
7,Billy,Gilmour,24050,LW,Chelsea,66148,-3.89,8.76,4460.0,Manchester City
8,Billy,Gilmour,24050,LW,Chelsea,66149,-3.7,9.1,4460.0,Manchester City
9,Billy,Gilmour,24050,LW,Chelsea,66150,-3.48,9.29,4460.0,Manchester City
10,Billy,Gilmour,24050,LW,Chelsea,66151,-3.27,9.54,4460.0,Manchester City
11,Billy,Gilmour,24050,LW,Chelsea,66152,-3.01,9.82,,Manchester City
12,Billy,Gilmour,24050,LW,Chelsea,66153,-2.74,10.01,,Manchester City
13,Billy,Gilmour,24050,LW,Chelsea,66154,-2.55,10.18,,Manchester City
14,Billy,Gilmour,24050,LW,Chelsea,66155,-2.48,10.28,,Manchester City
15,Billy,Gilmour,24050,LW,Chelsea,66156,-2.54,10.59,,Manchester City
16,Billy,Gilmour,24050,LW,Chelsea,66157,-2.71,11.25,,Manchester City
17,Billy,Gilmour,24050,LW,Chelsea,66158,-2.93,11.89,,Manchester City
18,Billy,Gilmour,24050,LW,Chelsea,66159,-3.2,12.35,,Manchester City
19,Billy,Gilmour,24050,LW,Chelsea,66160,-3.44,12.68,,Manchester City
20,Billy,Gilmour,24050,LW,Chelsea,66161,-3.72,12.66,2501.0,Manchester City
21,Billy,Gilmour,24050,LW,Chelsea,66162,-4.04,12.78,2501.0,Manchester City
22,Billy,Gilmour,24050,LW,Chelsea,66163,-4.39,12.95,2501.0,Manchester City
23,Billy,Gilmour,24050,LW,Chelsea,66164,-4.8,13.01,,Manchester City
24,Billy,Gilmour,24050,LW,Chelsea,66165,-5.24,12.98,,Manchester City
25,Billy,Gilmour,24050,LW,Chelsea,66166,-5.7,13.1,,Manchester City
26,Billy,Gilmour,24050,LW,Chelsea,66167,-6.16,13.06,,Manchester City
27,Billy,Gilmour,24050,LW,Chelsea,66168,-6.59,13.1,,Manchester City
28,Billy,Gilmour,24050,LW,Chelsea,66169,-6.98,13.16,,Manchester City
29,Billy,Gilmour,24050,LW,Chelsea,66170,-7.35,13.19,,Manchester City
30,Billy,Gilmour,24050,LW,Chelsea,66171,-7.72,13.18,,Manchester City
31,Billy,Gilmour,24050,LW,Chelsea,66172,-8.09,13.44,,Manchester City
32,Billy,Gilmour,24050,LW,Chelsea,66173,-8.48,13.69,,Manchester City
33,Billy,Gilmour,24050,LW,Chelsea,66174,-8.84,13.81,,Manchester City
34,Billy,Gilmour,24050,LW,Chelsea,66175,-9.09,13.79,,Manchester City
35,Billy,Gilmour,24050,LW,Chelsea,66176,-9.24,13.77,,Manchester City
36,Billy,Gilmour,24050,LW,Chelsea,66177,-9.31,13.85,,Manchester City
37,Billy,Gilmour,24050,LW,Chelsea,66178,-9.27,14.09,,Manchester City
38,Billy,Gilmour,24050,LW,Chelsea,66179,-9.25,14.44,,Manchester City
39,Billy,Gilmour,24050,LW,Chelsea,66180,-9.25,14.6,,Manchester City
40,Billy,Gilmour,24050,LW,Chelsea,66181,-9.25,14.67,,Manchester City
41,Billy,Gilmour,24050,LW,Chelsea,66182,-9.27,14.68,,Manchester City
42,Billy,Gilmour,24050,LW,Chelsea,66183,-9.31,14.73,,Manchester City
43,Billy,Gilmour,24050,LW,Chelsea,66184,-9.39,14.72,,Manchester City
44,Billy,Gilmour,24050,LW,Chelsea,66185,-9.48,14.58,,Manchester City
45,Billy,Gilmour,24050,LW,Chelsea,66186,-9.56,14.35,,Manchester City
46,Billy,Gilmour,24050,LW,Chelsea,66187,-9.61,13.83,,Manchester City
47,Billy,Gilmour,24050,LW,Chelsea,66188,-9.64,13.14,,Manchester City
48,Billy,Gilmour,24050,LW,Chelsea,66189,-9.65,12.51,,Manchester City
49,Billy,Gilmour,24050,LW,Chelsea,66190,-9.71,12.04,,Manchester City
50,Billy,Gilmour,24050,LW,Chelsea,66191,-9.79,11.78,,Manchester City
51,Billy,Gilmour,24050,LW,Chelsea,66192,-9.76,11.65,,Manchester City
52,Billy,Gilmour,24050,LW,Chelsea,66193,-9.66,11.24,,Manchester City
53,Billy,Gilmour,24050,LW,Chelsea,66194,-9.48,10.91,,Manchester City
54,Billy,Gilmour,24050,LW,Chelsea,66195,-9.2,10.37,,Manchester City
55,Billy,Gilmour,24050,LW,Chelsea,66196,-8.89,9.86,,Manchester City
56,Billy,Gilmour,24050,LW,Chelsea,66197,-8.62,9.46,4460.0,Manchester City
57,Billy,Gilmour,24050,LW,Chelsea,66198,-8.4,9.15,,Manchester City
58,Billy,Gilmour,24050,LW,Chelsea,66199,-8.21,8.77,,Manchester City
59,Billy,Gilmour,24050,LW,Chelsea,66200,-8.07,8.56,,Manchester City
60,Billy,Gilmour,24050,LW,Chelsea,66201,-7.93,8.19,,Manchester City
61,Billy,Gilmour,24050,LW,Chelsea,66202,-7.92,8.06,,Manchester City
62,Billy,Gilmour,24050,LW,Chelsea,66203,-7.99,8.26,,Manchester City
63,Billy,Gilmour,24050,LW,Chelsea,66204,-8.18,8.63,,Manchester City
64,Billy,Gilmour,24050,LW,Chelsea,66205,-8.35,8.83,,Manchester City
65,Billy,Gilmour,24050,LW,Chelsea,66206,-8.49,8.89,,Manchester City
66,Billy,Gilmour,24050,LW,Chelsea,66207,-8.6,8.95,,Manchester City
67,Billy,Gilmour,24050,LW,Chelsea,66208,-8.74,8.97,,Manchester City
68,Billy,Gilmour,24050,LW,Chelsea,66209,-8.89,9.1,,Manchester City
69,Billy,Gilmour,24050,LW,Chelsea,66210,-9.04,9.31,,Manchester City
70,Billy,Gilmour,24050,LW,Chelsea,66211,-9.22,9.56,,Manchester City
71,Billy,Gilmour,24050,LW,Chelsea,66212,-9.36,9.67,,Manchester City
72,Billy,Gilmour,24050,LW,Chelsea,66213,-9.55,9.7,,Manchester City
73,Billy,Gilmour,24050,LW,Chelsea,66214,-9.68,9.56,,Manchester City
74,Billy,Gilmour,24050,LW,Chelsea,66215,-9.8,9.51,,Manchester City
75,Billy,Gilmour,24050,LW,Chelsea,66216,-9.84,9.56,,Manchester City
76,Billy,Gilmour,24050,LW,Chelsea,66217,-9.83,9.77,,Manchester City
77,Billy,Gilmour,24050,LW,Chelsea,66218,-9.73,9.92,,Manchester City
78,Billy,Gilmour,24050,LW,Chelsea,66219,-9.64,9.98,,Manchester City
79,Billy,Gilmour,24050,LW,Chelsea,66220,-9.52,9.92,,Manchester City
80,Billy,Gilmour,24050,LW,Chelsea,66221,-9.42,9.9,,Manchester City
81,Billy,Gilmour,24050,LW,Chelsea,66222,-9.3,9.65,,Manchester City
82,Billy,Gilmour,24050,LW,Chelsea,66223,-9.19,9.33,,Manchester City
83,Billy,Gilmour,24050,LW,Chelsea,66224,-9.11,9.05,,Manchester City
84,Billy,Gilmour,24050,LW,Chelsea,66225,-9.09,8.94,,Manchester City
85,Billy,Gilmour,24050,LW,Chelsea,66226,-9.08,8.78,,Manchester City
86,Billy,Gilmour,24050,LW,Chelsea,66227,-9.08,8.68,,Manchester City
87,Billy,Gilmour,24050,LW,Chelsea,66228,-9.06,8.34,,Manchester City
88,Billy,Gilmour,24050,LW,Chelsea,66229,-9.02,7.98,,Manchester City
89,Billy,Gilmour,24050,LW,Chelsea,66230,-9.0,7.63,6037.0,Manchester City
90,Billy,Gilmour,24050,LW,Chelsea,66231,-8.96,7.31,6037.0,Manchester City
91,Billy,Gilmour,24050,LW,Chelsea,66232,-8.92,7.06,6037.0,Manchester City
92,Billy,Gilmour,24050,LW,Chelsea,66233,-8.9,6.86,6037.0,Manchester City
93,Billy,Gilmour,24050,LW,Chelsea,66234,-8.87,6.58,6037.0,Manchester City
94,Billy,Gilmour,24050,LW,Chelsea,66235,-8.86,6.3,6037.0,Manchester City
95,Billy,Gilmour,24050,LW,Chelsea,66236,-8.84,6.07,6037.0,Manchester City
96,Billy,Gilmour,24050,LW,Chelsea,66237,-8.81,5.72,6037.0,Manchester City
97,Billy,Gilmour,24050,LW,Chelsea,66238,-8.76,5.35,6037.0,Manchester City
98,Billy,Gilmour,24050,LW,Chelsea,66239,-8.73,5.04,6037.0,Manchester City
99,Billy,Gilmour,24050,LW,Chelsea,66240,-8.69,4.72,6037.0,Manchester City
100,Billy,Gilmour,24050,LW,Chelsea,66241,-8.65,4.35,6037.0,Manchester City
101,Billy,Gilmour,24050,LW,Chelsea,66242,-8.62,4.18,6037.0,Manchester City
102,Billy,Gilmour,24050,LW,Chelsea,66243,-8.6,3.95,6037.0,Manchester City
