,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,David,Silva,2501,CM,Manchester City,44529,5.16,-21.95,,Manchester City
1,David,Silva,2501,CM,Manchester City,44530,5.5,-22.01,,Manchester City
2,David,Silva,2501,CM,Manchester City,44531,5.86,-22.05,,Manchester City
3,David,Silva,2501,CM,Manchester City,44532,6.24,-22.07,,Manchester City
4,David,Silva,2501,CM,Manchester City,44533,6.63,-22.08,,Manchester City
5,David,Silva,2501,CM,Manchester City,44534,7.06,-22.05,,Manchester City
6,David,Silva,2501,CM,Manchester City,44535,7.49,-22.04,,Manchester City
7,David,Silva,2501,CM,Manchester City,44536,7.9,-22.01,,Manchester City
8,David,Silva,2501,CM,Manchester City,44537,8.31,-21.91,,Manchester City
9,David,Silva,2501,CM,Manchester City,44538,8.73,-21.86,,Manchester City
10,David,Silva,2501,CM,Manchester City,44539,9.11,-21.87,,Manchester City
11,David,Silva,2501,CM,Manchester City,44540,9.53,-21.75,,Manchester City
12,David,Silva,2501,CM,Manchester City,44541,9.95,-21.58,,Manchester City
13,David,Silva,2501,CM,Manchester City,44542,10.32,-21.47,,Manchester City
14,David,Silva,2501,CM,Manchester City,44543,10.79,-21.15,,Manchester City
15,David,Silva,2501,CM,Manchester City,44544,11.25,-20.91,,Manchester City
16,David,Silva,2501,CM,Manchester City,44545,11.64,-20.79,,Manchester City
17,David,Silva,2501,CM,Manchester City,44546,12.08,-20.53,,Manchester City
18,David,Silva,2501,CM,Manchester City,44547,12.54,-20.23,,Manchester City
19,David,Silva,2501,CM,Manchester City,44548,13.01,-19.87,,Manchester City
20,David,Silva,2501,CM,Manchester City,44561,17.66,-17.45,,Manchester City
21,David,Silva,2501,CM,Manchester City,44562,17.98,-17.4,,Manchester City
22,David,Silva,2501,CM,Manchester City,44563,18.3,-17.32,,Manchester City
23,David,Silva,2501,CM,Manchester City,44564,18.61,-17.21,,Manchester City
24,David,Silva,2501,CM,Manchester City,44565,18.93,-17.09,,Manchester City
25,David,Silva,2501,CM,Manchester City,44566,19.25,-16.93,,Manchester City
