,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Raheem,Sterling,55,CF,Manchester City,171,0.15,0.43,8216.0,Manchester City
1,Raheem,Sterling,55,CF,Manchester City,172,0.15,0.68,8216.0,Manchester City
2,Raheem,Sterling,55,CF,Manchester City,173,0.15,0.76,8216.0,Manchester City
3,Raheem,Sterling,55,CF,Manchester City,174,0.15,0.68,8216.0,Manchester City
4,Raheem,Sterling,55,CF,Manchester City,175,0.15,0.71,8216.0,Manchester City
5,Raheem,Sterling,55,CF,Manchester City,176,0.15,0.74,8216.0,Manchester City
6,Raheem,Sterling,55,CF,Manchester City,177,0.15,0.76,8216.0,Manchester City
7,Raheem,Sterling,55,CF,Manchester City,178,0.16,0.79,8216.0,Manchester City
8,Raheem,Sterling,55,CF,Manchester City,179,0.17,0.81,8216.0,Manchester City
9,Raheem,Sterling,55,CF,Manchester City,180,0.18,0.83,8216.0,Manchester City
10,Raheem,Sterling,55,CF,Manchester City,181,0.18,0.81,8216.0,Manchester City
11,Raheem,Sterling,55,CF,Manchester City,182,0.17,0.8,8216.0,Manchester City
12,Raheem,Sterling,55,CF,Manchester City,183,0.17,0.79,8216.0,Manchester City
13,Raheem,Sterling,55,CF,Manchester City,184,0.16,0.79,8216.0,Manchester City
14,Raheem,Sterling,55,CF,Manchester City,185,0.15,0.8,8216.0,Manchester City
15,Raheem,Sterling,55,CF,Manchester City,186,0.14,0.78,8216.0,Manchester City
16,Raheem,Sterling,55,CF,Manchester City,187,0.15,0.77,8216.0,Manchester City
17,Raheem,Sterling,55,CF,Manchester City,188,0.15,0.77,8216.0,Manchester City
18,Raheem,Sterling,55,CF,Manchester City,189,0.15,0.78,8216.0,Manchester City
19,Raheem,Sterling,55,CF,Manchester City,190,0.15,0.8,8216.0,Manchester City
20,Raheem,Sterling,55,CF,Manchester City,191,0.14,0.78,8216.0,Manchester City
21,Raheem,Sterling,55,CF,Manchester City,192,0.14,0.76,8216.0,Manchester City
22,Raheem,Sterling,55,CF,Manchester City,193,0.14,0.76,8216.0,Manchester City
23,Raheem,Sterling,55,CF,Manchester City,194,0.15,0.76,8216.0,Manchester City
24,Raheem,Sterling,55,CF,Manchester City,195,0.14,0.77,8216.0,Manchester City
25,Raheem,Sterling,55,CF,Manchester City,196,0.15,0.76,8216.0,Manchester City
26,Raheem,Sterling,55,CF,Manchester City,197,0.14,0.75,8216.0,Manchester City
27,Raheem,Sterling,55,CF,Manchester City,198,0.15,0.74,8216.0,Manchester City
28,Raheem,Sterling,55,CF,Manchester City,199,0.15,0.73,8216.0,Manchester City
29,Raheem,Sterling,55,CF,Manchester City,200,0.16,0.71,8216.0,Manchester City
30,Raheem,Sterling,55,CF,Manchester City,201,0.16,0.7,8216.0,Manchester City
31,Raheem,Sterling,55,CF,Manchester City,202,0.16,0.7,8216.0,Manchester City
32,Raheem,Sterling,55,CF,Manchester City,203,0.15,0.7,8216.0,Manchester City
33,Raheem,Sterling,55,CF,Manchester City,204,0.14,0.69,8216.0,Manchester City
34,Raheem,Sterling,55,CF,Manchester City,205,0.15,0.68,8216.0,Manchester City
35,Raheem,Sterling,55,CF,Manchester City,206,0.15,0.66,8216.0,Manchester City
36,Raheem,Sterling,55,CF,Manchester City,207,0.15,0.66,8216.0,Manchester City
37,Raheem,Sterling,55,CF,Manchester City,208,0.15,0.64,8216.0,Manchester City
38,Raheem,Sterling,55,CF,Manchester City,209,0.15,0.63,8216.0,Manchester City
39,Raheem,Sterling,55,CF,Manchester City,210,0.15,0.63,8216.0,Manchester City
40,Raheem,Sterling,55,CF,Manchester City,211,0.14,0.66,8216.0,Manchester City
41,Raheem,Sterling,55,CF,Manchester City,212,0.14,0.65,8216.0,Manchester City
42,Raheem,Sterling,55,CF,Manchester City,213,0.14,0.67,8216.0,Manchester City
43,Raheem,Sterling,55,CF,Manchester City,214,0.15,0.64,8216.0,Manchester City
44,Raheem,Sterling,55,CF,Manchester City,215,0.15,0.63,8216.0,Manchester City
45,Raheem,Sterling,55,CF,Manchester City,216,0.15,0.63,8216.0,Manchester City
46,Raheem,Sterling,55,CF,Manchester City,217,0.15,0.63,8216.0,Manchester City
47,Raheem,Sterling,55,CF,Manchester City,218,0.15,0.62,8216.0,Manchester City
48,Raheem,Sterling,55,CF,Manchester City,219,0.15,0.59,8216.0,Manchester City
49,Raheem,Sterling,55,CF,Manchester City,220,0.14,0.56,8216.0,Manchester City
50,Raheem,Sterling,55,CF,Manchester City,221,0.15,0.68,8216.0,Manchester City
51,Raheem,Sterling,55,CF,Manchester City,222,0.14,0.79,8216.0,Manchester City
52,Raheem,Sterling,55,CF,Manchester City,223,0.15,0.89,8216.0,Manchester City
53,Raheem,Sterling,55,CF,Manchester City,224,0.15,0.91,8216.0,Manchester City
54,Raheem,Sterling,55,CF,Manchester City,225,0.15,0.87,8216.0,Manchester City
55,Raheem,Sterling,55,CF,Manchester City,226,0.14,0.85,8216.0,Manchester City
56,Raheem,Sterling,55,CF,Manchester City,227,0.14,0.84,8216.0,Manchester City
57,Raheem,Sterling,55,CF,Manchester City,228,0.13,0.81,8216.0,Manchester City
58,Raheem,Sterling,55,CF,Manchester City,229,0.12,0.79,8216.0,Manchester City
59,Raheem,Sterling,55,CF,Manchester City,230,0.11,0.75,8216.0,Manchester City
60,Raheem,Sterling,55,CF,Manchester City,231,0.12,0.76,8216.0,Manchester City
61,Raheem,Sterling,55,CF,Manchester City,232,0.12,0.75,8216.0,Manchester City
62,Raheem,Sterling,55,CF,Manchester City,233,0.11,0.76,8216.0,Manchester City
63,Raheem,Sterling,55,CF,Manchester City,234,0.11,0.76,8216.0,Manchester City
64,Raheem,Sterling,55,CF,Manchester City,235,0.1,0.75,8216.0,Manchester City
65,Raheem,Sterling,55,CF,Manchester City,236,0.11,0.74,8216.0,Manchester City
66,Raheem,Sterling,55,CF,Manchester City,237,0.12,0.73,8216.0,Manchester City
67,Raheem,Sterling,55,CF,Manchester City,238,0.12,0.73,8216.0,Manchester City
68,Raheem,Sterling,55,CF,Manchester City,239,0.13,0.73,8216.0,Manchester City
69,Raheem,Sterling,55,CF,Manchester City,240,0.13,0.74,8216.0,Manchester City
70,Raheem,Sterling,55,CF,Manchester City,241,0.13,0.79,8216.0,Manchester City
71,Raheem,Sterling,55,CF,Manchester City,242,0.13,0.77,8216.0,Manchester City
72,Raheem,Sterling,55,CF,Manchester City,243,0.14,0.69,8216.0,Manchester City
73,Raheem,Sterling,55,CF,Manchester City,244,0.13,0.58,8216.0,Manchester City
74,Raheem,Sterling,55,CF,Manchester City,245,0.11,0.51,8216.0,Manchester City
75,Raheem,Sterling,55,CF,Manchester City,246,0.1,0.46,8216.0,Manchester City
76,Raheem,Sterling,55,CF,Manchester City,247,0.09,0.47,8216.0,Manchester City
77,Raheem,Sterling,55,CF,Manchester City,248,0.08,0.47,8216.0,Manchester City
78,Raheem,Sterling,55,CF,Manchester City,249,0.08,0.47,8216.0,Manchester City
79,Raheem,Sterling,55,CF,Manchester City,250,0.08,0.48,8216.0,Manchester City
80,Raheem,Sterling,55,CF,Manchester City,251,0.1,0.49,8216.0,Manchester City
81,Raheem,Sterling,55,CF,Manchester City,252,0.11,0.5,8216.0,Manchester City
82,Raheem,Sterling,55,CF,Manchester City,253,0.11,0.49,8216.0,Manchester City
83,Raheem,Sterling,55,CF,Manchester City,254,0.11,0.47,8216.0,Manchester City
84,Raheem,Sterling,55,CF,Manchester City,255,0.1,0.46,8216.0,Manchester City
85,Raheem,Sterling,55,CF,Manchester City,256,0.1,0.45,8216.0,Manchester City
86,Raheem,Sterling,55,CF,Manchester City,257,0.1,0.46,8216.0,Manchester City
87,Raheem,Sterling,55,CF,Manchester City,258,0.1,0.45,8216.0,Manchester City
88,Raheem,Sterling,55,CF,Manchester City,259,0.11,0.45,8216.0,Manchester City
89,Raheem,Sterling,55,CF,Manchester City,260,0.12,0.44,8216.0,Manchester City
90,Raheem,Sterling,55,CF,Manchester City,261,0.12,0.37,8216.0,Manchester City
91,Raheem,Sterling,55,CF,Manchester City,262,0.11,0.35,8216.0,Manchester City
92,Raheem,Sterling,55,CF,Manchester City,263,0.11,0.34,8216.0,Manchester City
93,Raheem,Sterling,55,CF,Manchester City,264,0.12,0.37,8216.0,Manchester City
