,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Ivan,Perisic,4555,LW,FC Bayern Munchen,58046,10.8552388187,2.30993980192,,FC Bayern Munchen
1,Ivan,Perisic,4555,LW,FC Bayern Munchen,58047,10.7499585932,2.87260342615,,FC Bayern Munchen
2,Ivan,Perisic,4555,LW,FC Bayern Munchen,58048,10.616481613,3.33767586417,,FC Bayern Munchen
3,Ivan,Perisic,4555,LW,FC Bayern Munchen,58049,10.454807878,3.70515711599,,FC Bayern Munchen
4,Ivan,Perisic,4555,LW,FC Bayern Munchen,58050,10.2160983236,3.95346958543,,FC Bayern Munchen
5,Ivan,Perisic,4555,LW,FC Bayern Munchen,58051,10.1055398366,3.85334735167,,FC Bayern Munchen
6,Ivan,Perisic,4555,LW,FC Bayern Munchen,58052,9.75667216674,4.21244082773,,FC Bayern Munchen
7,Ivan,Perisic,4555,LW,FC Bayern Munchen,58053,9.3117109818,5.20836183636,,FC Bayern Munchen
8,Ivan,Perisic,4555,LW,FC Bayern Munchen,58054,8.91213693756,6.49629534563,,FC Bayern Munchen
9,Ivan,Perisic,4555,LW,FC Bayern Munchen,58055,8.65706041706,7.83433371023,,FC Bayern Munchen
10,Ivan,Perisic,4555,LW,FC Bayern Munchen,58056,8.55036587243,8.67251643176,,FC Bayern Munchen
11,Ivan,Perisic,4555,LW,FC Bayern Munchen,58057,8.59890288398,8.30014628456,,FC Bayern Munchen
12,Ivan,Perisic,4555,LW,FC Bayern Munchen,58058,8.31389711017,6.64244394075,,FC Bayern Munchen
13,Ivan,Perisic,4555,LW,FC Bayern Munchen,58059,7.95634975887,4.81241706439,,FC Bayern Munchen
14,Ivan,Perisic,4555,LW,FC Bayern Munchen,58060,7.56456420535,2.91027442614,,FC Bayern Munchen
15,Ivan,Perisic,4555,LW,FC Bayern Munchen,58061,7.2805536361,1.65425043447,,FC Bayern Munchen
16,Ivan,Perisic,4555,LW,FC Bayern Munchen,58062,7.13495797203,1.34445529892,9116.0,FC Bayern Munchen
17,Ivan,Perisic,4555,LW,FC Bayern Munchen,58063,7.05531274705,1.41692718438,9116.0,FC Bayern Munchen
18,Ivan,Perisic,4555,LW,FC Bayern Munchen,58064,6.93475748244,1.28873320421,9116.0,FC Bayern Munchen
19,Ivan,Perisic,4555,LW,FC Bayern Munchen,58065,6.83094301678,1.14876436903,9116.0,FC Bayern Munchen
20,Ivan,Perisic,4555,LW,FC Bayern Munchen,58066,6.80321527663,0.974113980929,,FC Bayern Munchen
21,Ivan,Perisic,4555,LW,FC Bayern Munchen,58067,6.9106909434,0.919775187969,,FC Bayern Munchen
22,Ivan,Perisic,4555,LW,FC Bayern Munchen,58068,7.14834008898,1.21071171477,,FC Bayern Munchen
23,Ivan,Perisic,4555,LW,FC Bayern Munchen,58069,7.43494224548,1.23809428868,,FC Bayern Munchen
24,Ivan,Perisic,4555,LW,FC Bayern Munchen,58070,7.74226767676,0.962192870322,9116.0,FC Bayern Munchen
25,Ivan,Perisic,4555,LW,FC Bayern Munchen,58071,8.01941419783,0.585032521259,9116.0,FC Bayern Munchen
26,Ivan,Perisic,4555,LW,FC Bayern Munchen,58072,8.34879421052,0.396211547511,9116.0,FC Bayern Munchen
27,Ivan,Perisic,4555,LW,FC Bayern Munchen,58073,8.68568565732,0.443884002311,9116.0,FC Bayern Munchen
28,Ivan,Perisic,4555,LW,FC Bayern Munchen,58074,9.03242038545,0.719908200559,9116.0,FC Bayern Munchen
29,Ivan,Perisic,4555,LW,FC Bayern Munchen,58075,9.38158766429,0.761281845115,9116.0,FC Bayern Munchen
30,Ivan,Perisic,4555,LW,FC Bayern Munchen,58076,9.80830474127,0.558043232986,9116.0,FC Bayern Munchen
31,Ivan,Perisic,4555,LW,FC Bayern Munchen,58077,10.2443135125,0.445588072141,,FC Bayern Munchen
32,Ivan,Perisic,4555,LW,FC Bayern Munchen,58078,10.7282063166,0.427488241877,,FC Bayern Munchen
33,Ivan,Perisic,4555,LW,FC Bayern Munchen,58079,11.2149032411,0.692447301887,,FC Bayern Munchen
34,Ivan,Perisic,4555,LW,FC Bayern Munchen,58080,11.6861300241,1.00441291786,,FC Bayern Munchen
35,Ivan,Perisic,4555,LW,FC Bayern Munchen,58081,12.1536675408,1.0829843453,,FC Bayern Munchen
36,Ivan,Perisic,4555,LW,FC Bayern Munchen,58082,12.6593558448,1.16638548601,,FC Bayern Munchen
37,Ivan,Perisic,4555,LW,FC Bayern Munchen,58083,13.1820710954,1.21465134337,,FC Bayern Munchen
38,Ivan,Perisic,4555,LW,FC Bayern Munchen,58084,13.7489415577,1.4529132843,,FC Bayern Munchen
39,Ivan,Perisic,4555,LW,FC Bayern Munchen,58085,14.3157860438,1.6454314476,,FC Bayern Munchen
40,Ivan,Perisic,4555,LW,FC Bayern Munchen,58086,14.8380169641,1.63347685905,,FC Bayern Munchen
41,Ivan,Perisic,4555,LW,FC Bayern Munchen,58087,15.4597910472,1.94610397021,,FC Bayern Munchen
42,Ivan,Perisic,4555,LW,FC Bayern Munchen,58088,16.0896852655,2.31789999872,,FC Bayern Munchen
43,Ivan,Perisic,4555,LW,FC Bayern Munchen,58089,16.6961966136,2.48905891246,,FC Bayern Munchen
44,Ivan,Perisic,4555,LW,FC Bayern Munchen,58090,17.4317348813,3.11341771758,,FC Bayern Munchen
45,Ivan,Perisic,4555,LW,FC Bayern Munchen,58091,18.1479133858,3.36732247201,9116.0,FC Bayern Munchen
46,Ivan,Perisic,4555,LW,FC Bayern Munchen,58092,18.7854300242,3.28464271474,9116.0,FC Bayern Munchen
47,Ivan,Perisic,4555,LW,FC Bayern Munchen,58093,19.5889756006,3.89964275483,9116.0,FC Bayern Munchen
48,Ivan,Perisic,4555,LW,FC Bayern Munchen,58094,20.4078598547,4.40514059817,9116.0,FC Bayern Munchen
49,Ivan,Perisic,4555,LW,FC Bayern Munchen,58095,21.055966786,4.40747492654,,FC Bayern Munchen
50,Ivan,Perisic,4555,LW,FC Bayern Munchen,58096,21.9543550582,5.02480174246,,FC Bayern Munchen
51,Ivan,Perisic,4555,LW,FC Bayern Munchen,58097,22.7425728752,5.37871197292,,FC Bayern Munchen
52,Ivan,Perisic,4555,LW,FC Bayern Munchen,58098,23.4574959165,5.46157046727,,FC Bayern Munchen
53,Ivan,Perisic,4555,LW,FC Bayern Munchen,58099,24.304905301,5.88097077324,9116.0,FC Bayern Munchen
54,Ivan,Perisic,4555,LW,FC Bayern Munchen,58100,25.0373469761,5.99244483312,,FC Bayern Munchen
55,Ivan,Perisic,4555,LW,FC Bayern Munchen,58101,25.7431518918,5.94831689199,,FC Bayern Munchen
56,Ivan,Perisic,4555,LW,FC Bayern Munchen,58102,26.5999972934,6.30190199897,,FC Bayern Munchen
57,Ivan,Perisic,4555,LW,FC Bayern Munchen,58103,27.3852364676,6.59309550694,,FC Bayern Munchen
58,Ivan,Perisic,4555,LW,FC Bayern Munchen,58104,28.1925328573,6.96985367366,,FC Bayern Munchen
59,Ivan,Perisic,4555,LW,FC Bayern Munchen,58105,28.9364723932,7.21696987606,,FC Bayern Munchen
60,Ivan,Perisic,4555,LW,FC Bayern Munchen,58106,29.5886905307,7.32652225949,,FC Bayern Munchen
61,Ivan,Perisic,4555,LW,FC Bayern Munchen,58107,30.3044932229,7.58002431052,,FC Bayern Munchen
62,Ivan,Perisic,4555,LW,FC Bayern Munchen,58108,31.0839881897,7.93051008951,,FC Bayern Munchen
63,Ivan,Perisic,4555,LW,FC Bayern Munchen,58109,31.8869470869,8.28235739753,,FC Bayern Munchen
64,Ivan,Perisic,4555,LW,FC Bayern Munchen,58110,32.6030912853,8.49261792501,,FC Bayern Munchen
65,Ivan,Perisic,4555,LW,FC Bayern Munchen,58111,33.207684744,8.49691531772,,FC Bayern Munchen
66,Ivan,Perisic,4555,LW,FC Bayern Munchen,58112,33.8016500927,8.56705906278,,FC Bayern Munchen
67,Ivan,Perisic,4555,LW,FC Bayern Munchen,58113,34.3294808524,8.55128597078,,FC Bayern Munchen
68,Ivan,Perisic,4555,LW,FC Bayern Munchen,58114,35.0176097325,8.96780409132,,FC Bayern Munchen
69,Ivan,Perisic,4555,LW,FC Bayern Munchen,58115,35.4987972804,8.91552693503,,FC Bayern Munchen
70,Ivan,Perisic,4555,LW,FC Bayern Munchen,58116,35.8792021615,8.74068746113,,FC Bayern Munchen
71,Ivan,Perisic,4555,LW,FC Bayern Munchen,58117,36.4966288975,9.00336442675,,FC Bayern Munchen
72,Ivan,Perisic,4555,LW,FC Bayern Munchen,58118,37.1450814747,9.40398929233,,FC Bayern Munchen
73,Ivan,Perisic,4555,LW,FC Bayern Munchen,58119,37.5867939904,9.38407630012,,FC Bayern Munchen
74,Ivan,Perisic,4555,LW,FC Bayern Munchen,58120,37.8860502697,9.16389490309,,FC Bayern Munchen
75,Ivan,Perisic,4555,LW,FC Bayern Munchen,58121,38.0465885344,8.64061328343,,FC Bayern Munchen
76,Ivan,Perisic,4555,LW,FC Bayern Munchen,58122,38.2348104204,8.1687461081,,FC Bayern Munchen
77,Ivan,Perisic,4555,LW,FC Bayern Munchen,58123,38.7582528251,8.29799574897,,FC Bayern Munchen
78,Ivan,Perisic,4555,LW,FC Bayern Munchen,58124,39.3421685355,8.5663186255,,FC Bayern Munchen
79,Ivan,Perisic,4555,LW,FC Bayern Munchen,58125,39.8754352388,8.57047226315,,FC Bayern Munchen
80,Ivan,Perisic,4555,LW,FC Bayern Munchen,58126,40.4697100321,8.70745940436,,FC Bayern Munchen
81,Ivan,Perisic,4555,LW,FC Bayern Munchen,58127,41.0930617196,8.8796460742,,FC Bayern Munchen
82,Ivan,Perisic,4555,LW,FC Bayern Munchen,58128,41.6115010579,8.85214569455,,FC Bayern Munchen
83,Ivan,Perisic,4555,LW,FC Bayern Munchen,58129,42.1591793242,8.97537058876,,FC Bayern Munchen
84,Ivan,Perisic,4555,LW,FC Bayern Munchen,58130,42.569434393,8.93570127941,,FC Bayern Munchen
85,Ivan,Perisic,4555,LW,FC Bayern Munchen,58131,43.0242224194,8.97283749353,,FC Bayern Munchen
86,Ivan,Perisic,4555,LW,FC Bayern Munchen,58132,43.6086712792,9.28936649504,,FC Bayern Munchen
87,Ivan,Perisic,4555,LW,FC Bayern Munchen,58133,43.9838870821,9.20224289667,,FC Bayern Munchen
88,Ivan,Perisic,4555,LW,FC Bayern Munchen,58134,44.3721071879,9.15491748991,,FC Bayern Munchen
89,Ivan,Perisic,4555,LW,FC Bayern Munchen,58135,44.8376699175,9.29477246602,,FC Bayern Munchen
90,Ivan,Perisic,4555,LW,FC Bayern Munchen,58136,45.241981143,9.41931234087,,FC Bayern Munchen
91,Ivan,Perisic,4555,LW,FC Bayern Munchen,58137,45.5606431507,9.46279203324,,FC Bayern Munchen
92,Ivan,Perisic,4555,LW,FC Bayern Munchen,58138,45.8006097703,9.41395686922,,FC Bayern Munchen
93,Ivan,Perisic,4555,LW,FC Bayern Munchen,58139,45.9638014294,9.30092861539,,FC Bayern Munchen
94,Ivan,Perisic,4555,LW,FC Bayern Munchen,58140,46.0155310858,9.00505778903,,FC Bayern Munchen
95,Ivan,Perisic,4555,LW,FC Bayern Munchen,58141,46.2741977147,9.07496129899,,FC Bayern Munchen
96,Ivan,Perisic,4555,LW,FC Bayern Munchen,58142,46.7938544864,9.63546834673,,FC Bayern Munchen
97,Ivan,Perisic,4555,LW,FC Bayern Munchen,58143,47.1969413757,10.0902864819,,FC Bayern Munchen
98,Ivan,Perisic,4555,LW,FC Bayern Munchen,58144,47.590566726,10.5040668306,,FC Bayern Munchen
99,Ivan,Perisic,4555,LW,FC Bayern Munchen,58145,47.8161315918,10.6603808176,,FC Bayern Munchen
100,Ivan,Perisic,4555,LW,FC Bayern Munchen,58146,47.7417691549,10.2846629733,,FC Bayern Munchen
101,Ivan,Perisic,4555,LW,FC Bayern Munchen,58147,47.6560438247,9.87575540088,,FC Bayern Munchen
102,Ivan,Perisic,4555,LW,FC Bayern Munchen,58148,47.7172664461,9.72884568714,,FC Bayern Munchen
103,Ivan,Perisic,4555,LW,FC Bayern Munchen,58149,47.7957345872,9.67427280971,,FC Bayern Munchen
104,Ivan,Perisic,4555,LW,FC Bayern Munchen,58150,48.0029414949,9.82869961148,,FC Bayern Munchen
105,Ivan,Perisic,4555,LW,FC Bayern Munchen,58151,48.1714510236,9.93329888298,,FC Bayern Munchen
106,Ivan,Perisic,4555,LW,FC Bayern Munchen,58152,48.4434503828,10.2450818107,,FC Bayern Munchen
107,Ivan,Perisic,4555,LW,FC Bayern Munchen,58153,48.6884989057,10.5435328257,,FC Bayern Munchen
108,Ivan,Perisic,4555,LW,FC Bayern Munchen,58154,48.8985808236,10.8072361265,,FC Bayern Munchen
109,Ivan,Perisic,4555,LW,FC Bayern Munchen,58155,49.057690575,11.0169773102,,FC Bayern Munchen
110,Ivan,Perisic,4555,LW,FC Bayern Munchen,58156,49.2305390494,11.2419175648,,FC Bayern Munchen
111,Ivan,Perisic,4555,LW,FC Bayern Munchen,58157,49.5005831037,11.6444280261,,FC Bayern Munchen
112,Ivan,Perisic,4555,LW,FC Bayern Munchen,58158,49.7528025309,11.9989929653,,FC Bayern Munchen
