,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Cristiano,Ronaldo,2083,RF,Juventus,1831,1.06991687346,-14.877598104,,Juventus
1,Cristiano,Ronaldo,2083,RF,Juventus,1832,1.00945782449,-14.9009164401,,Juventus
2,Cristiano,Ronaldo,2083,RF,Juventus,1833,0.933482523475,-14.9158908299,,Juventus
3,Cristiano,Ronaldo,2083,RF,Juventus,1834,0.84199097043,-14.9225212733,,Juventus
4,Cristiano,Ronaldo,2083,RF,Juventus,1835,0.732432673375,-14.9403181984,,Juventus
5,Cristiano,Ronaldo,2083,RF,Juventus,1836,0.642625575974,-14.9281703404,,Juventus
6,Cristiano,Ronaldo,2083,RF,Juventus,1837,0.473001954811,-14.8123134431,,Juventus
7,Cristiano,Ronaldo,2083,RF,Juventus,1838,0.255202372869,-14.5957132975,,Juventus
8,Cristiano,Ronaldo,2083,RF,Juventus,1839,-0.0476802864245,-14.4015861693,,Juventus
9,Cristiano,Ronaldo,2083,RF,Juventus,1840,-0.358724846726,-14.383690607,,Juventus
10,Cristiano,Ronaldo,2083,RF,Juventus,1841,-0.735884349261,-14.6100273132,,Juventus
11,Cristiano,Ronaldo,2083,RF,Juventus,1842,-1.05556820262,-14.8758400962,11636.0,Juventus
12,Cristiano,Ronaldo,2083,RF,Juventus,1843,-1.44159028927,-14.9711178371,11636.0,Juventus
13,Cristiano,Ronaldo,2083,RF,Juventus,1844,-1.8465822708,-15.0160453887,11636.0,Juventus
14,Cristiano,Ronaldo,2083,RF,Juventus,1845,-2.28411780653,-14.7736990338,11636.0,Juventus
15,Cristiano,Ronaldo,2083,RF,Juventus,1846,-2.69460307416,-14.6142889204,11636.0,Juventus
16,Cristiano,Ronaldo,2083,RF,Juventus,1847,-3.2067188876,-14.6420495624,11636.0,Juventus
17,Cristiano,Ronaldo,2083,RF,Juventus,1848,-3.67207128661,-14.6728428432,11636.0,Juventus
18,Cristiano,Ronaldo,2083,RF,Juventus,1849,-4.17243178686,-14.6426585515,11636.0,Juventus
19,Cristiano,Ronaldo,2083,RF,Juventus,1850,-4.70021631604,-14.6747540973,,Juventus
20,Cristiano,Ronaldo,2083,RF,Juventus,1851,-5.23656436375,-14.515615872,,Juventus
21,Cristiano,Ronaldo,2083,RF,Juventus,1852,-5.71830492928,-14.3373140608,,Juventus
22,Cristiano,Ronaldo,2083,RF,Juventus,1853,-6.2505312193,-14.3607836224,,Juventus
23,Cristiano,Ronaldo,2083,RF,Juventus,1854,-6.73928167706,-14.4821275075,,Juventus
24,Cristiano,Ronaldo,2083,RF,Juventus,1855,-7.2475020999,-14.5311833336,,Juventus
25,Cristiano,Ronaldo,2083,RF,Juventus,1856,-7.7367714019,-14.6253532228,,Juventus
26,Cristiano,Ronaldo,2083,RF,Juventus,1857,-8.27977557409,-14.6794839132,,Juventus
27,Cristiano,Ronaldo,2083,RF,Juventus,1858,-8.76120733079,-14.6077854066,,Juventus
