,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Diego,Godin,2715,RCB,Inter Milan,1870,-27.5360439845,-15.4530918939,,Juventus
1,Diego,Godin,2715,RCB,Inter Milan,1871,-27.8877063479,-15.5986609459,,Juventus
2,Diego,Godin,2715,RCB,Inter Milan,1872,-28.2693597249,-15.6944531713,,Juventus
3,Diego,Godin,2715,RCB,Inter Milan,1873,-28.6810041155,-15.7404685702,,Juventus
4,Diego,Godin,2715,RCB,Inter Milan,1874,-29.1825818561,-15.660862514,,Juventus
5,Diego,Godin,2715,RCB,Inter Milan,1875,-29.6401433491,-15.6744520097,,Juventus
6,Diego,Godin,2715,RCB,Inter Milan,1876,-30.024027779,-15.7175030027,,Juventus
7,Diego,Godin,2715,RCB,Inter Milan,1877,-30.3860152108,-15.8847996394,,Juventus
8,Diego,Godin,2715,RCB,Inter Milan,1878,-30.6823987507,-16.0721399671,,Juventus
9,Diego,Godin,2715,RCB,Inter Milan,1879,-31.0446788243,-16.1499143328,,Juventus
10,Diego,Godin,2715,RCB,Inter Milan,1880,-31.3864771525,-16.1698964437,,Juventus
11,Diego,Godin,2715,RCB,Inter Milan,1881,-31.7772075108,-16.2022186461,,Juventus
12,Diego,Godin,2715,RCB,Inter Milan,1882,-32.1123591832,-16.2439334506,,Juventus
13,Diego,Godin,2715,RCB,Inter Milan,1883,-32.4424129668,-16.3162990752,,Juventus
14,Diego,Godin,2715,RCB,Inter Milan,1884,-32.7398383731,-16.371438526,,Juventus
15,Diego,Godin,2715,RCB,Inter Milan,1885,-33.0819911049,-16.3538251604,,Juventus
16,Diego,Godin,2715,RCB,Inter Milan,1886,-33.3598362151,-16.3965624855,,Juventus
17,Diego,Godin,2715,RCB,Inter Milan,1887,-33.6549464634,-16.4534004756,,Juventus
18,Diego,Godin,2715,RCB,Inter Milan,1888,-33.899533953,-16.4941381727,,Juventus
19,Diego,Godin,2715,RCB,Inter Milan,1889,-34.166541145,-16.4746292659,,Juventus
20,Diego,Godin,2715,RCB,Inter Milan,1890,-34.4297205607,-16.379530498,,Juventus
21,Diego,Godin,2715,RCB,Inter Milan,1891,-34.7703490484,-16.1693027133,,Juventus
22,Diego,Godin,2715,RCB,Inter Milan,1892,-35.0779053824,-16.001311938,,Juventus
23,Diego,Godin,2715,RCB,Inter Milan,1893,-35.342417944,-15.9161141713,,Juventus
24,Diego,Godin,2715,RCB,Inter Milan,1894,-35.4973306202,-15.9135530108,,Juventus
25,Diego,Godin,2715,RCB,Inter Milan,1895,-35.6823456174,-15.9561545962,,Juventus
26,Diego,Godin,2715,RCB,Inter Milan,1896,-35.8479423523,-15.9808531262,,Juventus
27,Diego,Godin,2715,RCB,Inter Milan,1897,-36.1302103315,-15.9656119574,,Juventus
28,Diego,Godin,2715,RCB,Inter Milan,1898,-36.4339107332,-16.0178104128,,Juventus
29,Diego,Godin,2715,RCB,Inter Milan,1899,-36.8008484613,-16.0717261178,,Juventus
30,Diego,Godin,2715,RCB,Inter Milan,1900,-37.1785959516,-16.1744727634,,Juventus
31,Diego,Godin,2715,RCB,Inter Milan,1901,-37.5982064747,-16.3639568147,,Juventus
32,Diego,Godin,2715,RCB,Inter Milan,1902,-37.9221271333,-16.625423613,,Juventus
33,Diego,Godin,2715,RCB,Inter Milan,1903,-38.3105988275,-17.0104842413,,Juventus
34,Diego,Godin,2715,RCB,Inter Milan,1904,-38.618977138,-17.4301159268,,Juventus
35,Diego,Godin,2715,RCB,Inter Milan,1905,-39.0411625817,-17.822299049,,Juventus
36,Diego,Godin,2715,RCB,Inter Milan,1906,-39.5204745701,-18.0819989159,,Juventus
37,Diego,Godin,2715,RCB,Inter Milan,1907,-39.9952272688,-18.4336439768,,Juventus
38,Diego,Godin,2715,RCB,Inter Milan,1908,-40.4004362197,-18.8629633586,,Juventus
39,Diego,Godin,2715,RCB,Inter Milan,1909,-40.8880680629,-19.324079786,,Juventus
40,Diego,Godin,2715,RCB,Inter Milan,1910,-41.3178184146,-19.7406114851,,Juventus
41,Diego,Godin,2715,RCB,Inter Milan,1911,-41.8914718628,-20.1631945655,,Juventus
42,Diego,Godin,2715,RCB,Inter Milan,1912,-42.4501865932,-20.4792389643,,Juventus
43,Diego,Godin,2715,RCB,Inter Milan,1913,-43.019417354,-20.9176473163,,Juventus
44,Diego,Godin,2715,RCB,Inter Milan,1914,-43.5306670779,-21.3287505195,,Juventus
45,Diego,Godin,2715,RCB,Inter Milan,1915,-44.0648195176,-21.7048476991,,Juventus
46,Diego,Godin,2715,RCB,Inter Milan,1916,-44.5573819478,-22.0081910633,,Juventus
47,Diego,Godin,2715,RCB,Inter Milan,1917,-45.3603259495,-22.0258780888,,Juventus
48,Diego,Godin,2715,RCB,Inter Milan,1918,-46.1946405683,-21.883278983,,Juventus
49,Diego,Godin,2715,RCB,Inter Milan,1919,-46.8512776693,-22.0361694154,,Juventus
50,Diego,Godin,2715,RCB,Inter Milan,1920,-47.2546968006,-22.4003102439,,Juventus
51,Diego,Godin,2715,RCB,Inter Milan,1921,-47.4199460347,-22.9450008756,,Juventus
52,Diego,Godin,2715,RCB,Inter Milan,1922,-47.7478588649,-23.2491878782,,Juventus
53,Diego,Godin,2715,RCB,Inter Milan,1923,-48.0636765616,-23.4973931994,,Juventus
54,Diego,Godin,2715,RCB,Inter Milan,1924,-48.3673991249,-23.6896168391,,Juventus
55,Diego,Godin,2715,RCB,Inter Milan,2040,-40.2256808758,4.59173185667,,Juventus
56,Diego,Godin,2715,RCB,Inter Milan,2041,-38.504694114,3.54741482653,,Juventus
57,Diego,Godin,2715,RCB,Inter Milan,2042,-37.1864119544,2.75770238577,,Juventus
58,Diego,Godin,2715,RCB,Inter Milan,2043,-36.2708343969,2.22259453438,,Juventus
59,Diego,Godin,2715,RCB,Inter Milan,2044,-35.6531504246,1.91117557598,,Juventus
60,Diego,Godin,2715,RCB,Inter Milan,2045,-35.8585477557,2.01584584372,,Juventus
61,Diego,Godin,2715,RCB,Inter Milan,2046,-35.78013738,1.98038890248,,Juventus
62,Diego,Godin,2715,RCB,Inter Milan,2047,-35.6773518154,1.78285133839,,Juventus
63,Diego,Godin,2715,RCB,Inter Milan,2048,-35.6429565066,1.61937019371,,Juventus
64,Diego,Godin,2715,RCB,Inter Milan,2049,-35.6627998352,1.47764762243,,Juventus
