,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Kwadwo,Asamoah,6024,LW,Inter Milan,1831,-10.9399719011,17.6744825726,,Juventus
1,Kwadwo,Asamoah,6024,LW,Inter Milan,1832,-10.8834118843,17.6699741908,,Juventus
2,Kwadwo,Asamoah,6024,LW,Inter Milan,1833,-10.8445604869,17.6886469977,,Juventus
3,Kwadwo,Asamoah,6024,LW,Inter Milan,1834,-10.823417709,17.7305009933,,Juventus
4,Kwadwo,Asamoah,6024,LW,Inter Milan,1835,-10.8344271069,17.8192970639,,Juventus
5,Kwadwo,Asamoah,6024,LW,Inter Milan,1836,-10.8352582568,17.8531992776,,Juventus
6,Kwadwo,Asamoah,6024,LW,Inter Milan,1837,-10.8522302083,17.8694181896,,Juventus
7,Kwadwo,Asamoah,6024,LW,Inter Milan,1838,-10.8844832466,17.8534042722,,Juventus
8,Kwadwo,Asamoah,6024,LW,Inter Milan,1839,-10.9309166954,17.9260015942,,Juventus
9,Kwadwo,Asamoah,6024,LW,Inter Milan,1840,-10.9902241116,18.014524369,,Juventus
10,Kwadwo,Asamoah,6024,LW,Inter Milan,1841,-11.070355052,18.1775958652,,Juventus
11,Kwadwo,Asamoah,6024,LW,Inter Milan,1842,-11.1424151375,18.2290793828,11636.0,Juventus
12,Kwadwo,Asamoah,6024,LW,Inter Milan,1843,-11.2188148953,18.1480024429,11636.0,Juventus
13,Kwadwo,Asamoah,6024,LW,Inter Milan,1844,-11.3093058268,18.1362396422,11636.0,Juventus
14,Kwadwo,Asamoah,6024,LW,Inter Milan,1845,-11.4624262764,18.1886464982,11636.0,Juventus
15,Kwadwo,Asamoah,6024,LW,Inter Milan,1846,-11.6336959657,18.1832788558,11636.0,Juventus
16,Kwadwo,Asamoah,6024,LW,Inter Milan,1847,-11.8492934363,18.0132449922,11636.0,Juventus
17,Kwadwo,Asamoah,6024,LW,Inter Milan,1848,-12.055610793,17.771993183,11636.0,Juventus
18,Kwadwo,Asamoah,6024,LW,Inter Milan,1849,-12.27148492,17.5048021589,11636.0,Juventus
19,Kwadwo,Asamoah,6024,LW,Inter Milan,1850,-12.4703438168,17.2471784864,,Juventus
20,Kwadwo,Asamoah,6024,LW,Inter Milan,1851,-12.7425926299,17.0727392832,,Juventus
21,Kwadwo,Asamoah,6024,LW,Inter Milan,1852,-13.0362669627,17.1703872681,,Juventus
22,Kwadwo,Asamoah,6024,LW,Inter Milan,1853,-13.3466904958,17.0160024734,,Juventus
23,Kwadwo,Asamoah,6024,LW,Inter Milan,1854,-13.6618942987,16.7827384585,,Juventus
24,Kwadwo,Asamoah,6024,LW,Inter Milan,1855,-14.0244771867,16.690275828,,Juventus
25,Kwadwo,Asamoah,6024,LW,Inter Milan,1856,-14.3226753417,16.3345472245,,Juventus
26,Kwadwo,Asamoah,6024,LW,Inter Milan,1857,-14.6939444315,16.0883706411,,Juventus
27,Kwadwo,Asamoah,6024,LW,Inter Milan,1858,-15.1260440917,16.2112275986,,Juventus
28,Kwadwo,Asamoah,6024,LW,Inter Milan,1859,-15.5087495985,16.0158974784,,Juventus
29,Kwadwo,Asamoah,6024,LW,Inter Milan,1860,-15.8751997721,15.7679016477,,Juventus
30,Kwadwo,Asamoah,6024,LW,Inter Milan,1861,-16.3037635712,15.7937038967,,Juventus
31,Kwadwo,Asamoah,6024,LW,Inter Milan,1862,-16.6840580532,15.7385484605,,Juventus
32,Kwadwo,Asamoah,6024,LW,Inter Milan,1863,-17.0119499933,15.4379148937,,Juventus
33,Kwadwo,Asamoah,6024,LW,Inter Milan,1864,-17.3834268479,15.226104918,,Juventus
34,Kwadwo,Asamoah,6024,LW,Inter Milan,1865,-17.6972988674,14.7481395176,,Juventus
35,Kwadwo,Asamoah,6024,LW,Inter Milan,1866,-17.9255025046,14.0413709822,,Juventus
36,Kwadwo,Asamoah,6024,LW,Inter Milan,1867,-18.2657058353,13.7332436244,,Juventus
37,Kwadwo,Asamoah,6024,LW,Inter Milan,1868,-18.6769648052,13.7586515972,,Juventus
38,Kwadwo,Asamoah,6024,LW,Inter Milan,1869,-18.9952599662,13.3764443625,,Juventus
39,Kwadwo,Asamoah,6024,LW,Inter Milan,1870,-19.2997575487,12.914344061,,Juventus
40,Kwadwo,Asamoah,6024,LW,Inter Milan,1871,-19.7091648465,12.7126894451,,Juventus
41,Kwadwo,Asamoah,6024,LW,Inter Milan,1872,-19.9794607617,12.1562035878,,Juventus
42,Kwadwo,Asamoah,6024,LW,Inter Milan,1873,-20.3100820269,11.7312871842,,Juventus
43,Kwadwo,Asamoah,6024,LW,Inter Milan,1874,-20.8210033235,11.9572365625,,Juventus
44,Kwadwo,Asamoah,6024,LW,Inter Milan,1875,-21.2642163776,11.9072409584,,Juventus
45,Kwadwo,Asamoah,6024,LW,Inter Milan,1876,-21.6084973472,11.5322994051,,Juventus
46,Kwadwo,Asamoah,6024,LW,Inter Milan,1877,-22.0925288427,11.4658211753,,Juventus
47,Kwadwo,Asamoah,6024,LW,Inter Milan,1878,-22.4845887139,11.2386502765,,Juventus
48,Kwadwo,Asamoah,6024,LW,Inter Milan,1879,-22.8429797945,10.6963296618,,Juventus
49,Kwadwo,Asamoah,6024,LW,Inter Milan,1880,-23.2526312329,10.4535574686,,Juventus
50,Kwadwo,Asamoah,6024,LW,Inter Milan,1881,-23.6839181809,10.2150491079,,Juventus
51,Kwadwo,Asamoah,6024,LW,Inter Milan,1882,-24.0179101853,9.80915650867,,Juventus
52,Kwadwo,Asamoah,6024,LW,Inter Milan,1883,-24.4559253511,9.54449889773,,Juventus
53,Kwadwo,Asamoah,6024,LW,Inter Milan,1884,-24.9340466091,9.60111495427,,Juventus
54,Kwadwo,Asamoah,6024,LW,Inter Milan,1885,-25.384957359,9.44399624779,,Juventus
55,Kwadwo,Asamoah,6024,LW,Inter Milan,1886,-25.7570838928,9.16186023894,,Juventus
56,Kwadwo,Asamoah,6024,LW,Inter Milan,1887,-26.2302479517,9.04984378815,,Juventus
57,Kwadwo,Asamoah,6024,LW,Inter Milan,1888,-26.6077633812,8.82259318942,,Juventus
58,Kwadwo,Asamoah,6024,LW,Inter Milan,1889,-27.0402161734,8.61792469025,,Juventus
59,Kwadwo,Asamoah,6024,LW,Inter Milan,1890,-27.4147545951,8.40269785836,,Juventus
60,Kwadwo,Asamoah,6024,LW,Inter Milan,1891,-27.8364349547,8.2595872879,,Juventus
61,Kwadwo,Asamoah,6024,LW,Inter Milan,1892,-28.1934253148,8.07459043321,,Juventus
62,Kwadwo,Asamoah,6024,LW,Inter Milan,1893,-28.5845202491,7.88752712522,,Juventus
63,Kwadwo,Asamoah,6024,LW,Inter Milan,1894,-28.9528968448,7.80072498322,,Juventus
64,Kwadwo,Asamoah,6024,LW,Inter Milan,1895,-29.3422241211,7.63164708728,,Juventus
65,Kwadwo,Asamoah,6024,LW,Inter Milan,1896,-29.6195122855,7.25707465126,,Juventus
66,Kwadwo,Asamoah,6024,LW,Inter Milan,1897,-30.0555199214,7.23851249332,,Juventus
67,Kwadwo,Asamoah,6024,LW,Inter Milan,1898,-30.4076946804,7.15063192731,,Juventus
68,Kwadwo,Asamoah,6024,LW,Inter Milan,1899,-30.7656913031,7.04290081206,,Juventus
69,Kwadwo,Asamoah,6024,LW,Inter Milan,1900,-31.1168763297,7.01609459377,,Juventus
70,Kwadwo,Asamoah,6024,LW,Inter Milan,1901,-31.5094076792,6.96926936649,,Juventus
71,Kwadwo,Asamoah,6024,LW,Inter Milan,1902,-31.8228027707,6.83463721048,,Juventus
72,Kwadwo,Asamoah,6024,LW,Inter Milan,1903,-32.2417150225,6.79831132435,,Juventus
73,Kwadwo,Asamoah,6024,LW,Inter Milan,1904,-32.5955235618,6.66535747619,,Juventus
74,Kwadwo,Asamoah,6024,LW,Inter Milan,1905,-32.9966561454,6.58528248469,,Juventus
75,Kwadwo,Asamoah,6024,LW,Inter Milan,1906,-33.3582720075,6.42544426237,,Juventus
76,Kwadwo,Asamoah,6024,LW,Inter Milan,1907,-33.8106507801,6.39741670518,,Juventus
77,Kwadwo,Asamoah,6024,LW,Inter Milan,1908,-34.2003010341,6.3594462758,,Juventus
78,Kwadwo,Asamoah,6024,LW,Inter Milan,1909,-34.6454540434,6.25912187213,,Juventus
79,Kwadwo,Asamoah,6024,LW,Inter Milan,1910,-34.9833472116,6.05179035096,,Juventus
80,Kwadwo,Asamoah,6024,LW,Inter Milan,1911,-35.3978810992,5.938722338,,Juventus
81,Kwadwo,Asamoah,6024,LW,Inter Milan,1912,-35.7522915431,5.69280635743,,Juventus
82,Kwadwo,Asamoah,6024,LW,Inter Milan,1913,-36.1999580747,5.5297481446,,Juventus
83,Kwadwo,Asamoah,6024,LW,Inter Milan,1914,-36.6204338074,5.41982271558,,Juventus
84,Kwadwo,Asamoah,6024,LW,Inter Milan,1915,-37.0916984195,5.26967804773,,Juventus
85,Kwadwo,Asamoah,6024,LW,Inter Milan,1916,-37.4650379363,5.08424697603,,Juventus
86,Kwadwo,Asamoah,6024,LW,Inter Milan,1917,-37.8711533319,4.91702720097,,Juventus
87,Kwadwo,Asamoah,6024,LW,Inter Milan,1918,-38.2263011024,4.67679818471,,Juventus
88,Kwadwo,Asamoah,6024,LW,Inter Milan,1919,-38.6328328451,4.44557632719,,Juventus
89,Kwadwo,Asamoah,6024,LW,Inter Milan,1920,-38.9683465504,4.220244033,,Juventus
90,Kwadwo,Asamoah,6024,LW,Inter Milan,1921,-39.3040860494,3.88081499508,,Juventus
91,Kwadwo,Asamoah,6024,LW,Inter Milan,1922,-39.6751394726,3.73007057962,,Juventus
92,Kwadwo,Asamoah,6024,LW,Inter Milan,1923,-40.0756576175,3.5916550273,,Juventus
93,Kwadwo,Asamoah,6024,LW,Inter Milan,1924,-40.4329866682,3.45871029581,,Juventus
94,Kwadwo,Asamoah,6024,LW,Inter Milan,1925,-40.8959099906,3.4149521646,,Juventus
