,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Lautaro,Martinez,12801,LF,Inter Milan,1831,-1.15843026127,9.01411733173,,Juventus
1,Lautaro,Martinez,12801,LF,Inter Milan,1832,-1.18495231867,9.0108030183,,Juventus
2,Lautaro,Martinez,12801,LF,Inter Milan,1833,-1.20509065901,9.00744444983,,Juventus
3,Lautaro,Martinez,12801,LF,Inter Milan,1834,-1.21884528228,9.00404162634,,Juventus
4,Lautaro,Martinez,12801,LF,Inter Milan,1835,-1.24775300139,8.94293271928,,Juventus
5,Lautaro,Martinez,12801,LF,Inter Milan,1836,-1.24279571147,9.0331287384,,Juventus
6,Lautaro,Martinez,12801,LF,Inter Milan,1837,-1.19197201161,9.05353532519,,Juventus
7,Lautaro,Martinez,12801,LF,Inter Milan,1838,-1.11461047331,9.11053925469,,Juventus
8,Lautaro,Martinez,12801,LF,Inter Milan,1839,-0.997893972056,8.93089467003,,Juventus
9,Lautaro,Martinez,12801,LF,Inter Milan,1840,-0.874744954563,8.49286844617,,Juventus
10,Lautaro,Martinez,12801,LF,Inter Milan,1841,-0.719501359122,8.05434311004,,Juventus
11,Lautaro,Martinez,12801,LF,Inter Milan,1842,-0.558368408254,7.77907861982,11636.0,Juventus
12,Lautaro,Martinez,12801,LF,Inter Milan,1843,-0.402782849258,7.55931609018,11636.0,Juventus
13,Lautaro,Martinez,12801,LF,Inter Milan,1844,-0.268677293545,7.4739860126,11636.0,Juventus
14,Lautaro,Martinez,12801,LF,Inter Milan,1845,-0.0940453825252,7.34946591513,11636.0,Juventus
15,Lautaro,Martinez,12801,LF,Inter Milan,1846,0.0631263121253,7.05238610222,11636.0,Juventus
16,Lautaro,Martinez,12801,LF,Inter Milan,1847,0.280143087464,6.68211528233,11636.0,Juventus
17,Lautaro,Martinez,12801,LF,Inter Milan,1848,0.506983087877,6.27947052436,11636.0,Juventus
18,Lautaro,Martinez,12801,LF,Inter Milan,1849,0.738636246763,5.91641902182,11636.0,Juventus
19,Lautaro,Martinez,12801,LF,Inter Milan,1850,0.961112385732,5.67559000076,,Juventus
20,Lautaro,Martinez,12801,LF,Inter Milan,1851,1.20550170686,5.56391378974,,Juventus
21,Lautaro,Martinez,12801,LF,Inter Milan,1852,1.38804197314,5.35037547854,,Juventus
22,Lautaro,Martinez,12801,LF,Inter Milan,1853,1.58896705368,4.97345799885,,Juventus
23,Lautaro,Martinez,12801,LF,Inter Milan,1854,1.76820523397,4.55802293167,,Juventus
24,Lautaro,Martinez,12801,LF,Inter Milan,1855,1.92338238444,4.13208578882,,Juventus
25,Lautaro,Martinez,12801,LF,Inter Milan,1856,2.02530874525,3.82195771308,,Juventus
26,Lautaro,Martinez,12801,LF,Inter Milan,1857,2.09345881712,3.49361778441,,Juventus
27,Lautaro,Martinez,12801,LF,Inter Milan,1858,2.09094746908,3.19577932358,,Juventus
28,Lautaro,Martinez,12801,LF,Inter Milan,1859,2.07921308563,2.77731743881,,Juventus
29,Lautaro,Martinez,12801,LF,Inter Milan,1860,2.05385184856,2.30364555404,,Juventus
30,Lautaro,Martinez,12801,LF,Inter Milan,1861,2.00502901986,1.86413790498,,Juventus
