,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Marcelo,Brozovic,6717,CM,Inter Milan,1831,-16.113642965,-6.17969155312,,Juventus
1,Marcelo,Brozovic,6717,CM,Inter Milan,1832,-16.0782790865,-6.17004292352,,Juventus
2,Marcelo,Brozovic,6717,CM,Inter Milan,1833,-16.0545926775,-6.18088010379,,Juventus
3,Marcelo,Brozovic,6717,CM,Inter Milan,1834,-16.0425837381,-6.21220309394,,Juventus
4,Marcelo,Brozovic,6717,CM,Inter Milan,1835,-16.0565922147,-6.26520858492,,Juventus
5,Marcelo,Brozovic,6717,CM,Inter Milan,1836,-16.0435764676,-6.3642049517,,Juventus
6,Marcelo,Brozovic,6717,CM,Inter Milan,1837,-16.0506333851,-6.47573970613,,Juventus
7,Marcelo,Brozovic,6717,CM,Inter Milan,1838,-16.0312546321,-6.65100996835,,Juventus
8,Marcelo,Brozovic,6717,CM,Inter Milan,1839,-16.0466955276,-6.73323415575,,Juventus
9,Marcelo,Brozovic,6717,CM,Inter Milan,1840,-16.0947299231,-6.75900979269,,Juventus
10,Marcelo,Brozovic,6717,CM,Inter Milan,1862,-18.9462789808,-11.487176986,,Juventus
11,Marcelo,Brozovic,6717,CM,Inter Milan,1863,-19.2299844197,-11.8351851191,,Juventus
12,Marcelo,Brozovic,6717,CM,Inter Milan,1864,-19.5151068824,-12.1400596755,,Juventus
13,Marcelo,Brozovic,6717,CM,Inter Milan,1865,-19.8016463688,-12.4018006552,,Juventus
14,Marcelo,Brozovic,6717,CM,Inter Milan,1866,-20.0715413775,-12.5938762937,,Juventus
15,Marcelo,Brozovic,6717,CM,Inter Milan,1867,-20.3463063013,-12.8402313051,,Juventus
16,Marcelo,Brozovic,6717,CM,Inter Milan,1868,-20.6693115234,-13.0412024089,,Juventus
17,Marcelo,Brozovic,6717,CM,Inter Milan,1869,-21.0342856816,-13.173445747,,Juventus
18,Marcelo,Brozovic,6717,CM,Inter Milan,1870,-21.3578838167,-13.3377602895,,Juventus
19,Marcelo,Brozovic,6717,CM,Inter Milan,1871,-21.7035019284,-13.5972716468,,Juventus
20,Marcelo,Brozovic,6717,CM,Inter Milan,1872,-22.051091512,-13.7981815792,,Juventus
21,Marcelo,Brozovic,6717,CM,Inter Milan,1873,-22.3862837837,-14.0293823878,,Juventus
22,Marcelo,Brozovic,6717,CM,Inter Milan,1874,-22.7200534457,-14.2022283191,,Juventus
23,Marcelo,Brozovic,6717,CM,Inter Milan,1875,-23.1018642244,-14.4061647597,,Juventus
24,Marcelo,Brozovic,6717,CM,Inter Milan,1876,-23.4643831707,-14.543030648,,Juventus
25,Marcelo,Brozovic,6717,CM,Inter Milan,1877,-23.8458700634,-14.6962594986,,Juventus
26,Marcelo,Brozovic,6717,CM,Inter Milan,1878,-24.1880176181,-14.888345673,,Juventus
27,Marcelo,Brozovic,6717,CM,Inter Milan,1879,-24.5412239801,-15.0834526334,,Juventus
28,Marcelo,Brozovic,6717,CM,Inter Milan,1880,-24.835292907,-15.2630113874,,Juventus
29,Marcelo,Brozovic,6717,CM,Inter Milan,1881,-25.1410394396,-15.5408788409,,Juventus
30,Marcelo,Brozovic,6717,CM,Inter Milan,1882,-25.4283463614,-15.7752101535,,Juventus
31,Marcelo,Brozovic,6717,CM,Inter Milan,1883,-25.7675959269,-15.9417745499,,Juventus
