,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Stefan,de Vrij,9982,CB,Inter Milan,1864,-25.325534866,-2.78048496019,,Juventus
1,Stefan,de Vrij,9982,CB,Inter Milan,1865,-25.535672869,-3.29644092492,,Juventus
2,Stefan,de Vrij,9982,CB,Inter Milan,1866,-25.7771166393,-3.73800599575,,Juventus
3,Stefan,de Vrij,9982,CB,Inter Milan,1867,-26.0498661768,-4.10518017269,,Juventus
4,Stefan,de Vrij,9982,CB,Inter Milan,1868,-26.4225732713,-4.17833714258,,Juventus
5,Stefan,de Vrij,9982,CB,Inter Milan,1869,-26.6400482541,-4.72065884726,,Juventus
6,Stefan,de Vrij,9982,CB,Inter Milan,1870,-26.9406042553,-5.08477837699,,Juventus
7,Stefan,de Vrij,9982,CB,Inter Milan,1871,-27.3192538307,-5.35095693952,,Juventus
8,Stefan,de Vrij,9982,CB,Inter Milan,1872,-27.5364772252,-5.83961205255,,Juventus
9,Stefan,de Vrij,9982,CB,Inter Milan,1873,-27.8389966147,-6.2683770316,,Juventus
10,Stefan,de Vrij,9982,CB,Inter Milan,1874,-28.2054632278,-6.48482456661,,Juventus
11,Stefan,de Vrij,9982,CB,Inter Milan,1875,-28.5036045256,-6.93296189535,,Juventus
12,Stefan,de Vrij,9982,CB,Inter Milan,1876,-28.8103820256,-7.21424030122,,Juventus
13,Stefan,de Vrij,9982,CB,Inter Milan,1877,-29.2369569143,-7.42540325437,,Juventus
14,Stefan,de Vrij,9982,CB,Inter Milan,1878,-29.4814642043,-7.90094829741,,Juventus
15,Stefan,de Vrij,9982,CB,Inter Milan,1879,-29.7628290994,-8.38562795094,,Juventus
16,Stefan,de Vrij,9982,CB,Inter Milan,1880,-30.0872302282,-8.74115862165,,Juventus
17,Stefan,de Vrij,9982,CB,Inter Milan,1881,-30.3969363258,-9.13531285241,,Juventus
18,Stefan,de Vrij,9982,CB,Inter Milan,1882,-30.6562857855,-9.41889077141,,Juventus
19,Stefan,de Vrij,9982,CB,Inter Milan,1883,-31.0196373349,-9.65320083073,,Juventus
20,Stefan,de Vrij,9982,CB,Inter Milan,1884,-31.3031608945,-9.94894599915,,Juventus
21,Stefan,de Vrij,9982,CB,Inter Milan,1885,-31.5990090143,-10.2839871361,,Juventus
22,Stefan,de Vrij,9982,CB,Inter Milan,1886,-31.8827793485,-10.6111885707,,Juventus
23,Stefan,de Vrij,9982,CB,Inter Milan,1887,-32.1559783391,-10.9197856812,,Juventus
24,Stefan,de Vrij,9982,CB,Inter Milan,1888,-32.3248008546,-11.26757758,,Juventus
25,Stefan,de Vrij,9982,CB,Inter Milan,1889,-32.6332902454,-11.3999918075,,Juventus
26,Stefan,de Vrij,9982,CB,Inter Milan,1890,-32.9767198108,-11.3617722648,,Juventus
27,Stefan,de Vrij,9982,CB,Inter Milan,1891,-33.2223972139,-11.464341754,,Juventus
28,Stefan,de Vrij,9982,CB,Inter Milan,1892,-33.3475141979,-11.6911275046,,Juventus
29,Stefan,de Vrij,9982,CB,Inter Milan,1893,-33.4027230399,-12.0632713863,,Juventus
30,Stefan,de Vrij,9982,CB,Inter Milan,1894,-33.3675475348,-12.5508866083,,Juventus
31,Stefan,de Vrij,9982,CB,Inter Milan,1895,-33.4644893465,-12.8624519166,,Juventus
32,Stefan,de Vrij,9982,CB,Inter Milan,1896,-33.6706343151,-12.9919526691,,Juventus
