,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Alexis,Sanchez,589,RF,Inter Milan,56622,-4.31960419246,9.4296130907,,Juventus
1,Alexis,Sanchez,589,RF,Inter Milan,56623,-4.35123290334,9.40477091925,,Juventus
2,Alexis,Sanchez,589,RF,Inter Milan,56624,-4.37819491114,9.38310555049,,Juventus
3,Alexis,Sanchez,589,RF,Inter Milan,56625,-4.40049021585,9.36461698441,,Juventus
4,Alexis,Sanchez,589,RF,Inter Milan,56626,-4.41093285878,9.40066637312,,Juventus
5,Alexis,Sanchez,589,RF,Inter Milan,56627,-4.42196509952,9.36046427772,,Juventus
6,Alexis,Sanchez,589,RF,Inter Milan,56628,-4.44205504372,9.29277601696,,Juventus
7,Alexis,Sanchez,589,RF,Inter Milan,56629,-4.43321312042,9.25724311102,,Juventus
8,Alexis,Sanchez,589,RF,Inter Milan,56630,-4.43255454018,9.24785868327,,Juventus
9,Alexis,Sanchez,589,RF,Inter Milan,56631,-4.42312751498,9.2493933269,,Juventus
10,Alexis,Sanchez,589,RF,Inter Milan,56632,-4.4282381421,9.24026203156,,Juventus
11,Alexis,Sanchez,589,RF,Inter Milan,56633,-4.4365436009,9.23933024633,,Juventus
12,Alexis,Sanchez,589,RF,Inter Milan,56634,-4.44604789643,9.24451859792,,Juventus
13,Alexis,Sanchez,589,RF,Inter Milan,56635,-4.45365154176,9.25328904107,,Juventus
14,Alexis,Sanchez,589,RF,Inter Milan,56636,-4.46839089621,9.27958029792,,Juventus
15,Alexis,Sanchez,589,RF,Inter Milan,56637,-4.47891278494,9.28323409671,,Juventus
16,Alexis,Sanchez,589,RF,Inter Milan,56638,-4.48724401565,9.26404435294,,Juventus
17,Alexis,Sanchez,589,RF,Inter Milan,56639,-4.4945383526,9.2513506299,,Juventus
18,Alexis,Sanchez,589,RF,Inter Milan,56640,-4.49217083341,9.25027615683,,Juventus
19,Alexis,Sanchez,589,RF,Inter Milan,56641,-4.49457606815,9.25056925274,,Juventus
20,Alexis,Sanchez,589,RF,Inter Milan,56642,-4.49201838175,9.26049037207,,Juventus
