,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Antonio,Candreva,975,RW,Inter Milan,851,-19.9834839957,26.4131496974,6179.0,Juventus
1,Antonio,Candreva,975,RW,Inter Milan,852,-20.3608431135,26.1688568479,6179.0,Juventus
2,Antonio,Candreva,975,RW,Inter Milan,853,-20.5701307569,25.8995120639,6179.0,Juventus
3,Antonio,Candreva,975,RW,Inter Milan,854,-20.7508183434,25.7124166943,6179.0,Juventus
4,Antonio,Candreva,975,RW,Inter Milan,855,-20.8607962472,25.5390224457,6179.0,Juventus
5,Antonio,Candreva,975,RW,Inter Milan,856,-20.9902452741,25.2916851044,6179.0,Juventus
6,Antonio,Candreva,975,RW,Inter Milan,857,-21.0911639077,25.1280693781,,Juventus
7,Antonio,Candreva,975,RW,Inter Milan,858,-21.2844562531,25.120689937,,Juventus
8,Antonio,Candreva,975,RW,Inter Milan,859,-21.4149680365,25.065421604,,Juventus
9,Antonio,Candreva,975,RW,Inter Milan,860,-21.4977090018,24.975747608,,Juventus
10,Antonio,Candreva,975,RW,Inter Milan,861,-21.5226246062,24.7711925507,,Juventus
11,Antonio,Candreva,975,RW,Inter Milan,862,-21.5158095587,24.4452757154,,Juventus
12,Antonio,Candreva,975,RW,Inter Milan,863,-21.3795916239,24.2423199245,,Juventus
13,Antonio,Candreva,975,RW,Inter Milan,864,-21.162611916,24.1815537952,,Juventus
14,Antonio,Candreva,975,RW,Inter Milan,865,-20.8886287326,24.0873247782,,Juventus
15,Antonio,Candreva,975,RW,Inter Milan,866,-20.5802626837,23.9110717773,,Juventus
16,Antonio,Candreva,975,RW,Inter Milan,867,-20.3759128026,23.6947200412,,Juventus
17,Antonio,Candreva,975,RW,Inter Milan,868,-20.2644666036,23.4036807106,,Juventus
18,Antonio,Candreva,975,RW,Inter Milan,869,-20.1433624994,23.2343777248,,Juventus
19,Antonio,Candreva,975,RW,Inter Milan,870,-19.9391296932,23.208001273,,Juventus
20,Antonio,Candreva,975,RW,Inter Milan,871,-19.6601502555,23.1586333684,,Juventus
21,Antonio,Candreva,975,RW,Inter Milan,872,-19.2981858026,23.0809580485,,Juventus
22,Antonio,Candreva,975,RW,Inter Milan,873,-19.0122071221,22.9871294839,,Juventus
23,Antonio,Candreva,975,RW,Inter Milan,874,-18.772910436,22.8899094718,,Juventus
24,Antonio,Candreva,975,RW,Inter Milan,875,-18.5921882448,22.7171748933,,Juventus
25,Antonio,Candreva,975,RW,Inter Milan,876,-18.3580819993,22.5937467303,10913.0,Juventus
26,Antonio,Candreva,975,RW,Inter Milan,877,-18.0971081143,22.6260140737,10913.0,Juventus
27,Antonio,Candreva,975,RW,Inter Milan,878,-17.7537689209,22.5455535707,10913.0,Juventus
28,Antonio,Candreva,975,RW,Inter Milan,879,-17.466095334,22.4119517008,10913.0,Juventus
29,Antonio,Candreva,975,RW,Inter Milan,880,-17.2033651443,22.3477671487,10913.0,Juventus
30,Antonio,Candreva,975,RW,Inter Milan,881,-16.9858029683,22.2734626588,10913.0,Juventus
31,Antonio,Candreva,975,RW,Inter Milan,882,-16.7368814378,22.0732854207,10913.0,Juventus
32,Antonio,Candreva,975,RW,Inter Milan,883,-16.4595745632,21.9229160036,10913.0,Juventus
33,Antonio,Candreva,975,RW,Inter Milan,884,-16.1616862161,21.7813506808,10913.0,Juventus
34,Antonio,Candreva,975,RW,Inter Milan,885,-15.8432163965,21.6485894521,10913.0,Juventus
35,Antonio,Candreva,975,RW,Inter Milan,979,-14.5722473462,13.3184918222,,Inter Milan
36,Antonio,Candreva,975,RW,Inter Milan,980,-15.2277425357,13.6042287009,,Inter Milan
37,Antonio,Candreva,975,RW,Inter Milan,981,-15.8891638347,13.8483459609,,Inter Milan
38,Antonio,Candreva,975,RW,Inter Milan,982,-16.5565112432,14.0508436021,,Inter Milan
39,Antonio,Candreva,975,RW,Inter Milan,983,-17.2373790741,14.0581995192,,Inter Milan
40,Antonio,Candreva,975,RW,Inter Milan,984,-17.9887250264,14.367599124,,Inter Milan
41,Antonio,Candreva,975,RW,Inter Milan,985,-18.5684601012,14.5466772715,,Inter Milan
42,Antonio,Candreva,975,RW,Inter Milan,986,-19.1603227343,14.7812115351,,Inter Milan
43,Antonio,Candreva,975,RW,Inter Milan,987,-19.7461447943,15.1722608294,,Inter Milan
44,Antonio,Candreva,975,RW,Inter Milan,988,-20.3323000953,15.4285162971,,Inter Milan
45,Antonio,Candreva,975,RW,Inter Milan,989,-20.8589584714,15.7087351481,,Inter Milan
46,Antonio,Candreva,975,RW,Inter Milan,990,-21.3909063793,16.0101428259,,Inter Milan
47,Antonio,Candreva,975,RW,Inter Milan,991,-21.8714787619,16.1471326011,,Inter Milan
48,Antonio,Candreva,975,RW,Inter Milan,992,-22.3091498784,16.1824414389,,Inter Milan
49,Antonio,Candreva,975,RW,Inter Milan,993,-22.7039197286,16.1160693396,,Inter Milan
50,Antonio,Candreva,975,RW,Inter Milan,1291,4.73123579934,26.235143162,,Juventus
51,Antonio,Candreva,975,RW,Inter Milan,1292,5.11851736477,26.1646723066,,Juventus
52,Antonio,Candreva,975,RW,Inter Milan,1293,5.50112121446,26.1051299231,,Juventus
53,Antonio,Candreva,975,RW,Inter Milan,1294,5.87904734839,26.0565160116,,Juventus
54,Antonio,Candreva,975,RW,Inter Milan,1295,6.21715466181,26.0179397946,,Juventus
55,Antonio,Candreva,975,RW,Inter Milan,1296,6.62577583676,26.0333156586,,Juventus
56,Antonio,Candreva,975,RW,Inter Milan,1297,6.98848554066,26.0003579458,,Juventus
57,Antonio,Candreva,975,RW,Inter Milan,1298,7.46623520624,25.8649043129,,Juventus
58,Antonio,Candreva,975,RW,Inter Milan,1299,7.86588164738,25.7288131714,,Juventus
59,Antonio,Candreva,975,RW,Inter Milan,1300,8.3027820133,25.5924401056,,Juventus
60,Antonio,Candreva,975,RW,Inter Milan,1301,8.68986574809,25.4265484583,520.0,Juventus
61,Antonio,Candreva,975,RW,Inter Milan,1302,9.14319878533,25.3933437892,520.0,Juventus
62,Antonio,Candreva,975,RW,Inter Milan,1303,9.56466238839,25.268001738,520.0,Juventus
63,Antonio,Candreva,975,RW,Inter Milan,1304,10.0335962205,25.0777022952,520.0,Juventus
64,Antonio,Candreva,975,RW,Inter Milan,1305,10.4272852398,24.8789285024,520.0,Juventus
65,Antonio,Candreva,975,RW,Inter Milan,1306,10.8219536827,24.8369901748,520.0,Juventus
66,Antonio,Candreva,975,RW,Inter Milan,1307,11.1426800319,24.9081705184,520.0,Juventus
67,Antonio,Candreva,975,RW,Inter Milan,1308,11.5200734366,25.2115401313,520.0,Juventus
68,Antonio,Candreva,975,RW,Inter Milan,1309,11.8584339959,25.5185273488,520.0,Juventus
69,Antonio,Candreva,975,RW,Inter Milan,1310,12.2360270364,25.7814546313,520.0,Juventus
70,Antonio,Candreva,975,RW,Inter Milan,1311,12.6056533541,25.9153432392,520.0,Juventus
71,Antonio,Candreva,975,RW,Inter Milan,1312,13.0057709558,25.9898003169,520.0,Juventus
72,Antonio,Candreva,975,RW,Inter Milan,1313,13.4014606476,25.9183815547,520.0,Juventus
73,Antonio,Candreva,975,RW,Inter Milan,1314,13.8281486602,25.8926410675,520.0,Juventus
74,Antonio,Candreva,975,RW,Inter Milan,1315,14.1975125358,25.835135687,520.0,Juventus
75,Antonio,Candreva,975,RW,Inter Milan,1316,14.6747654052,25.8244447254,520.0,Juventus
76,Antonio,Candreva,975,RW,Inter Milan,1317,15.1244517281,25.8899569738,520.0,Juventus
77,Antonio,Candreva,975,RW,Inter Milan,1318,15.5888085592,25.8808942522,520.0,Juventus
78,Antonio,Candreva,975,RW,Inter Milan,1319,16.0539664314,25.7490338825,520.0,Juventus
79,Antonio,Candreva,975,RW,Inter Milan,1320,16.5098295666,25.6903413137,520.0,Juventus
80,Antonio,Candreva,975,RW,Inter Milan,1321,16.9404820488,25.7740501222,520.0,Juventus
81,Antonio,Candreva,975,RW,Inter Milan,1322,17.3764061701,25.732300168,520.0,Juventus
82,Antonio,Candreva,975,RW,Inter Milan,1323,17.6959880647,25.7101013547,520.0,Juventus
83,Antonio,Candreva,975,RW,Inter Milan,1324,17.991980144,25.6548201243,,Juventus
84,Antonio,Candreva,975,RW,Inter Milan,1325,18.2842436291,25.513466063,,Juventus
85,Antonio,Candreva,975,RW,Inter Milan,1326,18.644739151,25.3672310057,,Juventus
86,Antonio,Candreva,975,RW,Inter Milan,1327,19.0409048171,25.3676780519,,Juventus
87,Antonio,Candreva,975,RW,Inter Milan,1328,19.4836341313,25.3278579712,,Juventus
88,Antonio,Candreva,975,RW,Inter Milan,1329,19.9000069754,25.284394128,,Juventus
89,Antonio,Candreva,975,RW,Inter Milan,1330,20.3730422429,25.4647373018,,Juventus
90,Antonio,Candreva,975,RW,Inter Milan,1331,20.7642772311,25.4659407479,,Juventus
91,Antonio,Candreva,975,RW,Inter Milan,1332,21.1987472716,25.2903124491,,Juventus
92,Antonio,Candreva,975,RW,Inter Milan,1333,21.5586186364,25.0947303772,,Juventus
93,Antonio,Candreva,975,RW,Inter Milan,1334,21.9002862658,24.7701273419,,Juventus
94,Antonio,Candreva,975,RW,Inter Milan,1335,22.2046199072,24.3590221405,,Juventus
95,Antonio,Candreva,975,RW,Inter Milan,1336,22.5596635909,24.114484787,,Juventus
96,Antonio,Candreva,975,RW,Inter Milan,1337,22.8195016044,23.7920998165,4023.0,Juventus
97,Antonio,Candreva,975,RW,Inter Milan,1338,23.1227412451,23.4587061746,4023.0,Juventus
98,Antonio,Candreva,975,RW,Inter Milan,1339,23.4304617927,23.309555417,4023.0,Juventus
99,Antonio,Candreva,975,RW,Inter Milan,1340,23.7058556875,22.9916280111,4023.0,Juventus
100,Antonio,Candreva,975,RW,Inter Milan,1341,23.9846792675,22.7688713074,4023.0,Juventus
101,Antonio,Candreva,975,RW,Inter Milan,1342,24.295081729,22.4801303319,4023.0,Juventus
102,Antonio,Candreva,975,RW,Inter Milan,1343,24.5638488588,22.2083821978,4023.0,Juventus
103,Antonio,Candreva,975,RW,Inter Milan,1344,24.8260907673,21.8032491775,4023.0,Juventus
104,Antonio,Candreva,975,RW,Inter Milan,1345,25.0690814427,21.4679462796,4023.0,Juventus
105,Antonio,Candreva,975,RW,Inter Milan,1346,25.3218939645,21.1382600693,4023.0,Juventus
106,Antonio,Candreva,975,RW,Inter Milan,1347,25.5689338502,20.9335083734,4023.0,Juventus
107,Antonio,Candreva,975,RW,Inter Milan,1348,25.8612798963,20.6547645387,4023.0,Juventus
108,Antonio,Candreva,975,RW,Inter Milan,1349,26.1822654179,20.4965724945,4023.0,Juventus
109,Antonio,Candreva,975,RW,Inter Milan,1350,26.519878115,20.1694098881,4023.0,Juventus
110,Antonio,Candreva,975,RW,Inter Milan,1351,26.7967403957,19.7889552343,4023.0,Juventus
111,Antonio,Candreva,975,RW,Inter Milan,1352,27.1027793884,19.4762291681,4023.0,Juventus
112,Antonio,Candreva,975,RW,Inter Milan,1353,27.3555968148,19.2448002043,4023.0,Juventus
113,Antonio,Candreva,975,RW,Inter Milan,1354,27.6147603535,18.9244674501,,Juventus
114,Antonio,Candreva,975,RW,Inter Milan,1355,27.9142527807,18.7792432876,,Juventus
115,Antonio,Candreva,975,RW,Inter Milan,1356,28.214776902,18.4780386062,,Juventus
116,Antonio,Candreva,975,RW,Inter Milan,1357,28.4668681735,18.1472958156,,Juventus
117,Antonio,Candreva,975,RW,Inter Milan,1358,28.7496783847,17.7506961823,,Juventus
118,Antonio,Candreva,975,RW,Inter Milan,1359,29.0001059033,17.484221413,105.0,Juventus
