,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Christian,Eriksen,1837,LM,Inter Milan,45641,-1.95005509399,-5.53666482653,4023.0,Juventus
1,Christian,Eriksen,1837,LM,Inter Milan,45642,-2.0695415054,-5.38412900198,,Juventus
2,Christian,Eriksen,1837,LM,Inter Milan,45643,-2.17899445125,-5.45779705048,,Juventus
3,Christian,Eriksen,1837,LM,Inter Milan,45644,-2.34373771577,-5.48674578894,,Juventus
4,Christian,Eriksen,1837,LM,Inter Milan,45645,-2.52499147824,-5.24378133955,,Juventus
5,Christian,Eriksen,1837,LM,Inter Milan,45646,-2.69281295368,-5.03770058496,,Juventus
6,Christian,Eriksen,1837,LM,Inter Milan,45647,-2.83351072811,-4.6431020555,,Juventus
7,Christian,Eriksen,1837,LM,Inter Milan,45648,-3.02066074099,-4.25658599536,,Juventus
8,Christian,Eriksen,1837,LM,Inter Milan,45649,-3.19552243324,-3.92610104879,,Juventus
9,Christian,Eriksen,1837,LM,Inter Milan,45650,-3.42907551357,-3.50162062191,,Juventus
10,Christian,Eriksen,1837,LM,Inter Milan,45651,-3.65251094954,-3.27628169741,,Juventus
11,Christian,Eriksen,1837,LM,Inter Milan,45652,-3.91012652715,-2.88450781504,,Juventus
12,Christian,Eriksen,1837,LM,Inter Milan,45653,-4.17442512512,-2.3069315354,,Juventus
13,Christian,Eriksen,1837,LM,Inter Milan,45654,-4.45663260278,-1.74437624358,,Juventus
14,Christian,Eriksen,1837,LM,Inter Milan,45655,-4.70419999531,-1.18535671915,,Juventus
15,Christian,Eriksen,1837,LM,Inter Milan,45656,-4.99846637817,-0.660433026652,,Juventus
16,Christian,Eriksen,1837,LM,Inter Milan,45657,-5.25508928299,-0.45278898662,,Juventus
17,Christian,Eriksen,1837,LM,Inter Milan,45658,-5.57758814948,0.112812312231,,Juventus
18,Christian,Eriksen,1837,LM,Inter Milan,45659,-5.90122185435,0.613901220262,,Juventus
19,Christian,Eriksen,1837,LM,Inter Milan,45660,-6.24240555082,1.14615807257,,Juventus
20,Christian,Eriksen,1837,LM,Inter Milan,45661,-6.6011392389,1.70958286914,,Juventus
21,Christian,Eriksen,1837,LM,Inter Milan,45696,-19.1395289557,11.1958022572,,Juventus
22,Christian,Eriksen,1837,LM,Inter Milan,45697,-19.4817552567,10.9833715303,,Juventus
23,Christian,Eriksen,1837,LM,Inter Milan,45698,-19.8687354497,10.8624886104,,Juventus
24,Christian,Eriksen,1837,LM,Inter Milan,45699,-20.3004695347,10.8331534976,,Juventus
25,Christian,Eriksen,1837,LM,Inter Milan,45700,-20.8194124131,10.942600659,,Juventus
26,Christian,Eriksen,1837,LM,Inter Milan,45701,-21.2843843188,11.0314444133,,Juventus
27,Christian,Eriksen,1837,LM,Inter Milan,45702,-21.7712243398,11.0379893439,,Juventus
28,Christian,Eriksen,1837,LM,Inter Milan,45703,-22.2584774381,11.2595198041,,Juventus
29,Christian,Eriksen,1837,LM,Inter Milan,45704,-22.8134943644,11.3492515201,,Juventus
30,Christian,Eriksen,1837,LM,Inter Milan,45705,-23.3420066833,11.3116610391,,Juventus
31,Christian,Eriksen,1837,LM,Inter Milan,45706,-23.9976320721,11.5107765198,,Juventus
32,Christian,Eriksen,1837,LM,Inter Milan,45707,-24.5635268802,11.5910379319,,Juventus
33,Christian,Eriksen,1837,LM,Inter Milan,45708,-25.0980988457,11.5105528604,,Juventus
34,Christian,Eriksen,1837,LM,Inter Milan,45709,-25.6238796597,11.6288370859,,Juventus
35,Christian,Eriksen,1837,LM,Inter Milan,45710,-26.1565539042,11.632537751,,Juventus
36,Christian,Eriksen,1837,LM,Inter Milan,45711,-26.6341397422,11.5384691783,,Juventus
37,Christian,Eriksen,1837,LM,Inter Milan,45712,-27.2192889622,11.6668966384,8514.0,Juventus
38,Christian,Eriksen,1837,LM,Inter Milan,45713,-27.7274027325,11.732585362,8514.0,Juventus
39,Christian,Eriksen,1837,LM,Inter Milan,45714,-28.2292079926,11.6378764652,8514.0,Juventus
40,Christian,Eriksen,1837,LM,Inter Milan,45715,-28.6929898035,11.6741468339,8514.0,Juventus
41,Christian,Eriksen,1837,LM,Inter Milan,45716,-29.1730650947,11.6304599671,8514.0,Juventus
42,Christian,Eriksen,1837,LM,Inter Milan,45717,-29.5995566958,11.4836562475,8514.0,Juventus
43,Christian,Eriksen,1837,LM,Inter Milan,45718,-30.1283087049,11.5419567199,8514.0,Juventus
44,Christian,Eriksen,1837,LM,Inter Milan,45719,-30.602807272,11.5229438146,8514.0,Juventus
45,Christian,Eriksen,1837,LM,Inter Milan,45720,-31.1471385048,11.543069022,8514.0,Juventus
46,Christian,Eriksen,1837,LM,Inter Milan,45721,-31.5981249128,11.5305894216,8514.0,Juventus
47,Christian,Eriksen,1837,LM,Inter Milan,45722,-32.0842958178,11.5450272333,8514.0,Juventus
48,Christian,Eriksen,1837,LM,Inter Milan,45723,-32.4630622864,11.4219630105,8514.0,Juventus
49,Christian,Eriksen,1837,LM,Inter Milan,45724,-32.909870511,11.4679935092,,Juventus
50,Christian,Eriksen,1837,LM,Inter Milan,45725,-33.2920882815,11.4995190757,,Juventus
51,Christian,Eriksen,1837,LM,Inter Milan,45726,-33.7111756461,11.6389459882,,Juventus
52,Christian,Eriksen,1837,LM,Inter Milan,45727,-34.0341030303,11.6920507522,,Juventus
53,Christian,Eriksen,1837,LM,Inter Milan,45728,-34.4054134914,11.8217288426,,Juventus
54,Christian,Eriksen,1837,LM,Inter Milan,45729,-34.7024850391,11.8942273458,,Juventus
55,Christian,Eriksen,1837,LM,Inter Milan,45730,-35.0257542928,12.0414265678,,Juventus
56,Christian,Eriksen,1837,LM,Inter Milan,45731,-35.3244492667,12.2545377186,,Juventus
57,Christian,Eriksen,1837,LM,Inter Milan,45732,-35.6095793588,12.492768878,,Juventus
58,Christian,Eriksen,1837,LM,Inter Milan,45733,-35.8382613772,12.6544755754,,Juventus
59,Christian,Eriksen,1837,LM,Inter Milan,45734,-36.0445798238,12.8633915583,,Juventus
60,Christian,Eriksen,1837,LM,Inter Milan,45735,-36.1719992501,13.0910890216,,Juventus
61,Christian,Eriksen,1837,LM,Inter Milan,45736,-36.2636702401,13.3274037043,,Juventus
62,Christian,Eriksen,1837,LM,Inter Milan,45737,-36.3628492809,13.5906171345,,Juventus
63,Christian,Eriksen,1837,LM,Inter Milan,45738,-36.4232673645,13.7955648786,,Juventus
64,Christian,Eriksen,1837,LM,Inter Milan,45739,-36.433366503,13.7731286912,,Juventus
65,Christian,Eriksen,1837,LM,Inter Milan,45740,-36.4670248486,13.8602350326,,Juventus
66,Christian,Eriksen,1837,LM,Inter Milan,45741,-36.5343064808,14.0575093769,8514.0,Juventus
67,Christian,Eriksen,1837,LM,Inter Milan,45742,-36.5393446059,14.2477259863,8514.0,Juventus
68,Christian,Eriksen,1837,LM,Inter Milan,45743,-36.4827057975,14.3913433438,,Juventus
69,Christian,Eriksen,1837,LM,Inter Milan,45744,-36.270846049,14.3367478961,,Juventus
70,Christian,Eriksen,1837,LM,Inter Milan,45745,-35.9953647795,14.0845809664,,Juventus
71,Christian,Eriksen,1837,LM,Inter Milan,45746,-35.7484926496,13.9641090575,,Juventus
72,Christian,Eriksen,1837,LM,Inter Milan,45747,-35.5583530608,13.9179035823,105.0,Juventus
73,Christian,Eriksen,1837,LM,Inter Milan,45748,-35.2896479652,13.8841817493,105.0,Juventus
74,Christian,Eriksen,1837,LM,Inter Milan,45749,-34.9505290077,13.8067280906,105.0,Juventus
75,Christian,Eriksen,1837,LM,Inter Milan,45750,-34.5157601493,13.5625293368,105.0,Juventus
76,Christian,Eriksen,1837,LM,Inter Milan,45751,-34.0862510318,13.2271203086,105.0,Juventus
77,Christian,Eriksen,1837,LM,Inter Milan,45752,-33.6772787912,12.9983443306,105.0,Juventus
78,Christian,Eriksen,1837,LM,Inter Milan,45753,-33.3192601885,12.8298873447,,Juventus
79,Christian,Eriksen,1837,LM,Inter Milan,45754,-32.9942220052,12.8295096897,,Juventus
80,Christian,Eriksen,1837,LM,Inter Milan,45755,-32.741881416,12.9452826182,,Juventus
81,Christian,Eriksen,1837,LM,Inter Milan,45756,-32.5091894241,12.9470175789,,Juventus
82,Christian,Eriksen,1837,LM,Inter Milan,45757,-32.3466504415,12.8625287101,,Juventus
83,Christian,Eriksen,1837,LM,Inter Milan,45758,-32.2453220912,12.8274335861,,Juventus
84,Christian,Eriksen,1837,LM,Inter Milan,45759,-32.1593730563,12.7416502181,,Juventus
85,Christian,Eriksen,1837,LM,Inter Milan,45760,-32.05827822,12.6471397763,,Juventus
86,Christian,Eriksen,1837,LM,Inter Milan,45761,-31.9474602654,12.5854392733,,Juventus
87,Christian,Eriksen,1837,LM,Inter Milan,45762,-31.8137000856,12.4833582924,,Juventus
88,Christian,Eriksen,1837,LM,Inter Milan,45763,-31.7253767649,12.4542062396,,Juventus
89,Christian,Eriksen,1837,LM,Inter Milan,45764,-31.6211680004,12.405417851,,Juventus
90,Christian,Eriksen,1837,LM,Inter Milan,45765,-31.523579325,12.3772465842,,Juventus
91,Christian,Eriksen,1837,LM,Inter Milan,45766,-31.4326107388,12.3696924391,,Juventus
92,Christian,Eriksen,1837,LM,Inter Milan,45828,-18.1608329046,2.4914122309,,Inter Milan
93,Christian,Eriksen,1837,LM,Inter Milan,45829,-17.927778244,2.3829474364,,Inter Milan
94,Christian,Eriksen,1837,LM,Inter Milan,45830,-17.6827212742,2.25863142524,,Inter Milan
95,Christian,Eriksen,1837,LM,Inter Milan,45831,-17.4256619953,2.11846419743,,Inter Milan
96,Christian,Eriksen,1837,LM,Inter Milan,45832,-17.1604403541,2.01236848036,,Inter Milan
97,Christian,Eriksen,1837,LM,Inter Milan,45833,-16.8713441576,1.76754950909,,Inter Milan
98,Christian,Eriksen,1837,LM,Inter Milan,45834,-16.5768897193,1.58018830277,,Inter Milan
99,Christian,Eriksen,1837,LM,Inter Milan,45835,-16.2827579407,1.37562186094,,Inter Milan
100,Christian,Eriksen,1837,LM,Inter Milan,45836,-15.8969901403,0.923455534946,,Inter Milan
101,Christian,Eriksen,1837,LM,Inter Milan,45837,-15.5842586699,0.849354978119,,Inter Milan
102,Christian,Eriksen,1837,LM,Inter Milan,45838,-15.2270024618,0.636030649145,,Inter Milan
103,Christian,Eriksen,1837,LM,Inter Milan,45839,-14.8932837986,0.437250266472,,Inter Milan
104,Christian,Eriksen,1837,LM,Inter Milan,45840,-14.5480086917,0.276210352778,,Inter Milan
105,Christian,Eriksen,1837,LM,Inter Milan,45841,-14.2173007783,0.196065304535,,Inter Milan
106,Christian,Eriksen,1837,LM,Inter Milan,45842,-13.8404124124,-0.112460984361,,Inter Milan
107,Christian,Eriksen,1837,LM,Inter Milan,45843,-13.4881293433,-0.388713935301,,Inter Milan
108,Christian,Eriksen,1837,LM,Inter Milan,45844,-13.107060387,-0.717992406516,,Inter Milan
109,Christian,Eriksen,1837,LM,Inter Milan,45845,-12.7862612406,-0.890979222599,,Inter Milan
110,Christian,Eriksen,1837,LM,Inter Milan,45846,-12.4953819457,-0.991198691584,,Inter Milan
111,Christian,Eriksen,1837,LM,Inter Milan,45847,-12.2204868226,-1.04166391918,,Inter Milan
112,Christian,Eriksen,1837,LM,Inter Milan,45848,-11.9236011505,-1.05517028911,,Inter Milan
113,Christian,Eriksen,1837,LM,Inter Milan,45849,-11.6573134831,-1.06261554218,,Inter Milan
114,Christian,Eriksen,1837,LM,Inter Milan,45850,-11.3223936898,-1.21165539253,,Inter Milan
115,Christian,Eriksen,1837,LM,Inter Milan,45851,-10.9957868031,-1.32579492387,,Inter Milan
116,Christian,Eriksen,1837,LM,Inter Milan,45852,-10.6815659205,-1.3673443255,,Inter Milan
117,Christian,Eriksen,1837,LM,Inter Milan,45853,-10.3717446554,-1.49433367593,,Inter Milan
118,Christian,Eriksen,1837,LM,Inter Milan,45854,-9.98486264547,-1.48676375548,,Inter Milan
119,Christian,Eriksen,1837,LM,Inter Milan,45855,-9.6233295259,-1.4693798735,,Inter Milan
120,Christian,Eriksen,1837,LM,Inter Milan,45856,-9.21594456264,-1.50519269421,,Inter Milan
