,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Roberto,Gagliardini,9144,RW,Inter Milan,54300,-18.2081940061,19.9715894972,,Juventus
1,Roberto,Gagliardini,9144,RW,Inter Milan,54301,-18.4503034864,19.8867879595,,Juventus
2,Roberto,Gagliardini,9144,RW,Inter Milan,54302,-18.6468170711,19.7780282157,,Juventus
3,Roberto,Gagliardini,9144,RW,Inter Milan,54303,-18.7977347601,19.6453102657,9504.0,Inter Milan
4,Roberto,Gagliardini,9144,RW,Inter Milan,54304,-18.8551481338,19.3875648862,9504.0,Inter Milan
5,Roberto,Gagliardini,9144,RW,Inter Milan,54305,-18.9545000167,19.2255823953,9504.0,Inter Milan
6,Roberto,Gagliardini,9144,RW,Inter Milan,54306,-19.0535834176,19.1123511905,9504.0,Inter Milan
7,Roberto,Gagliardini,9144,RW,Inter Milan,54307,-19.1466702961,18.9428334009,9504.0,Inter Milan
8,Roberto,Gagliardini,9144,RW,Inter Milan,54308,-19.211821874,18.7672206334,9504.0,Inter Milan
9,Roberto,Gagliardini,9144,RW,Inter Milan,54309,-19.2493243445,18.6067864554,9504.0,Inter Milan
10,Roberto,Gagliardini,9144,RW,Inter Milan,54310,-19.267101742,18.551890237,9504.0,Inter Milan
11,Roberto,Gagliardini,9144,RW,Inter Milan,54311,-19.2811154865,18.4396279653,9504.0,Inter Milan
12,Roberto,Gagliardini,9144,RW,Inter Milan,54312,-19.2921195257,18.2276135399,9504.0,Inter Milan
13,Roberto,Gagliardini,9144,RW,Inter Milan,54313,-19.2676095508,18.0308517274,9504.0,Inter Milan
14,Roberto,Gagliardini,9144,RW,Inter Milan,54314,-19.2502575829,17.9256791614,9504.0,Inter Milan
15,Roberto,Gagliardini,9144,RW,Inter Milan,54315,-19.2710919153,17.8868519919,9504.0,Inter Milan
16,Roberto,Gagliardini,9144,RW,Inter Milan,54316,-19.2974886213,17.8463763282,9504.0,Inter Milan
17,Roberto,Gagliardini,9144,RW,Inter Milan,54317,-19.2860596066,17.7287180764,9504.0,Inter Milan
18,Roberto,Gagliardini,9144,RW,Inter Milan,54318,-19.2243114653,17.4844656445,9504.0,Inter Milan
19,Roberto,Gagliardini,9144,RW,Inter Milan,54319,-19.098200571,17.2812283834,9504.0,Inter Milan
20,Roberto,Gagliardini,9144,RW,Inter Milan,54320,-18.9653360276,17.2179663522,9504.0,Inter Milan
21,Roberto,Gagliardini,9144,RW,Inter Milan,54321,-18.8029414586,17.1941392989,9504.0,Inter Milan
22,Roberto,Gagliardini,9144,RW,Inter Milan,54322,-18.6180474418,17.0886123294,9504.0,Inter Milan
23,Roberto,Gagliardini,9144,RW,Inter Milan,54323,-18.4719079336,17.0430824643,9504.0,Inter Milan
24,Roberto,Gagliardini,9144,RW,Inter Milan,54324,-18.3275287265,16.9370510465,9504.0,Inter Milan
25,Roberto,Gagliardini,9144,RW,Inter Milan,54325,-18.183925447,16.9313150133,9504.0,Inter Milan
26,Roberto,Gagliardini,9144,RW,Inter Milan,54326,-18.0096134004,16.9410371326,9504.0,Inter Milan
27,Roberto,Gagliardini,9144,RW,Inter Milan,54327,-17.7530700139,16.9174272446,9504.0,Inter Milan
28,Roberto,Gagliardini,9144,RW,Inter Milan,54328,-17.4903253828,16.8490653265,9504.0,Inter Milan
29,Roberto,Gagliardini,9144,RW,Inter Milan,54329,-17.2646436237,16.7576378414,9504.0,Inter Milan
