,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59381,22.29550952,-33.2330529349,,Liverpool Football Club
1,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59382,22.9223153251,-33.3275578817,,Liverpool Football Club
2,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59383,23.5932878767,-33.3293160938,,Liverpool Football Club
3,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59384,24.2013373602,-33.3594678243,,Liverpool Football Club
4,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59385,24.881876446,-33.288353148,,Liverpool Football Club
5,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59386,25.5338359106,-33.2360289437,,Liverpool Football Club
6,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59387,26.3109350659,-33.1070927211,,Liverpool Football Club
7,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59388,27.0078368414,-33.0465703692,,Liverpool Football Club
8,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59389,27.7884356181,-32.8540164403,,Liverpool Football Club
9,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59390,28.5159853072,-32.7437747774,,Liverpool Football Club
10,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59391,29.2471315293,-32.6280968076,,Liverpool Football Club
11,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59392,29.8992621104,-32.5059354873,,Liverpool Football Club
12,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59393,30.539068767,-32.2981663659,,Liverpool Football Club
13,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59394,31.1037773859,-32.0951690674,,Liverpool Football Club
14,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59395,31.6667732057,-31.8373577481,,Liverpool Football Club
15,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59396,32.1028044564,-31.6398200081,,Liverpool Football Club
16,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59397,32.4680216653,-31.3923964727,,Liverpool Football Club
17,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59398,32.7093593052,-31.0771497091,,Liverpool Football Club
18,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59399,32.8958075387,-30.6321831658,,Liverpool Football Club
19,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59400,33.0086054121,-30.1623749506,,Liverpool Football Club
20,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59401,33.1125519162,-29.6856020065,,Liverpool Football Club
21,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59402,33.1073989868,-29.2765726362,,Liverpool Football Club
22,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59403,33.0651312329,-28.8381005242,,Liverpool Football Club
23,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59404,32.957043239,-28.4067357381,,Liverpool Football Club
24,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59405,32.8061990284,-27.9609871819,,Liverpool Football Club
25,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59406,32.5571523394,-27.5729256585,,Liverpool Football Club
26,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59407,32.3572640192,-27.1320411137,,Liverpool Football Club
27,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59408,32.0982576098,-26.780653999,,Liverpool Football Club
28,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59409,31.80210495,-26.4389455886,,Liverpool Football Club
29,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59410,31.5449295044,-26.0744630723,,Liverpool Football Club
30,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59411,31.2722195217,-25.7203913189,,Liverpool Football Club
31,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59412,30.996960867,-25.387285505,,Liverpool Football Club
32,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59413,30.8104579562,-24.9632914407,,Liverpool Football Club
33,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59414,30.6273266929,-24.5474656423,,Liverpool Football Club
34,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59415,30.4006829035,-24.2048604148,,Liverpool Football Club
35,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59416,30.2977835337,-23.7359251295,,Liverpool Football Club
36,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59417,30.3235951378,-23.1350646246,9449.0,Liverpool Football Club
37,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59418,30.3736823854,-22.5514252981,9449.0,Liverpool Football Club
38,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59419,30.4051053183,-22.02403559,9449.0,Liverpool Football Club
39,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59420,30.3709307171,-21.6249801091,9449.0,Liverpool Football Club
40,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59421,30.2158387502,-21.4710736956,9449.0,Liverpool Football Club
41,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59422,30.1311290378,-21.3050741468,9449.0,Liverpool Football Club
42,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59423,30.1960408347,-21.0466166905,9449.0,Liverpool Football Club
43,Alex,Oxlade-Chamberlain,515,CF,Liverpool Football Club,59424,30.3475414458,-20.686622438,9449.0,Liverpool Football Club
