,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Ilkay,Gündogan,4460,LM,Manchester City,981,35.1060147967,-20.6128016881,,Manchester City
1,Ilkay,Gündogan,4460,LM,Manchester City,982,35.6957344782,-20.2936793736,,Manchester City
2,Ilkay,Gündogan,4460,LM,Manchester City,983,36.2991589137,-20.0089312054,,Manchester City
3,Ilkay,Gündogan,4460,LM,Manchester City,984,36.8236588978,-19.8445644379,,Manchester City
4,Ilkay,Gündogan,4460,LM,Manchester City,985,37.3120306106,-19.6527047838,,Manchester City
5,Ilkay,Gündogan,4460,LM,Manchester City,986,37.9762342544,-19.1824007488,,Manchester City
6,Ilkay,Gündogan,4460,LM,Manchester City,987,38.605002267,-18.6905249641,,Manchester City
7,Ilkay,Gündogan,4460,LM,Manchester City,988,39.1251685733,-18.4058931442,,Manchester City
8,Ilkay,Gündogan,4460,LM,Manchester City,989,39.5471670968,-18.2788181305,,Manchester City
9,Ilkay,Gündogan,4460,LM,Manchester City,990,40.068115416,-18.0945875077,,Manchester City
10,Ilkay,Gündogan,4460,LM,Manchester City,991,40.5759996687,-17.9919392722,,Manchester City
11,Ilkay,Gündogan,4460,LM,Manchester City,992,41.1466382345,-17.914768764,,Manchester City
12,Ilkay,Gündogan,4460,LM,Manchester City,993,41.694073995,-17.8840203966,,Manchester City
13,Ilkay,Gündogan,4460,LM,Manchester City,994,42.2099930899,-18.0150434403,,Manchester City
14,Ilkay,Gündogan,4460,LM,Manchester City,995,42.6802598862,-18.2640711466,,Manchester City
15,Ilkay,Gündogan,4460,LM,Manchester City,996,43.2071213495,-18.4611193339,,Manchester City
16,Ilkay,Gündogan,4460,LM,Manchester City,997,43.641561054,-18.7579394749,,Manchester City
17,Ilkay,Gündogan,4460,LM,Manchester City,998,44.1262392317,-19.0109650748,,Manchester City
18,Ilkay,Gündogan,4460,LM,Manchester City,999,44.5291548229,-19.3067472549,,Manchester City
19,Ilkay,Gündogan,4460,LM,Manchester City,1000,44.8261095683,-19.7516976311,,Manchester City
20,Ilkay,Gündogan,4460,LM,Manchester City,1195,29.8044187001,-9.84816542126,,Manchester City
21,Ilkay,Gündogan,4460,LM,Manchester City,1196,29.6554079056,-9.85552345003,,Manchester City
22,Ilkay,Gündogan,4460,LM,Manchester City,1197,29.5143743243,-9.87037679127,,Manchester City
23,Ilkay,Gündogan,4460,LM,Manchester City,1198,29.3813179561,-9.89272544498,6037.0,Manchester City
24,Ilkay,Gündogan,4460,LM,Manchester City,1199,29.2739594777,-9.92995993296,6037.0,Manchester City
25,Ilkay,Gündogan,4460,LM,Manchester City,1200,29.1568061284,-9.98214612688,6037.0,Manchester City
26,Ilkay,Gündogan,4460,LM,Manchester City,1201,29.0105640775,-10.0002672105,,Manchester City
27,Ilkay,Gündogan,4460,LM,Manchester City,1202,28.8337883722,-10.0355180559,,Manchester City
28,Ilkay,Gündogan,4460,LM,Manchester City,1203,28.6680703844,-10.1190456663,,Manchester City
29,Ilkay,Gündogan,4460,LM,Manchester City,1204,28.5177148183,-10.1538219452,,Manchester City
30,Ilkay,Gündogan,4460,LM,Manchester City,1205,28.3493497939,-10.1838461558,,Manchester City
31,Ilkay,Gündogan,4460,LM,Manchester City,1206,28.1640214466,-10.2003227416,,Manchester City
32,Ilkay,Gündogan,4460,LM,Manchester City,1207,27.9633977073,-10.2417998541,,Manchester City
33,Ilkay,Gündogan,4460,LM,Manchester City,1208,27.758238747,-10.3150904973,,Manchester City
34,Ilkay,Gündogan,4460,LM,Manchester City,1209,27.5905835288,-10.3732198534,,Manchester City
35,Ilkay,Gündogan,4460,LM,Manchester City,1210,27.4262777056,-10.3689622425,,Manchester City
36,Ilkay,Gündogan,4460,LM,Manchester City,1211,27.2121817271,-10.4569401968,,Manchester City
37,Ilkay,Gündogan,4460,LM,Manchester City,1212,26.9722534361,-10.5725057693,,Manchester City
38,Ilkay,Gündogan,4460,LM,Manchester City,1213,26.752608163,-10.6893208367,,Manchester City
39,Ilkay,Gündogan,4460,LM,Manchester City,1214,26.5632012685,-10.7228191012,,Manchester City
40,Ilkay,Gündogan,4460,LM,Manchester City,1215,26.3929350717,-10.7692121324,,Manchester City
41,Ilkay,Gündogan,4460,LM,Manchester City,1216,26.1942491077,-10.824468431,,Manchester City
42,Ilkay,Gündogan,4460,LM,Manchester City,1217,25.9278557187,-10.9995495478,,Manchester City
43,Ilkay,Gündogan,4460,LM,Manchester City,1218,25.6507387615,-11.2094015394,6037.0,Manchester City
44,Ilkay,Gündogan,4460,LM,Manchester City,1219,25.4279911405,-11.3227698916,6037.0,Manchester City
45,Ilkay,Gündogan,4460,LM,Manchester City,1220,25.2459964752,-11.3837787083,6037.0,Manchester City
46,Ilkay,Gündogan,4460,LM,Manchester City,1221,25.0619364239,-11.5458925338,6037.0,Manchester City
47,Ilkay,Gündogan,4460,LM,Manchester City,1222,24.886176518,-11.7274564107,6037.0,Manchester City
48,Ilkay,Gündogan,4460,LM,Manchester City,1223,24.7005214691,-11.8998689197,6037.0,Manchester City
49,Ilkay,Gündogan,4460,LM,Manchester City,1224,24.5402893793,-12.0122092111,6037.0,Manchester City
50,Ilkay,Gündogan,4460,LM,Manchester City,1225,24.4118710472,-12.0433041709,6037.0,Manchester City
51,Ilkay,Gündogan,4460,LM,Manchester City,1226,24.2547757285,-12.1632360731,6037.0,Manchester City
52,Ilkay,Gündogan,4460,LM,Manchester City,1227,24.0620617639,-12.367462249,6037.0,Manchester City
53,Ilkay,Gündogan,4460,LM,Manchester City,1228,23.8588247753,-12.5807677678,6037.0,Manchester City
54,Ilkay,Gündogan,4460,LM,Manchester City,1229,23.6863822937,-12.6625817617,,Manchester City
55,Ilkay,Gündogan,4460,LM,Manchester City,1230,23.5327001299,-12.6977598099,,Manchester City
56,Ilkay,Gündogan,4460,LM,Manchester City,1231,23.3882322766,-12.7456811723,,Manchester City
57,Ilkay,Gündogan,4460,LM,Manchester City,1232,23.22239349,-12.8602903003,,Manchester City
58,Ilkay,Gündogan,4460,LM,Manchester City,1233,23.0863333203,-12.9891203472,,Manchester City
59,Ilkay,Gündogan,4460,LM,Manchester City,1234,22.9697001321,-13.0832673027,,Manchester City
60,Ilkay,Gündogan,4460,LM,Manchester City,1235,22.9257815225,-13.0963672456,,Manchester City
61,Ilkay,Gündogan,4460,LM,Manchester City,1236,22.8857376462,-13.0243326823,,Manchester City
62,Ilkay,Gündogan,4460,LM,Manchester City,1237,22.8956612178,-12.9739422117,,Manchester City
63,Ilkay,Gündogan,4460,LM,Manchester City,1238,22.9039720808,-12.9853707722,,Manchester City
64,Ilkay,Gündogan,4460,LM,Manchester City,1239,22.9370675768,-13.048447064,,Manchester City
65,Ilkay,Gündogan,4460,LM,Manchester City,1240,22.9495172046,-13.1152935936,,Manchester City
66,Ilkay,Gündogan,4460,LM,Manchester City,1241,22.9747760409,-13.1785189765,,Manchester City
67,Ilkay,Gündogan,4460,LM,Manchester City,1242,22.9957253592,-13.1255293801,,Manchester City
68,Ilkay,Gündogan,4460,LM,Manchester City,1243,23.0230543046,-12.9912759236,,Manchester City
69,Ilkay,Gündogan,4460,LM,Manchester City,1244,23.0479843503,-12.8922296252,,Manchester City
70,Ilkay,Gündogan,4460,LM,Manchester City,1245,23.0843652089,-12.8119432359,,Manchester City
71,Ilkay,Gündogan,4460,LM,Manchester City,1246,23.1277432215,-12.7484924226,,Manchester City
72,Ilkay,Gündogan,4460,LM,Manchester City,1247,23.1891010829,-12.7422754197,,Manchester City
73,Ilkay,Gündogan,4460,LM,Manchester City,1248,23.2974592845,-12.7674881617,,Manchester City
74,Ilkay,Gündogan,4460,LM,Manchester City,1249,23.3897851308,-12.7548742748,,Manchester City
75,Ilkay,Gündogan,4460,LM,Manchester City,1250,23.4656970614,-12.7616510391,,Manchester City
76,Ilkay,Gündogan,4460,LM,Manchester City,1251,23.5244065239,-12.7657273156,,Manchester City
77,Ilkay,Gündogan,4460,LM,Manchester City,1252,23.6046342396,-12.7335448946,,Manchester City
78,Ilkay,Gündogan,4460,LM,Manchester City,1253,23.6676317851,-12.707360858,851.0,Liverpool Football Club
79,Ilkay,Gündogan,4460,LM,Manchester City,1254,23.7432386307,-12.6975370135,851.0,Liverpool Football Club
80,Ilkay,Gündogan,4460,LM,Manchester City,1255,23.8396049681,-12.6313860303,851.0,Liverpool Football Club
81,Ilkay,Gündogan,4460,LM,Manchester City,1256,23.9372838338,-12.4862546467,851.0,Liverpool Football Club
82,Ilkay,Gündogan,4460,LM,Manchester City,1257,24.0283603668,-12.3888854299,851.0,Liverpool Football Club
83,Ilkay,Gündogan,4460,LM,Manchester City,1258,24.1205615997,-12.29134655,851.0,Liverpool Football Club
84,Ilkay,Gündogan,4460,LM,Manchester City,1259,24.2138875326,-12.1936380068,,Liverpool Football Club
85,Ilkay,Gündogan,4460,LM,Manchester City,1448,31.6811774118,-7.46309924126,,Manchester City
86,Ilkay,Gündogan,4460,LM,Manchester City,1449,31.9280327388,-7.12218563897,,Manchester City
