,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,James,Milner,4683,RM,Liverpool Football Club,48684,-1.16033924548,-2.87231137639,,Manchester City
1,James,Milner,4683,RM,Liverpool Football Club,48685,-0.311344585248,-2.24989596435,,Manchester City
2,James,Milner,4683,RM,Liverpool Football Club,48686,0.295917794108,-1.79986379828,,Manchester City
3,James,Milner,4683,RM,Liverpool Football Club,48687,0.661447892586,-1.52221487817,,Manchester City
4,James,Milner,4683,RM,Liverpool Football Club,48688,0.51967451686,-1.59855180695,,Manchester City
5,James,Milner,4683,RM,Liverpool Football Club,48689,0.524391216891,-1.58328025682,,Manchester City
6,James,Milner,4683,RM,Liverpool Football Club,48690,0.53448818695,-1.55565729028,,Manchester City
7,James,Milner,4683,RM,Liverpool Football Club,48691,0.551395121075,-1.53430985837,,Manchester City
8,James,Milner,4683,RM,Liverpool Football Club,48692,0.579005073933,-1.50320829096,,Manchester City
9,James,Milner,4683,RM,Liverpool Football Club,48693,0.599821187201,-1.49744175729,,Manchester City
10,James,Milner,4683,RM,Liverpool Football Club,48694,0.6164102753,-1.51198591505,,Manchester City
11,James,Milner,4683,RM,Liverpool Football Club,48695,0.633915134839,-1.51157184442,,Manchester City
12,James,Milner,4683,RM,Liverpool Football Club,48696,0.646812842006,-1.51026772317,,Manchester City
13,James,Milner,4683,RM,Liverpool Football Club,48697,0.660733975115,-1.50646316437,,Manchester City
14,James,Milner,4683,RM,Liverpool Football Club,48698,0.673912431513,-1.53194012528,,Manchester City
15,James,Milner,4683,RM,Liverpool Football Club,48699,0.679682723113,-1.61360683328,,Manchester City
16,James,Milner,4683,RM,Liverpool Football Club,48700,0.676305078325,-1.74657936323,,Manchester City
17,James,Milner,4683,RM,Liverpool Football Club,48701,0.677871309576,-1.85000195957,,Manchester City
18,James,Milner,4683,RM,Liverpool Football Club,48702,0.666592739877,-1.93902001494,,Manchester City
19,James,Milner,4683,RM,Liverpool Football Club,48703,0.642215314366,-1.97508551393,,Manchester City
20,James,Milner,4683,RM,Liverpool Football Club,48704,0.615990326518,-2.0118711165,,Manchester City
21,James,Milner,4683,RM,Liverpool Football Club,48705,0.600328507878,-2.07944513503,,Manchester City
22,James,Milner,4683,RM,Liverpool Football Club,48706,0.588726968992,-2.21531701088,,Manchester City
23,James,Milner,4683,RM,Liverpool Football Club,48707,0.584967894214,-2.39864320982,,Manchester City
24,James,Milner,4683,RM,Liverpool Football Club,48708,0.571795137156,-2.59377292224,,Manchester City
25,James,Milner,4683,RM,Liverpool Football Club,48709,0.557630028043,-2.73294497672,,Manchester City
26,James,Milner,4683,RM,Liverpool Football Club,48710,0.53738464486,-2.80415155774,,Manchester City
27,James,Milner,4683,RM,Liverpool Football Club,48711,0.517552040872,-2.79759472892,,Manchester City
28,James,Milner,4683,RM,Liverpool Football Club,48712,0.491161347855,-2.81278380894,,Manchester City
29,James,Milner,4683,RM,Liverpool Football Club,48713,0.457518445594,-2.88918742679,,Manchester City
30,James,Milner,4683,RM,Liverpool Football Club,48714,0.407912112418,-2.97917698679,,Liverpool Football Club
31,James,Milner,4683,RM,Liverpool Football Club,48715,0.380972357023,-3.10097225507,,Liverpool Football Club
32,James,Milner,4683,RM,Liverpool Football Club,48716,0.359449243262,-3.15788898014,,Liverpool Football Club
33,James,Milner,4683,RM,Liverpool Football Club,48717,0.35749976266,-3.08929732868,,Liverpool Football Club
34,James,Milner,4683,RM,Liverpool Football Club,48718,0.38358734761,-2.97868732044,,Liverpool Football Club
35,James,Milner,4683,RM,Liverpool Football Club,48719,0.425999496664,-2.88208914938,,Liverpool Football Club
36,James,Milner,4683,RM,Liverpool Football Club,48720,0.480962191309,-2.7707033725,,Liverpool Football Club
37,James,Milner,4683,RM,Liverpool Football Club,48721,0.554851851293,-2.72872806731,,Liverpool Football Club
38,James,Milner,4683,RM,Liverpool Football Club,48722,0.61135751009,-2.71146012488,,Liverpool Football Club
39,James,Milner,4683,RM,Liverpool Football Club,48723,0.666968254816,-2.67089448656,,Liverpool Football Club
40,James,Milner,4683,RM,Liverpool Football Club,48724,0.72711595751,-2.64503089587,,Liverpool Football Club
41,James,Milner,4683,RM,Liverpool Football Club,48725,0.805850241865,-2.6225146112,,Liverpool Football Club
