,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,John,Stones,5202,RCB,Manchester City,1752,42.1395888556,-4.9114783832,,Manchester City
1,John,Stones,5202,RCB,Manchester City,1753,41.9810349601,-4.94806327139,,Manchester City
2,John,Stones,5202,RCB,Manchester City,1754,41.8057283674,-4.94570061139,,Manchester City
3,John,Stones,5202,RCB,Manchester City,1755,41.6136690776,-4.9043904032,,Manchester City
4,John,Stones,5202,RCB,Manchester City,1756,41.3764121646,-4.79253796169,,Manchester City
5,John,Stones,5202,RCB,Manchester City,1757,41.2075182597,-4.61755916051,,Manchester City
6,John,Stones,5202,RCB,Manchester City,1758,40.9835493905,-4.53508506502,,Manchester City
7,John,Stones,5202,RCB,Manchester City,1759,40.7519967215,-4.52605018162,,Manchester City
8,John,Stones,5202,RCB,Manchester City,1760,40.4423143296,-4.63971873692,,Manchester City
9,John,Stones,5202,RCB,Manchester City,1761,40.2400845119,-4.69935117449,,Manchester City
10,John,Stones,5202,RCB,Manchester City,1762,40.1940934317,-4.62682592301,,Manchester City
11,John,Stones,5202,RCB,Manchester City,1763,40.2376285735,-4.48063811802,,Manchester City
12,John,Stones,5202,RCB,Manchester City,1764,40.1704744611,-4.49384821029,,Manchester City
13,John,Stones,5202,RCB,Manchester City,1765,39.9858887082,-4.67122429893,6037.0,Manchester City
14,John,Stones,5202,RCB,Manchester City,1766,39.6613193694,-5.00489298503,6037.0,Manchester City
15,John,Stones,5202,RCB,Manchester City,1767,39.3868495396,-5.23957618078,,Manchester City
16,John,Stones,5202,RCB,Manchester City,1768,39.2396220253,-5.27273625419,,Manchester City
17,John,Stones,5202,RCB,Manchester City,1769,39.1004751296,-5.24012025197,,Manchester City
18,John,Stones,5202,RCB,Manchester City,1770,38.8860415504,-5.33287307194,,Manchester City
19,John,Stones,5202,RCB,Manchester City,1771,38.6454849243,-5.51394596554,,Manchester City
20,John,Stones,5202,RCB,Manchester City,1772,38.428607759,-5.60159104211,,Manchester City
21,John,Stones,5202,RCB,Manchester City,1773,38.221009209,-5.58250965391,,Manchester City
22,John,Stones,5202,RCB,Manchester City,1774,38.0237063453,-5.56203776314,,Manchester City
