,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52710,-1.5,-10.92,1336.0,Manchester City
1,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52711,-1.6,-10.82,1336.0,Manchester City
2,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52712,-1.71,-10.75,1336.0,Manchester City
3,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52713,-1.82,-10.72,1336.0,Manchester City
4,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52714,-1.93,-10.7,1336.0,Manchester City
5,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52715,-2.05,-10.77,1336.0,Manchester City
6,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52716,-2.16,-10.86,1336.0,Manchester City
7,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52717,-2.29,-10.91,1336.0,Manchester City
8,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52718,-2.43,-10.96,1336.0,Manchester City
9,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52719,-2.61,-11.07,1336.0,Manchester City
10,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52720,-2.79,-11.25,1336.0,Manchester City
11,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52721,-2.94,-11.5,1336.0,Manchester City
12,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52722,-3.08,-11.72,1336.0,Manchester City
13,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52723,-3.22,-11.8,1336.0,Manchester City
14,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52724,-3.35,-11.87,1336.0,Manchester City
15,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52725,-3.49,-12.03,1336.0,Manchester City
16,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52726,-3.63,-12.24,1336.0,Manchester City
17,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52727,-3.75,-12.5,1336.0,Manchester City
18,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52728,-3.86,-12.72,1336.0,Manchester City
19,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52729,-3.99,-12.84,1336.0,Manchester City
20,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52730,-4.12,-13.01,1336.0,Manchester City
21,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52731,-4.26,-13.29,1336.0,Manchester City
22,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52732,-4.4,-13.67,1336.0,Manchester City
23,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52733,-4.52,-14.06,1336.0,Manchester City
24,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52734,-4.65,-14.31,1336.0,Manchester City
25,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52735,-4.79,-14.49,1336.0,Manchester City
26,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52736,-4.96,-14.68,1336.0,Manchester City
27,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52737,-5.13,-14.88,1336.0,Manchester City
28,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52738,-5.29,-15.08,1336.0,Manchester City
29,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52739,-5.42,-15.21,1336.0,Manchester City
30,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52740,-5.54,-15.24,1336.0,Manchester City
31,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52741,-5.65,-15.4,1336.0,Manchester City
32,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52742,-5.72,-15.6,1336.0,Manchester City
33,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52743,-5.72,-15.83,1336.0,Manchester City
34,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52744,-5.63,-15.98,1336.0,Manchester City
35,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52745,-5.47,-16.02,1336.0,Manchester City
36,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52746,-5.23,-15.98,1336.0,Manchester City
37,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52747,-4.98,-15.99,1336.0,Manchester City
38,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52748,-4.68,-15.89,1336.0,Manchester City
39,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52749,-4.31,-15.82,1336.0,Manchester City
40,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52750,-3.9,-15.79,1336.0,Manchester City
41,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52751,-3.51,-15.74,,Manchester City
42,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52752,-3.14,-15.59,,Manchester City
43,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52753,-2.86,-15.26,,Manchester City
44,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52754,-2.65,-14.69,,Manchester City
45,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52755,-2.49,-14.11,,Manchester City
46,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52756,-2.35,-13.7,,Manchester City
47,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52757,-2.11,-13.47,,Manchester City
48,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52758,-1.84,-13.34,,Manchester City
49,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52759,-1.43,-13.3,,Manchester City
50,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52760,-0.97,-13.28,,Manchester City
51,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52761,-0.58,-13.31,,Manchester City
52,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52762,-0.29,-13.38,1336.0,Manchester City
53,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52763,-0.06,-13.43,,Manchester City
54,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52764,0.06,-13.36,,Manchester City
55,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52765,0.16,-13.36,,Manchester City
56,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52766,0.21,-13.39,,Manchester City
57,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52767,0.19,-13.5,,Manchester City
58,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52768,0.12,-13.72,,Manchester City
59,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52769,0.03,-13.92,,Manchester City
60,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52770,-0.06,-14.0,,Manchester City
61,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52771,-0.15,-14.11,,Manchester City
62,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52772,-0.28,-14.24,1152.0,Manchester City
63,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52773,-0.44,-14.45,1152.0,Manchester City
64,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52774,-0.62,-14.7,1152.0,Manchester City
65,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52775,-0.79,-14.76,1152.0,Manchester City
66,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52776,-0.96,-14.69,1152.0,Manchester City
67,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52777,-1.13,-14.63,1152.0,Manchester City
68,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52778,-1.33,-14.71,1152.0,Manchester City
69,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52779,-1.52,-14.97,1152.0,Manchester City
70,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52780,-1.72,-15.22,1152.0,Manchester City
71,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52781,-1.95,-15.15,1152.0,Manchester City
72,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52782,-2.21,-15.0,1152.0,Manchester City
73,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52783,-2.51,-15.03,1152.0,Manchester City
74,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52784,-2.79,-15.31,1152.0,Manchester City
75,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52785,-3.05,-15.69,1152.0,Manchester City
76,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52786,-3.31,-15.84,1152.0,Manchester City
77,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52787,-3.6,-15.6,1152.0,Manchester City
78,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52788,-3.86,-15.6,1152.0,Manchester City
79,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52789,-4.14,-15.87,1152.0,Manchester City
80,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52790,-4.38,-16.26,1152.0,Manchester City
81,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52791,-4.58,-16.71,1152.0,Manchester City
82,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52792,-4.81,-16.55,1152.0,Manchester City
83,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52793,-5.06,-16.11,1152.0,Manchester City
84,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52794,-5.28,-16.03,1152.0,Manchester City
85,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52795,-5.49,-16.22,1152.0,Manchester City
86,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52796,-5.66,-16.57,1152.0,Manchester City
87,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52797,-5.8,-16.74,1152.0,Manchester City
88,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52798,-5.97,-16.22,1152.0,Manchester City
89,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52799,-6.14,-15.66,1152.0,Manchester City
90,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52800,-6.27,-15.38,1152.0,Manchester City
91,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52801,-6.33,-15.53,1152.0,Manchester City
92,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52802,-6.36,-15.99,1152.0,Manchester City
93,Ainsley,Maitland-Niles,11608,LM,Arsenal Football Club,52803,-6.38,-16.22,1152.0,Manchester City
