,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Bernardo,Silva,1336,RM,Manchester City,51411,8.97,13.42,,Arsenal Football Club
1,Bernardo,Silva,1336,RM,Manchester City,51412,8.88,13.3,,Arsenal Football Club
2,Bernardo,Silva,1336,RM,Manchester City,51413,8.79,13.16,,Arsenal Football Club
3,Bernardo,Silva,1336,RM,Manchester City,51414,8.69,13.1,,Arsenal Football Club
4,Bernardo,Silva,1336,RM,Manchester City,51415,8.59,13.15,,Arsenal Football Club
5,Bernardo,Silva,1336,RM,Manchester City,51416,8.47,13.21,,Arsenal Football Club
6,Bernardo,Silva,1336,RM,Manchester City,51417,8.34,13.18,,Arsenal Football Club
7,Bernardo,Silva,1336,RM,Manchester City,51418,8.24,13.12,,Arsenal Football Club
8,Bernardo,Silva,1336,RM,Manchester City,51419,8.2,13.07,,Arsenal Football Club
9,Bernardo,Silva,1336,RM,Manchester City,51420,8.23,13.03,,Arsenal Football Club
10,Bernardo,Silva,1336,RM,Manchester City,51421,8.31,12.99,,Arsenal Football Club
11,Bernardo,Silva,1336,RM,Manchester City,51422,8.4,12.95,,Arsenal Football Club
12,Bernardo,Silva,1336,RM,Manchester City,51423,8.5,12.9,,Arsenal Football Club
13,Bernardo,Silva,1336,RM,Manchester City,51424,8.6,12.91,,Arsenal Football Club
14,Bernardo,Silva,1336,RM,Manchester City,51425,8.72,12.99,,Arsenal Football Club
15,Bernardo,Silva,1336,RM,Manchester City,51426,8.83,13.04,,Arsenal Football Club
16,Bernardo,Silva,1336,RM,Manchester City,51427,8.91,13.07,,Arsenal Football Club
17,Bernardo,Silva,1336,RM,Manchester City,51428,8.97,13.13,,Arsenal Football Club
18,Bernardo,Silva,1336,RM,Manchester City,51429,9.05,13.26,,Arsenal Football Club
19,Bernardo,Silva,1336,RM,Manchester City,51430,9.14,13.37,,Arsenal Football Club
20,Bernardo,Silva,1336,RM,Manchester City,51431,9.23,13.43,,Arsenal Football Club
21,Bernardo,Silva,1336,RM,Manchester City,51432,9.31,13.39,,Arsenal Football Club
22,Bernardo,Silva,1336,RM,Manchester City,51433,9.39,13.36,,Arsenal Football Club
23,Bernardo,Silva,1336,RM,Manchester City,51434,9.45,13.33,,Arsenal Football Club
24,Bernardo,Silva,1336,RM,Manchester City,51435,9.51,13.38,,Arsenal Football Club
25,Bernardo,Silva,1336,RM,Manchester City,51436,9.55,13.42,,Arsenal Football Club
26,Bernardo,Silva,1336,RM,Manchester City,51437,9.62,13.53,,Arsenal Football Club
27,Bernardo,Silva,1336,RM,Manchester City,51438,9.7,13.61,,Arsenal Football Club
28,Bernardo,Silva,1336,RM,Manchester City,51439,9.8,13.68,,Arsenal Football Club
29,Bernardo,Silva,1336,RM,Manchester City,51440,9.9,13.75,,Arsenal Football Club
30,Bernardo,Silva,1336,RM,Manchester City,51441,9.99,13.87,,Arsenal Football Club
