,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Luiz,Fernandinho,3397,LCB,Manchester City,54181,-33.59,-4.2,1302.0,Manchester City
1,Luiz,Fernandinho,3397,LCB,Manchester City,54182,-33.64,-4.09,1302.0,Manchester City
2,Luiz,Fernandinho,3397,LCB,Manchester City,54183,-33.67,-4.01,1302.0,Manchester City
3,Luiz,Fernandinho,3397,LCB,Manchester City,54184,-33.73,-3.87,1302.0,Manchester City
4,Luiz,Fernandinho,3397,LCB,Manchester City,54185,-33.81,-3.64,1302.0,Manchester City
5,Luiz,Fernandinho,3397,LCB,Manchester City,54186,-33.88,-3.4,1302.0,Manchester City
6,Luiz,Fernandinho,3397,LCB,Manchester City,54187,-33.94,-3.15,1302.0,Manchester City
7,Luiz,Fernandinho,3397,LCB,Manchester City,54188,-34.04,-2.8,1302.0,Manchester City
8,Luiz,Fernandinho,3397,LCB,Manchester City,54189,-34.12,-2.46,1302.0,Manchester City
9,Luiz,Fernandinho,3397,LCB,Manchester City,54190,-34.2,-2.18,1302.0,Manchester City
10,Luiz,Fernandinho,3397,LCB,Manchester City,54191,-34.31,-2.0,1302.0,Manchester City
11,Luiz,Fernandinho,3397,LCB,Manchester City,54192,-34.49,-1.82,,Manchester City
12,Luiz,Fernandinho,3397,LCB,Manchester City,54193,-34.77,-1.54,,Manchester City
13,Luiz,Fernandinho,3397,LCB,Manchester City,54194,-35.12,-1.19,,Manchester City
14,Luiz,Fernandinho,3397,LCB,Manchester City,54195,-35.56,-0.79,,Manchester City
15,Luiz,Fernandinho,3397,LCB,Manchester City,54196,-35.66,-1.07,,Manchester City
16,Luiz,Fernandinho,3397,LCB,Manchester City,54197,-35.78,-1.05,,Manchester City
17,Luiz,Fernandinho,3397,LCB,Manchester City,54198,-35.96,-0.95,,Manchester City
18,Luiz,Fernandinho,3397,LCB,Manchester City,54199,-36.29,-0.77,,Manchester City
19,Luiz,Fernandinho,3397,LCB,Manchester City,54200,-36.61,-0.54,,Manchester City
20,Luiz,Fernandinho,3397,LCB,Manchester City,54201,-36.86,-0.43,,Manchester City
21,Luiz,Fernandinho,3397,LCB,Manchester City,54202,-37.11,-0.36,,Manchester City
22,Luiz,Fernandinho,3397,LCB,Manchester City,54203,-37.36,-0.29,,Manchester City
23,Luiz,Fernandinho,3397,LCB,Manchester City,54204,-37.65,-0.09,,Manchester City
24,Luiz,Fernandinho,3397,LCB,Manchester City,54205,-37.99,0.23,,Manchester City
25,Luiz,Fernandinho,3397,LCB,Manchester City,54206,-38.29,0.51,,Manchester City
26,Luiz,Fernandinho,3397,LCB,Manchester City,54207,-38.48,0.65,,Manchester City
27,Luiz,Fernandinho,3397,LCB,Manchester City,54208,-38.7,0.74,,Manchester City
28,Luiz,Fernandinho,3397,LCB,Manchester City,54209,-38.91,0.72,,Manchester City
29,Luiz,Fernandinho,3397,LCB,Manchester City,54210,-39.3,0.85,,Manchester City
30,Luiz,Fernandinho,3397,LCB,Manchester City,54211,-39.59,0.73,,Manchester City
31,Luiz,Fernandinho,3397,LCB,Manchester City,54212,-39.82,0.48,,Manchester City
32,Luiz,Fernandinho,3397,LCB,Manchester City,54213,-39.99,0.18,,Manchester City
33,Luiz,Fernandinho,3397,LCB,Manchester City,54214,-40.11,-0.16,,Manchester City
34,Luiz,Fernandinho,3397,LCB,Manchester City,54215,-40.24,-0.45,,Manchester City
35,Luiz,Fernandinho,3397,LCB,Manchester City,54216,-40.51,-0.46,,Manchester City
36,Luiz,Fernandinho,3397,LCB,Manchester City,54217,-40.63,-0.7,,Manchester City
37,Luiz,Fernandinho,3397,LCB,Manchester City,54218,-40.81,-0.87,,Manchester City
38,Luiz,Fernandinho,3397,LCB,Manchester City,54219,-41.02,-1.05,,Manchester City
39,Luiz,Fernandinho,3397,LCB,Manchester City,54220,-41.12,-1.37,,Manchester City
40,Luiz,Fernandinho,3397,LCB,Manchester City,54221,-41.23,-1.63,,Manchester City
41,Luiz,Fernandinho,3397,LCB,Manchester City,54222,-41.35,-1.79,,Manchester City
42,Luiz,Fernandinho,3397,LCB,Manchester City,54223,-41.39,-2.04,,Manchester City
43,Luiz,Fernandinho,3397,LCB,Manchester City,54224,-41.53,-2.15,,Manchester City
44,Luiz,Fernandinho,3397,LCB,Manchester City,54225,-41.6,-2.42,1336.0,Manchester City
45,Luiz,Fernandinho,3397,LCB,Manchester City,54226,-41.54,-2.87,1336.0,Manchester City
46,Luiz,Fernandinho,3397,LCB,Manchester City,54227,-41.54,-3.14,1336.0,Manchester City
47,Luiz,Fernandinho,3397,LCB,Manchester City,54228,-41.67,-3.14,,Manchester City
48,Luiz,Fernandinho,3397,LCB,Manchester City,54229,-41.89,-2.99,,Manchester City
