,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,255,9.06,-1.94,,Arsenal Football Club
1,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,256,9.09,-1.99,,Arsenal Football Club
2,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,257,9.11,-2.03,,Arsenal Football Club
3,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,258,9.12,-2.06,,Arsenal Football Club
4,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,259,9.1,-2.06,,Arsenal Football Club
5,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,260,9.1,-2.11,,Arsenal Football Club
6,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,261,9.09,-2.16,,Arsenal Football Club
7,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,262,9.1,-2.17,,Arsenal Football Club
8,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,263,9.1,-2.15,,Arsenal Football Club
9,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,264,9.11,-2.11,,Arsenal Football Club
10,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,265,9.1,-2.11,,Arsenal Football Club
11,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,266,9.1,-2.1,,Arsenal Football Club
12,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,267,9.09,-2.09,,Arsenal Football Club
13,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,268,9.09,-2.07,,Arsenal Football Club
14,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,269,9.08,-2.06,,Arsenal Football Club
15,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,270,9.09,-2.06,,Arsenal Football Club
16,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,271,9.09,-2.09,,Arsenal Football Club
17,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,272,9.09,-2.09,,Arsenal Football Club
18,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,273,9.1,-2.07,,Arsenal Football Club
19,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,274,9.09,-2.06,,Arsenal Football Club
20,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,275,9.09,-2.04,,Arsenal Football Club
21,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,276,9.09,-2.01,,Arsenal Football Club
22,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,277,9.08,-1.98,,Arsenal Football Club
23,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,278,9.09,-1.93,,Arsenal Football Club
24,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,279,9.08,-1.95,,Arsenal Football Club
25,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,280,9.06,-2.04,,Arsenal Football Club
26,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,281,9.03,-2.13,,Arsenal Football Club
27,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,282,9.0,-2.2,,Arsenal Football Club
28,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,283,8.99,-2.22,,Arsenal Football Club
29,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,284,8.98,-2.19,,Arsenal Football Club
30,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,285,8.97,-2.21,,Arsenal Football Club
31,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,286,8.97,-2.25,,Arsenal Football Club
32,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,287,8.97,-2.29,,Arsenal Football Club
33,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,288,9.0,-2.27,,Arsenal Football Club
34,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,289,9.02,-2.17,,Arsenal Football Club
35,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,290,9.05,-2.06,,Arsenal Football Club
36,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,291,9.07,-1.97,,Arsenal Football Club
37,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,292,9.09,-1.89,,Arsenal Football Club
38,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,293,9.07,-1.95,,Arsenal Football Club
39,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,294,9.05,-2.04,,Arsenal Football Club
40,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,295,9.01,-2.18,,Arsenal Football Club
41,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,296,8.98,-2.32,,Arsenal Football Club
42,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,297,8.97,-2.42,,Arsenal Football Club
43,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,298,8.98,-2.43,,Arsenal Football Club
44,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,299,8.98,-2.43,,Arsenal Football Club
45,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,300,8.98,-2.41,,Arsenal Football Club
46,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,301,8.98,-2.39,,Arsenal Football Club
47,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,302,8.96,-2.4,,Arsenal Football Club
48,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,303,9.0,-2.29,,Arsenal Football Club
49,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,304,9.07,-2.11,,Arsenal Football Club
50,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,305,9.17,-1.88,,Arsenal Football Club
51,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,651,8.99,-2.11,,Arsenal Football Club
52,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,652,9.01,-2.0,,Arsenal Football Club
53,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,653,9.05,-1.86,,Arsenal Football Club
54,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,654,9.05,-1.83,,Arsenal Football Club
55,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,655,9.06,-1.83,,Arsenal Football Club
56,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,656,9.02,-1.95,,Arsenal Football Club
57,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,657,9.02,-1.95,,Arsenal Football Club
58,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,658,9.02,-1.95,,Arsenal Football Club
59,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,659,9.02,-1.95,,Arsenal Football Club
60,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,660,8.99,-2.06,,Arsenal Football Club
61,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,661,9.0,-2.06,,Arsenal Football Club
62,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,662,9.0,-2.07,,Arsenal Football Club
63,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,663,9.03,-1.98,,Arsenal Football Club
64,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,664,9.06,-1.9,,Arsenal Football Club
65,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,665,9.08,-1.85,,Arsenal Football Club
66,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,666,9.08,-1.92,,Arsenal Football Club
67,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,667,9.07,-1.99,,Arsenal Football Club
68,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,668,9.08,-2.05,,Arsenal Football Club
69,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,669,9.11,-2.09,,Arsenal Football Club
70,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,670,9.17,-2.07,,Arsenal Football Club
71,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,671,9.24,-2.04,,Arsenal Football Club
72,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,672,9.31,-2.06,,Arsenal Football Club
73,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,673,9.36,-2.11,,Arsenal Football Club
74,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,674,9.39,-2.15,,Arsenal Football Club
75,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,675,9.47,-2.13,,Arsenal Football Club
76,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,676,9.56,-2.09,,Arsenal Football Club
77,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,677,9.69,-2.03,,Arsenal Football Club
78,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,678,9.79,-2.05,,Arsenal Football Club
79,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,679,9.9,-2.11,,Arsenal Football Club
80,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,680,10.0,-2.2,,Arsenal Football Club
81,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,950,20.6,-7.83,20421.0,Arsenal Football Club
82,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,951,20.51,-7.83,20421.0,Arsenal Football Club
83,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,952,20.44,-7.84,20421.0,Arsenal Football Club
84,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,953,20.39,-7.86,20421.0,Arsenal Football Club
85,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,954,20.39,-7.9,20421.0,Arsenal Football Club
86,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,955,20.38,-7.92,20421.0,Arsenal Football Club
87,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,956,20.36,-7.93,20421.0,Arsenal Football Club
88,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,957,20.33,-7.96,20421.0,Arsenal Football Club
89,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,958,20.32,-7.96,20421.0,Arsenal Football Club
90,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,959,20.3,-7.97,20421.0,Arsenal Football Club
91,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,960,20.29,-7.96,20421.0,Arsenal Football Club
92,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,961,20.29,-7.94,20421.0,Arsenal Football Club
93,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,962,20.31,-7.92,20421.0,Arsenal Football Club
94,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,963,20.32,-7.91,20421.0,Arsenal Football Club
95,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,964,20.33,-7.91,20421.0,Arsenal Football Club
96,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,965,20.34,-7.89,20421.0,Arsenal Football Club
97,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,966,20.34,-7.87,20421.0,Arsenal Football Club
98,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,967,20.34,-7.88,20421.0,Arsenal Football Club
99,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,968,20.32,-7.86,20421.0,Arsenal Football Club
100,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,969,20.3,-7.86,20421.0,Arsenal Football Club
101,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,970,20.31,-7.87,20421.0,Arsenal Football Club
102,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,971,20.33,-7.85,20421.0,Arsenal Football Club
103,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,972,20.34,-7.84,20421.0,Arsenal Football Club
104,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,973,20.33,-7.84,20421.0,Arsenal Football Club
105,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,974,20.34,-7.81,20421.0,Arsenal Football Club
106,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,975,20.35,-7.78,20421.0,Arsenal Football Club
107,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,976,20.36,-7.73,,Arsenal Football Club
108,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1077,16.91,-8.28,,Arsenal Football Club
109,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1078,17.14,-8.17,,Arsenal Football Club
110,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1079,17.31,-8.1,,Arsenal Football Club
111,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1080,17.44,-8.06,,Arsenal Football Club
112,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1081,17.53,-8.08,11754.0,Arsenal Football Club
113,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1082,17.54,-8.1,11754.0,Arsenal Football Club
114,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1083,17.52,-8.11,11754.0,Arsenal Football Club
115,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1084,17.54,-8.19,11754.0,Arsenal Football Club
116,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1085,17.58,-8.19,11754.0,Arsenal Football Club
117,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1086,17.64,-8.11,11754.0,Arsenal Football Club
118,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1087,17.67,-8.07,11754.0,Arsenal Football Club
119,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1088,17.67,-8.09,11754.0,Arsenal Football Club
120,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1089,17.65,-8.1,,Arsenal Football Club
121,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1090,17.65,-8.17,,Arsenal Football Club
122,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1091,17.7,-8.21,,Arsenal Football Club
123,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1092,17.82,-8.24,,Arsenal Football Club
124,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1093,18.0,-8.25,,Arsenal Football Club
125,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1094,18.16,-8.28,,Arsenal Football Club
126,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1095,18.28,-8.27,,Arsenal Football Club
127,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1096,18.41,-8.2,,Arsenal Football Club
128,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1097,18.53,-8.26,,Arsenal Football Club
129,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1098,18.68,-8.47,,Arsenal Football Club
130,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1099,18.86,-8.72,,Arsenal Football Club
131,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1100,19.05,-8.88,,Arsenal Football Club
132,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1101,19.18,-8.97,,Arsenal Football Club
133,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1102,19.31,-8.85,,Arsenal Football Club
134,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1103,19.41,-8.77,,Arsenal Football Club
135,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1104,19.52,-8.77,,Arsenal Football Club
136,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1105,19.64,-8.99,,Arsenal Football Club
137,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1106,19.76,-9.19,9828.0,Arsenal Football Club
138,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1107,19.82,-9.44,9828.0,Arsenal Football Club
139,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1108,19.9,-9.57,9828.0,Arsenal Football Club
140,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1109,20.0,-9.63,9828.0,Arsenal Football Club
141,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1110,20.18,-9.57,9828.0,Arsenal Football Club
142,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1111,20.35,-9.64,9828.0,Arsenal Football Club
143,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1112,20.51,-9.63,9828.0,Arsenal Football Club
144,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1113,20.59,-9.77,9828.0,Arsenal Football Club
145,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1114,20.65,-9.95,9828.0,Arsenal Football Club
146,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1115,20.69,-10.13,9828.0,Arsenal Football Club
147,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1116,20.73,-10.28,9828.0,Arsenal Football Club
148,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1117,20.72,-10.57,9828.0,Arsenal Football Club
149,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1118,20.81,-10.53,9828.0,Arsenal Football Club
150,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1119,20.89,-10.5,9828.0,Arsenal Football Club
151,Pablo,Mari Villar,8334,RCB,Arsenal Football Club,1120,20.95,-10.58,,Arsenal Football Club
