,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Raheem,Sterling,8856,LW,Manchester City,255,-4.03,8.25,,Arsenal Football Club
1,Raheem,Sterling,8856,LW,Manchester City,256,-4.05,8.19,,Arsenal Football Club
2,Raheem,Sterling,8856,LW,Manchester City,257,-4.07,8.14,,Arsenal Football Club
3,Raheem,Sterling,8856,LW,Manchester City,258,-4.08,8.11,,Arsenal Football Club
4,Raheem,Sterling,8856,LW,Manchester City,259,-4.09,8.1,,Arsenal Football Club
5,Raheem,Sterling,8856,LW,Manchester City,260,-4.1,8.11,,Arsenal Football Club
6,Raheem,Sterling,8856,LW,Manchester City,261,-4.11,8.12,,Arsenal Football Club
7,Raheem,Sterling,8856,LW,Manchester City,262,-4.11,8.12,,Arsenal Football Club
8,Raheem,Sterling,8856,LW,Manchester City,263,-4.13,8.12,,Arsenal Football Club
9,Raheem,Sterling,8856,LW,Manchester City,264,-4.14,8.1,,Arsenal Football Club
10,Raheem,Sterling,8856,LW,Manchester City,265,-4.16,8.09,,Arsenal Football Club
11,Raheem,Sterling,8856,LW,Manchester City,266,-4.17,8.08,,Arsenal Football Club
12,Raheem,Sterling,8856,LW,Manchester City,267,-4.18,8.06,,Arsenal Football Club
13,Raheem,Sterling,8856,LW,Manchester City,268,-4.19,8.04,,Arsenal Football Club
14,Raheem,Sterling,8856,LW,Manchester City,269,-4.2,8.04,,Arsenal Football Club
15,Raheem,Sterling,8856,LW,Manchester City,270,-4.2,8.04,,Arsenal Football Club
16,Raheem,Sterling,8856,LW,Manchester City,271,-4.22,8.05,,Arsenal Football Club
17,Raheem,Sterling,8856,LW,Manchester City,272,-4.22,8.06,,Arsenal Football Club
18,Raheem,Sterling,8856,LW,Manchester City,273,-4.22,8.07,,Arsenal Football Club
19,Raheem,Sterling,8856,LW,Manchester City,274,-4.22,8.08,,Arsenal Football Club
20,Raheem,Sterling,8856,LW,Manchester City,275,-4.22,8.07,,Arsenal Football Club
21,Raheem,Sterling,8856,LW,Manchester City,276,-4.22,8.07,,Arsenal Football Club
