,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Callum,Wilson,1585,CF,Bournemouth,52451,14.55,0.08,,Bournemouth
1,Callum,Wilson,1585,CF,Bournemouth,52452,14.56,0.11,,Bournemouth
2,Callum,Wilson,1585,CF,Bournemouth,52453,14.56,0.11,,Bournemouth
3,Callum,Wilson,1585,CF,Bournemouth,52454,14.56,0.11,,Bournemouth
4,Callum,Wilson,1585,CF,Bournemouth,52455,14.56,0.08,,Bournemouth
5,Callum,Wilson,1585,CF,Bournemouth,52456,14.56,0.05,,Bournemouth
6,Callum,Wilson,1585,CF,Bournemouth,52457,14.56,0.01,,Bournemouth
7,Callum,Wilson,1585,CF,Bournemouth,52458,14.55,0.01,,Bournemouth
8,Callum,Wilson,1585,CF,Bournemouth,52459,14.56,0.03,,Bournemouth
9,Callum,Wilson,1585,CF,Bournemouth,52460,14.57,0.07,,Bournemouth
10,Callum,Wilson,1585,CF,Bournemouth,52461,14.57,0.12,,Bournemouth
11,Callum,Wilson,1585,CF,Bournemouth,52462,14.57,0.14,,Bournemouth
12,Callum,Wilson,1585,CF,Bournemouth,52463,14.57,0.15,,Bournemouth
13,Callum,Wilson,1585,CF,Bournemouth,52464,14.56,0.13,,Bournemouth
14,Callum,Wilson,1585,CF,Bournemouth,52465,14.56,0.11,,Bournemouth
15,Callum,Wilson,1585,CF,Bournemouth,52466,14.57,0.12,,Bournemouth
16,Callum,Wilson,1585,CF,Bournemouth,52467,14.58,0.14,,Bournemouth
17,Callum,Wilson,1585,CF,Bournemouth,52468,14.58,0.12,,Bournemouth
18,Callum,Wilson,1585,CF,Bournemouth,52469,14.58,0.09,,Bournemouth
19,Callum,Wilson,1585,CF,Bournemouth,52470,14.57,0.05,,Bournemouth
20,Callum,Wilson,1585,CF,Bournemouth,52471,14.56,0.03,,Bournemouth
21,Callum,Wilson,1585,CF,Bournemouth,52472,14.55,0.02,,Bournemouth
22,Callum,Wilson,1585,CF,Bournemouth,52473,14.55,0.03,,Bournemouth
23,Callum,Wilson,1585,CF,Bournemouth,52474,14.55,0.02,,Bournemouth
24,Callum,Wilson,1585,CF,Bournemouth,52475,14.55,0.03,,Bournemouth
25,Callum,Wilson,1585,CF,Bournemouth,52476,14.56,0.07,,Bournemouth
26,Callum,Wilson,1585,CF,Bournemouth,52477,14.57,0.12,,Bournemouth
27,Callum,Wilson,1585,CF,Bournemouth,52478,14.58,0.14,,Bournemouth
28,Callum,Wilson,1585,CF,Bournemouth,52479,14.6,0.19,,Bournemouth
29,Callum,Wilson,1585,CF,Bournemouth,52480,14.61,0.18,,Bournemouth
30,Callum,Wilson,1585,CF,Bournemouth,52481,14.6,0.15,,Bournemouth
31,Callum,Wilson,1585,CF,Bournemouth,52482,14.59,0.11,,Bournemouth
32,Callum,Wilson,1585,CF,Bournemouth,52483,14.57,0.06,,Bournemouth
33,Callum,Wilson,1585,CF,Bournemouth,52484,14.56,0.04,,Bournemouth
34,Callum,Wilson,1585,CF,Bournemouth,52485,14.56,0.05,,Bournemouth
35,Callum,Wilson,1585,CF,Bournemouth,52486,14.57,0.04,,Bournemouth
36,Callum,Wilson,1585,CF,Bournemouth,52487,14.57,-0.0,,Bournemouth
37,Callum,Wilson,1585,CF,Bournemouth,52488,14.57,-0.04,,Bournemouth
38,Callum,Wilson,1585,CF,Bournemouth,52489,14.59,-0.02,,Bournemouth
39,Callum,Wilson,1585,CF,Bournemouth,52490,14.62,0.06,,Bournemouth
40,Callum,Wilson,1585,CF,Bournemouth,52511,19.7,-0.64,,Bournemouth
41,Callum,Wilson,1585,CF,Bournemouth,52512,20.41,-0.29,,Bournemouth
42,Callum,Wilson,1585,CF,Bournemouth,52513,21.12,-0.03,,Bournemouth
43,Callum,Wilson,1585,CF,Bournemouth,52514,21.83,0.14,,Bournemouth
44,Callum,Wilson,1585,CF,Bournemouth,52515,22.63,0.23,,Bournemouth
