,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,David,Brooks,12629,RW,Bournemouth,52451,13.59,-14.31,,Bournemouth
1,David,Brooks,12629,RW,Bournemouth,52452,13.58,-14.29,,Bournemouth
2,David,Brooks,12629,RW,Bournemouth,52453,13.57,-14.27,,Bournemouth
3,David,Brooks,12629,RW,Bournemouth,52454,13.57,-14.26,,Bournemouth
4,David,Brooks,12629,RW,Bournemouth,52455,13.55,-14.24,,Bournemouth
5,David,Brooks,12629,RW,Bournemouth,52456,13.52,-14.25,,Bournemouth
6,David,Brooks,12629,RW,Bournemouth,52457,13.5,-14.24,,Bournemouth
7,David,Brooks,12629,RW,Bournemouth,52458,13.48,-14.23,,Bournemouth
8,David,Brooks,12629,RW,Bournemouth,52459,13.46,-14.22,,Bournemouth
9,David,Brooks,12629,RW,Bournemouth,52460,13.45,-14.22,,Bournemouth
10,David,Brooks,12629,RW,Bournemouth,52461,13.44,-14.18,,Bournemouth
11,David,Brooks,12629,RW,Bournemouth,52462,13.44,-14.16,,Bournemouth
12,David,Brooks,12629,RW,Bournemouth,52463,13.44,-14.14,,Bournemouth
13,David,Brooks,12629,RW,Bournemouth,52464,13.45,-14.11,,Bournemouth
14,David,Brooks,12629,RW,Bournemouth,52465,13.44,-14.09,,Bournemouth
15,David,Brooks,12629,RW,Bournemouth,52466,13.45,-14.07,,Bournemouth
16,David,Brooks,12629,RW,Bournemouth,52467,13.47,-14.04,,Bournemouth
17,David,Brooks,12629,RW,Bournemouth,52468,13.48,-14.05,,Bournemouth
18,David,Brooks,12629,RW,Bournemouth,52469,13.48,-14.07,,Bournemouth
19,David,Brooks,12629,RW,Bournemouth,52470,13.49,-14.07,,Bournemouth
20,David,Brooks,12629,RW,Bournemouth,52471,13.48,-14.08,,Bournemouth
21,David,Brooks,12629,RW,Bournemouth,52472,13.48,-14.1,,Bournemouth
22,David,Brooks,12629,RW,Bournemouth,52473,13.48,-14.1,,Bournemouth
23,David,Brooks,12629,RW,Bournemouth,52474,13.47,-14.12,,Bournemouth
24,David,Brooks,12629,RW,Bournemouth,52475,13.46,-14.13,,Bournemouth
