,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Harry,Wilson,11729,LW,Bournemouth,57051,19.71,-0.73,,Bournemouth
1,Harry,Wilson,11729,LW,Bournemouth,57052,19.55,-0.57,,Bournemouth
2,Harry,Wilson,11729,LW,Bournemouth,57053,19.37,-0.42,,Bournemouth
3,Harry,Wilson,11729,LW,Bournemouth,57054,19.12,-0.24,,Bournemouth
4,Harry,Wilson,11729,LW,Bournemouth,57055,18.86,-0.07,,Bournemouth
5,Harry,Wilson,11729,LW,Bournemouth,57056,18.62,0.21,,Bournemouth
6,Harry,Wilson,11729,LW,Bournemouth,57057,18.33,0.29,,Bournemouth
7,Harry,Wilson,11729,LW,Bournemouth,57058,18.06,0.38,,Bournemouth
8,Harry,Wilson,11729,LW,Bournemouth,57059,17.8,0.49,,Bournemouth
9,Harry,Wilson,11729,LW,Bournemouth,57060,17.52,0.56,,Bournemouth
10,Harry,Wilson,11729,LW,Bournemouth,57061,17.23,0.5,,Bournemouth
11,Harry,Wilson,11729,LW,Bournemouth,57062,16.97,0.51,,Bournemouth
12,Harry,Wilson,11729,LW,Bournemouth,57063,16.76,0.49,,Bournemouth
13,Harry,Wilson,11729,LW,Bournemouth,57064,16.57,0.5,,Bournemouth
14,Harry,Wilson,11729,LW,Bournemouth,57065,16.37,0.53,,Bournemouth
15,Harry,Wilson,11729,LW,Bournemouth,57066,16.19,0.51,,Bournemouth
16,Harry,Wilson,11729,LW,Bournemouth,57067,16.03,0.42,,Bournemouth
17,Harry,Wilson,11729,LW,Bournemouth,57068,15.89,0.38,,Bournemouth
18,Harry,Wilson,11729,LW,Bournemouth,57069,15.82,0.47,,Bournemouth
19,Harry,Wilson,11729,LW,Bournemouth,57070,15.75,0.67,,Bournemouth
20,Harry,Wilson,11729,LW,Bournemouth,57071,15.61,0.89,,Bournemouth
21,Harry,Wilson,11729,LW,Bournemouth,57072,15.46,1.03,,Bournemouth
22,Harry,Wilson,11729,LW,Bournemouth,57073,15.28,1.16,,Bournemouth
23,Harry,Wilson,11729,LW,Bournemouth,57074,15.09,1.23,,Bournemouth
24,Harry,Wilson,11729,LW,Bournemouth,57075,14.88,1.27,,Bournemouth
25,Harry,Wilson,11729,LW,Bournemouth,57076,14.6,1.27,,Bournemouth
26,Harry,Wilson,11729,LW,Bournemouth,57077,14.27,1.28,,Bournemouth
27,Harry,Wilson,11729,LW,Bournemouth,57078,13.94,1.23,,Bournemouth
28,Harry,Wilson,11729,LW,Bournemouth,57079,13.59,1.33,,Bournemouth
29,Harry,Wilson,11729,LW,Bournemouth,57080,13.2,1.34,,Bournemouth
30,Harry,Wilson,11729,LW,Bournemouth,57081,12.8,1.33,,Bournemouth
31,Harry,Wilson,11729,LW,Bournemouth,57082,12.43,1.22,,Bournemouth
32,Harry,Wilson,11729,LW,Bournemouth,57083,12.17,1.19,,Bournemouth
33,Harry,Wilson,11729,LW,Bournemouth,57084,12.03,1.28,,Bournemouth
34,Harry,Wilson,11729,LW,Bournemouth,57085,11.97,1.43,,Bournemouth
35,Harry,Wilson,11729,LW,Bournemouth,57086,11.93,1.48,,Bournemouth
36,Harry,Wilson,11729,LW,Bournemouth,57087,11.93,1.58,,Bournemouth
37,Harry,Wilson,11729,LW,Bournemouth,57088,11.89,1.36,,Bournemouth
38,Harry,Wilson,11729,LW,Bournemouth,57089,11.93,1.41,,Bournemouth
39,Harry,Wilson,11729,LW,Bournemouth,57090,12.0,1.74,,Bournemouth
40,Harry,Wilson,11729,LW,Bournemouth,57091,12.16,2.19,,Bournemouth
41,Harry,Wilson,11729,LW,Bournemouth,57092,12.31,2.67,,Bournemouth
42,Harry,Wilson,11729,LW,Bournemouth,57093,12.47,3.13,,Bournemouth
43,Harry,Wilson,11729,LW,Bournemouth,57094,12.5,3.25,,Bournemouth
44,Harry,Wilson,11729,LW,Bournemouth,57095,12.47,3.52,,Bournemouth
45,Harry,Wilson,11729,LW,Bournemouth,57096,12.4,3.93,,Bournemouth
46,Harry,Wilson,11729,LW,Bournemouth,57097,12.36,4.44,,Bournemouth
47,Harry,Wilson,11729,LW,Bournemouth,57098,12.2,4.82,,Bournemouth
48,Harry,Wilson,11729,LW,Bournemouth,57099,12.03,5.19,,Bournemouth
49,Harry,Wilson,11729,LW,Bournemouth,57100,11.8,5.47,,Bournemouth
50,Harry,Wilson,11729,LW,Bournemouth,57101,11.49,5.69,,Bournemouth
51,Harry,Wilson,11729,LW,Bournemouth,57102,11.23,6.04,,Bournemouth
52,Harry,Wilson,11729,LW,Bournemouth,57103,10.91,6.39,,Bournemouth
53,Harry,Wilson,11729,LW,Bournemouth,57104,10.49,6.54,,Bournemouth
54,Harry,Wilson,11729,LW,Bournemouth,57105,10.1,6.87,19107.0,Bournemouth
55,Harry,Wilson,11729,LW,Bournemouth,57106,9.71,7.09,19107.0,Bournemouth
56,Harry,Wilson,11729,LW,Bournemouth,57107,9.35,7.32,19107.0,Bournemouth
57,Harry,Wilson,11729,LW,Bournemouth,57108,9.09,7.8,19107.0,Bournemouth
58,Harry,Wilson,11729,LW,Bournemouth,57109,8.87,8.25,19107.0,Bournemouth
59,Harry,Wilson,11729,LW,Bournemouth,57110,8.72,8.78,19107.0,Bournemouth
60,Harry,Wilson,11729,LW,Bournemouth,57111,8.6,9.51,19107.0,Bournemouth
61,Harry,Wilson,11729,LW,Bournemouth,57112,8.5,10.0,19107.0,Bournemouth
62,Harry,Wilson,11729,LW,Bournemouth,57113,8.42,10.7,19107.0,Bournemouth
63,Harry,Wilson,11729,LW,Bournemouth,57114,8.39,11.33,19107.0,Bournemouth
64,Harry,Wilson,11729,LW,Bournemouth,57115,8.42,11.86,19107.0,Bournemouth
65,Harry,Wilson,11729,LW,Bournemouth,57116,8.5,12.56,19107.0,Bournemouth
66,Harry,Wilson,11729,LW,Bournemouth,57117,8.56,13.17,19107.0,Bournemouth
67,Harry,Wilson,11729,LW,Bournemouth,57118,8.63,13.73,19107.0,Bournemouth
68,Harry,Wilson,11729,LW,Bournemouth,57119,8.74,14.56,19107.0,Bournemouth
69,Harry,Wilson,11729,LW,Bournemouth,57120,8.85,15.06,19107.0,Bournemouth
70,Harry,Wilson,11729,LW,Bournemouth,57121,9.0,15.68,19107.0,Bournemouth
71,Harry,Wilson,11729,LW,Bournemouth,57122,9.15,16.34,19107.0,Bournemouth
72,Harry,Wilson,11729,LW,Bournemouth,57123,9.26,16.78,19107.0,Bournemouth
73,Harry,Wilson,11729,LW,Bournemouth,57124,9.42,17.5,19107.0,Bournemouth
74,Harry,Wilson,11729,LW,Bournemouth,57125,9.56,18.2,19107.0,Bournemouth
75,Harry,Wilson,11729,LW,Bournemouth,57126,9.71,18.7,19107.0,Bournemouth
76,Harry,Wilson,11729,LW,Bournemouth,57127,9.88,19.33,19107.0,Bournemouth
77,Harry,Wilson,11729,LW,Bournemouth,57128,10.05,19.89,19107.0,Bournemouth
78,Harry,Wilson,11729,LW,Bournemouth,57129,10.2,20.25,19107.0,Bournemouth
79,Harry,Wilson,11729,LW,Bournemouth,57130,10.39,20.82,19107.0,Bournemouth
80,Harry,Wilson,11729,LW,Bournemouth,57131,10.55,21.29,19107.0,Bournemouth
81,Harry,Wilson,11729,LW,Bournemouth,57132,10.68,21.6,19107.0,Bournemouth
82,Harry,Wilson,11729,LW,Bournemouth,57133,10.83,22.13,19107.0,Bournemouth
83,Harry,Wilson,11729,LW,Bournemouth,57134,10.97,22.71,19107.0,Bournemouth
84,Harry,Wilson,11729,LW,Bournemouth,57135,11.07,23.2,19107.0,Bournemouth
85,Harry,Wilson,11729,LW,Bournemouth,57136,11.17,23.7,19107.0,Bournemouth
86,Harry,Wilson,11729,LW,Bournemouth,57137,11.25,24.31,19107.0,Bournemouth
87,Harry,Wilson,11729,LW,Bournemouth,57138,11.31,24.77,,Bournemouth
88,Harry,Wilson,11729,LW,Bournemouth,57139,11.35,25.17,,Bournemouth
89,Harry,Wilson,11729,LW,Bournemouth,57140,11.36,25.51,,Bournemouth
90,Harry,Wilson,11729,LW,Bournemouth,57190,0.63,26.63,,Bournemouth
91,Harry,Wilson,11729,LW,Bournemouth,57191,0.69,26.4,,Bournemouth
92,Harry,Wilson,11729,LW,Bournemouth,57192,0.78,26.18,,Bournemouth
93,Harry,Wilson,11729,LW,Bournemouth,57193,0.89,25.95,,Bournemouth
94,Harry,Wilson,11729,LW,Bournemouth,57194,1.02,25.64,,Bournemouth
95,Harry,Wilson,11729,LW,Bournemouth,57195,1.18,25.47,,Bournemouth
96,Harry,Wilson,11729,LW,Bournemouth,57196,1.32,25.35,,Bournemouth
97,Harry,Wilson,11729,LW,Bournemouth,57197,1.47,25.09,,Bournemouth
98,Harry,Wilson,11729,LW,Bournemouth,57198,1.59,24.87,,Bournemouth
99,Harry,Wilson,11729,LW,Bournemouth,57199,1.72,24.67,,Bournemouth
100,Harry,Wilson,11729,LW,Bournemouth,57200,1.85,24.66,,Bournemouth
101,Harry,Wilson,11729,LW,Bournemouth,57201,1.98,24.63,,Bournemouth
102,Harry,Wilson,11729,LW,Bournemouth,57202,2.11,24.48,,Bournemouth
103,Harry,Wilson,11729,LW,Bournemouth,57203,2.25,24.04,,Bournemouth
104,Harry,Wilson,11729,LW,Bournemouth,57204,2.35,23.53,,Bournemouth
105,Harry,Wilson,11729,LW,Bournemouth,57205,2.44,23.34,,Bournemouth
106,Harry,Wilson,11729,LW,Bournemouth,57206,2.51,23.21,,Bournemouth
107,Harry,Wilson,11729,LW,Bournemouth,57207,2.59,22.96,,Bournemouth
108,Harry,Wilson,11729,LW,Bournemouth,57208,2.69,22.67,,Bournemouth
109,Harry,Wilson,11729,LW,Bournemouth,57209,2.79,22.37,,Bournemouth
110,Harry,Wilson,11729,LW,Bournemouth,57210,2.87,22.18,,Bournemouth
111,Harry,Wilson,11729,LW,Bournemouth,57211,2.94,22.17,,Bournemouth
112,Harry,Wilson,11729,LW,Bournemouth,57212,3.01,22.03,,Bournemouth
113,Harry,Wilson,11729,LW,Bournemouth,57213,3.06,21.71,,Bournemouth
114,Harry,Wilson,11729,LW,Bournemouth,57214,3.1,21.4,,Bournemouth
115,Harry,Wilson,11729,LW,Bournemouth,57215,3.11,21.23,,Bournemouth
116,Harry,Wilson,11729,LW,Bournemouth,57216,3.1,21.26,,Bournemouth
117,Harry,Wilson,11729,LW,Bournemouth,57217,3.1,21.37,2501.0,Manchester City
118,Harry,Wilson,11729,LW,Bournemouth,57218,3.12,21.44,2501.0,Manchester City
119,Harry,Wilson,11729,LW,Bournemouth,57219,3.15,21.42,2501.0,Manchester City
120,Harry,Wilson,11729,LW,Bournemouth,57220,3.21,21.42,2501.0,Manchester City
121,Harry,Wilson,11729,LW,Bournemouth,57221,3.31,21.5,2501.0,Manchester City
122,Harry,Wilson,11729,LW,Bournemouth,57222,3.41,21.66,,Manchester City
123,Harry,Wilson,11729,LW,Bournemouth,57223,3.52,21.81,,Manchester City
124,Harry,Wilson,11729,LW,Bournemouth,57224,3.61,21.88,,Manchester City
125,Harry,Wilson,11729,LW,Bournemouth,57225,3.69,21.87,,Manchester City
126,Harry,Wilson,11729,LW,Bournemouth,57226,3.75,21.83,,Manchester City
