,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Lewis,Cook,12628,RM,Bournemouth,52451,10.33,1.67,,Bournemouth
1,Lewis,Cook,12628,RM,Bournemouth,52452,10.4,1.86,,Bournemouth
2,Lewis,Cook,12628,RM,Bournemouth,52453,10.47,1.97,,Bournemouth
3,Lewis,Cook,12628,RM,Bournemouth,52454,10.56,2.06,,Bournemouth
4,Lewis,Cook,12628,RM,Bournemouth,52455,10.65,2.15,,Bournemouth
5,Lewis,Cook,12628,RM,Bournemouth,52456,10.75,2.34,,Bournemouth
6,Lewis,Cook,12628,RM,Bournemouth,52457,10.84,2.58,,Bournemouth
7,Lewis,Cook,12628,RM,Bournemouth,52458,10.89,2.73,,Bournemouth
8,Lewis,Cook,12628,RM,Bournemouth,52459,10.92,2.76,,Bournemouth
9,Lewis,Cook,12628,RM,Bournemouth,52460,10.96,2.86,,Bournemouth
10,Lewis,Cook,12628,RM,Bournemouth,52461,10.99,3.0,,Bournemouth
11,Lewis,Cook,12628,RM,Bournemouth,52462,11.03,3.14,,Bournemouth
12,Lewis,Cook,12628,RM,Bournemouth,52463,11.08,3.28,,Bournemouth
13,Lewis,Cook,12628,RM,Bournemouth,52464,11.13,3.39,,Bournemouth
14,Lewis,Cook,12628,RM,Bournemouth,52465,11.2,3.49,,Bournemouth
15,Lewis,Cook,12628,RM,Bournemouth,52466,11.26,3.57,,Bournemouth
16,Lewis,Cook,12628,RM,Bournemouth,52467,11.34,3.76,,Bournemouth
17,Lewis,Cook,12628,RM,Bournemouth,52468,11.42,3.99,,Bournemouth
18,Lewis,Cook,12628,RM,Bournemouth,52469,11.5,4.24,,Bournemouth
19,Lewis,Cook,12628,RM,Bournemouth,52470,11.55,4.48,,Bournemouth
20,Lewis,Cook,12628,RM,Bournemouth,52471,11.58,4.63,,Bournemouth
21,Lewis,Cook,12628,RM,Bournemouth,52472,11.57,4.57,,Bournemouth
22,Lewis,Cook,12628,RM,Bournemouth,52473,11.56,4.53,,Bournemouth
23,Lewis,Cook,12628,RM,Bournemouth,52474,11.55,4.43,,Bournemouth
24,Lewis,Cook,12628,RM,Bournemouth,52475,11.55,4.43,,Bournemouth
25,Lewis,Cook,12628,RM,Bournemouth,52476,11.57,4.48,,Bournemouth
26,Lewis,Cook,12628,RM,Bournemouth,52477,11.59,4.53,,Bournemouth
27,Lewis,Cook,12628,RM,Bournemouth,52478,11.62,4.59,,Bournemouth
28,Lewis,Cook,12628,RM,Bournemouth,52479,11.64,4.63,,Bournemouth
29,Lewis,Cook,12628,RM,Bournemouth,52480,11.64,4.62,,Bournemouth
30,Lewis,Cook,12628,RM,Bournemouth,52481,11.65,4.64,,Bournemouth
31,Lewis,Cook,12628,RM,Bournemouth,52482,11.65,4.63,,Bournemouth
32,Lewis,Cook,12628,RM,Bournemouth,52483,11.65,4.63,,Bournemouth
33,Lewis,Cook,12628,RM,Bournemouth,52484,11.66,4.66,,Bournemouth
34,Lewis,Cook,12628,RM,Bournemouth,52485,11.67,4.75,,Bournemouth
35,Lewis,Cook,12628,RM,Bournemouth,52486,11.68,4.86,,Bournemouth
36,Lewis,Cook,12628,RM,Bournemouth,52487,11.69,4.98,,Bournemouth
37,Lewis,Cook,12628,RM,Bournemouth,52488,11.7,5.08,,Bournemouth
38,Lewis,Cook,12628,RM,Bournemouth,52489,11.7,5.11,,Bournemouth
39,Lewis,Cook,12628,RM,Bournemouth,52490,11.71,5.13,,Bournemouth
40,Lewis,Cook,12628,RM,Bournemouth,52491,11.74,5.15,,Bournemouth
41,Lewis,Cook,12628,RM,Bournemouth,52492,11.76,5.12,,Bournemouth
42,Lewis,Cook,12628,RM,Bournemouth,52493,11.79,5.07,,Bournemouth
43,Lewis,Cook,12628,RM,Bournemouth,52494,11.82,5.04,,Bournemouth
44,Lewis,Cook,12628,RM,Bournemouth,52495,11.86,5.0,,Bournemouth
45,Lewis,Cook,12628,RM,Bournemouth,52496,11.9,5.01,,Bournemouth
46,Lewis,Cook,12628,RM,Bournemouth,52497,11.95,5.04,,Bournemouth
47,Lewis,Cook,12628,RM,Bournemouth,52498,12.0,5.06,,Manchester City
48,Lewis,Cook,12628,RM,Bournemouth,52499,12.05,5.05,,Manchester City
49,Lewis,Cook,12628,RM,Bournemouth,52500,12.08,5.02,,Manchester City
50,Lewis,Cook,12628,RM,Bournemouth,52501,12.1,5.03,14237.0,Bournemouth
51,Lewis,Cook,12628,RM,Bournemouth,52502,12.14,5.09,14237.0,Bournemouth
52,Lewis,Cook,12628,RM,Bournemouth,52503,12.2,5.2,14237.0,Bournemouth
53,Lewis,Cook,12628,RM,Bournemouth,52504,12.26,5.28,14237.0,Bournemouth
54,Lewis,Cook,12628,RM,Bournemouth,52505,12.33,5.29,14237.0,Bournemouth
55,Lewis,Cook,12628,RM,Bournemouth,52506,12.38,5.3,,Bournemouth
56,Lewis,Cook,12628,RM,Bournemouth,52507,12.42,5.31,,Bournemouth
57,Lewis,Cook,12628,RM,Bournemouth,52508,12.51,5.26,,Bournemouth
58,Lewis,Cook,12628,RM,Bournemouth,52509,12.62,5.29,,Bournemouth
59,Lewis,Cook,12628,RM,Bournemouth,52510,12.75,5.28,,Bournemouth
60,Lewis,Cook,12628,RM,Bournemouth,52511,12.92,5.3,,Bournemouth
61,Lewis,Cook,12628,RM,Bournemouth,52512,13.12,5.38,,Bournemouth
62,Lewis,Cook,12628,RM,Bournemouth,52513,13.31,5.43,,Bournemouth
63,Lewis,Cook,12628,RM,Bournemouth,52514,13.45,5.39,,Bournemouth
64,Lewis,Cook,12628,RM,Bournemouth,52515,13.75,5.48,,Bournemouth
65,Lewis,Cook,12628,RM,Bournemouth,52516,14.12,5.58,,Bournemouth
66,Lewis,Cook,12628,RM,Bournemouth,52517,14.61,5.64,,Bournemouth
67,Lewis,Cook,12628,RM,Bournemouth,52518,15.11,5.75,,Bournemouth
68,Lewis,Cook,12628,RM,Bournemouth,52519,15.56,5.9,,Bournemouth
69,Lewis,Cook,12628,RM,Bournemouth,52520,15.87,5.98,,Bournemouth
70,Lewis,Cook,12628,RM,Bournemouth,52521,16.27,6.1,,Bournemouth
71,Lewis,Cook,12628,RM,Bournemouth,52522,16.64,6.27,,Bournemouth
72,Lewis,Cook,12628,RM,Bournemouth,52523,17.04,6.3,,Bournemouth
73,Lewis,Cook,12628,RM,Bournemouth,52524,17.44,6.42,,Bournemouth
74,Lewis,Cook,12628,RM,Bournemouth,52525,17.81,6.62,,Bournemouth
75,Lewis,Cook,12628,RM,Bournemouth,52526,18.17,6.66,,Bournemouth
76,Lewis,Cook,12628,RM,Bournemouth,52527,18.55,6.72,,Bournemouth
77,Lewis,Cook,12628,RM,Bournemouth,52528,18.94,6.85,,Bournemouth
78,Lewis,Cook,12628,RM,Bournemouth,52529,19.32,6.77,,Bournemouth
79,Lewis,Cook,12628,RM,Bournemouth,52530,19.69,6.74,,Bournemouth
80,Lewis,Cook,12628,RM,Bournemouth,52531,20.06,6.77,,Bournemouth
81,Lewis,Cook,12628,RM,Bournemouth,52532,20.41,6.65,,Bournemouth
82,Lewis,Cook,12628,RM,Bournemouth,52533,20.82,6.62,,Bournemouth
83,Lewis,Cook,12628,RM,Bournemouth,52534,21.3,6.62,,Bournemouth
84,Lewis,Cook,12628,RM,Bournemouth,52535,21.75,6.51,,Bournemouth
85,Lewis,Cook,12628,RM,Bournemouth,52536,22.19,6.5,,Bournemouth
86,Lewis,Cook,12628,RM,Bournemouth,52537,22.61,6.48,,Bournemouth
87,Lewis,Cook,12628,RM,Bournemouth,52538,22.96,6.4,,Bournemouth
88,Lewis,Cook,12628,RM,Bournemouth,52539,23.3,6.37,,Bournemouth
89,Lewis,Cook,12628,RM,Bournemouth,52540,23.64,6.35,,Bournemouth
90,Lewis,Cook,12628,RM,Bournemouth,52541,23.91,6.31,,Bournemouth
91,Lewis,Cook,12628,RM,Bournemouth,52542,24.14,6.33,,Bournemouth
92,Lewis,Cook,12628,RM,Bournemouth,52543,24.3,6.31,,Bournemouth
93,Lewis,Cook,12628,RM,Bournemouth,52544,24.33,6.28,,Bournemouth
94,Lewis,Cook,12628,RM,Bournemouth,52545,24.27,6.35,,Bournemouth
95,Lewis,Cook,12628,RM,Bournemouth,52546,24.12,6.42,,Bournemouth
96,Lewis,Cook,12628,RM,Bournemouth,52547,23.93,6.5,,Bournemouth
97,Lewis,Cook,12628,RM,Bournemouth,52548,23.77,6.55,,Bournemouth
98,Lewis,Cook,12628,RM,Bournemouth,52549,23.64,6.57,,Bournemouth
99,Lewis,Cook,12628,RM,Bournemouth,52550,23.48,6.57,,Bournemouth
100,Lewis,Cook,12628,RM,Bournemouth,52551,23.28,6.63,,Bournemouth
101,Lewis,Cook,12628,RM,Bournemouth,52552,23.0,6.63,,Bournemouth
102,Lewis,Cook,12628,RM,Bournemouth,52553,22.72,6.6,,Bournemouth
103,Lewis,Cook,12628,RM,Bournemouth,52554,22.47,6.54,,Bournemouth
104,Lewis,Cook,12628,RM,Bournemouth,52555,22.24,6.55,,Bournemouth
105,Lewis,Cook,12628,RM,Bournemouth,52556,21.98,6.56,,Bournemouth
106,Lewis,Cook,12628,RM,Bournemouth,52557,21.66,6.57,,Bournemouth
107,Lewis,Cook,12628,RM,Bournemouth,52558,21.37,6.52,,Bournemouth
108,Lewis,Cook,12628,RM,Bournemouth,52559,21.08,6.45,,Bournemouth
109,Lewis,Cook,12628,RM,Bournemouth,52560,20.81,6.42,,Bournemouth
110,Lewis,Cook,12628,RM,Bournemouth,52561,20.53,6.45,,Bournemouth
111,Lewis,Cook,12628,RM,Bournemouth,52562,20.21,6.42,,Bournemouth
112,Lewis,Cook,12628,RM,Bournemouth,52563,19.88,6.33,,Bournemouth
113,Lewis,Cook,12628,RM,Bournemouth,52564,19.6,6.19,,Bournemouth
114,Lewis,Cook,12628,RM,Bournemouth,52565,19.34,6.17,,Bournemouth
115,Lewis,Cook,12628,RM,Bournemouth,52566,19.11,6.19,,Bournemouth
116,Lewis,Cook,12628,RM,Bournemouth,52567,18.84,6.17,,Bournemouth
117,Lewis,Cook,12628,RM,Bournemouth,52568,18.55,6.07,,Bournemouth
118,Lewis,Cook,12628,RM,Bournemouth,52569,18.31,5.91,,Bournemouth
119,Lewis,Cook,12628,RM,Bournemouth,52570,18.1,5.81,,Bournemouth
