,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Oleksandr,Zinchenko,11671,LWB,Manchester City,57051,22.11,-16.13,,Bournemouth
1,Oleksandr,Zinchenko,11671,LWB,Manchester City,57052,21.86,-16.53,,Bournemouth
2,Oleksandr,Zinchenko,11671,LWB,Manchester City,57053,21.62,-16.82,,Bournemouth
3,Oleksandr,Zinchenko,11671,LWB,Manchester City,57054,21.33,-17.09,,Bournemouth
4,Oleksandr,Zinchenko,11671,LWB,Manchester City,57055,21.04,-17.26,,Bournemouth
5,Oleksandr,Zinchenko,11671,LWB,Manchester City,57056,20.68,-17.49,,Bournemouth
6,Oleksandr,Zinchenko,11671,LWB,Manchester City,57057,20.25,-17.83,,Bournemouth
7,Oleksandr,Zinchenko,11671,LWB,Manchester City,57058,19.87,-18.08,,Bournemouth
8,Oleksandr,Zinchenko,11671,LWB,Manchester City,57059,19.52,-18.34,,Bournemouth
9,Oleksandr,Zinchenko,11671,LWB,Manchester City,57060,19.21,-18.61,,Bournemouth
10,Oleksandr,Zinchenko,11671,LWB,Manchester City,57061,18.96,-18.85,,Bournemouth
11,Oleksandr,Zinchenko,11671,LWB,Manchester City,57062,18.79,-19.03,,Bournemouth
12,Oleksandr,Zinchenko,11671,LWB,Manchester City,57063,18.78,-18.92,,Bournemouth
13,Oleksandr,Zinchenko,11671,LWB,Manchester City,57064,18.87,-18.6,,Bournemouth
14,Oleksandr,Zinchenko,11671,LWB,Manchester City,57065,18.96,-18.3,,Bournemouth
15,Oleksandr,Zinchenko,11671,LWB,Manchester City,57066,18.96,-18.11,,Bournemouth
16,Oleksandr,Zinchenko,11671,LWB,Manchester City,57067,18.95,-17.96,,Bournemouth
17,Oleksandr,Zinchenko,11671,LWB,Manchester City,57068,18.98,-17.76,,Bournemouth
18,Oleksandr,Zinchenko,11671,LWB,Manchester City,57069,19.08,-17.33,,Bournemouth
19,Oleksandr,Zinchenko,11671,LWB,Manchester City,57070,19.2,-16.8,,Bournemouth
20,Oleksandr,Zinchenko,11671,LWB,Manchester City,57071,19.26,-16.33,,Bournemouth
21,Oleksandr,Zinchenko,11671,LWB,Manchester City,57072,19.14,-16.13,,Bournemouth
22,Oleksandr,Zinchenko,11671,LWB,Manchester City,57073,18.97,-16.01,,Bournemouth
23,Oleksandr,Zinchenko,11671,LWB,Manchester City,57074,18.77,-15.95,,Bournemouth
24,Oleksandr,Zinchenko,11671,LWB,Manchester City,57075,18.57,-15.9,,Bournemouth
25,Oleksandr,Zinchenko,11671,LWB,Manchester City,57076,18.4,-15.89,,Bournemouth
26,Oleksandr,Zinchenko,11671,LWB,Manchester City,57077,18.27,-15.93,,Bournemouth
27,Oleksandr,Zinchenko,11671,LWB,Manchester City,57078,18.16,-16.03,,Bournemouth
28,Oleksandr,Zinchenko,11671,LWB,Manchester City,57079,18.03,-16.08,,Bournemouth
29,Oleksandr,Zinchenko,11671,LWB,Manchester City,57080,17.92,-16.07,,Bournemouth
30,Oleksandr,Zinchenko,11671,LWB,Manchester City,57081,17.79,-16.11,,Bournemouth
31,Oleksandr,Zinchenko,11671,LWB,Manchester City,57082,17.63,-16.29,,Bournemouth
32,Oleksandr,Zinchenko,11671,LWB,Manchester City,57083,17.47,-16.49,,Bournemouth
33,Oleksandr,Zinchenko,11671,LWB,Manchester City,57084,17.34,-16.7,,Bournemouth
34,Oleksandr,Zinchenko,11671,LWB,Manchester City,57085,17.22,-16.85,,Bournemouth
35,Oleksandr,Zinchenko,11671,LWB,Manchester City,57086,17.15,-16.87,,Bournemouth
36,Oleksandr,Zinchenko,11671,LWB,Manchester City,57087,17.08,-16.89,,Bournemouth
37,Oleksandr,Zinchenko,11671,LWB,Manchester City,57088,16.96,-17.0,,Bournemouth
38,Oleksandr,Zinchenko,11671,LWB,Manchester City,57089,16.82,-17.19,,Bournemouth
39,Oleksandr,Zinchenko,11671,LWB,Manchester City,57090,16.66,-17.4,,Bournemouth
40,Oleksandr,Zinchenko,11671,LWB,Manchester City,57091,16.54,-17.65,,Bournemouth
41,Oleksandr,Zinchenko,11671,LWB,Manchester City,57092,16.49,-17.82,,Bournemouth
42,Oleksandr,Zinchenko,11671,LWB,Manchester City,57093,16.43,-17.97,,Bournemouth
43,Oleksandr,Zinchenko,11671,LWB,Manchester City,57094,16.34,-18.16,,Bournemouth
44,Oleksandr,Zinchenko,11671,LWB,Manchester City,57095,16.19,-18.4,,Bournemouth
45,Oleksandr,Zinchenko,11671,LWB,Manchester City,57096,16.01,-18.56,,Bournemouth
46,Oleksandr,Zinchenko,11671,LWB,Manchester City,57097,15.8,-18.72,,Bournemouth
47,Oleksandr,Zinchenko,11671,LWB,Manchester City,57098,15.55,-18.79,,Bournemouth
48,Oleksandr,Zinchenko,11671,LWB,Manchester City,57099,15.28,-18.76,,Bournemouth
49,Oleksandr,Zinchenko,11671,LWB,Manchester City,57100,15.01,-18.68,,Bournemouth
50,Oleksandr,Zinchenko,11671,LWB,Manchester City,57101,14.72,-18.57,,Bournemouth
51,Oleksandr,Zinchenko,11671,LWB,Manchester City,57102,14.45,-18.47,,Bournemouth
52,Oleksandr,Zinchenko,11671,LWB,Manchester City,57103,14.18,-18.38,,Bournemouth
53,Oleksandr,Zinchenko,11671,LWB,Manchester City,57104,13.92,-18.32,,Bournemouth
54,Oleksandr,Zinchenko,11671,LWB,Manchester City,57105,13.69,-18.25,19107.0,Bournemouth
