,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Riyad,Mahrez,9077,CF,Manchester City,57015,6.06,-0.45,,Bournemouth
1,Riyad,Mahrez,9077,CF,Manchester City,57016,6.24,-0.66,,Bournemouth
2,Riyad,Mahrez,9077,CF,Manchester City,57017,6.41,-0.83,,Bournemouth
3,Riyad,Mahrez,9077,CF,Manchester City,57018,6.57,-0.97,,Bournemouth
4,Riyad,Mahrez,9077,CF,Manchester City,57019,6.69,-1.04,,Bournemouth
5,Riyad,Mahrez,9077,CF,Manchester City,57020,6.84,-1.12,,Bournemouth
6,Riyad,Mahrez,9077,CF,Manchester City,57021,7.06,-1.12,,Bournemouth
7,Riyad,Mahrez,9077,CF,Manchester City,57022,7.3,-1.17,,Bournemouth
8,Riyad,Mahrez,9077,CF,Manchester City,57023,7.55,-1.3,,Bournemouth
9,Riyad,Mahrez,9077,CF,Manchester City,57024,7.73,-1.44,,Bournemouth
10,Riyad,Mahrez,9077,CF,Manchester City,57025,7.89,-1.57,,Bournemouth
11,Riyad,Mahrez,9077,CF,Manchester City,57026,8.08,-1.7,,Bournemouth
12,Riyad,Mahrez,9077,CF,Manchester City,57027,8.3,-1.86,,Bournemouth
13,Riyad,Mahrez,9077,CF,Manchester City,57028,8.54,-1.94,,Bournemouth
14,Riyad,Mahrez,9077,CF,Manchester City,57029,8.78,-2.12,,Bournemouth
15,Riyad,Mahrez,9077,CF,Manchester City,57030,8.96,-2.32,,Bournemouth
16,Riyad,Mahrez,9077,CF,Manchester City,57031,9.16,-2.37,,Bournemouth
17,Riyad,Mahrez,9077,CF,Manchester City,57032,9.37,-2.51,,Bournemouth
18,Riyad,Mahrez,9077,CF,Manchester City,57033,9.57,-2.73,,Bournemouth
19,Riyad,Mahrez,9077,CF,Manchester City,57034,9.78,-2.88,,Bournemouth
20,Riyad,Mahrez,9077,CF,Manchester City,57035,9.99,-3.08,,Bournemouth
21,Riyad,Mahrez,9077,CF,Manchester City,57036,10.18,-3.18,,Bournemouth
22,Riyad,Mahrez,9077,CF,Manchester City,57037,10.38,-3.18,,Bournemouth
23,Riyad,Mahrez,9077,CF,Manchester City,57038,10.55,-3.3,,Bournemouth
24,Riyad,Mahrez,9077,CF,Manchester City,57039,10.69,-3.52,,Bournemouth
25,Riyad,Mahrez,9077,CF,Manchester City,57040,10.8,-3.73,,Bournemouth
26,Riyad,Mahrez,9077,CF,Manchester City,57041,10.89,-3.86,,Bournemouth
27,Riyad,Mahrez,9077,CF,Manchester City,57042,10.93,-3.88,,Bournemouth
28,Riyad,Mahrez,9077,CF,Manchester City,57043,10.86,-3.84,,Bournemouth
29,Riyad,Mahrez,9077,CF,Manchester City,57044,10.74,-3.84,,Bournemouth
30,Riyad,Mahrez,9077,CF,Manchester City,57045,10.56,-3.94,,Bournemouth
31,Riyad,Mahrez,9077,CF,Manchester City,57046,10.4,-4.05,,Bournemouth
32,Riyad,Mahrez,9077,CF,Manchester City,57047,10.25,-4.21,,Bournemouth
33,Riyad,Mahrez,9077,CF,Manchester City,57048,10.11,-4.35,,Bournemouth
34,Riyad,Mahrez,9077,CF,Manchester City,57049,9.93,-4.36,,Bournemouth
35,Riyad,Mahrez,9077,CF,Manchester City,57050,9.76,-4.34,,Bournemouth
