,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Rodrigo,Hernandez,9202,RM,Manchester City,52395,14.17,-2.63,,Bournemouth
1,Rodrigo,Hernandez,9202,RM,Manchester City,52396,14.18,-2.52,,Bournemouth
2,Rodrigo,Hernandez,9202,RM,Manchester City,52397,14.2,-2.45,,Bournemouth
3,Rodrigo,Hernandez,9202,RM,Manchester City,52398,14.2,-2.41,,Bournemouth
4,Rodrigo,Hernandez,9202,RM,Manchester City,52399,14.2,-2.42,,Bournemouth
5,Rodrigo,Hernandez,9202,RM,Manchester City,52400,14.19,-2.48,,Bournemouth
6,Rodrigo,Hernandez,9202,RM,Manchester City,52401,14.18,-2.53,,Bournemouth
7,Rodrigo,Hernandez,9202,RM,Manchester City,52402,14.18,-2.59,,Bournemouth
8,Rodrigo,Hernandez,9202,RM,Manchester City,52403,14.18,-2.62,,Bournemouth
9,Rodrigo,Hernandez,9202,RM,Manchester City,52404,14.2,-2.64,,Bournemouth
10,Rodrigo,Hernandez,9202,RM,Manchester City,52405,14.2,-2.68,,Bournemouth
11,Rodrigo,Hernandez,9202,RM,Manchester City,52406,14.18,-2.79,,Bournemouth
12,Rodrigo,Hernandez,9202,RM,Manchester City,52407,14.18,-2.88,,Bournemouth
13,Rodrigo,Hernandez,9202,RM,Manchester City,52408,14.19,-2.95,,Bournemouth
14,Rodrigo,Hernandez,9202,RM,Manchester City,52409,14.21,-2.98,,Bournemouth
15,Rodrigo,Hernandez,9202,RM,Manchester City,52410,14.23,-2.98,,Bournemouth
16,Rodrigo,Hernandez,9202,RM,Manchester City,52421,14.21,-2.98,,Bournemouth
17,Rodrigo,Hernandez,9202,RM,Manchester City,52422,14.22,-2.99,,Bournemouth
18,Rodrigo,Hernandez,9202,RM,Manchester City,52423,14.23,-3.03,,Bournemouth
19,Rodrigo,Hernandez,9202,RM,Manchester City,52424,14.24,-3.08,,Bournemouth
20,Rodrigo,Hernandez,9202,RM,Manchester City,52425,14.25,-3.13,,Bournemouth
