,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Steve,Cook,10077,RCB,Bournemouth,232,20.43,5.75,,Bournemouth
1,Steve,Cook,10077,RCB,Bournemouth,233,20.43,5.74,,Bournemouth
2,Steve,Cook,10077,RCB,Bournemouth,234,20.41,5.73,,Bournemouth
3,Steve,Cook,10077,RCB,Bournemouth,235,20.4,5.72,,Bournemouth
4,Steve,Cook,10077,RCB,Bournemouth,236,20.37,5.69,,Bournemouth
5,Steve,Cook,10077,RCB,Bournemouth,237,20.34,5.68,,Bournemouth
6,Steve,Cook,10077,RCB,Bournemouth,238,20.33,5.66,,Bournemouth
7,Steve,Cook,10077,RCB,Bournemouth,239,20.33,5.68,,Bournemouth
8,Steve,Cook,10077,RCB,Bournemouth,240,20.33,5.69,,Bournemouth
9,Steve,Cook,10077,RCB,Bournemouth,241,20.33,5.71,,Bournemouth
10,Steve,Cook,10077,RCB,Bournemouth,242,20.33,5.73,,Bournemouth
11,Steve,Cook,10077,RCB,Bournemouth,243,20.33,5.73,,Bournemouth
12,Steve,Cook,10077,RCB,Bournemouth,244,20.34,5.73,2501.0,Bournemouth
13,Steve,Cook,10077,RCB,Bournemouth,245,20.34,5.72,2501.0,Bournemouth
14,Steve,Cook,10077,RCB,Bournemouth,246,20.35,5.72,2501.0,Bournemouth
15,Steve,Cook,10077,RCB,Bournemouth,247,20.35,5.73,2501.0,Bournemouth
16,Steve,Cook,10077,RCB,Bournemouth,248,20.35,5.72,2501.0,Bournemouth
17,Steve,Cook,10077,RCB,Bournemouth,249,20.34,5.7,2501.0,Bournemouth
18,Steve,Cook,10077,RCB,Bournemouth,250,20.33,5.72,2501.0,Bournemouth
19,Steve,Cook,10077,RCB,Bournemouth,251,20.33,5.72,2501.0,Bournemouth
20,Steve,Cook,10077,RCB,Bournemouth,252,20.33,5.74,2501.0,Bournemouth
21,Steve,Cook,10077,RCB,Bournemouth,253,20.34,5.76,2501.0,Bournemouth
22,Steve,Cook,10077,RCB,Bournemouth,254,20.34,5.75,2501.0,Bournemouth
23,Steve,Cook,10077,RCB,Bournemouth,255,20.33,5.75,2501.0,Bournemouth
24,Steve,Cook,10077,RCB,Bournemouth,256,20.34,5.76,2501.0,Bournemouth
25,Steve,Cook,10077,RCB,Bournemouth,257,20.34,5.75,2501.0,Bournemouth
26,Steve,Cook,10077,RCB,Bournemouth,258,20.33,5.75,2501.0,Bournemouth
27,Steve,Cook,10077,RCB,Bournemouth,259,20.34,5.75,2501.0,Bournemouth
28,Steve,Cook,10077,RCB,Bournemouth,260,20.35,5.75,2501.0,Bournemouth
29,Steve,Cook,10077,RCB,Bournemouth,261,20.36,5.76,2501.0,Bournemouth
30,Steve,Cook,10077,RCB,Bournemouth,262,20.37,5.76,2501.0,Bournemouth
31,Steve,Cook,10077,RCB,Bournemouth,263,20.36,5.75,2501.0,Bournemouth
32,Steve,Cook,10077,RCB,Bournemouth,264,20.34,5.77,2501.0,Bournemouth
33,Steve,Cook,10077,RCB,Bournemouth,265,20.34,5.76,2501.0,Bournemouth
34,Steve,Cook,10077,RCB,Bournemouth,266,20.34,5.77,2501.0,Bournemouth
35,Steve,Cook,10077,RCB,Bournemouth,267,20.34,5.77,2501.0,Bournemouth
36,Steve,Cook,10077,RCB,Bournemouth,268,20.35,5.75,2501.0,Bournemouth
37,Steve,Cook,10077,RCB,Bournemouth,269,20.35,5.74,2501.0,Bournemouth
38,Steve,Cook,10077,RCB,Bournemouth,270,20.35,5.72,2501.0,Bournemouth
39,Steve,Cook,10077,RCB,Bournemouth,271,20.34,5.73,2501.0,Bournemouth
40,Steve,Cook,10077,RCB,Bournemouth,272,20.32,5.73,2501.0,Bournemouth
41,Steve,Cook,10077,RCB,Bournemouth,273,20.3,5.74,2501.0,Bournemouth
42,Steve,Cook,10077,RCB,Bournemouth,274,20.31,5.74,2501.0,Bournemouth
43,Steve,Cook,10077,RCB,Bournemouth,275,20.35,5.77,2501.0,Bournemouth
44,Steve,Cook,10077,RCB,Bournemouth,276,20.34,5.82,2501.0,Bournemouth
45,Steve,Cook,10077,RCB,Bournemouth,277,20.29,5.85,2501.0,Bournemouth
46,Steve,Cook,10077,RCB,Bournemouth,278,20.24,5.84,2501.0,Bournemouth
47,Steve,Cook,10077,RCB,Bournemouth,279,20.21,5.81,2501.0,Bournemouth
48,Steve,Cook,10077,RCB,Bournemouth,280,20.19,5.76,2501.0,Bournemouth
49,Steve,Cook,10077,RCB,Bournemouth,281,20.22,5.77,2501.0,Bournemouth
50,Steve,Cook,10077,RCB,Bournemouth,282,20.23,5.79,2501.0,Bournemouth
51,Steve,Cook,10077,RCB,Bournemouth,283,20.24,5.83,2501.0,Bournemouth
52,Steve,Cook,10077,RCB,Bournemouth,284,20.28,5.8,2501.0,Bournemouth
53,Steve,Cook,10077,RCB,Bournemouth,285,20.27,5.78,2501.0,Bournemouth
54,Steve,Cook,10077,RCB,Bournemouth,286,20.25,5.73,2501.0,Bournemouth
55,Steve,Cook,10077,RCB,Bournemouth,287,20.22,5.76,2501.0,Bournemouth
56,Steve,Cook,10077,RCB,Bournemouth,288,20.21,5.76,2501.0,Bournemouth
57,Steve,Cook,10077,RCB,Bournemouth,289,20.2,5.8,2501.0,Bournemouth
58,Steve,Cook,10077,RCB,Bournemouth,290,20.22,5.77,2501.0,Bournemouth
