,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Aymeric,Laporte,1152,LCB,Manchester City,39930,18.39,-3.02,,Manchester City
1,Aymeric,Laporte,1152,LCB,Manchester City,39931,19.02,-2.85,,Manchester City
2,Aymeric,Laporte,1152,LCB,Manchester City,39932,19.64,-2.62,,Manchester City
3,Aymeric,Laporte,1152,LCB,Manchester City,39933,20.24,-2.32,,Manchester City
4,Aymeric,Laporte,1152,LCB,Manchester City,39934,20.86,-1.8,,Manchester City
5,Aymeric,Laporte,1152,LCB,Manchester City,39935,21.39,-1.47,,Manchester City
6,Aymeric,Laporte,1152,LCB,Manchester City,39936,22.07,-0.94,,Manchester City
7,Aymeric,Laporte,1152,LCB,Manchester City,39937,22.62,-0.68,,Manchester City
8,Aymeric,Laporte,1152,LCB,Manchester City,39938,23.29,-0.2,,Manchester City
9,Aymeric,Laporte,1152,LCB,Manchester City,39939,23.94,0.33,,Manchester City
10,Aymeric,Laporte,1152,LCB,Manchester City,39940,24.55,0.64,,Manchester City
11,Aymeric,Laporte,1152,LCB,Manchester City,39941,25.18,1.14,5066.0,Manchester City
12,Aymeric,Laporte,1152,LCB,Manchester City,39942,25.85,1.6,5066.0,Manchester City
13,Aymeric,Laporte,1152,LCB,Manchester City,39943,26.31,1.74,5066.0,Manchester City
14,Aymeric,Laporte,1152,LCB,Manchester City,39944,26.8,2.1,5066.0,Manchester City
15,Aymeric,Laporte,1152,LCB,Manchester City,39945,27.18,2.32,5066.0,Manchester City
16,Aymeric,Laporte,1152,LCB,Manchester City,39946,27.58,2.51,5066.0,Manchester City
17,Aymeric,Laporte,1152,LCB,Manchester City,39947,28.02,2.83,5066.0,Manchester City
18,Aymeric,Laporte,1152,LCB,Manchester City,39948,28.54,3.1,,Manchester City
19,Aymeric,Laporte,1152,LCB,Manchester City,39949,28.97,3.18,,Manchester City
20,Aymeric,Laporte,1152,LCB,Manchester City,39950,29.49,3.5,,Manchester City
21,Aymeric,Laporte,1152,LCB,Manchester City,39951,29.95,3.8,,Manchester City
22,Aymeric,Laporte,1152,LCB,Manchester City,39952,30.4,4.0,,Manchester City
23,Aymeric,Laporte,1152,LCB,Manchester City,39953,30.78,4.15,,Manchester City
24,Aymeric,Laporte,1152,LCB,Manchester City,39954,31.2,4.3,,Manchester City
25,Aymeric,Laporte,1152,LCB,Manchester City,39955,31.54,4.4,,Manchester City
26,Aymeric,Laporte,1152,LCB,Manchester City,39956,31.93,4.59,,Manchester City
27,Aymeric,Laporte,1152,LCB,Manchester City,39957,32.25,4.73,,Manchester City
28,Aymeric,Laporte,1152,LCB,Manchester City,39958,32.56,4.77,,Manchester City
29,Aymeric,Laporte,1152,LCB,Manchester City,39959,32.82,4.78,,Manchester City
30,Aymeric,Laporte,1152,LCB,Manchester City,39960,33.09,4.81,,Manchester City
31,Aymeric,Laporte,1152,LCB,Manchester City,39961,33.36,4.84,,Manchester City
32,Aymeric,Laporte,1152,LCB,Manchester City,39962,33.63,4.88,,Manchester City
33,Aymeric,Laporte,1152,LCB,Manchester City,40293,34.26,-3.78,,Manchester City
34,Aymeric,Laporte,1152,LCB,Manchester City,40294,34.2,-3.83,,Manchester City
35,Aymeric,Laporte,1152,LCB,Manchester City,40295,34.15,-3.89,,Manchester City
36,Aymeric,Laporte,1152,LCB,Manchester City,40296,34.13,-3.95,,Manchester City
37,Aymeric,Laporte,1152,LCB,Manchester City,40297,34.12,-4.03,,Manchester City
38,Aymeric,Laporte,1152,LCB,Manchester City,40298,34.14,-4.13,,Manchester City
39,Aymeric,Laporte,1152,LCB,Manchester City,40299,34.19,-4.12,,Manchester City
40,Aymeric,Laporte,1152,LCB,Manchester City,40300,34.22,-4.12,,Manchester City
41,Aymeric,Laporte,1152,LCB,Manchester City,40301,34.24,-4.18,,Manchester City
42,Aymeric,Laporte,1152,LCB,Manchester City,40302,34.24,-4.23,,Manchester City
43,Aymeric,Laporte,1152,LCB,Manchester City,40303,34.29,-4.2,,Manchester City
44,Aymeric,Laporte,1152,LCB,Manchester City,40304,34.38,-4.11,,Manchester City
45,Aymeric,Laporte,1152,LCB,Manchester City,40305,34.42,-4.11,,Manchester City
46,Aymeric,Laporte,1152,LCB,Manchester City,40306,34.42,-4.19,,Manchester City
47,Aymeric,Laporte,1152,LCB,Manchester City,40307,34.41,-4.28,,Manchester City
48,Aymeric,Laporte,1152,LCB,Manchester City,40308,34.4,-4.36,,Manchester City
49,Aymeric,Laporte,1152,LCB,Manchester City,40309,34.45,-4.33,,Manchester City
50,Aymeric,Laporte,1152,LCB,Manchester City,40310,34.53,-4.16,,Manchester City
51,Aymeric,Laporte,1152,LCB,Manchester City,40311,34.47,-4.25,,Manchester City
52,Aymeric,Laporte,1152,LCB,Manchester City,40312,34.37,-4.5,,Manchester City
53,Aymeric,Laporte,1152,LCB,Manchester City,40313,34.3,-4.7,,Manchester City
54,Aymeric,Laporte,1152,LCB,Manchester City,40314,34.3,-4.8,,Manchester City
55,Aymeric,Laporte,1152,LCB,Manchester City,40315,34.32,-4.83,,Manchester City
56,Aymeric,Laporte,1152,LCB,Manchester City,40316,34.33,-4.72,,Manchester City
57,Aymeric,Laporte,1152,LCB,Manchester City,40317,34.28,-4.72,,Manchester City
58,Aymeric,Laporte,1152,LCB,Manchester City,40318,34.22,-4.77,,Manchester City
59,Aymeric,Laporte,1152,LCB,Manchester City,40319,34.21,-4.81,,Manchester City
60,Aymeric,Laporte,1152,LCB,Manchester City,40320,34.26,-4.77,,Manchester City
61,Aymeric,Laporte,1152,LCB,Manchester City,40321,34.27,-4.73,,Manchester City
62,Aymeric,Laporte,1152,LCB,Manchester City,40322,34.27,-4.74,,Manchester City
63,Aymeric,Laporte,1152,LCB,Manchester City,40323,34.27,-4.76,,Manchester City
64,Aymeric,Laporte,1152,LCB,Manchester City,40324,34.28,-4.78,,Manchester City
65,Aymeric,Laporte,1152,LCB,Manchester City,40325,34.3,-4.79,7264.0,Burnley
66,Aymeric,Laporte,1152,LCB,Manchester City,40326,34.31,-4.77,7264.0,Burnley
67,Aymeric,Laporte,1152,LCB,Manchester City,40327,34.29,-4.77,7264.0,Burnley
68,Aymeric,Laporte,1152,LCB,Manchester City,40328,34.28,-4.82,7264.0,Burnley
69,Aymeric,Laporte,1152,LCB,Manchester City,40329,34.26,-4.84,,Burnley
70,Aymeric,Laporte,1152,LCB,Manchester City,40330,34.24,-4.9,,Burnley
71,Aymeric,Laporte,1152,LCB,Manchester City,40331,34.21,-4.95,,Burnley
72,Aymeric,Laporte,1152,LCB,Manchester City,40332,34.2,-4.93,,Burnley
73,Aymeric,Laporte,1152,LCB,Manchester City,40333,34.2,-4.9,,Burnley
74,Aymeric,Laporte,1152,LCB,Manchester City,40334,34.21,-4.85,,Burnley
75,Aymeric,Laporte,1152,LCB,Manchester City,40335,34.22,-4.79,,Burnley
76,Aymeric,Laporte,1152,LCB,Manchester City,40336,34.21,-4.78,,Burnley
77,Aymeric,Laporte,1152,LCB,Manchester City,40337,34.19,-4.81,,Burnley
78,Aymeric,Laporte,1152,LCB,Manchester City,40338,34.19,-4.8,,Burnley
79,Aymeric,Laporte,1152,LCB,Manchester City,40339,34.2,-4.81,,Burnley
80,Aymeric,Laporte,1152,LCB,Manchester City,40340,34.21,-4.84,,Burnley
81,Aymeric,Laporte,1152,LCB,Manchester City,40341,34.23,-4.78,,Burnley
82,Aymeric,Laporte,1152,LCB,Manchester City,40342,34.25,-4.73,,Burnley
83,Aymeric,Laporte,1152,LCB,Manchester City,40343,34.27,-4.67,,Burnley
84,Aymeric,Laporte,1152,LCB,Manchester City,40344,34.3,-4.6,,Burnley
