,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Erik,Pieters,3168,CF,Burnley,39634,-20.56,29.8,,Burnley
1,Erik,Pieters,3168,CF,Burnley,39635,-19.29,29.49,,Burnley
2,Erik,Pieters,3168,CF,Burnley,39636,-18.36,29.34,,Burnley
3,Erik,Pieters,3168,CF,Burnley,39637,-17.76,29.35,,Burnley
4,Erik,Pieters,3168,CF,Burnley,39638,-17.77,29.53,,Burnley
5,Erik,Pieters,3168,CF,Burnley,39639,-17.74,29.87,,Manchester City
6,Erik,Pieters,3168,CF,Burnley,39640,-17.67,30.12,,Manchester City
7,Erik,Pieters,3168,CF,Burnley,39641,-17.59,30.25,,Manchester City
8,Erik,Pieters,3168,CF,Burnley,39642,-17.53,30.31,,Manchester City
9,Erik,Pieters,3168,CF,Burnley,39643,-17.5,30.36,,Manchester City
10,Erik,Pieters,3168,CF,Burnley,39644,-17.48,30.44,,Manchester City
11,Erik,Pieters,3168,CF,Burnley,39645,-17.44,30.35,,Manchester City
12,Erik,Pieters,3168,CF,Burnley,39646,-17.39,30.15,,Manchester City
13,Erik,Pieters,3168,CF,Burnley,39647,-17.33,30.01,,Manchester City
14,Erik,Pieters,3168,CF,Burnley,39648,-17.33,30.17,,Manchester City
15,Erik,Pieters,3168,CF,Burnley,39649,-17.3,30.37,,Manchester City
16,Erik,Pieters,3168,CF,Burnley,39650,-17.22,30.31,,Manchester City
17,Erik,Pieters,3168,CF,Burnley,39651,-17.12,30.07,,Manchester City
18,Erik,Pieters,3168,CF,Burnley,39652,-17.0,29.76,,Manchester City
19,Erik,Pieters,3168,CF,Burnley,39653,-16.88,29.64,,Manchester City
20,Erik,Pieters,3168,CF,Burnley,39654,-16.76,29.79,,Manchester City
21,Erik,Pieters,3168,CF,Burnley,39655,-16.6,29.89,,Manchester City
22,Erik,Pieters,3168,CF,Burnley,39656,-16.42,29.76,,Manchester City
23,Erik,Pieters,3168,CF,Burnley,39657,-16.28,29.67,,Manchester City
24,Erik,Pieters,3168,CF,Burnley,39658,-16.16,29.54,,Manchester City
25,Erik,Pieters,3168,CF,Burnley,39659,-16.06,29.57,,Manchester City
26,Erik,Pieters,3168,CF,Burnley,39660,-15.98,29.59,,Manchester City
27,Erik,Pieters,3168,CF,Burnley,39661,-15.9,29.5,,Manchester City
28,Erik,Pieters,3168,CF,Burnley,39662,-15.82,29.31,,Manchester City
29,Erik,Pieters,3168,CF,Burnley,39663,-15.76,29.13,,Manchester City
30,Erik,Pieters,3168,CF,Burnley,39664,-15.76,29.02,,Manchester City
31,Erik,Pieters,3168,CF,Burnley,39665,-15.83,29.08,,Manchester City
32,Erik,Pieters,3168,CF,Burnley,39666,-15.94,29.16,,Manchester City
33,Erik,Pieters,3168,CF,Burnley,39667,-16.06,29.2,,Manchester City
34,Erik,Pieters,3168,CF,Burnley,39668,-16.19,29.22,,Manchester City
35,Erik,Pieters,3168,CF,Burnley,39669,-16.27,29.16,,Manchester City
36,Erik,Pieters,3168,CF,Burnley,39670,-16.31,28.91,,Manchester City
37,Erik,Pieters,3168,CF,Burnley,39671,-16.3,28.52,,Manchester City
38,Erik,Pieters,3168,CF,Burnley,39672,-16.22,28.05,,Manchester City
39,Erik,Pieters,3168,CF,Burnley,39673,-16.12,27.6,,Manchester City
40,Erik,Pieters,3168,CF,Burnley,39674,-16.03,27.61,,Manchester City
41,Erik,Pieters,3168,CF,Burnley,39675,-15.95,27.87,,Manchester City
42,Erik,Pieters,3168,CF,Burnley,39676,-15.85,28.25,,Manchester City
