,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Jack,Cork,4594,LM,Burnley,72,7.98,-8.97,,Burnley
1,Jack,Cork,4594,LM,Burnley,73,8.15,-9.05,,Burnley
2,Jack,Cork,4594,LM,Burnley,74,8.28,-9.2,,Burnley
3,Jack,Cork,4594,LM,Burnley,75,8.38,-9.41,,Burnley
4,Jack,Cork,4594,LM,Burnley,76,8.45,-9.73,,Burnley
5,Jack,Cork,4594,LM,Burnley,77,8.43,-10.13,,Burnley
6,Jack,Cork,4594,LM,Burnley,78,8.48,-10.23,,Burnley
7,Jack,Cork,4594,LM,Burnley,79,8.57,-10.08,,Burnley
8,Jack,Cork,4594,LM,Burnley,80,8.71,-10.11,,Burnley
9,Jack,Cork,4594,LM,Burnley,81,8.84,-10.37,1259.0,Burnley
10,Jack,Cork,4594,LM,Burnley,82,8.93,-10.77,1259.0,Burnley
11,Jack,Cork,4594,LM,Burnley,83,8.98,-11.25,1259.0,Burnley
12,Jack,Cork,4594,LM,Burnley,84,9.08,-11.48,1259.0,Burnley
13,Jack,Cork,4594,LM,Burnley,85,9.2,-11.45,1259.0,Burnley
14,Jack,Cork,4594,LM,Burnley,86,9.31,-11.63,1259.0,Burnley
15,Jack,Cork,4594,LM,Burnley,87,9.37,-11.95,1259.0,Burnley
16,Jack,Cork,4594,LM,Burnley,88,9.4,-12.25,1259.0,Burnley
17,Jack,Cork,4594,LM,Burnley,89,9.38,-12.58,1259.0,Burnley
18,Jack,Cork,4594,LM,Burnley,90,9.33,-12.95,1259.0,Burnley
19,Jack,Cork,4594,LM,Burnley,91,9.26,-13.25,1259.0,Burnley
20,Jack,Cork,4594,LM,Burnley,92,9.14,-13.62,1259.0,Burnley
21,Jack,Cork,4594,LM,Burnley,93,8.97,-14.06,1259.0,Burnley
22,Jack,Cork,4594,LM,Burnley,94,8.77,-14.4,1259.0,Burnley
23,Jack,Cork,4594,LM,Burnley,95,8.59,-14.67,,Burnley
24,Jack,Cork,4594,LM,Burnley,96,8.33,-15.0,,Burnley
25,Jack,Cork,4594,LM,Burnley,97,8.04,-15.24,,Burnley
26,Jack,Cork,4594,LM,Burnley,98,7.71,-15.41,,Burnley
27,Jack,Cork,4594,LM,Burnley,99,7.32,-15.7,,Burnley
28,Jack,Cork,4594,LM,Burnley,100,6.87,-15.99,,Burnley
29,Jack,Cork,4594,LM,Burnley,101,6.48,-16.16,,Burnley
30,Jack,Cork,4594,LM,Burnley,102,6.03,-16.34,,Burnley
31,Jack,Cork,4594,LM,Burnley,103,5.54,-16.49,,Burnley
32,Jack,Cork,4594,LM,Burnley,104,5.05,-16.59,,Burnley
33,Jack,Cork,4594,LM,Burnley,105,4.58,-16.71,,Burnley
34,Jack,Cork,4594,LM,Burnley,106,4.01,-16.9,,Burnley
35,Jack,Cork,4594,LM,Burnley,107,3.51,-17.02,,Burnley
36,Jack,Cork,4594,LM,Burnley,108,2.95,-17.15,,Burnley
37,Jack,Cork,4594,LM,Burnley,109,2.41,-17.34,,Burnley
38,Jack,Cork,4594,LM,Burnley,110,1.84,-17.5,,Burnley
39,Jack,Cork,4594,LM,Burnley,111,1.34,-17.6,,Burnley
40,Jack,Cork,4594,LM,Burnley,112,0.78,-17.85,,Burnley
41,Jack,Cork,4594,LM,Burnley,113,0.25,-18.06,,Burnley
42,Jack,Cork,4594,LM,Burnley,114,-0.3,-18.22,,Burnley
43,Jack,Cork,4594,LM,Burnley,115,-0.8,-18.41,,Burnley
44,Jack,Cork,4594,LM,Burnley,116,-1.36,-18.7,,Burnley
45,Jack,Cork,4594,LM,Burnley,117,-1.84,-18.91,,Burnley
46,Jack,Cork,4594,LM,Burnley,118,-2.37,-19.27,,Burnley
47,Jack,Cork,4594,LM,Burnley,119,-2.87,-19.58,,Burnley
48,Jack,Cork,4594,LM,Burnley,120,-3.43,-19.75,,Burnley
49,Jack,Cork,4594,LM,Burnley,121,-3.94,-19.86,,Burnley
50,Jack,Cork,4594,LM,Burnley,122,-4.51,-20.08,,Burnley
51,Jack,Cork,4594,LM,Burnley,123,-5.03,-20.26,,Burnley
52,Jack,Cork,4594,LM,Burnley,124,-5.56,-20.52,,Burnley
53,Jack,Cork,4594,LM,Burnley,125,-6.05,-20.82,,Burnley
54,Jack,Cork,4594,LM,Burnley,126,-6.61,-21.07,,Burnley
55,Jack,Cork,4594,LM,Burnley,127,-7.14,-21.19,,Burnley
56,Jack,Cork,4594,LM,Burnley,128,-7.72,-21.28,,Burnley
57,Jack,Cork,4594,LM,Burnley,129,-8.27,-21.35,,Burnley
58,Jack,Cork,4594,LM,Burnley,130,-8.83,-21.44,,Burnley
59,Jack,Cork,4594,LM,Burnley,131,-9.31,-21.6,,Burnley
60,Jack,Cork,4594,LM,Burnley,132,-9.85,-21.77,,Burnley
61,Jack,Cork,4594,LM,Burnley,133,-10.33,-21.92,,Burnley
62,Jack,Cork,4594,LM,Burnley,134,-10.89,-22.04,,Burnley
63,Jack,Cork,4594,LM,Burnley,135,-11.42,-22.23,,Burnley
64,Jack,Cork,4594,LM,Burnley,136,-11.95,-22.48,,Burnley
65,Jack,Cork,4594,LM,Burnley,137,-12.39,-22.67,,Burnley
66,Jack,Cork,4594,LM,Burnley,138,-12.8,-22.79,,Burnley
67,Jack,Cork,4594,LM,Burnley,139,-13.08,-22.97,,Burnley
68,Jack,Cork,4594,LM,Burnley,140,-13.29,-23.09,,Burnley
69,Jack,Cork,4594,LM,Burnley,141,-13.4,-23.21,,Burnley
70,Jack,Cork,4594,LM,Burnley,142,-13.39,-23.32,,Burnley
71,Jack,Cork,4594,LM,Burnley,143,-13.27,-23.36,,Burnley
72,Jack,Cork,4594,LM,Burnley,144,-13.07,-23.4,,Burnley
73,Jack,Cork,4594,LM,Burnley,145,-12.84,-23.43,,Burnley
74,Jack,Cork,4594,LM,Burnley,146,-12.57,-23.43,,Burnley
75,Jack,Cork,4594,LM,Burnley,147,-12.33,-23.41,,Burnley
76,Jack,Cork,4594,LM,Burnley,148,-12.03,-23.39,,Burnley
77,Jack,Cork,4594,LM,Burnley,149,-11.71,-23.4,,Burnley
78,Jack,Cork,4594,LM,Burnley,150,-11.35,-23.42,,Burnley
79,Jack,Cork,4594,LM,Burnley,151,-11.05,-23.4,,Burnley
80,Jack,Cork,4594,LM,Burnley,152,-10.72,-23.29,,Burnley
81,Jack,Cork,4594,LM,Burnley,153,-10.41,-23.09,,Burnley
82,Jack,Cork,4594,LM,Burnley,154,-10.04,-22.99,,Burnley
83,Jack,Cork,4594,LM,Burnley,155,-9.71,-22.97,,Burnley
84,Jack,Cork,4594,LM,Burnley,156,-9.35,-22.96,,Burnley
85,Jack,Cork,4594,LM,Burnley,157,-9.09,-22.95,,Burnley
