,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Jay,Rodriguez,55,CF,Burnley,81,21.42,-10.37,1259.0,Burnley
1,Jay,Rodriguez,55,CF,Burnley,82,21.32,-10.74,1259.0,Burnley
2,Jay,Rodriguez,55,CF,Burnley,83,21.06,-11.08,1259.0,Burnley
3,Jay,Rodriguez,55,CF,Burnley,84,20.94,-11.42,1259.0,Burnley
4,Jay,Rodriguez,55,CF,Burnley,85,20.88,-11.67,1259.0,Burnley
5,Jay,Rodriguez,55,CF,Burnley,86,20.82,-11.97,1259.0,Burnley
6,Jay,Rodriguez,55,CF,Burnley,87,20.79,-12.21,1259.0,Burnley
7,Jay,Rodriguez,55,CF,Burnley,88,20.76,-12.47,1259.0,Burnley
8,Jay,Rodriguez,55,CF,Burnley,89,20.74,-12.74,1259.0,Burnley
9,Jay,Rodriguez,55,CF,Burnley,90,20.73,-13.02,1259.0,Burnley
10,Jay,Rodriguez,55,CF,Burnley,91,20.87,-13.31,1259.0,Burnley
11,Jay,Rodriguez,55,CF,Burnley,92,20.67,-13.53,1259.0,Burnley
12,Jay,Rodriguez,55,CF,Burnley,93,20.08,-13.46,1259.0,Burnley
13,Jay,Rodriguez,55,CF,Burnley,94,18.73,-13.67,1259.0,Burnley
14,Jay,Rodriguez,55,CF,Burnley,95,16.95,-13.91,,Burnley
15,Jay,Rodriguez,55,CF,Burnley,96,14.87,-14.21,,Burnley
16,Jay,Rodriguez,55,CF,Burnley,97,13.05,-14.07,,Burnley
17,Jay,Rodriguez,55,CF,Burnley,98,11.18,-14.43,,Burnley
18,Jay,Rodriguez,55,CF,Burnley,99,9.33,-14.92,,Burnley
19,Jay,Rodriguez,55,CF,Burnley,100,7.48,-15.53,,Burnley
20,Jay,Rodriguez,55,CF,Burnley,101,5.89,-15.43,,Burnley
21,Jay,Rodriguez,55,CF,Burnley,102,4.18,-15.69,,Burnley
22,Jay,Rodriguez,55,CF,Burnley,103,2.72,-15.59,,Burnley
23,Jay,Rodriguez,55,CF,Burnley,104,1.1,-15.97,,Burnley
24,Jay,Rodriguez,55,CF,Burnley,105,-0.38,-15.95,,Burnley
25,Jay,Rodriguez,55,CF,Burnley,106,-1.91,-16.28,,Burnley
26,Jay,Rodriguez,55,CF,Burnley,107,-3.25,-16.53,,Burnley
27,Jay,Rodriguez,55,CF,Burnley,108,-4.62,-17.06,,Burnley
28,Jay,Rodriguez,55,CF,Burnley,109,-5.97,-17.85,,Burnley
29,Jay,Rodriguez,55,CF,Burnley,110,-7.29,-18.93,,Burnley
30,Jay,Rodriguez,55,CF,Burnley,111,-8.47,-18.58,,Burnley
31,Jay,Rodriguez,55,CF,Burnley,112,-9.76,-18.86,,Burnley
32,Jay,Rodriguez,55,CF,Burnley,113,-10.89,-19.17,,Burnley
33,Jay,Rodriguez,55,CF,Burnley,114,-12.19,-19.38,,Burnley
34,Jay,Rodriguez,55,CF,Burnley,115,-13.39,-19.39,,Burnley
35,Jay,Rodriguez,55,CF,Burnley,116,-14.71,-19.4,,Burnley
36,Jay,Rodriguez,55,CF,Burnley,117,-15.93,-19.32,,Burnley
37,Jay,Rodriguez,55,CF,Burnley,118,-17.1,-19.52,,Burnley
38,Jay,Rodriguez,55,CF,Burnley,119,-18.24,-19.86,,Burnley
39,Jay,Rodriguez,55,CF,Burnley,120,-19.33,-20.33,,Burnley
40,Jay,Rodriguez,55,CF,Burnley,121,-20.22,-20.82,,Burnley
41,Jay,Rodriguez,55,CF,Burnley,122,-21.36,-21.15,,Burnley
42,Jay,Rodriguez,55,CF,Burnley,123,-22.47,-21.2,,Burnley
43,Jay,Rodriguez,55,CF,Burnley,124,-23.65,-21.25,,Burnley
44,Jay,Rodriguez,55,CF,Burnley,125,-24.67,-21.26,,Burnley
45,Jay,Rodriguez,55,CF,Burnley,126,-25.58,-21.53,,Burnley
46,Jay,Rodriguez,55,CF,Burnley,127,-26.35,-21.91,,Burnley
47,Jay,Rodriguez,55,CF,Burnley,128,-27.25,-21.99,,Burnley
48,Jay,Rodriguez,55,CF,Burnley,129,-28.18,-21.92,,Burnley
49,Jay,Rodriguez,55,CF,Burnley,130,-29.14,-21.72,,Burnley
50,Jay,Rodriguez,55,CF,Burnley,131,-29.57,-21.89,,Burnley
51,Jay,Rodriguez,55,CF,Burnley,132,-29.69,-22.06,,Burnley
52,Jay,Rodriguez,55,CF,Burnley,133,-29.51,-22.08,,Burnley
53,Jay,Rodriguez,55,CF,Burnley,134,-28.88,-22.19,,Burnley
54,Jay,Rodriguez,55,CF,Burnley,135,-28.03,-22.36,,Burnley
55,Jay,Rodriguez,55,CF,Burnley,136,-27.02,-22.51,,Burnley
56,Jay,Rodriguez,55,CF,Burnley,137,-26.17,-22.24,,Burnley
57,Jay,Rodriguez,55,CF,Burnley,138,-25.08,-22.49,,Burnley
58,Jay,Rodriguez,55,CF,Burnley,139,-23.91,-22.88,,Burnley
59,Jay,Rodriguez,55,CF,Burnley,140,-22.66,-23.41,,Burnley
60,Jay,Rodriguez,55,CF,Burnley,141,-21.49,-24.11,,Burnley
61,Jay,Rodriguez,55,CF,Burnley,142,-20.35,-24.47,,Burnley
62,Jay,Rodriguez,55,CF,Burnley,143,-19.66,-24.11,,Burnley
63,Jay,Rodriguez,55,CF,Burnley,144,-18.76,-24.0,,Burnley
64,Jay,Rodriguez,55,CF,Burnley,145,-17.92,-23.95,,Burnley
65,Jay,Rodriguez,55,CF,Burnley,146,-17.01,-23.91,,Burnley
66,Jay,Rodriguez,55,CF,Burnley,147,-16.18,-23.87,,Burnley
67,Jay,Rodriguez,55,CF,Burnley,148,-15.32,-23.85,,Burnley
68,Jay,Rodriguez,55,CF,Burnley,149,-14.46,-23.83,,Burnley
69,Jay,Rodriguez,55,CF,Burnley,150,-13.6,-23.8,,Burnley
70,Jay,Rodriguez,55,CF,Burnley,151,-12.79,-24.05,,Burnley
71,Jay,Rodriguez,55,CF,Burnley,152,-11.94,-24.17,,Burnley
72,Jay,Rodriguez,55,CF,Burnley,153,-11.14,-24.25,,Burnley
73,Jay,Rodriguez,55,CF,Burnley,154,-10.43,-24.15,,Burnley
74,Jay,Rodriguez,55,CF,Burnley,155,-10.01,-23.84,,Burnley
75,Jay,Rodriguez,55,CF,Burnley,156,-9.75,-23.55,,Burnley
76,Jay,Rodriguez,55,CF,Burnley,157,-9.74,-23.31,,Burnley
77,Jay,Rodriguez,55,CF,Burnley,158,-9.8,-22.95,,Burnley
78,Jay,Rodriguez,55,CF,Burnley,159,-9.98,-22.55,,Burnley
79,Jay,Rodriguez,55,CF,Burnley,160,-10.29,-22.12,4594.0,Burnley
80,Jay,Rodriguez,55,CF,Burnley,161,-10.39,-21.86,4594.0,Burnley
81,Jay,Rodriguez,55,CF,Burnley,162,-10.54,-21.41,4594.0,Burnley
82,Jay,Rodriguez,55,CF,Burnley,163,-10.72,-20.99,4594.0,Burnley
83,Jay,Rodriguez,55,CF,Burnley,164,-11.14,-20.43,,Burnley
84,Jay,Rodriguez,55,CF,Burnley,165,-11.89,-19.65,,Burnley
85,Jay,Rodriguez,55,CF,Burnley,166,-12.91,-19.55,,Burnley
86,Jay,Rodriguez,55,CF,Burnley,167,-14.0,-19.95,,Burnley
87,Jay,Rodriguez,55,CF,Burnley,168,-15.19,-20.08,,Burnley
88,Jay,Rodriguez,55,CF,Burnley,169,-16.48,-20.26,,Burnley
89,Jay,Rodriguez,55,CF,Burnley,170,-17.87,-20.49,,Burnley
90,Jay,Rodriguez,55,CF,Burnley,171,-19.17,-19.8,,Burnley
91,Jay,Rodriguez,55,CF,Burnley,172,-20.56,-19.55,,Burnley
92,Jay,Rodriguez,55,CF,Burnley,173,-22.0,-18.93,,Burnley
93,Jay,Rodriguez,55,CF,Burnley,174,-23.17,-19.02,,Burnley
94,Jay,Rodriguez,55,CF,Burnley,175,-24.05,-19.48,,Burnley
95,Jay,Rodriguez,55,CF,Burnley,176,-24.82,-20.34,,Burnley
96,Jay,Rodriguez,55,CF,Burnley,177,-25.5,-21.1,,Burnley
97,Jay,Rodriguez,55,CF,Burnley,178,-26.4,-21.44,,Burnley
98,Jay,Rodriguez,55,CF,Burnley,179,-27.43,-21.5,,Burnley
99,Jay,Rodriguez,55,CF,Burnley,180,-28.58,-21.28,,Burnley
100,Jay,Rodriguez,55,CF,Burnley,181,-29.23,-21.72,,Burnley
101,Jay,Rodriguez,55,CF,Burnley,182,-30.17,-21.84,,Burnley
102,Jay,Rodriguez,55,CF,Burnley,183,-31.13,-21.72,,Burnley
103,Jay,Rodriguez,55,CF,Burnley,184,-32.16,-21.59,,Burnley
104,Jay,Rodriguez,55,CF,Burnley,185,-32.99,-21.6,,Burnley
105,Jay,Rodriguez,55,CF,Burnley,186,-33.91,-21.55,,Burnley
106,Jay,Rodriguez,55,CF,Burnley,187,-34.71,-21.55,,Burnley
107,Jay,Rodriguez,55,CF,Burnley,188,-35.59,-21.43,,Burnley
108,Jay,Rodriguez,55,CF,Burnley,189,-36.53,-21.22,,Burnley
109,Jay,Rodriguez,55,CF,Burnley,190,-37.52,-20.91,,Burnley
110,Jay,Rodriguez,55,CF,Burnley,191,-38.1,-20.73,,Burnley
111,Jay,Rodriguez,55,CF,Burnley,192,-38.88,-20.28,,Burnley
112,Jay,Rodriguez,55,CF,Burnley,193,-39.55,-19.81,,Burnley
113,Jay,Rodriguez,55,CF,Burnley,194,-40.28,-19.34,,Burnley
114,Jay,Rodriguez,55,CF,Burnley,195,-40.95,-18.93,,Burnley
115,Jay,Rodriguez,55,CF,Burnley,196,-41.75,-18.4,,Burnley
116,Jay,Rodriguez,55,CF,Burnley,197,-42.64,-17.72,,Burnley
117,Jay,Rodriguez,55,CF,Burnley,198,-43.31,-17.33,,Burnley
118,Jay,Rodriguez,55,CF,Burnley,199,-43.88,-17.06,,Burnley
119,Jay,Rodriguez,55,CF,Burnley,200,-44.36,-16.92,,Burnley
120,Jay,Rodriguez,55,CF,Burnley,201,-44.99,-16.5,,Burnley
121,Jay,Rodriguez,55,CF,Burnley,202,-45.47,-16.37,,Burnley
122,Jay,Rodriguez,55,CF,Burnley,203,-45.88,-16.26,,Burnley
123,Jay,Rodriguez,55,CF,Burnley,204,-45.95,-16.4,,Burnley
124,Jay,Rodriguez,55,CF,Burnley,205,-45.93,-16.43,,Burnley
125,Jay,Rodriguez,55,CF,Burnley,206,-45.46,-16.77,,Burnley
126,Jay,Rodriguez,55,CF,Burnley,207,-44.89,-17.09,,Burnley
127,Jay,Rodriguez,55,CF,Burnley,208,-44.2,-17.56,,Burnley
128,Jay,Rodriguez,55,CF,Burnley,209,-43.33,-18.2,,Burnley
129,Jay,Rodriguez,55,CF,Burnley,210,-42.3,-19.0,,Burnley
130,Jay,Rodriguez,55,CF,Burnley,211,-41.7,-19.41,,Burnley
131,Jay,Rodriguez,55,CF,Burnley,212,-40.62,-20.3,,Burnley
132,Jay,Rodriguez,55,CF,Burnley,213,-39.44,-21.35,,Burnley
133,Jay,Rodriguez,55,CF,Burnley,214,-38.0,-22.67,,Burnley
134,Jay,Rodriguez,55,CF,Burnley,215,-36.57,-24.03,,Burnley
135,Jay,Rodriguez,55,CF,Burnley,216,-35.12,-25.37,,Burnley
136,Jay,Rodriguez,55,CF,Burnley,217,-33.62,-26.77,,Burnley
137,Jay,Rodriguez,55,CF,Burnley,218,-32.08,-28.22,,Burnley
138,Jay,Rodriguez,55,CF,Burnley,221,-29.63,-29.97,,Burnley
