,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Oleksandr,Zinchenko,11671,LWB,Manchester City,72,-15.21,13.8,,Burnley
1,Oleksandr,Zinchenko,11671,LWB,Manchester City,73,-15.21,13.75,,Burnley
2,Oleksandr,Zinchenko,11671,LWB,Manchester City,74,-15.14,13.72,,Burnley
3,Oleksandr,Zinchenko,11671,LWB,Manchester City,75,-15.01,13.71,,Burnley
4,Oleksandr,Zinchenko,11671,LWB,Manchester City,76,-14.75,13.67,,Burnley
5,Oleksandr,Zinchenko,11671,LWB,Manchester City,77,-14.55,13.75,,Burnley
6,Oleksandr,Zinchenko,11671,LWB,Manchester City,78,-14.29,13.82,,Burnley
7,Oleksandr,Zinchenko,11671,LWB,Manchester City,79,-14.07,13.84,,Burnley
8,Oleksandr,Zinchenko,11671,LWB,Manchester City,80,-13.79,13.75,,Burnley
9,Oleksandr,Zinchenko,11671,LWB,Manchester City,81,-13.51,13.64,1259.0,Burnley
10,Oleksandr,Zinchenko,11671,LWB,Manchester City,82,-13.22,13.49,1259.0,Burnley
11,Oleksandr,Zinchenko,11671,LWB,Manchester City,83,-12.93,13.35,1259.0,Burnley
12,Oleksandr,Zinchenko,11671,LWB,Manchester City,84,-12.64,13.21,1259.0,Burnley
13,Oleksandr,Zinchenko,11671,LWB,Manchester City,85,-12.44,13.18,1259.0,Burnley
14,Oleksandr,Zinchenko,11671,LWB,Manchester City,86,-12.22,12.97,1259.0,Burnley
15,Oleksandr,Zinchenko,11671,LWB,Manchester City,87,-12.02,12.57,1259.0,Burnley
16,Oleksandr,Zinchenko,11671,LWB,Manchester City,88,-11.82,12.2,1259.0,Burnley
17,Oleksandr,Zinchenko,11671,LWB,Manchester City,89,-11.64,11.73,1259.0,Burnley
18,Oleksandr,Zinchenko,11671,LWB,Manchester City,90,-11.49,11.15,1259.0,Burnley
19,Oleksandr,Zinchenko,11671,LWB,Manchester City,91,-11.4,10.76,1259.0,Burnley
20,Oleksandr,Zinchenko,11671,LWB,Manchester City,92,-11.37,10.35,1259.0,Burnley
21,Oleksandr,Zinchenko,11671,LWB,Manchester City,93,-11.42,9.96,1259.0,Burnley
