,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Kevin,de Bruyne,5821,RM,Manchester City,449,1.21270473366,-8.90504308949,,Liverpool Football Club
1,Kevin,de Bruyne,5821,RM,Manchester City,450,1.38550557537,-8.57254268864,,Liverpool Football Club
2,Kevin,de Bruyne,5821,RM,Manchester City,451,1.59913977704,-8.41787100039,,Liverpool Football Club
3,Kevin,de Bruyne,5821,RM,Manchester City,452,1.85360733868,-8.44102802471,,Liverpool Football Club
4,Kevin,de Bruyne,5821,RM,Manchester City,453,2.145254796,-8.73887979732,,Liverpool Football Club
5,Kevin,de Bruyne,5821,RM,Manchester City,454,2.4856902756,-9.06173653045,,Liverpool Football Club
6,Kevin,de Bruyne,5821,RM,Manchester City,455,2.93968882264,-9.21676924187,,Liverpool Football Club
7,Kevin,de Bruyne,5821,RM,Manchester City,456,3.14638741561,-9.58604470707,,Liverpool Football Club
8,Kevin,de Bruyne,5821,RM,Manchester City,457,3.09605341225,-9.81289010747,,Liverpool Football Club
9,Kevin,de Bruyne,5821,RM,Manchester City,458,2.967957218,-10.1057689867,,Liverpool Football Club
10,Kevin,de Bruyne,5821,RM,Manchester City,459,2.69566612221,-10.4743694801,,Liverpool Football Club
11,Kevin,de Bruyne,5821,RM,Manchester City,460,2.27918012489,-10.9186915877,,Liverpool Football Club
12,Kevin,de Bruyne,5821,RM,Manchester City,573,22.0900193169,-6.75843112809,,Manchester City
13,Kevin,de Bruyne,5821,RM,Manchester City,574,22.7271129063,-6.65822911263,,Manchester City
14,Kevin,de Bruyne,5821,RM,Manchester City,575,23.3571523939,-6.57788392476,11566.0,Manchester City
15,Kevin,de Bruyne,5821,RM,Manchester City,576,23.9801377796,-6.51739556449,11566.0,Manchester City
16,Kevin,de Bruyne,5821,RM,Manchester City,577,24.5752794175,-6.55469206401,11566.0,Manchester City
17,Kevin,de Bruyne,5821,RM,Manchester City,578,25.258131663,-6.37638602938,11566.0,Manchester City
18,Kevin,de Bruyne,5821,RM,Manchester City,579,25.886133194,-6.17177388782,,Manchester City
19,Kevin,de Bruyne,5821,RM,Manchester City,580,26.4191623869,-6.23200341633,,Manchester City
20,Kevin,de Bruyne,5821,RM,Manchester City,581,26.9936448052,-6.17418314162,,Manchester City
21,Kevin,de Bruyne,5821,RM,Manchester City,582,27.558493478,-6.10989202772,,Manchester City
22,Kevin,de Bruyne,5821,RM,Manchester City,583,28.0802513304,-6.14846506573,,Manchester City
23,Kevin,de Bruyne,5821,RM,Manchester City,584,28.5871420361,-6.17111060733,,Manchester City
24,Kevin,de Bruyne,5821,RM,Manchester City,585,29.1463365101,-6.04086626144,,Manchester City
25,Kevin,de Bruyne,5821,RM,Manchester City,586,29.6815958477,-5.99824473971,,Manchester City
26,Kevin,de Bruyne,5821,RM,Manchester City,587,30.1616896675,-6.03526814779,,Manchester City
27,Kevin,de Bruyne,5821,RM,Manchester City,588,30.6535192217,-6.07226853144,,Manchester City
28,Kevin,de Bruyne,5821,RM,Manchester City,589,31.1158984048,-6.15924533208,,Manchester City
29,Kevin,de Bruyne,5821,RM,Manchester City,590,31.4728052957,-6.40645905903,,Manchester City
30,Kevin,de Bruyne,5821,RM,Manchester City,591,31.83331208,-6.58245874587,,Manchester City
31,Kevin,de Bruyne,5821,RM,Manchester City,592,32.0715423766,-6.90091412408,,Manchester City
32,Kevin,de Bruyne,5821,RM,Manchester City,593,32.2571563721,-7.22209237871,,Manchester City
33,Kevin,de Bruyne,5821,RM,Manchester City,594,32.4022363935,-7.54971302123,,Manchester City
34,Kevin,de Bruyne,5821,RM,Manchester City,595,32.5532693409,-7.80736839204,10748.0,Liverpool Football Club
35,Kevin,de Bruyne,5821,RM,Manchester City,596,32.6130031404,-8.16901661101,10748.0,Liverpool Football Club
36,Kevin,de Bruyne,5821,RM,Manchester City,597,32.6318646386,-8.52234141032,10748.0,Liverpool Football Club
37,Kevin,de Bruyne,5821,RM,Manchester City,598,32.5800301688,-8.91684718359,10748.0,Liverpool Football Club
38,Kevin,de Bruyne,5821,RM,Manchester City,599,32.452319009,-9.33536411467,,Liverpool Football Club
39,Kevin,de Bruyne,5821,RM,Manchester City,600,32.2713577634,-9.76738793509,,Liverpool Football Club
40,Kevin,de Bruyne,5821,RM,Manchester City,601,32.1774724325,-10.0329153424,,Liverpool Football Club
41,Kevin,de Bruyne,5821,RM,Manchester City,602,32.0075224014,-10.4191313698,,Liverpool Football Club
42,Kevin,de Bruyne,5821,RM,Manchester City,603,31.8304977417,-10.785558201,,Liverpool Football Club
43,Kevin,de Bruyne,5821,RM,Manchester City,604,31.713743664,-11.0277207238,,Liverpool Football Club
44,Kevin,de Bruyne,5821,RM,Manchester City,605,31.5620792934,-11.2955072948,,Liverpool Football Club
45,Kevin,de Bruyne,5821,RM,Manchester City,606,31.3365905398,-11.6621003378,,Liverpool Football Club
46,Kevin,de Bruyne,5821,RM,Manchester City,607,31.1727118719,-11.8884690603,,Liverpool Football Club
47,Kevin,de Bruyne,5821,RM,Manchester City,608,31.0143064771,-12.0316095352,,Liverpool Football Club
48,Kevin,de Bruyne,5821,RM,Manchester City,609,30.7735729218,-12.2841816857,,Liverpool Football Club
49,Kevin,de Bruyne,5821,RM,Manchester City,610,30.4803592137,-12.5969830013,,Liverpool Football Club
50,Kevin,de Bruyne,5821,RM,Manchester City,611,30.1966602689,-12.8541428702,,Liverpool Football Club
51,Kevin,de Bruyne,5821,RM,Manchester City,612,29.8680025736,-13.1537382489,,Liverpool Football Club
52,Kevin,de Bruyne,5821,RM,Manchester City,613,29.5710757151,-13.3690359912,,Liverpool Football Club
53,Kevin,de Bruyne,5821,RM,Manchester City,614,29.3777379942,-13.4218790676,,Liverpool Football Club
54,Kevin,de Bruyne,5821,RM,Manchester City,615,29.0866997615,-13.5325238325,,Liverpool Football Club
55,Kevin,de Bruyne,5821,RM,Manchester City,616,28.7444130505,-13.6810760497,,Liverpool Football Club
56,Kevin,de Bruyne,5821,RM,Manchester City,617,28.2433503446,-13.8562646962,,Liverpool Football Club
57,Kevin,de Bruyne,5821,RM,Manchester City,618,27.7891384495,-14.1890996458,,Liverpool Football Club
58,Kevin,de Bruyne,5821,RM,Manchester City,619,27.5205605929,-14.4555615755,,Liverpool Football Club
59,Kevin,de Bruyne,5821,RM,Manchester City,620,27.347899486,-14.6904957788,,Liverpool Football Club
60,Kevin,de Bruyne,5821,RM,Manchester City,621,27.10153967,-14.9004325311,,Liverpool Football Club
61,Kevin,de Bruyne,5821,RM,Manchester City,622,26.8409938812,-14.8882188343,,Liverpool Football Club
62,Kevin,de Bruyne,5821,RM,Manchester City,623,26.3271156493,-14.9277141208,,Liverpool Football Club
63,Kevin,de Bruyne,5821,RM,Manchester City,624,25.8858010428,-15.043683597,,Liverpool Football Club
64,Kevin,de Bruyne,5821,RM,Manchester City,625,25.4233947481,-15.2103349822,,Liverpool Football Club
65,Kevin,de Bruyne,5821,RM,Manchester City,626,24.9398967652,-15.4276682763,24015.0,Manchester City
66,Kevin,de Bruyne,5821,RM,Manchester City,872,-6.85627402578,-12.278361979,,Manchester City
67,Kevin,de Bruyne,5821,RM,Manchester City,873,-7.21779591697,-12.7291589464,,Manchester City
68,Kevin,de Bruyne,5821,RM,Manchester City,874,-7.55797491755,-13.1415167536,,Manchester City
69,Kevin,de Bruyne,5821,RM,Manchester City,875,-7.87681102753,-13.5154354005,,Manchester City
70,Kevin,de Bruyne,5821,RM,Manchester City,876,-8.16884719758,-13.8402695429,,Manchester City
71,Kevin,de Bruyne,5821,RM,Manchester City,877,-8.43099221729,-14.2349338077,,Manchester City
72,Kevin,de Bruyne,5821,RM,Manchester City,878,-8.70484515599,-14.2741597039,,Manchester City
73,Kevin,de Bruyne,5821,RM,Manchester City,879,-9.03105772109,-14.2030536561,,Manchester City
74,Kevin,de Bruyne,5821,RM,Manchester City,880,-9.3224867412,-14.3390404383,,Manchester City
75,Kevin,de Bruyne,5821,RM,Manchester City,881,-9.62281622205,-14.5676127388,,Manchester City
76,Kevin,de Bruyne,5821,RM,Manchester City,882,-9.83257266453,-14.8960326513,,Manchester City
77,Kevin,de Bruyne,5821,RM,Manchester City,883,-9.94927660624,-15.3766371409,,Manchester City
78,Kevin,de Bruyne,5821,RM,Manchester City,884,-10.0637985411,-15.6250688916,,Manchester City
79,Kevin,de Bruyne,5821,RM,Manchester City,885,-10.1592618397,-15.9024306706,,Manchester City
80,Kevin,de Bruyne,5821,RM,Manchester City,886,-10.2104152498,-16.2721457254,,Manchester City
81,Kevin,de Bruyne,5821,RM,Manchester City,887,-10.2251079196,-16.5197931925,,Manchester City
82,Kevin,de Bruyne,5821,RM,Manchester City,888,-10.1791793278,-16.6367118472,,Manchester City
83,Kevin,de Bruyne,5821,RM,Manchester City,889,-10.0845296951,-16.7752374013,,Manchester City
84,Kevin,de Bruyne,5821,RM,Manchester City,890,-9.94587235224,-17.0439114344,,Manchester City
85,Kevin,de Bruyne,5821,RM,Manchester City,891,-9.77606428237,-17.3732604072,3847.0,Liverpool Football Club
86,Kevin,de Bruyne,5821,RM,Manchester City,892,-9.59178770156,-17.7190499079,3847.0,Liverpool Football Club
87,Kevin,de Bruyne,5821,RM,Manchester City,893,-9.45540673392,-17.8954793839,3847.0,Liverpool Football Club
88,Kevin,de Bruyne,5821,RM,Manchester City,894,-9.38095833006,-17.9049431937,3847.0,Liverpool Football Club
89,Kevin,de Bruyne,5821,RM,Manchester City,895,-9.35805061885,-17.7895338876,,Liverpool Football Club
90,Kevin,de Bruyne,5821,RM,Manchester City,896,-9.32346144177,-17.747452963,,Liverpool Football Club
91,Kevin,de Bruyne,5821,RM,Manchester City,897,-9.29271375565,-17.6918977102,,Liverpool Football Club
92,Kevin,de Bruyne,5821,RM,Manchester City,898,-9.26235880171,-17.6665129889,,Liverpool Football Club
93,Kevin,de Bruyne,5821,RM,Manchester City,899,-9.23795849936,-17.6320522853,,Liverpool Football Club
94,Kevin,de Bruyne,5821,RM,Manchester City,900,-9.22742380415,-17.6316046034,,Liverpool Football Club
95,Kevin,de Bruyne,5821,RM,Manchester City,901,-9.22448289962,-17.6498225984,,Liverpool Football Club
96,Kevin,de Bruyne,5821,RM,Manchester City,902,-9.21562222072,-17.6798232851,,Liverpool Football Club
97,Kevin,de Bruyne,5821,RM,Manchester City,903,-9.20302949633,-17.7290349688,,Liverpool Football Club
98,Kevin,de Bruyne,5821,RM,Manchester City,904,-9.18842079526,-17.7521365938,,Liverpool Football Club
99,Kevin,de Bruyne,5821,RM,Manchester City,905,-9.17317994436,-17.7510643005,,Liverpool Football Club
100,Kevin,de Bruyne,5821,RM,Manchester City,906,-9.1792351859,-17.7349253155,,Liverpool Football Club
101,Kevin,de Bruyne,5821,RM,Manchester City,907,-9.19085357303,-17.7354644594,,Manchester City
102,Kevin,de Bruyne,5821,RM,Manchester City,908,-9.19933441707,-17.7522560301,,Manchester City
103,Kevin,de Bruyne,5821,RM,Manchester City,909,-9.21340143113,-17.7843506223,,Manchester City
104,Kevin,de Bruyne,5821,RM,Manchester City,910,-9.23959323338,-17.7821122124,,Manchester City
105,Kevin,de Bruyne,5821,RM,Manchester City,911,-9.2916347867,-17.6782952263,,Manchester City
106,Kevin,de Bruyne,5821,RM,Manchester City,912,-9.3766767411,-17.4527963003,,Manchester City
107,Kevin,de Bruyne,5821,RM,Manchester City,913,-9.4547954741,-17.2606852395,,Manchester City
108,Kevin,de Bruyne,5821,RM,Manchester City,914,-9.50269898914,-17.1601240067,,Manchester City
109,Kevin,de Bruyne,5821,RM,Manchester City,915,-9.53204699925,-17.1430238996,,Manchester City
110,Kevin,de Bruyne,5821,RM,Manchester City,916,-9.56007353465,-17.0999205453,,Manchester City
111,Kevin,de Bruyne,5821,RM,Manchester City,917,-9.60448101589,-16.9120413462,,Manchester City
112,Kevin,de Bruyne,5821,RM,Manchester City,918,-9.6616240456,-16.5967372259,,Manchester City
113,Kevin,de Bruyne,5821,RM,Manchester City,919,-9.72725518545,-16.2117608842,,Manchester City
114,Kevin,de Bruyne,5821,RM,Manchester City,920,-9.78276593345,-15.9065333321,,Manchester City
115,Kevin,de Bruyne,5821,RM,Manchester City,921,-9.80071176801,-15.7376137688,,Manchester City
116,Kevin,de Bruyne,5821,RM,Manchester City,922,-9.82748231434,-15.4719760077,,Manchester City
117,Kevin,de Bruyne,5821,RM,Manchester City,923,-9.81769661676,-15.2002481279,,Manchester City
118,Kevin,de Bruyne,5821,RM,Manchester City,924,-9.81562877837,-14.8193581445,,Manchester City
119,Kevin,de Bruyne,5821,RM,Manchester City,925,-9.80168147314,-14.2279812495,,Manchester City
120,Kevin,de Bruyne,5821,RM,Manchester City,926,-9.76470611209,-13.6644402913,,Manchester City
121,Kevin,de Bruyne,5821,RM,Manchester City,927,-9.6916603815,-13.0741992678,,Manchester City
122,Kevin,de Bruyne,5821,RM,Manchester City,928,-9.55803625924,-12.5420503162,,Manchester City
123,Kevin,de Bruyne,5821,RM,Manchester City,929,-9.32657682328,-12.294165475,,Manchester City
124,Kevin,de Bruyne,5821,RM,Manchester City,930,-9.09805297852,-12.0209347861,,Manchester City
125,Kevin,de Bruyne,5821,RM,Manchester City,931,-8.81893566677,-11.7215082986,,Manchester City
126,Kevin,de Bruyne,5821,RM,Manchester City,932,-8.54388613928,-11.5141153336,,Manchester City
127,Kevin,de Bruyne,5821,RM,Manchester City,933,-8.31482501257,-11.0501812526,,Manchester City
128,Kevin,de Bruyne,5821,RM,Manchester City,934,-8.04907428651,-10.6021427427,,Manchester City
129,Kevin,de Bruyne,5821,RM,Manchester City,935,-7.74123893465,-10.2734870457,,Manchester City
130,Kevin,de Bruyne,5821,RM,Manchester City,936,-7.44940630595,-9.75631350563,,Manchester City
131,Kevin,de Bruyne,5821,RM,Manchester City,937,-7.14710362752,-9.23144236065,,Manchester City
132,Kevin,de Bruyne,5821,RM,Manchester City,938,-6.85628055391,-8.85483855293,,Manchester City
133,Kevin,de Bruyne,5821,RM,Manchester City,939,-6.60350072952,-8.37103680202,,Manchester City
