,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Phil,Foden,11672,RW,Manchester City,449,-6.06704042249,-24.3913098197,,Liverpool Football Club
1,Phil,Foden,11672,RW,Manchester City,450,-5.6777111834,-22.4397762234,,Liverpool Football Club
2,Phil,Foden,11672,RW,Manchester City,451,-5.19893439818,-21.2227010839,,Liverpool Football Club
3,Phil,Foden,11672,RW,Manchester City,452,-4.63071006681,-20.7400844011,,Liverpool Football Club
4,Phil,Foden,11672,RW,Manchester City,453,-3.97472683574,-21.2971584537,,Liverpool Football Club
5,Phil,Foden,11672,RW,Manchester City,454,-3.24545349364,-22.2647290789,,Liverpool Football Club
6,Phil,Foden,11672,RW,Manchester City,455,-2.73201414072,-22.5689592648,,Liverpool Football Club
7,Phil,Foden,11672,RW,Manchester City,456,-2.18830743478,-23.6760225765,,Liverpool Football Club
8,Phil,Foden,11672,RW,Manchester City,457,-1.78092446386,-24.0438685886,,Liverpool Football Club
9,Phil,Foden,11672,RW,Manchester City,458,-1.19830405667,-23.7568235508,,Liverpool Football Club
10,Phil,Foden,11672,RW,Manchester City,459,-0.479470982039,-23.1014159144,,Liverpool Football Club
11,Phil,Foden,11672,RW,Manchester City,460,0.375574760038,-22.0776456794,,Liverpool Football Club
12,Phil,Foden,11672,RW,Manchester City,570,18.1867408752,-19.5495015099,,Liverpool Football Club
13,Phil,Foden,11672,RW,Manchester City,571,18.8706538337,-19.504308973,11566.0,Manchester City
14,Phil,Foden,11672,RW,Manchester City,572,19.5804738998,-19.3689741407,11566.0,Manchester City
15,Phil,Foden,11672,RW,Manchester City,573,20.3162010738,-19.1434970129,,Manchester City
16,Phil,Foden,11672,RW,Manchester City,574,21.1180792309,-18.6870767503,,Manchester City
17,Phil,Foden,11672,RW,Manchester City,575,21.8751808348,-18.4513042995,11566.0,Manchester City
