,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Aymeric,Laporte,1152,LCB,Manchester City,257,-17.71,4.13,,Norwich City
1,Aymeric,Laporte,1152,LCB,Manchester City,258,-17.57,3.96,,Norwich City
2,Aymeric,Laporte,1152,LCB,Manchester City,259,-17.47,3.83,,Norwich City
3,Aymeric,Laporte,1152,LCB,Manchester City,260,-17.4,3.74,,Norwich City
4,Aymeric,Laporte,1152,LCB,Manchester City,261,-17.38,3.73,,Norwich City
5,Aymeric,Laporte,1152,LCB,Manchester City,262,-17.37,3.72,,Norwich City
6,Aymeric,Laporte,1152,LCB,Manchester City,263,-17.35,3.67,,Norwich City
7,Aymeric,Laporte,1152,LCB,Manchester City,264,-17.33,3.6,,Norwich City
8,Aymeric,Laporte,1152,LCB,Manchester City,265,-17.3,3.61,,Norwich City
9,Aymeric,Laporte,1152,LCB,Manchester City,266,-17.26,3.6,,Norwich City
10,Aymeric,Laporte,1152,LCB,Manchester City,267,-17.24,3.63,,Norwich City
11,Aymeric,Laporte,1152,LCB,Manchester City,268,-17.21,3.63,,Norwich City
12,Aymeric,Laporte,1152,LCB,Manchester City,269,-17.21,3.65,,Norwich City
13,Aymeric,Laporte,1152,LCB,Manchester City,270,-17.2,3.67,,Norwich City
14,Aymeric,Laporte,1152,LCB,Manchester City,271,-17.18,3.63,,Norwich City
15,Aymeric,Laporte,1152,LCB,Manchester City,272,-17.16,3.53,,Norwich City
16,Aymeric,Laporte,1152,LCB,Manchester City,273,-17.12,3.46,,Norwich City
17,Aymeric,Laporte,1152,LCB,Manchester City,274,-17.11,3.52,,Norwich City
18,Aymeric,Laporte,1152,LCB,Manchester City,275,-17.12,3.66,,Norwich City
19,Aymeric,Laporte,1152,LCB,Manchester City,276,-17.14,3.87,,Norwich City
20,Aymeric,Laporte,1152,LCB,Manchester City,277,-17.16,4.05,,Norwich City
21,Aymeric,Laporte,1152,LCB,Manchester City,278,-17.17,4.14,,Norwich City
22,Aymeric,Laporte,1152,LCB,Manchester City,279,-17.14,4.1,,Norwich City
23,Aymeric,Laporte,1152,LCB,Manchester City,280,-17.12,4.0,,Norwich City
24,Aymeric,Laporte,1152,LCB,Manchester City,281,-17.09,3.83,,Norwich City
25,Aymeric,Laporte,1152,LCB,Manchester City,282,-17.03,3.6,,Norwich City
26,Aymeric,Laporte,1152,LCB,Manchester City,283,-17.02,3.53,,Norwich City
27,Aymeric,Laporte,1152,LCB,Manchester City,284,-17.04,3.64,,Norwich City
28,Aymeric,Laporte,1152,LCB,Manchester City,285,-17.09,3.82,,Norwich City
29,Aymeric,Laporte,1152,LCB,Manchester City,286,-17.13,3.95,,Norwich City
30,Aymeric,Laporte,1152,LCB,Manchester City,287,-17.15,4.0,,Norwich City
31,Aymeric,Laporte,1152,LCB,Manchester City,288,-17.11,3.87,,Norwich City
32,Aymeric,Laporte,1152,LCB,Manchester City,289,-17.11,3.84,,Norwich City
33,Aymeric,Laporte,1152,LCB,Manchester City,290,-17.12,3.84,,Norwich City
34,Aymeric,Laporte,1152,LCB,Manchester City,291,-17.17,3.9,,Norwich City
35,Aymeric,Laporte,1152,LCB,Manchester City,292,-17.25,4.01,,Norwich City
36,Aymeric,Laporte,1152,LCB,Manchester City,293,-17.32,4.07,,Norwich City
37,Aymeric,Laporte,1152,LCB,Manchester City,294,-17.36,4.03,,Norwich City
38,Aymeric,Laporte,1152,LCB,Manchester City,295,-17.41,4.03,2501.0,Norwich City
39,Aymeric,Laporte,1152,LCB,Manchester City,296,-17.4,3.93,2501.0,Norwich City
40,Aymeric,Laporte,1152,LCB,Manchester City,297,-17.41,3.9,2501.0,Norwich City
41,Aymeric,Laporte,1152,LCB,Manchester City,298,-17.43,3.97,2501.0,Norwich City
42,Aymeric,Laporte,1152,LCB,Manchester City,299,-17.45,4.09,2501.0,Norwich City
43,Aymeric,Laporte,1152,LCB,Manchester City,300,-17.41,4.1,2501.0,Norwich City
