,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,,Ederson,2934,GK,Manchester City,1052,-42.96,-0.96,,Norwich City
1,,Ederson,2934,GK,Manchester City,1053,-42.99,-0.77,,Norwich City
2,,Ederson,2934,GK,Manchester City,1054,-43.03,-0.64,,Norwich City
3,,Ederson,2934,GK,Manchester City,1055,-43.06,-0.56,,Norwich City
4,,Ederson,2934,GK,Manchester City,1056,-43.1,-0.54,,Norwich City
5,,Ederson,2934,GK,Manchester City,1057,-43.13,-0.55,,Norwich City
6,,Ederson,2934,GK,Manchester City,1058,-43.14,-0.62,,Norwich City
7,,Ederson,2934,GK,Manchester City,1059,-43.13,-0.72,,Norwich City
8,,Ederson,2934,GK,Manchester City,1060,-43.12,-0.89,,Norwich City
9,,Ederson,2934,GK,Manchester City,1061,-43.16,-1.0,,Norwich City
10,,Ederson,2934,GK,Manchester City,1062,-43.21,-1.03,,Norwich City
11,,Ederson,2934,GK,Manchester City,1063,-43.19,-1.11,24015.0,Manchester City
12,,Ederson,2934,GK,Manchester City,1064,-43.12,-1.27,24015.0,Manchester City
13,,Ederson,2934,GK,Manchester City,1065,-42.97,-1.56,24015.0,Manchester City
14,,Ederson,2934,GK,Manchester City,1066,-42.82,-1.9,24015.0,Manchester City
15,,Ederson,2934,GK,Manchester City,1067,-42.79,-2.13,24015.0,Manchester City
16,,Ederson,2934,GK,Manchester City,1068,-42.86,-2.25,24015.0,Manchester City
17,,Ederson,2934,GK,Manchester City,1069,-43.05,-2.26,24015.0,Manchester City
18,,Ederson,2934,GK,Manchester City,1070,-43.29,-2.27,24015.0,Manchester City
19,,Ederson,2934,GK,Manchester City,1071,-43.58,-2.2,24015.0,Manchester City
20,,Ederson,2934,GK,Manchester City,1072,-43.8,-2.19,24015.0,Manchester City
21,,Ederson,2934,GK,Manchester City,1073,-44.0,-2.2,24015.0,Manchester City
22,,Ederson,2934,GK,Manchester City,1074,-44.13,-2.26,24015.0,Manchester City
23,,Ederson,2934,GK,Manchester City,1075,-44.25,-2.3,24015.0,Manchester City
24,,Ederson,2934,GK,Manchester City,1076,-44.33,-2.35,24015.0,Manchester City
25,,Ederson,2934,GK,Manchester City,1077,-44.46,-2.31,24015.0,Manchester City
26,,Ederson,2934,GK,Manchester City,1078,-44.58,-2.33,24015.0,Manchester City
27,,Ederson,2934,GK,Manchester City,1079,-44.7,-2.37,24015.0,Manchester City
28,,Ederson,2934,GK,Manchester City,1080,-44.8,-2.38,24015.0,Manchester City
29,,Ederson,2934,GK,Manchester City,1081,-44.86,-2.38,24015.0,Manchester City
30,,Ederson,2934,GK,Manchester City,1082,-44.88,-2.42,24015.0,Manchester City
31,,Ederson,2934,GK,Manchester City,1083,-44.94,-2.35,24015.0,Manchester City
32,,Ederson,2934,GK,Manchester City,1084,-45.08,-2.18,24015.0,Manchester City
33,,Ederson,2934,GK,Manchester City,1085,-45.23,-2.02,24015.0,Manchester City
