,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Eric,Garcia,24015,RCB,Manchester City,257,-17.73,-7.56,,Norwich City
1,Eric,Garcia,24015,RCB,Manchester City,258,-17.66,-7.76,,Norwich City
2,Eric,Garcia,24015,RCB,Manchester City,259,-17.62,-7.91,,Norwich City
3,Eric,Garcia,24015,RCB,Manchester City,260,-17.59,-8.01,,Norwich City
4,Eric,Garcia,24015,RCB,Manchester City,281,-17.69,-8.14,,Norwich City
5,Eric,Garcia,24015,RCB,Manchester City,282,-17.69,-8.1,,Norwich City
6,Eric,Garcia,24015,RCB,Manchester City,283,-17.67,-8.12,,Norwich City
7,Eric,Garcia,24015,RCB,Manchester City,284,-17.64,-8.18,,Norwich City
8,Eric,Garcia,24015,RCB,Manchester City,285,-17.65,-8.16,,Norwich City
9,Eric,Garcia,24015,RCB,Manchester City,286,-17.65,-8.21,,Norwich City
10,Eric,Garcia,24015,RCB,Manchester City,287,-17.69,-8.14,,Norwich City
11,Eric,Garcia,24015,RCB,Manchester City,288,-17.69,-8.1,,Norwich City
12,Eric,Garcia,24015,RCB,Manchester City,289,-17.71,-8.12,,Norwich City
13,Eric,Garcia,24015,RCB,Manchester City,290,-17.73,-8.17,,Norwich City
14,Eric,Garcia,24015,RCB,Manchester City,291,-17.75,-8.18,,Norwich City
15,Eric,Garcia,24015,RCB,Manchester City,292,-17.74,-8.21,,Norwich City
16,Eric,Garcia,24015,RCB,Manchester City,293,-17.76,-8.23,,Norwich City
17,Eric,Garcia,24015,RCB,Manchester City,294,-17.72,-8.22,,Norwich City
18,Eric,Garcia,24015,RCB,Manchester City,295,-17.72,-8.18,2501.0,Norwich City
19,Eric,Garcia,24015,RCB,Manchester City,296,-17.73,-8.19,2501.0,Norwich City
20,Eric,Garcia,24015,RCB,Manchester City,297,-17.73,-8.2,2501.0,Norwich City
21,Eric,Garcia,24015,RCB,Manchester City,298,-17.76,-8.13,2501.0,Norwich City
22,Eric,Garcia,24015,RCB,Manchester City,299,-17.77,-8.15,2501.0,Norwich City
23,Eric,Garcia,24015,RCB,Manchester City,300,-17.74,-8.15,2501.0,Norwich City
24,Eric,Garcia,24015,RCB,Manchester City,301,-17.69,-8.25,2501.0,Norwich City
25,Eric,Garcia,24015,RCB,Manchester City,302,-17.68,-8.18,2501.0,Norwich City
26,Eric,Garcia,24015,RCB,Manchester City,303,-17.72,-8.01,2501.0,Norwich City
27,Eric,Garcia,24015,RCB,Manchester City,304,-17.83,-7.69,2501.0,Norwich City
28,Eric,Garcia,24015,RCB,Manchester City,305,-17.87,-7.53,2501.0,Norwich City
29,Eric,Garcia,24015,RCB,Manchester City,306,-17.89,-7.48,2501.0,Norwich City
30,Eric,Garcia,24015,RCB,Manchester City,307,-17.83,-7.65,2501.0,Norwich City
31,Eric,Garcia,24015,RCB,Manchester City,308,-17.8,-7.7,2501.0,Norwich City
32,Eric,Garcia,24015,RCB,Manchester City,309,-17.8,-7.71,2501.0,Norwich City
33,Eric,Garcia,24015,RCB,Manchester City,310,-17.83,-7.64,2501.0,Norwich City
34,Eric,Garcia,24015,RCB,Manchester City,311,-17.83,-7.63,2501.0,Norwich City
35,Eric,Garcia,24015,RCB,Manchester City,312,-17.86,-7.6,2501.0,Norwich City
36,Eric,Garcia,24015,RCB,Manchester City,313,-17.86,-7.61,2501.0,Norwich City
37,Eric,Garcia,24015,RCB,Manchester City,314,-17.84,-7.64,2501.0,Norwich City
38,Eric,Garcia,24015,RCB,Manchester City,315,-17.86,-7.6,2501.0,Norwich City
39,Eric,Garcia,24015,RCB,Manchester City,316,-17.86,-7.64,2501.0,Norwich City
40,Eric,Garcia,24015,RCB,Manchester City,317,-17.83,-7.78,2501.0,Norwich City
41,Eric,Garcia,24015,RCB,Manchester City,318,-17.79,-7.92,2501.0,Norwich City
42,Eric,Garcia,24015,RCB,Manchester City,319,-17.76,-8.05,2501.0,Norwich City
43,Eric,Garcia,24015,RCB,Manchester City,320,-17.72,-8.13,2501.0,Norwich City
44,Eric,Garcia,24015,RCB,Manchester City,321,-17.73,-8.1,2501.0,Norwich City
45,Eric,Garcia,24015,RCB,Manchester City,322,-17.74,-8.09,2501.0,Norwich City
46,Eric,Garcia,24015,RCB,Manchester City,323,-17.74,-8.1,2501.0,Norwich City
47,Eric,Garcia,24015,RCB,Manchester City,324,-17.74,-8.08,2501.0,Norwich City
48,Eric,Garcia,24015,RCB,Manchester City,325,-17.74,-8.06,2501.0,Norwich City
49,Eric,Garcia,24015,RCB,Manchester City,326,-17.75,-8.03,2501.0,Norwich City
50,Eric,Garcia,24015,RCB,Manchester City,327,-17.76,-7.99,2501.0,Norwich City
51,Eric,Garcia,24015,RCB,Manchester City,328,-17.78,-7.96,2501.0,Norwich City
