,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Luiz,Fernandinho,3397,RCB,Manchester City,39821,19.43,8.6,,Norwich City
1,Luiz,Fernandinho,3397,RCB,Manchester City,39822,19.35,8.61,,Norwich City
2,Luiz,Fernandinho,3397,RCB,Manchester City,39829,18.47,8.11,2501.0,Manchester City
3,Luiz,Fernandinho,3397,RCB,Manchester City,39830,18.39,8.06,2501.0,Manchester City
4,Luiz,Fernandinho,3397,RCB,Manchester City,39831,18.32,8.0,2501.0,Manchester City
5,Luiz,Fernandinho,3397,RCB,Manchester City,39832,18.25,7.91,2501.0,Manchester City
6,Luiz,Fernandinho,3397,RCB,Manchester City,39833,18.2,7.83,2501.0,Manchester City
7,Luiz,Fernandinho,3397,RCB,Manchester City,39834,18.14,7.69,2501.0,Manchester City
8,Luiz,Fernandinho,3397,RCB,Manchester City,39835,18.1,7.56,2501.0,Manchester City
9,Luiz,Fernandinho,3397,RCB,Manchester City,39836,18.07,7.46,2501.0,Manchester City
10,Luiz,Fernandinho,3397,RCB,Manchester City,39837,18.06,7.4,2501.0,Manchester City
11,Luiz,Fernandinho,3397,RCB,Manchester City,39838,18.1,7.45,,Manchester City
12,Luiz,Fernandinho,3397,RCB,Manchester City,39839,18.13,7.42,,Manchester City
13,Luiz,Fernandinho,3397,RCB,Manchester City,39840,18.15,7.41,,Manchester City
14,Luiz,Fernandinho,3397,RCB,Manchester City,39841,18.16,7.37,,Manchester City
15,Luiz,Fernandinho,3397,RCB,Manchester City,39842,18.21,7.37,5066.0,Manchester City
16,Luiz,Fernandinho,3397,RCB,Manchester City,39843,18.3,7.39,5066.0,Manchester City
17,Luiz,Fernandinho,3397,RCB,Manchester City,39844,18.43,7.43,5066.0,Manchester City
18,Luiz,Fernandinho,3397,RCB,Manchester City,39845,18.58,7.43,5066.0,Manchester City
19,Luiz,Fernandinho,3397,RCB,Manchester City,39846,18.72,7.39,5066.0,Manchester City
20,Luiz,Fernandinho,3397,RCB,Manchester City,39847,18.84,7.39,5066.0,Manchester City
21,Luiz,Fernandinho,3397,RCB,Manchester City,39848,18.99,7.37,5066.0,Manchester City
22,Luiz,Fernandinho,3397,RCB,Manchester City,39849,19.18,7.35,5066.0,Manchester City
23,Luiz,Fernandinho,3397,RCB,Manchester City,39850,19.42,7.43,5066.0,Manchester City
24,Luiz,Fernandinho,3397,RCB,Manchester City,39851,19.68,7.51,5066.0,Manchester City
25,Luiz,Fernandinho,3397,RCB,Manchester City,39852,19.96,7.57,5066.0,Manchester City
26,Luiz,Fernandinho,3397,RCB,Manchester City,39853,20.18,7.67,5066.0,Manchester City
27,Luiz,Fernandinho,3397,RCB,Manchester City,39854,20.35,7.64,,Manchester City
28,Luiz,Fernandinho,3397,RCB,Manchester City,39855,20.51,7.66,,Manchester City
29,Luiz,Fernandinho,3397,RCB,Manchester City,39856,20.7,7.76,,Manchester City
30,Luiz,Fernandinho,3397,RCB,Manchester City,39857,20.94,7.86,,Manchester City
31,Luiz,Fernandinho,3397,RCB,Manchester City,39858,21.19,7.89,5066.0,Manchester City
32,Luiz,Fernandinho,3397,RCB,Manchester City,39859,21.37,7.84,,Manchester City
33,Luiz,Fernandinho,3397,RCB,Manchester City,39860,21.47,7.73,,Manchester City
34,Luiz,Fernandinho,3397,RCB,Manchester City,39861,21.53,7.74,,Manchester City
35,Luiz,Fernandinho,3397,RCB,Manchester City,39862,21.59,7.79,,Manchester City
36,Luiz,Fernandinho,3397,RCB,Manchester City,39863,21.68,7.84,,Manchester City
37,Luiz,Fernandinho,3397,RCB,Manchester City,39864,21.75,7.82,,Manchester City
38,Luiz,Fernandinho,3397,RCB,Manchester City,39865,21.8,7.75,,Manchester City
39,Luiz,Fernandinho,3397,RCB,Manchester City,39866,21.81,7.72,,Manchester City
40,Luiz,Fernandinho,3397,RCB,Manchester City,39867,21.77,7.71,,Manchester City
41,Luiz,Fernandinho,3397,RCB,Manchester City,39868,21.71,7.87,,Manchester City
42,Luiz,Fernandinho,3397,RCB,Manchester City,39869,21.6,7.98,,Manchester City
43,Luiz,Fernandinho,3397,RCB,Manchester City,39870,21.46,8.06,,Manchester City
44,Luiz,Fernandinho,3397,RCB,Manchester City,39871,21.31,8.2,3397.0,Manchester City
45,Luiz,Fernandinho,3397,RCB,Manchester City,39872,21.18,8.36,3397.0,Manchester City
46,Luiz,Fernandinho,3397,RCB,Manchester City,39873,20.99,8.44,3397.0,Manchester City
47,Luiz,Fernandinho,3397,RCB,Manchester City,39874,20.79,8.73,3397.0,Manchester City
48,Luiz,Fernandinho,3397,RCB,Manchester City,39875,20.56,8.95,3397.0,Manchester City
49,Luiz,Fernandinho,3397,RCB,Manchester City,39876,20.3,9.18,3397.0,Manchester City
50,Luiz,Fernandinho,3397,RCB,Manchester City,39877,19.98,9.34,3397.0,Manchester City
51,Luiz,Fernandinho,3397,RCB,Manchester City,39878,19.64,9.44,3397.0,Manchester City
52,Luiz,Fernandinho,3397,RCB,Manchester City,39879,19.37,9.82,3397.0,Manchester City
53,Luiz,Fernandinho,3397,RCB,Manchester City,39880,19.09,10.24,3397.0,Manchester City
54,Luiz,Fernandinho,3397,RCB,Manchester City,39881,18.8,10.67,3397.0,Manchester City
55,Luiz,Fernandinho,3397,RCB,Manchester City,39882,18.51,11.08,3397.0,Manchester City
56,Luiz,Fernandinho,3397,RCB,Manchester City,39883,18.21,11.4,3397.0,Manchester City
57,Luiz,Fernandinho,3397,RCB,Manchester City,39884,17.86,11.56,3397.0,Manchester City
58,Luiz,Fernandinho,3397,RCB,Manchester City,39885,17.57,11.93,3397.0,Manchester City
59,Luiz,Fernandinho,3397,RCB,Manchester City,39886,17.29,12.24,3397.0,Manchester City
60,Luiz,Fernandinho,3397,RCB,Manchester City,39887,17.0,12.6,3397.0,Manchester City
61,Luiz,Fernandinho,3397,RCB,Manchester City,39888,16.74,12.98,3397.0,Manchester City
62,Luiz,Fernandinho,3397,RCB,Manchester City,39889,16.47,13.42,3397.0,Manchester City
63,Luiz,Fernandinho,3397,RCB,Manchester City,39890,16.16,13.73,3397.0,Manchester City
64,Luiz,Fernandinho,3397,RCB,Manchester City,39891,15.84,13.85,3397.0,Manchester City
65,Luiz,Fernandinho,3397,RCB,Manchester City,39892,15.6,13.98,3397.0,Manchester City
66,Luiz,Fernandinho,3397,RCB,Manchester City,39893,15.47,14.13,3397.0,Manchester City
67,Luiz,Fernandinho,3397,RCB,Manchester City,39894,15.44,14.38,3397.0,Manchester City
68,Luiz,Fernandinho,3397,RCB,Manchester City,39895,15.43,14.59,3397.0,Manchester City
69,Luiz,Fernandinho,3397,RCB,Manchester City,39896,15.44,14.78,3397.0,Manchester City
70,Luiz,Fernandinho,3397,RCB,Manchester City,39897,15.48,15.0,3397.0,Manchester City
71,Luiz,Fernandinho,3397,RCB,Manchester City,39898,15.51,15.1,3397.0,Manchester City
72,Luiz,Fernandinho,3397,RCB,Manchester City,39899,15.55,15.31,3397.0,Manchester City
73,Luiz,Fernandinho,3397,RCB,Manchester City,39900,15.62,15.47,3397.0,Manchester City
74,Luiz,Fernandinho,3397,RCB,Manchester City,39901,15.67,15.48,3397.0,Manchester City
75,Luiz,Fernandinho,3397,RCB,Manchester City,39902,15.73,15.37,3397.0,Manchester City
76,Luiz,Fernandinho,3397,RCB,Manchester City,39903,15.76,15.18,3397.0,Manchester City
77,Luiz,Fernandinho,3397,RCB,Manchester City,39904,15.75,14.83,3397.0,Manchester City
78,Luiz,Fernandinho,3397,RCB,Manchester City,39905,15.72,14.6,3397.0,Manchester City
79,Luiz,Fernandinho,3397,RCB,Manchester City,39906,15.71,14.53,,Manchester City
80,Luiz,Fernandinho,3397,RCB,Manchester City,39907,15.76,14.6,,Manchester City
81,Luiz,Fernandinho,3397,RCB,Manchester City,39908,15.84,14.67,,Manchester City
82,Luiz,Fernandinho,3397,RCB,Manchester City,39909,15.87,14.63,,Manchester City
83,Luiz,Fernandinho,3397,RCB,Manchester City,39910,15.9,14.52,,Manchester City
84,Luiz,Fernandinho,3397,RCB,Manchester City,39911,15.91,14.36,,Manchester City
85,Luiz,Fernandinho,3397,RCB,Manchester City,39912,15.93,14.32,,Manchester City
86,Luiz,Fernandinho,3397,RCB,Manchester City,39913,15.94,14.25,,Manchester City
87,Luiz,Fernandinho,3397,RCB,Manchester City,39914,15.92,14.22,,Manchester City
88,Luiz,Fernandinho,3397,RCB,Manchester City,39915,15.87,14.17,,Manchester City
89,Luiz,Fernandinho,3397,RCB,Manchester City,39916,15.79,14.03,,Manchester City
90,Luiz,Fernandinho,3397,RCB,Manchester City,39917,15.69,13.85,,Manchester City
91,Luiz,Fernandinho,3397,RCB,Manchester City,39918,15.59,13.66,,Manchester City
