,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Todd,Cantwell,18785,RW,Norwich City,78,2.07,17.21,,Norwich City
1,Todd,Cantwell,18785,RW,Norwich City,79,2.04,17.14,,Norwich City
2,Todd,Cantwell,18785,RW,Norwich City,80,2.03,17.05,,Norwich City
3,Todd,Cantwell,18785,RW,Norwich City,81,2.04,16.93,,Norwich City
4,Todd,Cantwell,18785,RW,Norwich City,82,2.08,16.77,,Norwich City
5,Todd,Cantwell,18785,RW,Norwich City,83,2.1,16.62,,Norwich City
6,Todd,Cantwell,18785,RW,Norwich City,84,2.12,16.52,,Norwich City
7,Todd,Cantwell,18785,RW,Norwich City,85,2.15,16.45,,Norwich City
8,Todd,Cantwell,18785,RW,Norwich City,86,2.17,16.26,,Norwich City
9,Todd,Cantwell,18785,RW,Norwich City,87,2.18,15.94,,Norwich City
10,Todd,Cantwell,18785,RW,Norwich City,88,2.21,15.51,,Norwich City
11,Todd,Cantwell,18785,RW,Norwich City,89,2.22,15.31,,Norwich City
12,Todd,Cantwell,18785,RW,Norwich City,90,2.21,15.37,,Norwich City
13,Todd,Cantwell,18785,RW,Norwich City,91,2.22,15.51,,Norwich City
14,Todd,Cantwell,18785,RW,Norwich City,92,2.24,15.57,,Norwich City
15,Todd,Cantwell,18785,RW,Norwich City,93,2.25,15.39,,Norwich City
16,Todd,Cantwell,18785,RW,Norwich City,94,2.27,15.1,,Norwich City
17,Todd,Cantwell,18785,RW,Norwich City,95,2.26,14.91,,Norwich City
18,Todd,Cantwell,18785,RW,Norwich City,96,2.26,14.89,,Norwich City
19,Todd,Cantwell,18785,RW,Norwich City,97,2.26,14.91,,Norwich City
20,Todd,Cantwell,18785,RW,Norwich City,98,2.25,14.94,,Norwich City
21,Todd,Cantwell,18785,RW,Norwich City,99,2.26,14.9,,Norwich City
22,Todd,Cantwell,18785,RW,Norwich City,100,2.27,14.79,,Norwich City
23,Todd,Cantwell,18785,RW,Norwich City,101,2.28,14.66,,Norwich City
24,Todd,Cantwell,18785,RW,Norwich City,102,2.28,14.58,,Norwich City
25,Todd,Cantwell,18785,RW,Norwich City,103,2.28,14.6,,Norwich City
26,Todd,Cantwell,18785,RW,Norwich City,104,2.26,14.7,,Norwich City
27,Todd,Cantwell,18785,RW,Norwich City,105,2.24,14.78,,Norwich City
28,Todd,Cantwell,18785,RW,Norwich City,106,2.21,14.84,,Norwich City
29,Todd,Cantwell,18785,RW,Norwich City,107,2.19,14.86,,Norwich City
30,Todd,Cantwell,18785,RW,Norwich City,108,2.18,14.85,,Norwich City
31,Todd,Cantwell,18785,RW,Norwich City,109,2.18,14.83,,Norwich City
32,Todd,Cantwell,18785,RW,Norwich City,110,2.16,14.86,,Norwich City
33,Todd,Cantwell,18785,RW,Norwich City,111,2.15,14.97,,Norwich City
34,Todd,Cantwell,18785,RW,Norwich City,112,2.15,15.17,,Norwich City
35,Todd,Cantwell,18785,RW,Norwich City,113,2.18,15.42,,Norwich City
36,Todd,Cantwell,18785,RW,Norwich City,114,2.21,15.61,,Norwich City
37,Todd,Cantwell,18785,RW,Norwich City,115,2.23,15.75,,Norwich City
38,Todd,Cantwell,18785,RW,Norwich City,116,2.24,15.82,,Norwich City
39,Todd,Cantwell,18785,RW,Norwich City,117,2.22,15.87,,Norwich City
40,Todd,Cantwell,18785,RW,Norwich City,118,2.21,15.94,,Norwich City
41,Todd,Cantwell,18785,RW,Norwich City,119,2.2,15.96,,Norwich City
42,Todd,Cantwell,18785,RW,Norwich City,120,2.19,15.91,,Norwich City
43,Todd,Cantwell,18785,RW,Norwich City,121,2.19,15.9,,Norwich City
44,Todd,Cantwell,18785,RW,Norwich City,122,2.2,15.95,,Norwich City
45,Todd,Cantwell,18785,RW,Norwich City,123,2.22,16.07,,Norwich City
46,Todd,Cantwell,18785,RW,Norwich City,124,2.2,16.29,,Norwich City
47,Todd,Cantwell,18785,RW,Norwich City,125,2.15,16.51,,Norwich City
48,Todd,Cantwell,18785,RW,Norwich City,126,2.09,16.53,,Norwich City
49,Todd,Cantwell,18785,RW,Norwich City,127,2.04,16.64,,Norwich City
50,Todd,Cantwell,18785,RW,Norwich City,128,2.01,16.66,,Norwich City
51,Todd,Cantwell,18785,RW,Norwich City,129,1.99,16.61,,Norwich City
52,Todd,Cantwell,18785,RW,Norwich City,130,1.92,16.51,,Norwich City
53,Todd,Cantwell,18785,RW,Norwich City,131,1.84,16.42,,Norwich City
54,Todd,Cantwell,18785,RW,Norwich City,132,1.77,16.26,,Norwich City
55,Todd,Cantwell,18785,RW,Norwich City,133,1.72,16.33,,Norwich City
56,Todd,Cantwell,18785,RW,Norwich City,134,1.7,16.34,,Norwich City
57,Todd,Cantwell,18785,RW,Norwich City,135,1.68,16.35,,Norwich City
58,Todd,Cantwell,18785,RW,Norwich City,136,1.64,16.29,,Norwich City
59,Todd,Cantwell,18785,RW,Norwich City,137,1.6,16.26,,Norwich City
60,Todd,Cantwell,18785,RW,Norwich City,138,1.57,16.28,,Norwich City
61,Todd,Cantwell,18785,RW,Norwich City,139,1.54,16.3,,Norwich City
62,Todd,Cantwell,18785,RW,Norwich City,140,1.51,16.3,,Norwich City
63,Todd,Cantwell,18785,RW,Norwich City,141,1.49,16.27,,Norwich City
64,Todd,Cantwell,18785,RW,Norwich City,142,1.45,16.2,,Norwich City
65,Todd,Cantwell,18785,RW,Norwich City,143,1.42,16.15,2501.0,Norwich City
66,Todd,Cantwell,18785,RW,Norwich City,144,1.39,16.17,2501.0,Norwich City
67,Todd,Cantwell,18785,RW,Norwich City,145,1.37,16.24,2501.0,Norwich City
68,Todd,Cantwell,18785,RW,Norwich City,146,1.35,16.32,2501.0,Norwich City
69,Todd,Cantwell,18785,RW,Norwich City,147,1.32,16.39,2501.0,Norwich City
70,Todd,Cantwell,18785,RW,Norwich City,148,1.29,16.44,2501.0,Norwich City
71,Todd,Cantwell,18785,RW,Norwich City,149,1.22,16.4,2501.0,Norwich City
72,Todd,Cantwell,18785,RW,Norwich City,150,1.24,16.46,2501.0,Norwich City
73,Todd,Cantwell,18785,RW,Norwich City,151,1.31,16.61,2501.0,Norwich City
74,Todd,Cantwell,18785,RW,Norwich City,152,1.4,16.73,2501.0,Norwich City
75,Todd,Cantwell,18785,RW,Norwich City,153,1.48,16.79,2501.0,Norwich City
76,Todd,Cantwell,18785,RW,Norwich City,154,1.52,16.81,2501.0,Norwich City
77,Todd,Cantwell,18785,RW,Norwich City,155,1.49,16.76,2501.0,Norwich City
78,Todd,Cantwell,18785,RW,Norwich City,156,1.5,16.78,2501.0,Norwich City
79,Todd,Cantwell,18785,RW,Norwich City,157,1.52,16.84,2501.0,Norwich City
80,Todd,Cantwell,18785,RW,Norwich City,158,1.54,16.87,2501.0,Norwich City
81,Todd,Cantwell,18785,RW,Norwich City,159,1.55,16.89,2501.0,Norwich City
82,Todd,Cantwell,18785,RW,Norwich City,160,1.6,16.9,2501.0,Norwich City
83,Todd,Cantwell,18785,RW,Norwich City,161,1.64,16.89,2501.0,Norwich City
84,Todd,Cantwell,18785,RW,Norwich City,162,1.68,16.85,2501.0,Norwich City
85,Todd,Cantwell,18785,RW,Norwich City,163,1.7,16.82,2501.0,Norwich City
86,Todd,Cantwell,18785,RW,Norwich City,164,1.69,16.81,2501.0,Norwich City
87,Todd,Cantwell,18785,RW,Norwich City,165,1.65,16.9,2501.0,Norwich City
88,Todd,Cantwell,18785,RW,Norwich City,166,1.63,16.97,,Norwich City
89,Todd,Cantwell,18785,RW,Norwich City,167,1.62,17.02,,Norwich City
90,Todd,Cantwell,18785,RW,Norwich City,168,1.61,16.99,,Norwich City
91,Todd,Cantwell,18785,RW,Norwich City,169,1.62,16.93,,Norwich City
92,Todd,Cantwell,18785,RW,Norwich City,170,1.61,16.95,,Norwich City
93,Todd,Cantwell,18785,RW,Norwich City,171,1.61,17.01,,Norwich City
94,Todd,Cantwell,18785,RW,Norwich City,172,1.6,17.11,,Norwich City
95,Todd,Cantwell,18785,RW,Norwich City,257,2.08,18.77,,Norwich City
96,Todd,Cantwell,18785,RW,Norwich City,258,2.09,18.73,,Norwich City
97,Todd,Cantwell,18785,RW,Norwich City,259,2.11,18.72,,Norwich City
98,Todd,Cantwell,18785,RW,Norwich City,260,2.13,18.74,,Norwich City
99,Todd,Cantwell,18785,RW,Norwich City,261,2.15,18.84,,Norwich City
100,Todd,Cantwell,18785,RW,Norwich City,262,2.18,18.89,,Norwich City
101,Todd,Cantwell,18785,RW,Norwich City,263,2.18,18.94,,Norwich City
102,Todd,Cantwell,18785,RW,Norwich City,264,2.18,18.95,,Norwich City
103,Todd,Cantwell,18785,RW,Norwich City,265,2.17,18.98,,Norwich City
104,Todd,Cantwell,18785,RW,Norwich City,266,2.17,19.0,,Norwich City
105,Todd,Cantwell,18785,RW,Norwich City,267,2.18,18.98,,Norwich City
106,Todd,Cantwell,18785,RW,Norwich City,268,2.18,18.96,,Norwich City
107,Todd,Cantwell,18785,RW,Norwich City,269,2.18,18.95,,Norwich City
108,Todd,Cantwell,18785,RW,Norwich City,270,2.19,18.96,,Norwich City
109,Todd,Cantwell,18785,RW,Norwich City,271,2.2,18.95,,Norwich City
110,Todd,Cantwell,18785,RW,Norwich City,272,2.2,18.93,,Norwich City
111,Todd,Cantwell,18785,RW,Norwich City,273,2.2,18.88,,Norwich City
112,Todd,Cantwell,18785,RW,Norwich City,274,2.21,18.88,,Norwich City
113,Todd,Cantwell,18785,RW,Norwich City,275,2.21,18.92,,Norwich City
114,Todd,Cantwell,18785,RW,Norwich City,276,2.22,18.94,,Norwich City
115,Todd,Cantwell,18785,RW,Norwich City,277,2.21,18.91,,Norwich City
116,Todd,Cantwell,18785,RW,Norwich City,278,2.2,18.85,,Norwich City
117,Todd,Cantwell,18785,RW,Norwich City,279,2.18,18.76,,Norwich City
118,Todd,Cantwell,18785,RW,Norwich City,280,2.17,18.7,,Norwich City
119,Todd,Cantwell,18785,RW,Norwich City,281,2.16,18.68,,Norwich City
120,Todd,Cantwell,18785,RW,Norwich City,282,2.16,18.65,,Norwich City
121,Todd,Cantwell,18785,RW,Norwich City,283,2.16,18.64,,Norwich City
122,Todd,Cantwell,18785,RW,Norwich City,284,2.17,18.63,,Norwich City
123,Todd,Cantwell,18785,RW,Norwich City,285,2.17,18.63,,Norwich City
124,Todd,Cantwell,18785,RW,Norwich City,286,2.16,18.63,,Norwich City
125,Todd,Cantwell,18785,RW,Norwich City,287,2.15,18.64,,Norwich City
126,Todd,Cantwell,18785,RW,Norwich City,288,2.15,18.63,,Norwich City
127,Todd,Cantwell,18785,RW,Norwich City,289,2.14,18.61,,Norwich City
128,Todd,Cantwell,18785,RW,Norwich City,290,2.15,18.58,,Norwich City
129,Todd,Cantwell,18785,RW,Norwich City,291,2.16,18.56,,Norwich City
130,Todd,Cantwell,18785,RW,Norwich City,292,2.17,18.55,,Norwich City
131,Todd,Cantwell,18785,RW,Norwich City,293,2.17,18.55,,Norwich City
132,Todd,Cantwell,18785,RW,Norwich City,294,2.18,18.56,,Norwich City
133,Todd,Cantwell,18785,RW,Norwich City,295,2.18,18.56,2501.0,Norwich City
134,Todd,Cantwell,18785,RW,Norwich City,296,2.18,18.56,2501.0,Norwich City
135,Todd,Cantwell,18785,RW,Norwich City,297,2.19,18.57,2501.0,Norwich City
136,Todd,Cantwell,18785,RW,Norwich City,298,2.19,18.54,2501.0,Norwich City
137,Todd,Cantwell,18785,RW,Norwich City,299,2.2,18.61,2501.0,Norwich City
138,Todd,Cantwell,18785,RW,Norwich City,300,2.22,18.75,2501.0,Norwich City
139,Todd,Cantwell,18785,RW,Norwich City,301,2.22,18.83,2501.0,Norwich City
140,Todd,Cantwell,18785,RW,Norwich City,302,2.22,18.89,2501.0,Norwich City
141,Todd,Cantwell,18785,RW,Norwich City,303,2.22,18.91,2501.0,Norwich City
142,Todd,Cantwell,18785,RW,Norwich City,304,2.21,18.89,2501.0,Norwich City
143,Todd,Cantwell,18785,RW,Norwich City,305,2.22,18.92,2501.0,Norwich City
144,Todd,Cantwell,18785,RW,Norwich City,306,2.22,18.95,2501.0,Norwich City
145,Todd,Cantwell,18785,RW,Norwich City,307,2.21,18.9,2501.0,Norwich City
146,Todd,Cantwell,18785,RW,Norwich City,308,2.19,18.87,2501.0,Norwich City
147,Todd,Cantwell,18785,RW,Norwich City,309,2.18,18.8,2501.0,Norwich City
148,Todd,Cantwell,18785,RW,Norwich City,310,2.18,18.78,2501.0,Norwich City
149,Todd,Cantwell,18785,RW,Norwich City,311,2.18,18.78,2501.0,Norwich City
150,Todd,Cantwell,18785,RW,Norwich City,312,2.19,18.78,2501.0,Norwich City
151,Todd,Cantwell,18785,RW,Norwich City,313,2.18,18.79,2501.0,Norwich City
152,Todd,Cantwell,18785,RW,Norwich City,314,2.18,18.82,2501.0,Norwich City
153,Todd,Cantwell,18785,RW,Norwich City,315,2.18,18.79,2501.0,Norwich City
154,Todd,Cantwell,18785,RW,Norwich City,316,2.17,18.77,2501.0,Norwich City
155,Todd,Cantwell,18785,RW,Norwich City,317,2.17,18.75,2501.0,Norwich City
156,Todd,Cantwell,18785,RW,Norwich City,318,2.17,18.76,2501.0,Norwich City
157,Todd,Cantwell,18785,RW,Norwich City,319,2.17,18.81,2501.0,Norwich City
158,Todd,Cantwell,18785,RW,Norwich City,320,2.17,18.84,2501.0,Norwich City
