,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,David,Silva,2501,LM,Manchester City,61348,-26.5,-0.93,,Olympique Lyonnais
1,David,Silva,2501,LM,Manchester City,61349,-26.55,-1.07,,Olympique Lyonnais
2,David,Silva,2501,LM,Manchester City,61350,-26.61,-1.2,,Olympique Lyonnais
3,David,Silva,2501,LM,Manchester City,61351,-26.69,-1.32,,Olympique Lyonnais
4,David,Silva,2501,LM,Manchester City,61352,-26.78,-1.42,,Olympique Lyonnais
5,David,Silva,2501,LM,Manchester City,61353,-26.88,-1.52,,Olympique Lyonnais
6,David,Silva,2501,LM,Manchester City,61354,-26.95,-1.63,,Olympique Lyonnais
7,David,Silva,2501,LM,Manchester City,61355,-27.01,-1.76,,Olympique Lyonnais
8,David,Silva,2501,LM,Manchester City,61356,-27.1,-1.81,,Olympique Lyonnais
9,David,Silva,2501,LM,Manchester City,61357,-27.18,-1.88,,Olympique Lyonnais
10,David,Silva,2501,LM,Manchester City,61358,-27.26,-1.97,,Olympique Lyonnais
11,David,Silva,2501,LM,Manchester City,61359,-27.33,-2.04,,Olympique Lyonnais
12,David,Silva,2501,LM,Manchester City,61360,-27.39,-2.12,,Olympique Lyonnais
13,David,Silva,2501,LM,Manchester City,61361,-27.44,-2.19,,Olympique Lyonnais
14,David,Silva,2501,LM,Manchester City,61362,-27.5,-2.23,,Olympique Lyonnais
15,David,Silva,2501,LM,Manchester City,61363,-27.55,-2.31,,Olympique Lyonnais
16,David,Silva,2501,LM,Manchester City,61364,-27.61,-2.38,,Olympique Lyonnais
17,David,Silva,2501,LM,Manchester City,61365,-27.66,-2.43,,Olympique Lyonnais
18,David,Silva,2501,LM,Manchester City,61366,-27.66,-2.48,,Olympique Lyonnais
19,David,Silva,2501,LM,Manchester City,61367,-27.65,-2.53,,Olympique Lyonnais
20,David,Silva,2501,LM,Manchester City,61368,-27.62,-2.59,,Olympique Lyonnais
21,David,Silva,2501,LM,Manchester City,61369,-27.58,-2.67,,Olympique Lyonnais
22,David,Silva,2501,LM,Manchester City,61370,-27.54,-2.73,,Olympique Lyonnais
23,David,Silva,2501,LM,Manchester City,61371,-27.48,-2.82,,Olympique Lyonnais
24,David,Silva,2501,LM,Manchester City,61372,-27.4,-2.91,,Olympique Lyonnais
25,David,Silva,2501,LM,Manchester City,61373,-27.34,-2.96,,Olympique Lyonnais
26,David,Silva,2501,LM,Manchester City,61374,-27.29,-3.01,,Olympique Lyonnais
27,David,Silva,2501,LM,Manchester City,61375,-27.22,-3.13,,Olympique Lyonnais
28,David,Silva,2501,LM,Manchester City,61376,-27.13,-3.24,,Olympique Lyonnais
29,David,Silva,2501,LM,Manchester City,61377,-27.04,-3.38,,Olympique Lyonnais
30,David,Silva,2501,LM,Manchester City,61378,-26.97,-3.51,,Olympique Lyonnais
31,David,Silva,2501,LM,Manchester City,61379,-26.94,-3.55,,Olympique Lyonnais
32,David,Silva,2501,LM,Manchester City,61380,-26.93,-3.56,,Olympique Lyonnais
33,David,Silva,2501,LM,Manchester City,61381,-26.93,-3.54,,Olympique Lyonnais
34,David,Silva,2501,LM,Manchester City,61382,-26.93,-3.56,,Olympique Lyonnais
35,David,Silva,2501,LM,Manchester City,61383,-26.93,-3.56,,Olympique Lyonnais
36,David,Silva,2501,LM,Manchester City,61384,-26.91,-3.65,,Olympique Lyonnais
37,David,Silva,2501,LM,Manchester City,61385,-26.85,-3.82,,Olympique Lyonnais
38,David,Silva,2501,LM,Manchester City,61386,-26.8,-3.97,,Olympique Lyonnais
39,David,Silva,2501,LM,Manchester City,61387,-26.79,-4.07,,Olympique Lyonnais
40,David,Silva,2501,LM,Manchester City,61388,-26.76,-4.21,,Olympique Lyonnais
41,David,Silva,2501,LM,Manchester City,61389,-26.76,-4.27,,Olympique Lyonnais
42,David,Silva,2501,LM,Manchester City,61390,-26.73,-4.39,,Olympique Lyonnais
43,David,Silva,2501,LM,Manchester City,61391,-26.65,-4.59,,Olympique Lyonnais
44,David,Silva,2501,LM,Manchester City,61392,-26.6,-4.72,,Olympique Lyonnais
45,David,Silva,2501,LM,Manchester City,61393,-26.6,-4.77,,Olympique Lyonnais
46,David,Silva,2501,LM,Manchester City,61394,-26.63,-4.8,,Olympique Lyonnais
47,David,Silva,2501,LM,Manchester City,61395,-26.7,-4.77,,Olympique Lyonnais
48,David,Silva,2501,LM,Manchester City,61396,-26.73,-4.79,,Olympique Lyonnais
49,David,Silva,2501,LM,Manchester City,61397,-26.75,-4.83,,Olympique Lyonnais
50,David,Silva,2501,LM,Manchester City,61398,-26.78,-4.83,,Olympique Lyonnais
51,David,Silva,2501,LM,Manchester City,61399,-26.79,-4.86,,Olympique Lyonnais
52,David,Silva,2501,LM,Manchester City,61400,-26.8,-4.92,,Olympique Lyonnais
53,David,Silva,2501,LM,Manchester City,61401,-26.81,-4.97,,Olympique Lyonnais
54,David,Silva,2501,LM,Manchester City,61402,-26.79,-5.05,,Olympique Lyonnais
55,David,Silva,2501,LM,Manchester City,61403,-26.76,-5.12,,Olympique Lyonnais
56,David,Silva,2501,LM,Manchester City,61404,-26.75,-5.13,,Olympique Lyonnais
57,David,Silva,2501,LM,Manchester City,61405,-26.72,-5.1,,Olympique Lyonnais
58,David,Silva,2501,LM,Manchester City,61406,-26.69,-5.09,,Olympique Lyonnais
59,David,Silva,2501,LM,Manchester City,61407,-26.69,-5.04,,Olympique Lyonnais
60,David,Silva,2501,LM,Manchester City,61408,-26.67,-5.05,,Olympique Lyonnais
61,David,Silva,2501,LM,Manchester City,61409,-26.64,-5.09,,Olympique Lyonnais
62,David,Silva,2501,LM,Manchester City,61410,-26.6,-5.13,,Olympique Lyonnais
63,David,Silva,2501,LM,Manchester City,61411,-26.58,-5.1,,Olympique Lyonnais
64,David,Silva,2501,LM,Manchester City,61412,-26.54,-5.05,,Olympique Lyonnais
65,David,Silva,2501,LM,Manchester City,61413,-26.52,-5.02,,Olympique Lyonnais
66,David,Silva,2501,LM,Manchester City,61414,-26.5,-4.98,,Olympique Lyonnais
67,David,Silva,2501,LM,Manchester City,61415,-26.48,-4.97,,Olympique Lyonnais
68,David,Silva,2501,LM,Manchester City,61416,-26.51,-4.84,,Olympique Lyonnais
69,David,Silva,2501,LM,Manchester City,61417,-26.57,-4.66,,Olympique Lyonnais
70,David,Silva,2501,LM,Manchester City,61418,-26.64,-4.42,,Olympique Lyonnais
71,David,Silva,2501,LM,Manchester City,61419,-26.67,-4.25,,Olympique Lyonnais
72,David,Silva,2501,LM,Manchester City,61420,-26.69,-4.11,,Olympique Lyonnais
73,David,Silva,2501,LM,Manchester City,61421,-26.65,-4.1,,Olympique Lyonnais
74,David,Silva,2501,LM,Manchester City,61422,-26.66,-3.96,,Olympique Lyonnais
75,David,Silva,2501,LM,Manchester City,61423,-26.69,-3.79,,Olympique Lyonnais
76,David,Silva,2501,LM,Manchester City,61424,-26.74,-3.6,,Olympique Lyonnais
77,David,Silva,2501,LM,Manchester City,61425,-26.79,-3.45,,Olympique Lyonnais
78,David,Silva,2501,LM,Manchester City,61426,-26.84,-3.31,,Olympique Lyonnais
79,David,Silva,2501,LM,Manchester City,61427,-26.87,-3.23,,Olympique Lyonnais
80,David,Silva,2501,LM,Manchester City,61428,-26.92,-3.1,,Olympique Lyonnais
81,David,Silva,2501,LM,Manchester City,61429,-26.96,-2.94,,Olympique Lyonnais
82,David,Silva,2501,LM,Manchester City,61430,-26.99,-2.82,,Olympique Lyonnais
83,David,Silva,2501,LM,Manchester City,61431,-27.02,-2.71,,Olympique Lyonnais
84,David,Silva,2501,LM,Manchester City,61432,-27.03,-2.62,,Olympique Lyonnais
85,David,Silva,2501,LM,Manchester City,61433,-27.06,-2.53,,Olympique Lyonnais
86,David,Silva,2501,LM,Manchester City,61434,-27.11,-2.4,,Olympique Lyonnais
87,David,Silva,2501,LM,Manchester City,61435,-27.15,-2.28,,Olympique Lyonnais
88,David,Silva,2501,LM,Manchester City,61436,-27.21,-2.14,,Olympique Lyonnais
89,David,Silva,2501,LM,Manchester City,61437,-27.26,-2.04,,Olympique Lyonnais
90,David,Silva,2501,LM,Manchester City,61438,-27.29,-1.99,,Olympique Lyonnais
91,David,Silva,2501,LM,Manchester City,61439,-27.36,-1.87,,Olympique Lyonnais
92,David,Silva,2501,LM,Manchester City,61440,-27.46,-1.68,,Olympique Lyonnais
93,David,Silva,2501,LM,Manchester City,61441,-27.55,-1.54,,Olympique Lyonnais
94,David,Silva,2501,LM,Manchester City,61442,-27.63,-1.42,,Olympique Lyonnais
95,David,Silva,2501,LM,Manchester City,61443,-27.67,-1.36,,Olympique Lyonnais
96,David,Silva,2501,LM,Manchester City,61444,-27.66,-1.35,,Olympique Lyonnais
97,David,Silva,2501,LM,Manchester City,61445,-27.68,-1.28,,Olympique Lyonnais
98,David,Silva,2501,LM,Manchester City,61446,-27.7,-1.22,,Olympique Lyonnais
99,David,Silva,2501,LM,Manchester City,61447,-27.72,-1.15,,Olympique Lyonnais
100,David,Silva,2501,LM,Manchester City,61448,-27.75,-1.1,,Olympique Lyonnais
101,David,Silva,2501,LM,Manchester City,61449,-27.79,-1.06,,Olympique Lyonnais
102,David,Silva,2501,LM,Manchester City,61450,-27.84,-1.01,,Olympique Lyonnais
103,David,Silva,2501,LM,Manchester City,61451,-27.91,-0.95,,Olympique Lyonnais
104,David,Silva,2501,LM,Manchester City,61452,-27.96,-0.95,,Olympique Lyonnais
105,David,Silva,2501,LM,Manchester City,61453,-28.04,-0.95,,Olympique Lyonnais
106,David,Silva,2501,LM,Manchester City,61454,-28.14,-0.99,,Olympique Lyonnais
107,David,Silva,2501,LM,Manchester City,61455,-28.24,-1.07,,Olympique Lyonnais
108,David,Silva,2501,LM,Manchester City,61456,-28.29,-1.19,,Olympique Lyonnais
109,David,Silva,2501,LM,Manchester City,61457,-28.33,-1.32,,Olympique Lyonnais
110,David,Silva,2501,LM,Manchester City,61458,-28.37,-1.45,,Olympique Lyonnais
111,David,Silva,2501,LM,Manchester City,61459,-28.43,-1.58,,Olympique Lyonnais
112,David,Silva,2501,LM,Manchester City,61460,-28.53,-1.67,,Olympique Lyonnais
113,David,Silva,2501,LM,Manchester City,61461,-28.59,-1.81,,Olympique Lyonnais
114,David,Silva,2501,LM,Manchester City,61462,-28.62,-1.98,,Olympique Lyonnais
115,David,Silva,2501,LM,Manchester City,61463,-28.61,-2.18,,Olympique Lyonnais
116,David,Silva,2501,LM,Manchester City,61464,-28.56,-2.42,,Olympique Lyonnais
117,David,Silva,2501,LM,Manchester City,61537,-31.53,-4.98,,Olympique Lyonnais
118,David,Silva,2501,LM,Manchester City,61538,-31.82,-4.98,,Olympique Lyonnais
119,David,Silva,2501,LM,Manchester City,61539,-32.06,-5.09,,Olympique Lyonnais
120,David,Silva,2501,LM,Manchester City,61540,-32.25,-5.29,,Olympique Lyonnais
121,David,Silva,2501,LM,Manchester City,61541,-32.42,-5.61,,Olympique Lyonnais
122,David,Silva,2501,LM,Manchester City,61542,-32.53,-5.98,,Olympique Lyonnais
123,David,Silva,2501,LM,Manchester City,61543,-32.58,-6.4,,Olympique Lyonnais
124,David,Silva,2501,LM,Manchester City,61544,-32.69,-6.69,,Olympique Lyonnais
125,David,Silva,2501,LM,Manchester City,61545,-32.84,-6.9,,Olympique Lyonnais
126,David,Silva,2501,LM,Manchester City,61546,-33.03,-7.11,,Manchester City
127,David,Silva,2501,LM,Manchester City,61547,-33.27,-7.26,,Manchester City
128,David,Silva,2501,LM,Manchester City,61548,-33.57,-7.22,,Manchester City
129,David,Silva,2501,LM,Manchester City,61549,-33.87,-7.13,,Manchester City
130,David,Silva,2501,LM,Manchester City,61550,-34.17,-7.12,,Manchester City
131,David,Silva,2501,LM,Manchester City,61551,-34.39,-7.23,,Manchester City
132,David,Silva,2501,LM,Manchester City,61552,-34.69,-7.32,,Manchester City
133,David,Silva,2501,LM,Manchester City,61553,-35.07,-7.29,,Manchester City
134,David,Silva,2501,LM,Manchester City,61554,-35.56,-7.03,,Manchester City
135,David,Silva,2501,LM,Manchester City,61555,-36.04,-6.83,,Manchester City
136,David,Silva,2501,LM,Manchester City,61556,-36.51,-6.72,,Manchester City
137,David,Silva,2501,LM,Manchester City,61557,-37.02,-6.66,9077.0,Manchester City
138,David,Silva,2501,LM,Manchester City,61558,-37.54,-6.59,,Manchester City
139,David,Silva,2501,LM,Manchester City,61559,-38.11,-6.45,,Manchester City
140,David,Silva,2501,LM,Manchester City,61560,-38.73,-6.41,,Manchester City
141,David,Silva,2501,LM,Manchester City,61561,-39.42,-6.45,,Manchester City
142,David,Silva,2501,LM,Manchester City,61562,-39.99,-6.5,,Manchester City
143,David,Silva,2501,LM,Manchester City,61563,-40.77,-6.27,,Manchester City
144,David,Silva,2501,LM,Manchester City,61564,-41.4,-6.07,,Manchester City
145,David,Silva,2501,LM,Manchester City,61565,-42.0,-5.84,,Manchester City
146,David,Silva,2501,LM,Manchester City,61566,-42.56,-5.82,,Manchester City
147,David,Silva,2501,LM,Manchester City,61567,-43.18,-5.77,,Manchester City
148,David,Silva,2501,LM,Manchester City,61568,-43.8,-5.8,,Manchester City
149,David,Silva,2501,LM,Manchester City,61569,-44.62,-5.7,,Manchester City
150,David,Silva,2501,LM,Manchester City,61570,-45.5,-5.51,,Manchester City
151,David,Silva,2501,LM,Manchester City,61571,-46.18,-5.55,,Manchester City
152,David,Silva,2501,LM,Manchester City,61572,-46.84,-5.66,,Manchester City
153,David,Silva,2501,LM,Manchester City,61573,-47.57,-5.54,,Manchester City
154,David,Silva,2501,LM,Manchester City,61574,-48.38,-5.44,,Manchester City
155,David,Silva,2501,LM,Manchester City,61575,-49.22,-5.29,,Manchester City
156,David,Silva,2501,LM,Manchester City,61576,-50.04,-5.14,,Manchester City
157,David,Silva,2501,LM,Manchester City,61577,-50.58,-5.33,,Manchester City
158,David,Silva,2501,LM,Manchester City,61578,-51.08,-5.63,,Manchester City
159,David,Silva,2501,LM,Manchester City,61579,-51.61,-5.81,,Manchester City
160,David,Silva,2501,LM,Manchester City,61580,-52.06,-6.07,,Manchester City
161,David,Silva,2501,LM,Manchester City,61581,-52.52,-6.2,,Manchester City
162,David,Silva,2501,LM,Manchester City,61582,-52.93,-6.36,,Manchester City
163,David,Silva,2501,LM,Manchester City,61583,-53.26,-6.46,,Manchester City
164,David,Silva,2501,LM,Manchester City,61584,-53.53,-6.57,,Manchester City
165,David,Silva,2501,LM,Manchester City,61585,-53.73,-6.63,,Manchester City
166,David,Silva,2501,LM,Manchester City,61586,-53.83,-6.72,,Manchester City
167,David,Silva,2501,LM,Manchester City,61587,-53.86,-6.82,,Manchester City
168,David,Silva,2501,LM,Manchester City,61588,-53.79,-7.01,,Manchester City
169,David,Silva,2501,LM,Manchester City,61589,-53.63,-7.29,,Manchester City
170,David,Silva,2501,LM,Manchester City,61590,-53.44,-7.56,928.0,Olympique Lyonnais
171,David,Silva,2501,LM,Manchester City,61591,-53.31,-7.74,928.0,Olympique Lyonnais
172,David,Silva,2501,LM,Manchester City,61592,-53.24,-7.8,928.0,Olympique Lyonnais
173,David,Silva,2501,LM,Manchester City,61593,-53.12,-7.91,928.0,Olympique Lyonnais
174,David,Silva,2501,LM,Manchester City,61594,-52.87,-8.07,928.0,Olympique Lyonnais
175,David,Silva,2501,LM,Manchester City,61595,-52.6,-8.17,928.0,Olympique Lyonnais
176,David,Silva,2501,LM,Manchester City,61596,-52.28,-8.27,928.0,Olympique Lyonnais
177,David,Silva,2501,LM,Manchester City,61597,-51.95,-8.4,928.0,Olympique Lyonnais
178,David,Silva,2501,LM,Manchester City,61598,-51.63,-8.5,,Olympique Lyonnais
179,David,Silva,2501,LM,Manchester City,61599,-51.31,-8.59,,Olympique Lyonnais
180,David,Silva,2501,LM,Manchester City,61600,-50.99,-8.66,,Olympique Lyonnais
