,FirstName,LastName,Trackable_Object,Position,Team,Frame,XPos,YPos,Possession-Player,Possession-Team
0,Eric,Garcia,24015,RCB,Manchester City,183,-17.91,-7.25,,Olympique Lyonnais
1,Eric,Garcia,24015,RCB,Manchester City,184,-17.86,-7.26,,Olympique Lyonnais
2,Eric,Garcia,24015,RCB,Manchester City,185,-17.83,-7.26,,Olympique Lyonnais
3,Eric,Garcia,24015,RCB,Manchester City,186,-17.81,-7.26,,Olympique Lyonnais
4,Eric,Garcia,24015,RCB,Manchester City,187,-17.81,-7.28,,Olympique Lyonnais
5,Eric,Garcia,24015,RCB,Manchester City,188,-17.82,-7.29,,Olympique Lyonnais
6,Eric,Garcia,24015,RCB,Manchester City,189,-17.84,-7.26,,Olympique Lyonnais
7,Eric,Garcia,24015,RCB,Manchester City,190,-17.83,-7.27,,Olympique Lyonnais
8,Eric,Garcia,24015,RCB,Manchester City,191,-17.82,-7.25,,Olympique Lyonnais
9,Eric,Garcia,24015,RCB,Manchester City,192,-17.83,-7.21,,Olympique Lyonnais
10,Eric,Garcia,24015,RCB,Manchester City,193,-17.83,-7.18,,Olympique Lyonnais
11,Eric,Garcia,24015,RCB,Manchester City,194,-17.85,-7.16,,Olympique Lyonnais
12,Eric,Garcia,24015,RCB,Manchester City,195,-17.87,-7.14,,Olympique Lyonnais
13,Eric,Garcia,24015,RCB,Manchester City,196,-17.88,-7.16,,Olympique Lyonnais
14,Eric,Garcia,24015,RCB,Manchester City,197,-17.89,-7.18,,Olympique Lyonnais
15,Eric,Garcia,24015,RCB,Manchester City,198,-17.89,-7.26,,Olympique Lyonnais
16,Eric,Garcia,24015,RCB,Manchester City,199,-17.9,-7.3,,Olympique Lyonnais
17,Eric,Garcia,24015,RCB,Manchester City,200,-17.94,-7.29,,Olympique Lyonnais
18,Eric,Garcia,24015,RCB,Manchester City,201,-17.96,-7.27,,Olympique Lyonnais
19,Eric,Garcia,24015,RCB,Manchester City,202,-17.99,-7.21,4460.0,Manchester City
20,Eric,Garcia,24015,RCB,Manchester City,203,-18.01,-7.21,4460.0,Manchester City
21,Eric,Garcia,24015,RCB,Manchester City,204,-18.01,-7.24,4460.0,Manchester City
22,Eric,Garcia,24015,RCB,Manchester City,205,-18.04,-7.22,4460.0,Manchester City
23,Eric,Garcia,24015,RCB,Manchester City,206,-18.08,-7.18,4460.0,Manchester City
24,Eric,Garcia,24015,RCB,Manchester City,207,-18.1,-7.16,4460.0,Manchester City
